公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 各項保險負債淨變動,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產及設備損失（利益）,　　　　 處分投資性不動產損失（利益）,　　　　 處分其他資產損失（利益）,　　　　 金融資產減損損失,　　　　 非金融資產減損迴轉利益,　　　　 處分承受擔保品損失（利益）,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 存放央行及拆借金融同業（增加）減少,　　　　　 透過損益按公允價值衡量之金融資產（增加）減少,　　　　　 備供出售金融資產（增加）減少,　　　　　 避險之衍生金融資產（增加）減少,　　　　　 應收款項（增加）減少,　　　　　 貼現及放款（增加）減少,　　　　　 再保險合約資產（增加）減少,　　　　　 持有至到期日金融資產（增加）減少,　　　　　 其他金融資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 央行及銀行同業存款增加（減少）,　　　　　 透過損益按公允價值衡量之金融負債增加（減少）,　　　　　 避險之衍生金融負債增加（減少）,　　　　　 附買回票券及債券負債增加（減少）,　　　　　 應付款項增加（減少）,　　　　　 存款及匯款增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 其他金融負債增加（減少）,　　　　　 其他負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 收取之股利,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得不動產及設備,　　 處分不動產及設備,　　 取得無形資產,　　 處分承受擔保品,　　 購買承受擔保品,　　 取得投資性不動產,　　 處分投資性不動產,　　 其他金融資產增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款減少,　　 應付商業本票增加,　　 發行金融債券,　　 發放現金股利,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 符合國際會計準則第七號現金及約當現金定義之存放央行及拆借銀行同業,　　 符合國際會計準則第七號現金及約當現金定義之附賣回票券及債券投資,　　　　 金融資產減損迴轉利益,　　 其他資產增加,　　 短期借款增加,　　 償還金融債券,　　 其他資產減少,　　　　 非金融資產減損損失,　　 支付之股利
2880,2016年01月01日至2016年09月30日,,11889485,11889485,,,668618,119665,2714091,11071797,-30357759,-881193,422751,2565,-595,-90301,0,1105,,-2482,-16332648,,,2321367,-7596290,-12220621,1343,-19860940,-45783608,-228507,-129945608,-18291550,-231604414,,38940825,-665746,-15141,4314022,28192519,112729579,-1880189,-13737620,-842994,167035255,-64569159,-80901807,-69012322,30067911,868337,-9975399,-2378865.0,-50430338,,-590592,1122,-52312,13303,-508,-17359,395615,,-439061,,0.0,3524476,3500000,-6222531,1016945,-1451099,-51303553,207524135,156220582,46440997,104225326,5554259,0.0,,215000.0,0.0,-188330.0,-910.0,
2880,2016年01月01日至2016年06月30日,,8818938,8818938,,,440423,79639,357221,7195343,-20151988,-37319,454613,2868,-891,-76084,0,1105,,-2482,-11738462,,,5134623,-9609966,-19476994,1679,-16507238,-31938731,-221411,-99846097,-27584154,-200048289,,44561301,-1038501,-6884,117909,-474479,102181744,-1438393,-7065056,-1250705,135586936,-64461353,-76199815,-67380877,19838035,31447,-6858865,-796718.0,-55166978,,-352672,955,-24684,13303,-508,-14640,293687,,85446,,0.0,889232,1700000,-256,3449976,-517462,-52149018,207524135,155375117,40939475,104115948,10319694,0.0,,861000.0,0.0,170005.0,-910.0,
2880,2016年01月01日至2016年03月31日,,4317879,4317879,,,225442,39425,109065,3551124,-10002377,-804,344796,2068,-149,-25691,0,423,,546,-5757042,,,15514289,2018355,-34045044,1525,-16214551,-4516342,-40493,-42624627,-8478386,-88385274,,20811303,3186804,-1662,-1580078,-484394,17004350,-1336671,-822096,-1867024,34910532,-53474742,-59231784,-54913905,9838996,22270,-3029251,,-48445958,,-144532,180,-17823,376,-462,-12276,54477,,-93525,,488898.0,1498054,1700000,-67,3686885,-608187,-45460785,207524135,162063350,31726894,129838902,497554,,0.0,,,26535.0,-910.0,-364068.0
2880,2015年度,,16194307,16194307,,,770638,160592,1186835,15274894,-41027397,-142775,388444,7417,-662,-30275,-8775,14004,-2151.0,0,-23426111,,,-27904886,-9937649,-34911,2512,10602455,-2604761,3343,-2106008,15090206,-16889699,,-15219948,-4485926,-6687,-5188103,-2384836,89335931,-389391,10515344,2324213,74500597,57610898,34184787,50379094,41755093,121309,-15725252,,73985181,,-994718,3695,-193123,0,-3356,-14541,147121,,1007121,,-582000.0,5483328,3200000,-5783866,617462,1252026,76861790,130662345,207524135,39189783,167856137,478215,-16900.0,0.0,0.0,-1700000.0,2062043.0,0.0,-2545063.0
2880,2015年01月01日至2015年09月30日,,12491832,12491832,,,551636,122722,940725,11615707,-30953921,-145367,512464,3486,489,-29236,-8824,11842,-2151.0,0,-17380476,,,-20615323,-14361803,4436240,4119,5635559,6686599,-21585,-42706035,4151277,-56790952,,-15338774,-1496119,6205,2697688,45021109,33942475,-360262,2594811,2547640,69614773,12823821,-4556655,7935177,31702380,141847,-11209579,-2149238.0,26420587,,-764555,1839,-40235,0,-3354,-10828,143170,,-42401,,-271000.0,5107433,3200000,-5783715,552718,1339809,28270713,130662345,158933058,58789648,99604420,538990,-48.0,0.0,0.0,-1700000.0,631562.0,,
2880,2015年01月01日至2015年06月30日,,8905593,8905593,,,351202,84587,-112174,7876761,-20760096,-56468,459460,2932,490,-18717,-8824,0,-2151.0,0,-12183052,,,-28371871,1146145,-1091648,2989,-6842106,24985699,49479,-3306671,83651,-13344333,,-5726223,-3441103,6814,2267123,-462612,4225297,-185051,1060708,386169,-1868878,-15213211,-27396263,-18490670,21218368,40496,-8109321,-854695.0,-6195822,,-612253,909,-23479,0,0,-2100,60891,,1696830,,,1806996,3200000,-118,3031878,-341758,-1808872,130662345,128853473,50310351,77845572,697550,-54.0,2272862.0,-275000.0,-1700000.0,,,
2880,2015年01月01日至2015年03月31日,,4307599,4307599,,,175724,44020,126475,3978681,-10355095,-1425,248819,1718,269,0,-8824,0,0.0,0,-5789638,,,-2207644,3647945,5347363,3037,924213,12016633,-40631,4264,-2011930,17683250,,-16779616,272426,15131,-5477387,-3854202,18055835,-88818,-659347,1499868,-7016110,10667140,4877502,9185101,10054821,1425,-3282367,-312888.0,15646092,,-311108,782,-13261,0,0,-673,0,-476720.0,-800980,,778000.0,1863450,0,-26,2641424,-99032,17387504,130662345,148049849,64983384,82598550,467915,,,,,,,
2880,2014年度,,15548765,15548765,,,744617,185319,1639955,15780313,-40632213,-231807,307088,4891,-881,-63566,1328,88769,-7827.0,-3052,-22178596,,,7740493,-8947205,-6690470,1941,2162157,-72723661,-31560,43906940,-30577414,-65158779,,-31440147,2139822,-44852,8153956,5521176,90775221,-600694,5130591,-1080385,78554688,13395909,-8782687,6766078,40252203,231807,-15404175,,29972580,,-1929571,1329,-116623,45035,-33560,-473531,290464,,-4238364,,0.0,1602037,15000000,-6321174,1699863,883498,28317577,102344768,130662345,65139086,65064668,458591,0.0,-2021907.0,619000.0,-9200000.0,0.0,8470.0,-1873333.0
2880,2014年01月01日至2014年09月30日,,11503206,11503206,,,570071,139876,1595565,11650997,-30115062,-142780,435174,18,-872,-31386,1776,88799,-7827.0,-3052,-15818703,,,-430157,-10130608,-11826440,21,-2049705,-20026057,106490,43361112,-32328534,-33323878,,-26614325,134188,-36910,13160644,22428168,35904035,-535406,-2139577,1372020,43672837,10348959,-5469744,6033462,30174481,126577,-10758786,-1676076.0,23899658,,-1093798,1222,-85154,42767,-17450,-2820,132139,,-3972513,,0.0,1673470,12200000,-6321856,1334614,309497,21571256,102344768,123916024,55382226,68139406,394392,0.0,-2949419.0,483000.0,-6700000.0,0.0,,
2880,2014年01月01日至2014年06月30日,,7427262,7427262,,,376904,93583,1335472,7707855,-19808365,-50612,283468,-1085,-268,-23182,448,71824,-7827.0,-4700,-10026485,,,3026430,-7067568,-10559413,2769,117240,7017099,60089,59463635,-29528601,22531680,,-27474503,-165298,-21964,4096850,-1557852,27628570,-209675,-1577594,-1116420,-397886,22133794,12107309,19534571,19918680,100404,-7558010,-533454.0,31462191,,-739655,619,-65636,29212,-15729,-1628,103051,,-854536,,,-1400223,4300000,-1315,3534462,16579,34158696,102344768,136503464,51402040,84680028,421396,0.0,-164770.0,636000.0,0.0,,,
