公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資性不動產損失（利益）,　　　　 處分投資損失（利益）,　　　　 金融資產減損損失,　　　　 非金融資產減損損失,　　　　 未實現外幣兌換損失（利益）,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 遞延貸項增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 收取之股利,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 取得無活絡市場之債務工具投資,　　 取得以成本衡量之金融資產,　　 處分以成本衡量之金融資產,　　 以成本衡量之金融資產減資退回股款,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金減少,　　 取得無形資產,　　 取得投資性不動產,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 償還長期借款,　　 存入保證金增加,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 其他符合國際會計準則第七號現金及約當現金定義之項目,　　 舉借長期借款,　　 其他借款減少,　　 發放現金股利,　　　　 呆帳費用提列（轉列收入）數,　　 處分投資性不動產,　　 存出保證金增加,　　 其他預付款項增加,　　 其他金融資產增加
1722,2016年01月01日至2016年09月30日,,538145,538145,,,526774,63402,294,-47524,-41782.0,134686,-6662,0.0,-23381,15000,0.0,3996,0,629097,,,210571,-4657,-242514.0,500923,-290402,-2177,166898,338642,,-133,-471833,299357,132748,1780,-383105,-294355,-715541,-376899,252198,790343,46348,41782,-294,249897,1128076,,-84772,5606626,,,,24390.0,-452335,7694,0,-2413.0,-1164803,-620746,,33000,,115868,-1909132,-10531,-1412333,2474406,1062073,1062073,0,,0.0,-2058000.0,4294.0,,-23076.0,-15995.0,-4516062.0
1722,2016年01月01日至2016年06月30日,,376310,376310,,,347406,42364,210,-32747,-3260.0,40499,-7547,0.0,-15526,15000,0.0,2538,0,393231,,,160104,276483,-178672.0,271887,-9260,-17954,135895,638483,,-34,-691635,317772,166293,26013,-385649,-196237,-763477,-124994,268237,644547,31250,3260,-210,-18161,660686,,-84772,3278771,-4617449.0,,,24390.0,-376395,7626,0,-317.0,-867127,-2653117,,10000,0.0,10353,20353,-1667,-1973745,2474406,500661,500661,0,,,,4294.0,,-1673.0,-16171.0,
1722,2016年01月01日至2016年03月31日,,88166,88166,,,170396,21164,62,-17274,,146283,-5878,,-11758,7000,,7085,0,321374,,,146181,41817,,501462,203686,-68256,308537,1133427,,136,-783651,-162255,308148,34327,-386412,-98118,-1087825,45602,366976,455142,15687,0,-62,-904,469863,,-80884,3011114,-4605210.0,,,,-118374,5878,-310,,-395742,-2183528,,18000,0.0,6248,24248,-3949,-1693366,2474406,781040,781040,0,,,,4294.0,,,,
1722,2015年度,,2519730,2519730,,,670370,86900,14285,-19995,-42868.0,-962031,70554,-8291.0,-1018,0,290287.0,35334,289382,670160,,,-48766,1823681,-97936.0,289476,237885,-20088,1286945,3471197,,-7863,-95106,-88540,-1444172,-25914,23581,14196118,12558104,16029301,16699461,19219191,20017,1137048,-51239,-607788,19717229,,-9948617,1306275,-2595209.0,0.0,0.0,63415.0,-968937,54722,2883,-3454.0,-1045989,-13126430,,-1700000,-790000.0,50050,-4735950,8997,1863846,610560,2474406,2474406,0,0.0,-140000.0,-2156000.0,247251.0,8481.0,,,
1722,2015年01月01日至2015年09月30日,,1499214,1499214,,,507494,64945,14776,-12652,-42867.0,-791810,71131,139.0,35,0,254567.0,-41655,289382,313485,,,-159376,1909806,-89192.0,314343,83598,12468,906186,2977833,,-217,-464274,374299,-741364,-23305,8567,14232495,13386201,16364034,16677519,18176733,11463,1137047,-50305,-725938,18549000,,-9945257,155222,-2195246.0,0.0,0.0,63415.0,-434444,46022,3078,-1180.0,-323871,-12632261,,-1700000,0.0,56931,-3939069,28878,2006548,610560,2617108,2617108,0,0.0,-140000.0,-2156000.0,,,,,
1722,2015年01月01日至2015年06月30日,,272259,272259,,,342216,43367,10884,-5842,-5333.0,-354764,78558,139.0,0,0,253998.0,26793,289382,679398,,,-48600,1737639,-103722.0,346858,420671,9077,815685,3177608,,-2616,-570237,-355119,-196867,-30223,5714,-37473,-1186821,1990787,2670185,2942444,5894,652642,-47036,-649950,2903994,,-601713,0,6902.0,0.0,0.0,63415.0,-248206,38235,1757,0.0,-194087,-933697,,-1700000,-70000.0,-5982,-1775982,-16141,178174,610560,788734,788734,0,,,,,,,,
1722,2015年01月01日至2015年03月31日,,16584,16584,,,172379,21514,6841,-3396,,-216991,-3160,,0,0,,4184,223650,205021,,,-72672,1383277,,-70607,115325,9359,764952,2129634,,-7641,-392041,-534537,72598,-3115,2838,-18528,-880426,1249208,1454229,1470813,3443,647309,-42993,-625466,1453106,,0,0,1031.0,,,,-126335,5303,1505,,-112056,-230552,,-900000,-70000.0,-11694,-981694,-1603,239257,610560,849817,849817,0,,,,0.0,,,,
1722,2014年度,,2847253,2847253,,,582521,92909,48623,-2428,-23214.0,-1676767,7639,2675.0,9409,49510,-20000.0,-18037,421575,-525585,,,-96255,-1471728,-165233.0,31835,-1156150,6185,78457,-2772889,,-12954,-197777,-55308,-414361,64639,52108,-74946,-638599,-3411488,-3937073,-1089820,2385,621474,-11814,-126481,-604256,,-213990,562675,636.0,-15000.0,3931.0,18000.0,-719454,18460,2295,-10248.0,-171045,-523740,,1545445,-70000.0,32503,547948,3212,-576836,1187396,610560,610560,0,1000000.0,0.0,-1960000.0,0.0,0.0,,,
1722,2014年01月01日至2014年09月30日,,297768,297768,,,440752,69064,4419,-1434,-23362.0,-1406750,993,0.0,2046,49510,-18530.0,-9084,208635,-683741,,,-39742,458604,-160317.0,279648,-1195776,-1700,-341481,-1000764,,-16641,-273017,105905,422846,3393,8439,-55068,195857,-804907,-1488648,-1190880,1455,23362,-4915,-96384,-1267362,,-213990,445603,-60791.0,-15000.0,3931.0,0.0,-566272,6732,2277,-5946.0,-41074,-444530,,2150000,-70000.0,33979,1151424,1995,-558473,1187396,628923,628923,0,1000000.0,-2555.0,-1960000.0,,,,,
1722,2014年01月01日至2014年06月30日,,167506,167506,,,294984,46754,1695,-1194,-2895.0,-987335,459,0.0,2667,49510,-18530.0,-3199,208635,-408449,,,27081,907483,-160753.0,-285717,-942027,-8937,-216174,-679044,,-18456,-231659,65939,298995,-857,3331,-35190,82103,-596941,-1005390,-837884,1215,2895,-1805,-96302,-931881,,-188990,419417,-60394.0,-15000.0,3931.0,0.0,-124047,6710,867,-5946.0,-19653,16895,,250000,-2555.0,39477,286922,-764,-628828,1187396,558568,558568,0,,,,,,,,
