公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 非金融資產減損損失,　　　　 非金融資產減損迴轉利益,　　　　 未實現外幣兌換損失（利益）,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 存出保證金減少,　　 取得無形資產,　　 其他金融資產增加,　　 其他金融資產減少,　　 預付設備款增加,　　 收取之股利,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 應付短期票券減少,　　 舉借長期借款,　　 償還長期借款,　　 存入保證金增加,　　 存入保證金減少,　　 發放現金股利,　　 籌資活動之淨現金流入（流出）,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 其他符合國際會計準則第七號現金及約當現金定義之項目,　　　　　 持有供交易之金融資產（增加）減少,　　　 不影響現金流量之收益費損項目,　　　　 處分投資損失（利益）,　　　　 不影響現金流量之收益費損項目合計,　　　　　 預付款項（增加）減少,　　　　　 應計退休金負債增加（減少）,　　 處分備供出售金融資產,　　 應付短期票券增加,　　　　　 負債準備增加（減少）
2634,2015年01月01日至2015年09月30日,,1994130,1994130,,,435665,569975,278,97945,-15593,-880.0,-212412,165,55183,-38855.0,-324568,16493,583396.0,,,18551.0,-2188005,26352,-1935656,434079,-3644679,,107754,310239,55436,18766,34783.0,526978,-3117701,-2534305,-540175,15836,-101112,-1562,-627013,,-420615,0,-18925,24383,-563846,-1549302,2543,-405295,91175,-2839882,,36535000,-33975000,-501706,1300000.0,-69700,203938,-174419,-835601.0,2482512,-984383,2721333,1736950,1736950,0.0,,,,,,,,,
2634,2015年01月01日至2015年03月31日,,510482,510482,,,144578,160725,-2836,28522,-4387,,-41304,0,2427,,-730,-8871,278124.0,,,,-911542,-16436,-1160010,410936,-1659242,,52691,-281082,144087,2021,37395.0,-44888,-1704130,-1426006,-915524,4189,-34080,-419,-945834,,-77090,0,-6080,1953,-172969,-713403,2543,-105748,26020,-1044774,,12185000,-10005000,-3008,,0,60828,-68206,,2169614,179006,2721333,2900339,2900339,,17810.0,,,,,,,,
2634,2014年度,,1838606,1838606,,,742383,1116630,5702,64256,-29623,-319.0,-241815,365,120703,-102687.0,-203003,356157,,,,-19001.0,-1163844,-24248,-1961595,-1127654,-4296342,,-381719,-344856,-65884,10670,,-5480831,-9777173,-7948864,-6110258,29615,-56471,-313458,-6450572,,-602646,989,-34696,14750,-45922,-767320,39,-123573,89509,-1464109,,25190000,-19490000,0,,-711789,199282,-192088,,7490281,-424400,3145733,2721333,2721333,,,,-440.0,1828309.0,0.0,-4699042.0,4761.0,2494876.0,
2634,2014年01月01日至2014年09月30日,,1009759,1009759,,,562886,719273,2456,38427,-14102,-319.0,-175049,976,46420,-118281.0,-73249,227252,1216690.0,,,-645.0,-973845,-21238,-2202945,-651488,-3850161,,-172671,-796878,-94970,42588,-4664890.0,-5686821,-9536982,-8320292,-7310533,14161,-32037,-475355,-7803764,,-396364,186,-8473,8278,-25969,-461739,39,-144825,66034,-962833,,20440000,-12640000,1297457,0.0,-356375,114570,-126752,0.0,8728900,-37697,3145733,3108036,3108036,0.0,,,,,,,,,
2634,2014年01月01日至2014年03月31日,,512285,512285,,,170275,219733,-6201,6158,-3471,,-54190,315,19577,,-58592,7478,301082.0,,,,-803919,19931,-463433,-234356,-1484247,,323061,-333165,-49841,8947,22073.0,-28925,-1513172,-1212090,-699805,3366,-6052,-337,-702828,,-238979,2,-3461,4195,-330,-6432,39,-38259,19892,-263333,,280000,0,0,,-960,40867,-51925,,267982,-698179,3145733,2447554,2447554,,-2470.0,,,,,,,,
2634,2013年度,,1372818,1372818,,,664461,1545945,11650,38201,-11273,-1269.0,-110143,2151,78294,-13386.0,-35088,113609,,,,1042.0,-1056044,-6734,-816842,-95400,-1973978,,303418,498824,-88879,-297,,1205385,-768593,1514559,2887377,11096,-39087,-581,2858805,,-381010,302,-10826,15053,-51859,-7577,1903,-252570,52852,-633732,,2780000,-2971279,0,,-747670,189560,-154996,,-904385,1320688,1825045,3145733,3145733,,,,0.0,2283152.0,0.0,492319.0,0.0,0.0,
2634,2013年01月01日至2013年12月31日,,1388678,1388678,,,664461,1545945,11650,38201,-11273,-1269.0,-110143,2151,78294,-13386.0,-35088,113609,,,,1042.0,-1056044,-6734,-816842,-96884,-1973978,,174546,611836,-88879,-297,,1189525,-784453,1498699,2887377,11096,-39087,-581,2858805,,-381010,302,-10826,15053,-51859,-7577,1903,-252570,52852,-633732,,2780000,-2971279,0,,-747670,189560,-154996,,-904385,1320688,1825045,3145733,3145733,,,,,2283152.0,1484.0,492319.0,,0.0,
2634,2013年01月01日至2013年09月30日,,1501800,1501800,,,496188,1263510,10704,26841,-5765,,-44440,1050,78294,-215634.0,38076,174261,,,,-75.0,-1740906,-418,-488251,144616,-2676779,,13235,753797,-128174,27426,,698961,-1977818,-154733,1347067,5863,-27407,-291,1325232,,-313372,160,-4639,8153,-14073,-4418,1923,-187085,30258,-483093,,3670000,-3721279,0,,-383045,118738,-108733,,-424319,417820,1825045,2242865,2242865,,,,,1823085.0,-591745.0,32677.0,,0.0,0.0
2634,2013年01月01日至2013年06月30日,,981889,981889,,,330711,831162,-701,19201,-3362,,-27148,802,78294,-184997.0,-33916,-15149,,,,-4152.0,-1094932,10271,-172436,-43739,-1144567,,-23617,455858,-69632,2241,,525346,-619221,375676,1357565,3460,-19767,-56,1361162,,-98308,101,-3319,5464,-2797,-7223,4707,-114624,19960,-215999,,2780000,-2977503,0,,-373834,73758,-65041,,-562620,582543,1825045,2407588,2407588,,,,,994897.0,160421.0,32718.0,,0.0,127778.0
2634,2012年01月01日至2012年12月31日,,1240116,1240116,,,651013,2052491,-1313,66409,-5643,-1260.0,-77832,1178,448646,0.0,27327,397698,,,,25789.0,869374,-17074,-2106997,81893,189632,,124726,175186,41965,-4104,,468039,657671,4216385,5456501,6092,-68904,-606,5393083,,-334726,927,-8383,6697,-42182,-4707,67980,-153476,30569,-437301,,9052927,-11361389,-3100426,,-705064,140081,-128813,,-3802186,1153596,671449,1825045,1825045,,,,,3558714.0,1336647.0,130266.0,,2300498.0,
