公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 非金融資產減損損失,　　　　 未實現外幣兌換損失（利益）,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 持有供交易之金融負債增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 取得以成本衡量之金融資產,　　 預付投資款增加,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 存出保證金減少,　　 取得無形資產,　　 其他金融資產增加,　　 其他金融資產減少,　　 預付設備款增加,　　 收取之利息,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 發行公司債,　　 存入保證金增加,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 金融資產減損損失,　　 其他投資活動,　　 存入保證金減少,　　　　 非金融資產減損迴轉利益,　　 收取之股利,　　 發放現金股利,　　　　 股利收入,　　　　 處分採用權益法之投資損失（利益）,　　 取得採用權益法之投資,　　 處分採用權益法之投資,　　　　 處分投資損失（利益）,　　 處分備供出售金融資產,　　 預付投資款減少
1582,2016年01月01日至2016年09月30日,,978636,978636,,,81976,6798,-5468,-6643,9996,-25521,-16296,29025,23691,-6322,-3219,88339,,,-62466,73651,74589,-35539,-84438,-34203,,,360613,-40031,-13041,-1481,306060,271857,360196,1338832,-689,-354761,983382,,0.0,-3225,,-81029,31478,0,14189.0,-15786,-664.0,0,-22303,25521,43737,,0.0,-55820,0,0,-730351,-310263,-13495,2944659,2931164,2931164,322.0,0.0,-177.0,0.0,0.0,-674354.0,,,,,,50601.0,44955.0
1582,2016年01月01日至2016年06月30日,,534058,534058,,,56031,4322,-5297,2251,6442,-18274,-10102,28039,30012,-3271,-3276,87199,,,-304303,20520,506403,-33547,-177164,11909,,,-13913,64407,-21195,-990,28309,40218,127417,661475,-6691,-235270,419514,,,0,,-54376,20560,2124,,-3231,,-24798,-10112,18274,43997,,,-32618,0,-162,-32780,-170927,259804,2944659,3204463,3204463,322.0,,,,,,,,,,,50601.0,44955.0
1582,2016年01月01日至2016年03月31日,,222770,222770,,,27750,2236,2940,-880,3439,-11836,-4421,15943,15829,-1718,-1380,43642,,,-54074,46719,474537,-7484,-89383,370315,,0.0,-118563,81253,-1941,-502,-39753,330562,374204,596974,-3683,-75583,517708,,,0,0.0,-10418,17781,-2195,,-1802,,-15928,-3001,11836,46874,,4669.0,0,0,8,4677,-95877,473382,2944659,3418041,3418041,322.0,,,,,,,,,,-4582.0,50601.0,
1582,2015年度,,1235620,1235620,,,121294,10327,-3882,478,17478,-63730,-11173,18475,16826,-20491,408,90931,,,326,-69355,613299,62039,57506,663815,,,-443583,-39450,-1626,-1931,-486590,177225,268156,1503776,-18565,-371641,1113570,,0.0,-36189,-32650.0,-92300,22834,0,22990.0,-8673,0.0,221263,-6513,63699,154461,,0.0,-976143,795850,2495,-852152,-186033,229846,2714813,2944659,2944659,4921.0,0.0,0.0,0.0,0.0,-674354.0,0.0,0.0,0.0,0.0,,,
1582,2015年01月01日至2015年09月30日,,930266,930266,,,92239,7738,-3961,398,13103,-51754,-9035,6661,15156,-9574,201,65958,,,326,-13257,170232,-9849,10710,158162,,,-146965,-64040,2491,-1433,-209947,-51785,14173,944439,-14226,-308709,621504,,0.0,-32924,,-66356,14178,0,5411.0,-5180,0.0,216857,-9024,52094,175056,,0.0,-967789,795850,2463,-843830,-63463,-110733,2714813,2604080,2604080,4786.0,0.0,0.0,0.0,0.0,-674354.0,,,,,,,
1582,2015年01月01日至2015年06月30日,,511249,511249,,,63190,4807,-5784,-155,9236,-36841,-3562,5623,16140,3866,134,60364,,,-178654,46673,592901,-31185,-6898,422837,,,-284968,13957,-6098,-949,-278058,144779,205143,716392,-9944,-137670,568778,,0.0,-32924,,-36659,3591,-56779,,-2900,0.0,185246,-9462,37553,87666,,0.0,-897514,795850,2539,-99125,-68830,488489,2714813,3203302,3203302,3710.0,0.0,0.0,,,,,,,,,,
1582,2015年01月01日至2015年03月31日,,245028,245028,,,32556,2359,-1461,-432,3707,-15449,-1529,880,4154,2588,67,27440,,,-184038,77640,367273,-92528,-50411,117936,,0.0,-302262,-2724,-10632,-465,-316083,-198147,-170707,74321,-3025,-68675,2621,,0.0,-11000,-18798.0,-21134,540,-39411,0.0,-1900,0.0,101873,-6876,16519,19813,,0.0,-817369,795850,120,-21399,-62168,-61133,2714813,2653680,2653680,,,,,,,,,,,,,
1582,2014年度,,1243981,1243981,,,131640,7994,2009,-312,17505,-64554,-16193,7578,0,5475,259,65022,,,0,-9175,-309015,33847,-20325,-304668,,,165199,73569,680,-1900,237548,-67120,-2098,1241883,-15717,-427894,798272,,0.0,-9088,-43952.0,-91051,28553,-17593,0.0,-8534,-91390.0,0,-4173,64559,-164461,,584112.0,0,0,50,59665,140274,833750,1881063,2714813,2714813,18971.0,0.0,0.0,-43982.0,30916.0,-524497.0,-1276.0,-92.0,-22800.0,92.0,,,
1582,2014年01月01日至2014年09月30日,,890472,890472,,,98664,5682,-1373,-1364,12063,-47124,-8950,5916,0,1998,193,58895,,,0,65163,-456359,5582,-18679,-404293,,,277596,90908,11741,-1470,378775,-25518,33377,923849,-11503,-342461,569885,,0.0,-9088,,-66207,14320,-10184,0.0,-7277,-108342.0,0,-4711,47496,-114353,,470258.0,0,0,49,-54190,39437,440779,1881063,2321842,2321842,15617.0,0.0,0.0,-22427.0,29640.0,-524497.0,,,,,,,
1582,2014年01月01日至2014年06月30日,,543742,543742,,,67309,3612,-871,0,4862,-30156,-4748,4795,-28140,7466,129,33440,,,0,125720,-198960,53605,-14874,-34509,,,61938,82472,-4635,-894,138881,104372,137812,681554,-4002,-226908,450644,,0.0,-9088,,-52385,14128,-39276,,-4034,0.0,60567,-6593,30886,-5795,,50463.0,0,0,0,50463,15022,510334,1881063,2391397,2391397,9182.0,0.0,0.0,,,,,,,,,,
