公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股份基礎給付酬勞成本,　　　　 非金融資產減損損失,　　　　 非金融資產減損迴轉利益,　　　　 未實現外幣兌換損失（利益）,　　　　 其他項目,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得不動產、廠房及設備,　　 取得無形資產,　　 其他非流動資產增加,　　 預付設備款增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款減少,　　 償還公司債,　　 舉借長期借款,　　 償還長期借款,　　 其他非流動負債增加,　　 現金增資,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 退還（支付）之所得稅,　　 處分無活絡市場之債券投資,　　 其他籌資活動,　　　　 金融資產減損損失,　　 處分備供出售金融資產,　　 預付投資款增加,　　 處分不動產、廠房及設備,　　 短期借款增加,　　 其他非流動負債減少,　　 其他預付款項增加,　　　　　 負債準備增加（減少）,　　　 收益費損項目,　　　　 收益費損項目合計,　　 處分無活絡市場之債務工具投資,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　 存出保證金增加,　　 存出保證金減少,　　 其他金融資產增加,　　 其他金融資產減少,　　 其他投資活動,　　　　 除列按攤銷後成本衡量金融資產淨損失（利益）,　　　　 投資性不動產公允價值調整損失(利益)
3584,2016年01月01日至2016年06月30日,,-1019030,-1019030,,,112381,1021,2519,,21687,-104,-6899,37292,,0,-1439009,,,,0,215504,3718,51565,522,271309,,,-118233,-9561,5511,0.0,-122227,149082,1031305,12275,104,-26767,-14595,,-1804,0,0,-52,164898,,-398509.0,,0.0,-9345,0.0,,-407854,16014,-241537,311350,69813,69813,-207.0,,,2153197.0,,,,,,0.0,56.0,,882223.0,,138.0,0.0,2004.0,0.0,255183.0,-90433.0,0.0,0.0
3584,2016年01月01日至2016年03月31日,,-924002,-924002,,,56986,513,2504,,10922,-20,-6899,24113,,0,-1439009,,,,0,34355,3741,38878,-6082,70892,,,-116103,59745,-630,,-57029,13863,816279,-107723,20,-10582,-118285,,-363,0,0,-850,160064,,-230277.0,,0.0,-9345,,,-239622,26468,-171375,311350,139975,139975,,,,2153197.0,,,,,,0.0,-41.0,,802416.0,,109.0,-152.0,0.0,0.0,251862.0,-90433.0,,
3584,2015年01月01日至2015年06月30日,,-738412,-738412,,,264576,2782,439,0.0,43509,-1607,23869,18650,,112,953,,,,-31745,1222744,24506,124561,13234,1353300,,,-988289,-160416,-7564,5206.0,-1170408,182892,536175,-202237,1607,-41286,-242300,,-6617,-118,-511,-3319,-10565,,-226724.0,,0.0,-312143,0.0,,-538867,46043,-745689,1988655,1242966,1242966,-384.0,,,,,,,,,0.0,-19345.0,,353283.0,0.0,,,,,,,,
3584,2015年01月01日至2015年03月31日,,-389394,-389394,,,134355,1437,379,0.0,22897,-651,8608,18343,,22011,481,,,,-224160,1425411,23992,44396,35222,1304861,,,-1145332,-149688,-5821,,-1301938,2923,210783,-178611,651,-18779,-196739,,-5045,-118,77,-528,-5614,,-189014.0,,0.0,-34793,,,-223807,26311,-399849,1988655,1588806,1588806,,,,,,,,,,0.0,-1097.0,,207860.0,,,,,,,,,
3584,2014年度,,-445693,-445693,,,495298,7672,-19847,196.0,99527,-5085,9439,-76139,,5573,1638,518272.0,,,-9436,-1165681,-57964,-53807,39406,-1247482,,,1527442,93692,-5074,-900.0,1649385,401903,920175,474482,5088,-94805,381659,,-120788,-1712,-2129,-8818,-149020,,,0.0,344700.0,-627933,,0.0,63102,-78232,217509,1771146,1988655,1988655,-3106.0,4953.0,0.0,,,,0.0,346365.0,-30.0,-20526.0,34225.0,,,,,,,,,,,
3584,2014年01月01日至2014年09月30日,,-472767,-472767,,,361276,5800,-19833,196.0,72511,-3500,1483,-57879,,-13863,1167,347358.0,,,-140422,-1551730,-100074,-461667,-15802,-2269695,,,2126777,195120,-1543,185.0,2320539,50844,398202,-74565,3503,-58786,-132531,,-675003,-787,-403,551465,-140301,,619935.0,0.0,304700.0,-321895,-30.0,0.0,602710,-8760,321118,1771146,2092264,2092264,-2683.0,4953.0,0.0,,,,,,,-20526.0,,,,,,,,,,,,
3584,2014年01月01日至2014年06月30日,,-512761,-512761,,,228668,3922,-19051,196.0,44989,-2718,1483,-67319,,-31694,711,159187.0,,,-109262,-1355865,-60636,-485086,-40520,-2051369,,,1973147,90997,-2470,27.0,2061701,10332,169519,-343242,2717,-41968,-383080,,-624536,-612,-414,526235,-114900,,370143.0,0.0,304700.0,-287197,-30.0,0.0,387616,32180,-78184,1771146,1692962,1692962,-587.0,4953.0,0.0,,,,,,,-20526.0,,,,,,,,,,,,
3584,2014年01月01日至2014年03月31日,,-315457,-315457,,,105215,1978,21019,196.0,22293,-1221,1483,-74121,,19322,305,96469.0,,,-3379,-10825,-34708,-182847,-5222,-236981,,,328316,-29798,-3552,0.0,294966,57985,154454,-161003,1222,-10767,-170548,,-107899,-228,-216,82856,-46013,,112626.0,0.0,304700.0,-26757,0.0,0.0,390569,562,174570,1771146,1945716,1945716,,,,,,,,,,-20526.0,,,,,,,,,,,,
3584,2013年度,,-367566,-367566,,,382798,8591,124143,3451.0,72902,-3891,3690,71415,,-71651,1185,592633.0,,,86058,-353059,48918,212864,-53781,-59000,,,54724,30459,11786,15270.0,112239,53239,645872,278306,3992,-71156,207119,,-502331,-3765,-24318,-528897,-1056376,,,-1197557.0,0.0,-531742,,810000.0,-115782,-65507,-1030546,2801692,1771146,1771146,-4023.0,0.0,-5000.0,,,,2935.0,808605.0,-88.0,0.0,0.0,,,,,,,,,,,
3584,2013年01月01日至2013年12月31日,,-367566,-367566,,,382798,8591,124143,3451.0,72902,-3891,3690,-14804,,-71651,87404,592633.0,,,86058,-353059,48918,212864,-53781,-59000,,,54724,30459,11786,15270.0,112239,53239,645872,278306,3992,-71156,207119,,-502331,-3765,-24318,-528897,-1056376,,,-1197557.0,,-531742,,810000.0,-115782,-65507,-1030546,2801692,1771146,1771146,-4023.0,0.0,-5000.0,0.0,0.0,,2935.0,808605.0,-88.0,,,,,,,,,,,,,
