公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分投資損失（利益）,　　　　 未實現外幣兌換損失（利益）,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 其他應收款－關係人（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 應計退休金負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得原始認列時指定為透過損益按公允價值衡量之金融資產,　　 取得備供出售金融資產,　　 取得不動產、廠房及設備,　　 存出保證金增加,　　 存出保證金減少,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 應付短期票券增加,　　 其他應付款－關係人增加,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 其他項目,　　　　　 應收票據－關係人（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　 取得投資性不動產,　　 其他金融資產增加,　　 其他符合國際會計準則第七號現金及約當現金定義之項目,　　　　 股利收入,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　 收取之股利,　　 支付之股利,　　 預付投資款減少,　　 處分不動產、廠房及設備,　　 其他非流動資產增加,　　 短期借款減少,　　　　　 持有供交易之金融資產（增加）減少,　 營業活動之現金流量－直接法,　　 營業活動之收現類別,　　　 營業活動之收現類別合計,　　 處分備供出售金融資產,　　 預付投資款增加,　　 應付短期票券減少,　　 其他應付款－關係人減少,　　 預付設備款增加,　　 償還長期借款,　　 庫藏股票處分,　　　 收益費損項目,　　　　 收益費損項目合計,　　　　　 淨確定福利負債增加(減少),　　 其他金融資產減少,　　 存入保證金增加,　　　　 非金融資產減損損失,　　 取得採用權益法之投資,　　 舉借長期借款
1235,2016年01月01日至2016年09月30日,,274843,274843,,,1252,,51256,-5171,19828,-1659,-238834,-30338,56,,,,14151,10786,3365,-1672,4363,-268,,74745,,0,-978,-675,12560,596,-7,,11468,86213,-163374,111469,1659,-21065,-46.0,140606,,,-296924,-19.0,,1470,-211251,,28659,11537,2701,66878,-362,-4129,13940,9811,9811,-850.0,,,-585.0,,,-48589.0,15.0,48589.0,,,7.0,,0.0,44020.0,,,,80298.0,,,,,-1019.0,,,-249587.0,-28.0,4800.0,0.0,3447.0,-298.0,25000.0
1235,2016年01月01日至2016年06月30日,,146930,146930,,,836,,13264,-7410,11902,-1658,-123799,-28596,65,,,,16260,10,3711,450,1283,629,0.0,51281,,31,-703,7,5963,3089,3,,8359,59640,-76191,70739,1658,-12285,-83.0,60029,,,-158996,-19.0,,78,-138779,,75568,0,0,72352,-326,-6724,13940,7216,7216,-450.0,,,-585.0,,,,15.0,,,,7.0,,0.0,28938.0,,,,77321.0,-57385.0,-53.0,-2144.0,,-1019.0,,,-135831.0,-31.0,800.0,0.0,,,
1235,2016年01月01日至2016年03月31日,,84522,84522,,,420,,-2120,-7359,5700,-130,-53252,-24348,31,,,,6613,4939,69,450,1458,2,-260.0,40739,,0,324,940,145,168,-21,,1531,42270,-39238,45284,130,-5429,24.0,40009,,,-129490,,,8,-78037,,34246,0,0,32965,-20,-5083,13940,8857,8857,-450.0,,,0.0,,,,,,,,,,0.0,27468.0,,,,68238.0,-17193.0,-35.0,-227.0,,-1019.0,,,-81508.0,-25.0,400.0,,,,
1235,2015年01月01日至2015年09月30日,,23815,23815,,,1524,,1653,310,14933,-1064,-16986,-928,-938,,,,12286,-14526,-2690,-12992,7730,809,0.0,-12142,,-563,2756,-186,-167,-1147,-2,,682,-11460,-43114,-19299,1064,-14532,-304.0,-5247,,,-127360,,0.0,2393,-119850,,0,319783,18606,125074,38,15,9455,9470,9470,-700.0,,,-820.0,0.0,,-29458.0,,27824.0,,,,,-210021.0,-2759.0,,,,5137.0,0.0,0.0,,,-3354.0,0.0,,-31654.0,-9.0,800.0,60.0,,,
1235,2015年01月01日至2015年06月30日,,-32155,-32155,,,1060,,3176,2710,10212,-1064,11213,-148,-841,,,,10719,-14034,426,0,3722,972,-299.0,-18546,,-94,4230,138,-1213,-628,10,,2427,-16119,9699,-22456,1064,-9853,-281.0,-31526,,,-100611,,,2549,-94794,,0,274922,31042,127367,-23,1024,9455,10479,10479,-500.0,,,-820.0,0.0,,,,,,,,,-176568.0,-20052.0,,,,3688.0,0.0,0.0,,,-2089.0,,,25818.0,-16.0,400.0,60.0,,,
1235,2015年01月01日至2015年03月31日,,-48,-48,,,565,,-1009,-5441,5604,-12,-3182,-119,-862,,,,9532,-7883,379,500,1686,791,-289.0,-12540,,-501,3041,-943,-522,-238,-10,,818,-11722,-16678,-16726,12,-5653,,-22367,,,-17906,,,1853,-12813,,0,268923,7994,34453,-10,-737,9455,8718,8718,-500.0,,,-20.0,0.0,,,,0.0,,,,,-241631.0,-17256.0,,,,3260.0,0.0,0.0,0.0,,-833.0,,,-4956.0,-9.0,,,,,
1235,2014年01月01日至2014年09月30日,,137332,137332,,,2970,,5600,-8230,11502,-522,-111669,-19734,224,-142582.0,,,22327,49132,77,-4312,-28358,4510,4.0,-27466,,-2560,2268,463,133,276,2,-360.0,222,-27244,-169826,-32494,522,-10898,-23.0,-20170,,,-187113,0.0,-285.0,0,-172402,,314001,0,1367,194630,-41,2017,10342,12359,12359,,,0.0,0.0,-2000.0,,-22723.0,0.0,22723.0,,,0.0,,,-70846.0,,,,50216.0,-33220.0,-131963.0,,0.0,-4247.0,15472.0,,,,,,,,
1235,2014年01月01日至2014年06月30日,,63548,63548,,,1981,,-5704,-7685,7456,-120,-41888,-18321,-695,-64976.0,,,30789,-6272,-16026,-4312,-31371,4462,-11.0,-53598,,-2098,22403,134,3193,-110,6,-240.0,23288,-30310,-95286,-31738,120,-7266,-2.0,-38886,,,-116032,0.0,,465,-101056,,260993,0,323,140873,-3,928,10342,11270,11270,,0.0,0.0,0.0,-2000.0,,,,,,,,,,-30857.0,,,,39731.0,-23220.0,-117424.0,,0.0,-3019.0,,,,,,,,,
1235,2014年01月01日至2014年03月31日,,27664,27664,,,1001,,-2404,-5053,3653,-102,-21773,-2387,177,-26888.0,,,5163,-12025,-280,0,-4771,4481,-8.0,-22288,,-2742,1983,-1333,4404,452,5,-120.0,2649,-19639,-46527,-18863,102,-3750,,-22511,,,-35934,,,859,-82487,,172322,0,0,104153,-44,-889,10342,9453,9453,,,,,-2000.0,,,,-4312.0,,,,,,-14848.0,,,-22511.0,7620.0,-48720.0,-67084.0,-1085.0,,,,,,,,,,,
1235,2013年01月01日至2013年09月30日,,-36303,-36303,,,3366,0.0,78,1984,11063,-113,15620,12585,723,30417.0,,,-823,-32868,5802,10150,22061,-2272,-922.0,9578,,142,-15389,-101,-9373,-12933,4096,-382.0,-33940,-24362,6055,-30248,113,-10974,,-37127,,-25.0,-68180,-518.0,-1072.0,6123,-63724,,33426,70622,469,104517,-35,3631,15140,18771,18771,0.0,,8450.0,-66.0,,,-14888.0,-1.0,5662.0,-1680.0,0.0,14.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
1235,2013年01月01日至2013年06月30日,,-46858,-46858,,,2303,0.0,-2550,3629,7284,-98,16634,10379,1462,39043.0,,,2665,-28946,4117,10150,6562,3232,21.0,5432,,-248,-14900,-733,-11864,-8715,20,-255.0,-36695,-31263,7780,-39078,98,-7489,-1665.0,-48134,,2418.0,-30787,-518.0,-839.0,6005,-23748,,27338,54815,1179,83332,-64,11386,15140,26526,26526,0.0,-819.0,8450.0,-27.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1235,2013年01月01日至2013年03月31日,,-32289,-32289,,,1174,0.0,-485,2665,3425,-1,11432,7815,1196,27221.0,,,-10454,6567,5793,10150,1262,-10783,21.0,2556,,-248,-19594,-781,-11986,3239,3,-128.0,-29495,-26939,282,-32007,1,-3175,0.0,-35181,,6128.0,-15760,0.0,-436.0,5535,-4533,,38565,5419,5947,49931,-53,10164,15140,25304,25304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1235,2012年01月01日至2012年09月30日,,19722,19722,,,3661,3.0,-2245,-1217,8894,-424,-5111,2099,-1734,-24254.0,,,13226,-781,1,-650,-9717,-11295,-40.0,-9256,,-641,-5301,2221,901,10989,16318,-409.0,24078,14822,-9432,10290,424,-8836,,29194,,-50769.0,-60541,-771.0,0.0,3530,-102574,,0,83621,0,73946,0,566,17265,17831,17831,590.0,,0.0,-2565.0,,,-28770.0,0.0,27634.0,-318.0,10000.0,0.0,-1458.0,-9675.0,,,,,,,,,,,,,,,,,,,
1235,2012年01月01日至2012年06月30日,,-37801,-37801,,,2448,3.0,355,4072,6092,-26,14672,2436,-926,29716.0,,,-2596,9316,6,-650,-3964,-4531,-25.0,-2444,,-641,-8910,53,-2159,6007,6014,-277.0,87,-2357,27359,-10442,26,-4432,-58.0,-14906,,-13274.0,-23628,-771.0,1.0,2377,-38806,,19499,33194,0,52693,0,-1019,17265,16246,16246,590.0,0.0,0.0,-2053.0,-1458.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1235,2012年01月01日至2012年03月31日,,-10128,-10128,,,1225,3.0,-583,-439,2972,-13,3390,2444,-2698,6301.0,,,14153,6737,26,0,-7949,-34755,13.0,-21775,,-475,-12693,-836,-953,1905,3341,-138.0,-9849,-31624,-25323,-35451,13,-1787,0.0,-37225,,-7669.0,-7613,-771.0,0.0,1143,-14910,,35354,16082,0,51436,-57,-756,17265,16509,16509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
