公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 利息收入,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收票據－關係人（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 其他應收款－關係人（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付票據－關係人增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他應付款－關係人增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 取得無形資產,　　 投資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　　 應付帳款－關係人增加（減少）,　　　　　 應計退休金負債增加（減少）,　　 其他非流動資產減少,　 籌資活動之現金流量,　　 其他非流動負債增加,　　 籌資活動之淨現金流入（流出）,　　　　 股利收入,　　 收取之股利,　　 退還（支付）之所得稅,　　 其他非流動負債減少,　　 發放現金股利,　　 其他非流動資產增加,　　　　 攤銷費用,　　　　 股份基礎給付酬勞成本,　　　　 處分投資損失（利益）,　　 處分備供出售金融資產,　　 現金增資,　　　 收益費損項目,　　　　 收益費損項目合計,　　　　　 預付費用（增加）減少,　　　　　 淨確定福利負債增加(減少),　　　　 金融資產減損損失,　　　　　 存貨（增加）減少
2642,2016年01月01日至2016年09月30日,,92130,92130,,,51487,-9669,-8488,189,,,,-3368,-6978,5139,9514,-306,-54,-6338.0,72,,-3412,,-1715,-3055,15850,-59,-513,-11264.0,-3682,,-4593,-8005,19658,111788,8488,109567,,-40218,195,-1207.0,-44362,-332,8018,1005884,1013902,1013902,-155.0,,,,425.0,-56855.0,-8001.0,8001.0,-18710.0,,-57280.0,-3132.0,2145.0,,0.0,0.0,,,27663.0,,0.0,,-1093.0
2642,2016年01月01日至2016年06月30日,,82059,82059,,,36184,-9711,-7620,200,,,,-7681,-1279,19848,6464,-504,264,-9513.0,71,,6527,,-1354,-3165,574,4210,-341,-11264.0,-2598,,-13921,-7394,5168,87227,7620,93388,,-14379,126,-1.0,-17561,-249,75742,1005884,1081626,1081626,-155.0,,,,164.0,164.0,-8001.0,8001.0,-9460.0,,,-3307.0,1510.0,,0.0,0.0,,,12562.0,,172.0,,-1143.0
2642,2016年01月01日至2016年03月31日,,55682,55682,,,18473,-9676,-6741,112,,,,-10678,-3383,9615,12374,-7802,215,-11277.0,55,,-12267,,-1510,-3377,4027,-13721,-235,-11264.0,-2557,,-28786,-41053,-38126,17556,6741,24297,,-9811,81,-54.0,-13767,-122,10354,1005884,1016238,1016238,-149.0,,,,-54.0,-54.0,,,,,,-3983.0,759.0,,,,,,2927.0,,0.0,,-1386.0
2642,2015年度,,125154,125154,,,68720,103,-6897,380,,,,16965,171,9703,460,4254,386,909.0,-72,,32776,,370,3263,7085,-26656,-5027,,1423,,-19528,13248,58575,183729,6897,174420,,-174197,141,-2063.0,-112573,-192,-43419,1049303,1005884,1005884,-314.0,,4159.0,,,-105074.0,-10295.0,10295.0,-26501.0,-60.0,-105014.0,,3452.0,,-33211.0,59387.0,,,45327.0,,328.0,23075.0,
2642,2015年01月01日至2015年09月30日,,124371,124371,,,49303,372,-5267,194,,,,14517,-6680,1679,7011,3362,269,-3396.0,-210,,16552,,-1218,573,14120,-32483,-3542,,-575,,-23348,-6796,-3066,121305,5267,110521,,-151349,117,-1914.0,-94428,210,-88550,1049303,960753,960753,-223.0,,,,161.0,-104853.0,-10295.0,10295.0,-26346.0,,-105014.0,-669.0,2634.0,,-33211.0,59387.0,,,3730.0,,,,
2642,2015年01月01日至2015年06月30日,,115889,115889,,,30480,144,-3621,32,,,,-11,1924,21099,2435,2103,464,,-72,,16050,,-1323,121,8946,-18430,-3151,,156,,-13599,2451,-12323,103566,3621,105185,,-82920,90,-24.0,-38656,-283,66278,1049303,1115581,1115581,-81.0,,0.0,,,32.0,-10295.0,10295.0,-12297.0,32.0,,-15189.0,1697.0,,-33211.0,59387.0,,,-14774.0,-11892.0,163.0,,
2642,2015年01月01日至2015年03月31日,,51327,51327,,,14829,340,-1713,17,,,,-18480,4491,28558,8402,1343,405,,-46,,9899,,-1156,-157,-5206,-30257,2228,,549,,-33893,-23994,-9691,41636,1713,43349,,-33176,29,-114.0,-33044,-285,9720,1049303,1059023,1059023,25.0,,217.0,,,-300.0,,,,-300.0,,,830.0,,,,,,14303.0,-14774.0,81.0,,
2642,2014年度,,183485,183485,,,53988,655,-6973,418,23934.0,,,5426,-3775,-23755,11753,4812,90,-4998.0,398,,-10049,,-6811,-98,8537,-8070,3018,0.0,1569,,-1656,-11705,12229,195714,6973,175543,,-45455,48,-3939.0,-19105,526,13763,1035540,1049303,1049303,-29.0,228.0,0.0,,,-143201.0,-5236.0,5236.0,-32380.0,0.0,-143201.0,-10648.0,2630.0,0.0,-21548.0,40889.0,0.0,,,,,,
2642,2014年01月01日至2014年09月30日,,118608,118608,,,41902,395,-5083,478,32456.0,,,4972,-6764,-7760,13427,2787,-163,-7357.0,310,,-548,,-8028,831,13561,-19374,-533,0.0,1228,,-12130,-12678,19778,138386,5083,116514,,-41989,45,-1889.0,-96961,93,-122855,1035540,912685,912685,185.0,0.0,0.0,,700.0,-142501.0,-5236.0,5236.0,-32191.0,0.0,-143201.0,-53128.0,,,,,,,,,,,
2642,2014年01月01日至2014年06月30日,,96655,96655,,,27361,108,-3416,420,19237.0,,,8225,2933,-4115,6162,5557,218,-10607.0,-137,,8236,,-8139,2553,-3744,-15299,-3005,0.0,1496,,-26117,-17881,1356,98011,3416,90057,,-33365,15,0.0,-30835,-156,59066,1035540,1094606,1094606,21.0,0.0,2515.0,,,0.0,-5236.0,5236.0,-16606.0,0.0,0.0,,,,,,,,,,,,
