公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 利息費用,　　　　 利息收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分投資性不動產損失（利益）,　　　　 處分投資損失（利益）,　　　　 非金融資產減損損失,　　　　 未實現外幣兌換損失（利益）,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收票據－關係人（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 應收建造合約款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付票據－關係人增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 應付建造合約款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 取得無活絡市場之債務工具投資,　　 取得以成本衡量之金融資產,　　 取得不動產、廠房及設備,　　 存出保證金增加,　　 處分投資性不動產,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 應付短期票券增加,　　 存入保證金增加,　　 其他應付款－關係人增加,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 金融資產減損損失,　　　　　 其他應付款－關係人增加（減少）,　　 存出保證金減少,　　 取得無形資產,　　 應付短期票券減少,　　 存入保證金減少,　　 其他應付款－關係人減少,　　　　 股利收入,　　　　　 其他應收款－關係人（增加）減少,　　 收取之股利,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　 處分無活絡市場之債務工具投資,　　 現金減資,　　　　 處分其他資產損失（利益）,　　 處分子公司,　　 短期借款減少,　　 處分不動產、廠房及設備,　　 發放現金股利
1603,2016年01月01日至2016年09月30日,,395943,395943,,,25255,1190,6417,12521,-3670,6148,-166609,-4362,-12855,-6317,1539,-189954,,,52545,,-85872,,3399,133165,44697,16664,1491,166089,,42462,-44179,-75085,-12272,57109,3221,-77681,-47625,-153809,12280,-177674,218269,3325,-12085,-49488,160021,,-60011,91583,0,-19500,-8246,-7134,271363,600926,,-374473,,-363,-142.0,-38720,-957,721270,140946,862216,862216,,241.0,,-151.0,449720.0,,,-19249.0,0.0,19249.0,-238.0,18421.0,,-29724.0,295114.0,,238.0,-113462.0
1603,2016年01月01日至2016年06月30日,,198179,198179,,,16818,777,4391,8442,-2651,6084,-95357,-2,-9933,-3127,1758,-102524,,,87455,,156125,,19896,132396,-127281,-4047,985,265529,,25424,-28292,-80470,-2726,47509,-6958,-142414,-44062,-231989,33540,-68984,129195,2651,-8051,-37550,86245,,-33563,2020,-2651,-19500,-3820,0,158218,412122,,0,349810.0,0,,12096,161,510624,140946,651570,651570,,,16455.0,-151.0,0.0,-221.0,-71.0,,,,,,,-29724.0,295114.0,-337422.0,,
1603,2016年01月01日至2016年03月31日,,87401,87401,,,8406,386,6039,4156,-1322,6103,-95357,-2,-1230,-5372,1894,-76299,,,45888,,102816,,9850,132696,-101938,-12071,1471,178712,,-10219,-33143,-71745,-14114,27227,-17258,178512,-40590,18670,197382,121083,208484,1322,-4173,-63,205570,,-28279,2020,-641657,-19500,-2096,5582,158218,-525712,,-254568,449736.0,-77,1741.0,196832,-319,-123629,140946,17317,17317,,,,,,,,,,,,,,,,,,
1603,2015年度,,435417,435417,,,35480,1770,1197,14848,-6715,3678,-240894,-74262,12470,3810,2854,-227067,,,-62955,0.0,-347862,0.0,-144926,-134381,169680,5737,-4200,-518907,,26593,28115,-11968,19209,-5794,6380,86649,-11550,137080,-381827,-608894,-173477,6715,-16769,-35732,-198655,,-115998,360617,0,0,-24425,-15392,426623,706013,,436592,-254982.0,47,0.0,-385651,-452,121255,19691,140946,140946,39305.0,-554.0,,-183.0,,0.0,,-20608.0,0.0,20608.0,0.0,74771.0,-567308.0,,,,,
1603,2015年01月01日至2015年09月30日,,310298,310298,,,26785,1333,-1819,10637,-6109,3133,-145807,-74135,14790,13235,2470,-176379,,,37561,0.0,-401000,0.0,-55634,-6834,192382,-7023,-19782,-260423,,-1411,-3709,-73973,13333,-9755,9437,-28065,-8457,-102600,-363023,-539402,-229104,6086,-10816,-35455,-269289,,-25530,357480,-421663,0,-20996,-14335,268671,164337,,214052,94914.0,116,0.0,308613,908,204569,19691,224260,224260,,0.0,,-182.0,0.0,,-469.0,-20892.0,-93.0,20892.0,,,,,,,,
1603,2015年01月01日至2015年06月30日,,151659,151659,,,17815,897,-3070,6567,-2236,3064,-98119,217,10075,-1089,2216,-63663,,,18184,0.0,-303984,0.0,-11300,151,171040,-45507,-5449,-176865,,23384,612,-72450,9328,-665,-3497,-1226,-5583,-50097,-226962,-290625,-138966,2177,-7033,-27712,-171534,,-7023,6051,-18409,0,-11273,-9740,181963,141387,,143447,0.0,64,,27963,-1074,-3258,19691,16433,16433,0.0,0.0,0.0,-182.0,-114983.0,0.0,-565.0,,,,,,,0.0,0.0,0.0,,
1603,2015年01月01日至2015年03月31日,,114352,114352,,,8933,445,-4001,3382,-1113,85,-98119,-66,1311,2619,2292,-84232,,,27964,0.0,-18838,0.0,-6244,-26,42025,-18995,-892,24994,,13033,-11445,-2960,1756,-11307,-3279,-75026,-2765,-91993,-66999,-151231,-36879,1088,-3679,-106,-39576,,-4000,4068,-3402,0,-4394,-26540,181963,147695,,-147896,49965.0,82,-27.0,-97876,-445,9798,19691,29489,29489,,,,,,,,,,,,,,,,,,
1603,2014年度,,291597,291597,,,35350,1868,2604,17482,-3133,3235,-177363,-16939,2475,8147,1997,-103212,,,65147,33.0,260285,256.0,77040,-314,-185319,-15341,621,202408,,-33140,-4055,5969,-14700,-30697,9984,-88256,-9226,-164121,38287,-64925,226672,3108,-17334,-255,238806,,-6980,48019,-191716,-55500,-9857,-610,334440,117747,,-301210,-64949.0,0,98.0,-366729,760,-9416,29107,19691,19691,47680.0,0.0,,-49.0,,-668.0,,-26615.0,0.0,26615.0,0.0,0.0,0.0,,,,,
1603,2014年01月01日至2014年09月30日,,153447,153447,,,26479,1396,2086,13761,-1040,2710,0,-16892,4615,-2430,4957,9027,,,83028,33.0,199815,256.0,94011,-769,-35714,-34571,1884,307973,,-17846,-14130,-10429,-17541,-37850,5622,-90382,-6640,-183545,124428,133455,286902,1015,-13631,-90,274196,,-6980,45974,-159686,-19500,-6856,277,0,-122414,,20624,0.0,-663,8.0,-160055,-721,-8994,29107,20113,20113,,5651.0,,-49.0,-180024.0,,0.0,-26615.0,0.0,24406.0,,,,,,,,
1603,2014年01月01日至2014年06月30日,,103606,103606,,,17669,917,3201,9117,-636,2570,0,-16891,3718,-3892,3945,19718,,,104825,33.0,43279,256.0,94904,-273,116998,-55254,-437,304331,,-18133,-11739,54825,-14057,-10392,-12616,-89062,-4036,-105272,199059,218777,322383,560,-9053,-55,313835,,-2980,43972,-157681,-19500,-5650,0,0,-141554,,302671,0.0,0,,-177326,-1829,-6874,29107,22233,22233,0.0,-62.0,285.0,0.0,-479913.0,-84.0,0.0,,,,,,,,,,,
