公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 不動產、廠房及設備轉列費用數,　　　　 未實現銷貨利益（損失）,　　　　 已實現銷貨損失（利益）,　　　　 買回應付公司債損失（利益）,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 持有供交易之金融負債增加（減少）,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他應付款－關係人增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 取得無形資產,　　 其他金融資產增加,　　 其他金融資產減少,　　 其他非流動資產增加,　　 其他非流動資產減少,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 發行公司債,　　 償還公司債,　　 存入保證金增加,　　 存入保證金減少,　　 應付租賃款增加,　　 應付租賃款減少,　　 發放現金股利,　　 現金增資,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 其他符合國際會計準則第七號現金及約當現金定義之項目,　　 非控制權益變動,　　 預收款項增加－處分資產,　　 庫藏股票買回成本
1626,2016年01月01日至2016年09月30日,,248973,248973,,,348806,13016,11276,3249,54574,-42032,-4016,1580,6956,8169,-9707,-19048,0.0,372823,,,0,-407710,176982,-4099,498503,81216,344892,,1180,79445,118100,62093,-677,14930,103066,-113,-898,-5608,371518,716410,1089233,1338206,42032,-54775,-6506,1318957,,-243178,30624,-2020,0.0,5370.0,13665.0,0.0,368549,,3962267,-4864608,0.0,-746289,-61647,0.0,0.0,0.0,0.0,0.0,-1688078,-126795,-127367,404592,277225,277225,0.0,23206.0,564088.0,-1007.0
1626,2016年01月01日至2016年06月30日,,328695,328695,,,234748,8941,-15475,14817,43860,-30544,-4215,491,6971,9991,-9879,-8157,0.0,251549,,,0,-238273,-1024980,-23318,524085,-2528,-765014,,670,237529,450105,299169,-1217,74218,11266,-113,108,-3409,1068326,303312,554861,883556,30544,-44454,-6479,863167,,-173780,19483,-1848,-24589.0,0.0,0.0,4783.0,406475,,3262321,-4368554,0.0,-91586,-67136,0.0,0.0,0.0,0.0,0.0,-1240513,-68697,-39568,404592,365024,365024,0.0,24442.0,582426.0,
1626,2016年01月01日至2016年03月31日,,50107,50107,,,115106,4641,-10571,24116,25285,-14057,-2065,495,114,10972,-9982,-364,,143690,,,-1603,-281982,-585967,-52773,-104330,44441,-982214,,0,160116,460930,89972,1064,116328,63421,-113,-515,-1379,889824,-92390,51300,101407,14057,-25480,0,89984,,-105715,733,-980,-34199.0,,,40439.0,-99722,,1699394,-1702539,,-3995,-61833,,,,,,-45016,-31781,-86535,404592,318057,318057,,23957.0,,
1626,2015年度,,-122321,-122321,,,516281,20216,60732,11822,88707,-48076,-1935,19704,608,9950,-9525,-30656,,637828,,,13995,638069,-14292,-7924,578867,15743,1224458,,-7205,-350411,-232706,-6587,-5520,21859,-207241,-29,4911,-3136,-786065,438393,1076221,953900,48076,-89803,-76246,835927,,-636863,20599,-5430,,,-18731.0,,-640425,,5497171,-5485017,0.0,-397039,48424,,,,0.0,,-336461,22357,-118602,523194,404592,404592,,,,
1626,2015年01月01日至2015年09月30日,,5877,5877,,,392112,15107,26605,17673,71551,-21780,-4018,-683,482,10349,-9491,-13329,0.0,484578,,,19702,138248,-68767,2733,737883,31975,861774,,-13267,-233875,-326234,2823,4353,1400,-164092,-27,4628,-1227,-725518,136256,620834,626711,21780,-72680,-35768,540043,,-592435,15226,-3783,0.0,0.0,-21402.0,0.0,-602394,,4475640,-4713250,0.0,-181941,46611,0.0,0.0,0.0,0.0,0.0,-372940,57522,-377769,523194,145425,145425,0.0,,,
1626,2015年01月01日至2015年06月30日,,178634,178634,,,242217,10004,832,-3246,58555,-21780,-3999,-714,250,11206,-9453,0,0.0,283872,,,12477,489935,-1004098,-44633,800424,-70,254035,,-7895,-273446,199918,188570,-718,6609,-201846,-29,265,-2680,-91252,162783,446655,625289,21780,-59571,-31872,555626,,-440528,6813,-1486,0.0,0.0,0.0,-16351.0,-451552,,0,-298903,0.0,0,76276,0.0,0.0,0.0,0.0,0.0,-222627,-8555,-127108,523194,396086,396086,0.0,,,
1626,2015年01月01日至2015年03月31日,,23165,23165,,,121493,5042,733,9411,31758,-11409,-222,-457,128,11300,-9533,0,,158244,,,4400,347660,-614718,-1674,244068,16885,-3379,,-7205,-32150,-104741,75829,468,17984,-158196,-16,419,-1207,-208815,-212194,-53950,-30785,11409,-31677,-10111,-61164,,-424095,1366,-148,0.0,,,-18406.0,-441283,,1147893,-608302,,0,29197,,,,,,568788,-2209,64132,523194,587326,587326,,0.0,,
1626,2014年度,,-328012,-328012,,,421144,18726,66971,151052,71071,-64292,-4893,3431,716,9278,-12475,-4656,,656073,,,33978,279895,-271590,44639,-544162,-161200,-618440,,-83776,303113,-147989,75447,3264,56624,-21371,-12,4457,49660,239417,-379023,277050,-50962,64292,-84870,-89437,-160977,,-991154,3381,-20393,,,-51643.0,,-1059809,,5340507,-4925377,1294191.0,-47891,12407,,,,-312360.0,,1361477,39407,180098,343096,523194,523194,,,,
1626,2014年01月01日至2014年09月30日,,-233319,-233319,,,310146,13858,61670,148559,43716,-45850,-4363,-39,523,9725,-12393,-542,0.0,525010,,,40847,267064,-17995,37896,-117473,-66054,144285,,-71639,89453,-38012,103596,-3955,18040,-242756,249,2542,48732,-93750,50535,575545,342226,45850,-57618,-84050,246408,,-375124,1629,-13099,0.0,0.0,-247842.0,0.0,-634436,,3328549,-3880519,1294191.0,-10425,5015,0.0,0.0,0.0,-312360.0,0.0,424451,31856,68279,343096,411375,411375,0.0,,,
1626,2014年01月01日至2014年06月30日,,-205235,-205235,,,206819,9307,63017,242520,29598,-33150,-4129,-315,367,9974,-12416,0,0.0,511592,,,35853,53319,-1207141,-1930,8492,-47837,-1159244,,-80924,785163,460426,175580,-2197,11833,-244369,155,1135,47458,1154260,-4984,506608,301373,33150,-43776,-89293,201454,,-262870,598,-11964,0.0,0.0,0.0,-71722.0,-345958,,433949,0,0.0,0,0,-9124.0,0.0,0.0,0.0,0.0,424825,-5036,275285,343096,618381,618381,0.0,,,
