公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 其他項目,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他金融資產（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 應計退休金負債增加（減少）,　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 取得無形資產,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 呆帳費用提列（轉列收入）數,　　 預付設備款增加,　　 短期借款減少,　　 發行公司債,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分其他資產損失（利益）,　　　　 金融資產減損損失,　　　　　 應付帳款－關係人增加（減少）,　　 取得採用權益法之投資,　　 其他預付款項增加,　　 舉借長期借款,　　 發放現金股利,　　　　 處分投資損失（利益）,　　 應付短期票券增加,　　 償還長期借款,　　　 收益費損項目,　　　　 金融資產減損迴轉利益,　　　　 收益費損項目合計,　　　　　 淨確定福利負債增加(減少),　　 預收款項增加－處分資產,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　 處分子公司,　　　　 非金融資產減損損失,　　 其他投資活動,　　 其他籌資活動
1477,2016年01月01日至2016年09月30日,,1641711,1641711,,,245482,22561,-20123,15433,-11148,,,,,8080.0,36,183495,786375,-509956,45466,513496,,-5693,-478570,-330576,2423,,-25263,-899930,-386434,-103670,1538041,11262,-12233,-579874,957196,,-457096,9592,5404,-12032,-616866,,85079.0,77728.0,-1730519,-114681,-1504870,2923659,1418789,1418789,-1615.0,,,,9338.0,,,-38738.0,-59025.0,-102815.0,,-1892923.0,,,,,,282764.0,-23513.0,,17706.0,0.0,5130.0,-894.0,-403.0
1477,2016年01月01日至2016年06月30日,,1146098,1146098,,,167261,13934,-12500,10314,-6868,,,,,,36,117160,94717,-402536,-89399,-280022,,-6741,-115241,-362254,-242,,16860,-524562,-804584,-607388,538710,7011,-8117,-330365,207239,,-234643,9345,-2943,-9144,-425775,,,77728.0,146422,-69299,-141413,2923659,2782246,2782246,,,69097.0,,8546.0,,,-24079.0,-12225.0,-176165.0,,-403.0,,,,,-963.0,197196.0,-32865.0,,17472.0,0.0,,,
1477,2016年01月01日至2016年03月31日,,783368,783368,,,83510,6152,-12613,5163,-1749,156.0,,,,,-4,-58385,1161741,-943522,-85161,74669,,-8794,-815600,-271794,827,,-19314,-1188402,-1113733,-1032606,-249238,1892,-4042,-9810,-261198,,-134594,104,1729,-5606,-211383,,,,-2432,-60739,-535752,2923659,2387907,2387907,,,-2432.0,,1640.0,,,-38247.0,,,,,,,,,-1132.0,81127.0,-35480.0,-73016.0,,,,,
1477,2015年01月01日至2015年09月30日,,2113387,2113387,,,215864,10263,4941,17667,-15245,,,,,0.0,530,3663,-117623,-1092802,-111421,-1317653,,1587,145616,200932,29905,,4372,389859,-927794,-670621,1442766,15588,-12979,-402142,1043233,,-369657,581,-18989,-2552,-558119,,1037163.0,18892.0,-417029,99545,167630,1648409,1816039,1816039,5508.0,,,,15393.0,,,-4851.0,0.0,-184782.0,,-1473084.0,,,,,,257173.0,12298.0,,2782.0,17280.0,0.0,0.0,0.0
1477,2015年01月01日至2015年06月30日,,1329194,1329194,,,143695,6886,294,11515,-7073,,,,,,414,583017,-492069,-1204721,-56836,-1170195,,398,464569,-12001,15989,,1716,475807,-694388,-538268,790926,7160,-8656,-221001,568429,,-216290,499,-8094,-1157,-293854,,,18892.0,710210,-27556,957229,1648409,2605638,2605638,,,691318.0,,5884.0,,,8446.0,0.0,-86092.0,,0.0,,,,,-5584.0,156120.0,-3310.0,,503.0,17280.0,,,
1477,2015年01月01日至2015年03月31日,,782926,782926,,,69093,3471,-865,7550,-2365,3501.0,,,,,185,359496,678768,-1232914,-13379,-207844,,-3594,-267581,-75711,34400,,21608,-303914,-511758,-435407,347519,2457,-6012,-37376,306588,,-77885,43,-5304,-1157,-82356,,,,388569,-12796,600005,1648409,2248414,2248414,,,388569.0,,-743.0,,,-17379.0,,,,,,,,,-3291.0,76351.0,4343.0,1947.0,,,,,
1477,2014年01月01日至2014年03月31日,,595049,595049,,,57148,2990,4597,12601,-3471,2535.0,89791.0,,,96793.0,11408,-172335,838310,-852288,5696,-72416,,-7792,-502309,-1289,-30822,12339.0,12345,-502460,-574876,-485085,109964,3440,-9624,-5543,98237,,-64542,1182,-953,-184,-93663,,,0.0,437765,25345,467684,1018069,1485753,1485753,,,1337765.0,,5668.0,,1614.0,15068.0,,-29166.0,,,6109.0,300000.0,-1200000.0,,,,,,,,,,
1477,2013年01月01日至2013年12月31日,,1646309,1646309,,,192955,10027,-14073,36438,-24124,1495.0,202313.0,,,9528.0,-11408,56936,-482847,-419474,-33391,-880656,,296,161629,79471,50792,-17175.0,23328,305969,-574687,-372374,1273935,24566,-24620,-280539,993342,,-3166541,2236,-10926,-24409,-3404425,,,17700.0,170800,41770,-2198513,3216582,1018069,1018069,,,-17473.0,0.0,866.0,-1161.0,-110.0,7628.0,-133129.0,-71656.0,1200000.0,-1029427.0,,,,,,,,,,,,,
1477,2013年01月01日至2013年09月30日,,1275148,1275148,,,142153,7242,-1097,26232,-21039,-836.0,152106.0,,,0.0,-22,47959,13666,-1153380,-42408,-1134185,,-1181,-103677,-85682,4981,34864.0,5842,-144853,-1279038,-1126932,148216,20866,-17108,-267374,-115400,,-167326,2310,4838,-17014,-291354,,-1029427.0,17700.0,-807051,29618,-1184187,3216582,2032395,2032395,-549.0,-114162.0,204676.0,0.0,,,,,,,,,,,,,,,,,,,,,
1477,2013年01月01日至2013年06月30日,,812951,812951,,,95189,4435,-10093,17857,-14759,386.0,93015.0,,,0.0,0,63754,-294574,-695745,-25728,-952293,,2932,458497,19467,5773,26420.0,-5834,507255,-445038,-352023,460928,14402,-11284,-149373,314673,,-98804,0,-8629,-16994,-124427,,-17283.0,18000.0,717,53271,244234,3216582,3460816,3460816,,,,,,,,,,,,,,,,,,,,,,,,,
