公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 不動產、廠房及設備轉列費用數,　　　　 金融資產減損損失,　　　　 非金融資產減損迴轉利益,　　　　 未實現外幣兌換損失（利益）,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 應計退休金負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得以成本衡量之金融資產,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 存出保證金減少,　　 取得無形資產,　　 其他非流動資產增加,　　 收取之股利,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 存入保證金增加,　　 發放現金股利,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 支付之股利,　　　　 非金融資產減損損失,　　 原始認列時指定為透過損益按公允價值衡量之金融負債減少,　　 原始認列時指定為透過損益按公允價值衡量之金融負債增加,　　 存入保證金減少
6230,2014年度,,790528,790528,,,97423,5043,405.0,9268,-29329,-90.0,22111,5502.0,16816.0,-45.0,-14802,112302,,,1397,-86248,-15719,-47079,-68,17466,-130251,,-26772,-122585,-19417,-543,28318,-1423,-142422,-272673,-160371,630157,33477,-9680,-147776,506178,,-40500.0,-203995,4185.0,-24.0,0,-448,0.0,0.0,-240782,,0,-277285.0,420,-276299.0,-553164,67422,-220346,1841708,1621362,1621362,,,,,
6230,2014年01月01日至2014年09月30日,,606997,606997,,,71720,3820,296.0,8130,-22738,0.0,2164,1027.0,,-45.0,-10494,53880,,,1128,-50862,-752,-13671,-21373,7559,-77971,,-32301,-82428,44382,-453,-2657,-1070,-74527,-152498,-98618,508379,27458,-8012,-121842,129684,,-40500.0,-185652,1718.0,-9.0,0,0,0.0,,-224443,,0,-190472.0,410,,-190062,12181,-272640,1841708,1569068,1569068,-276299.0,,,,
6230,2014年01月01日至2014年06月30日,,388436,388436,,,46698,2591,0.0,6708,-12262,0.0,1376,1124.0,,-45.0,-654,45536,,,148,-22346,1137,34205,788,-13464,468,,-22975,-179871,6518,-373,-11512,-704,-208917,-208449,-162913,225523,16696,-6832,-65628,169759,,-40500.0,-156532,998.0,,10,0,0.0,0.0,-196024,,0,-74780.0,404,,-74376,-32080,-132721,1841708,1708987,1708987,,,,,
6230,2014年01月01日至2014年03月31日,,132872,132872,,,22926,1311,,4906,-5977,,1140,971.0,,,22309,47541,,,1659,211129,284,30643,-7369,22580,258926,,-21258,-239773,-33407,-373,-11879,-340,-307030,-48104,-563,132309,10245,-4364,-7332,130858,,-40500.0,-120924,951.0,0.0,50,0,,,-160423,,30680,,3142,,33822,-26518,-22261,1841708,1819447,1819447,,-45.0,,,
6230,2013年度,,685485,685485,,,84252,6036,-47.0,7441,-21603,-727.0,16951,249.0,0.0,-183.0,-14094,78275,,,1608,-95704,10161,-69450,-11132,143345,-21172,,31848,31258,30015,-3915,3923,-1161,91968,70796,149071,834556,16684,-6622,-88515,756103,,-19998.0,-134633,3080.0,0.0,1500,-2963,-825.0,727.0,-153112,,279542,0.0,2902,-259030.0,23414,72606,699011,1142697,1841708,1841708,,,,,
6230,2013年01月01日至2013年12月31日,,685485,685485,,,84252,6036,-47.0,7441,-21603,-727.0,16951,249.0,,-183.0,-14094,78275,,,1608,-95704,10161,-69450,-11132,143345,-21172,,31848,31258,30015,-3915,3923,-1161,91968,70796,149071,834556,16684,-6622,-88515,756103,,-19998.0,-134633,3080.0,0.0,1500,-2963,-825.0,727.0,-153112,,279542,0.0,2902,-259030.0,23414,72606,699011,1142697,1841708,1841708,,,0.0,,
6230,2013年01月01日至2013年09月30日,,527168,527168,,,61994,4291,-143.0,5165,-11584,-727.0,15186,250.0,,-163.0,-779,73490,,,1946,78513,11437,6869,-13125,105864,191504,,5598,-12979,50428,-3513,-20341,-835,18358,209862,283352,810520,10528,-5568,-71997,484453,,-19998.0,-119920,1890.0,0.0,1875,-2890,-346.0,,-139389,,229024,0.0,67,,229091,36138,610293,1142697,1752990,1752990,-259030.0,,,,
6230,2013年01月01日至2013年06月30日,,353239,353239,,,39720,2885,319.0,3759,-5349,-727.0,2150,0.0,,0.0,-10454,32303,,,2162,102027,10586,13998,-12427,22999,139345,,15491,51142,11389,-1403,-16216,-512,59891,199236,231539,584778,5000,-3526,-58189,528063,,-19998.0,-66924,1562.0,,1837,-2767,-365.0,0.0,-86655,,113933,0.0,69,,114002,59297,614707,1142697,1757404,1757404,,,,,
6230,2013年01月01日至2013年03月31日,,187279,187279,,,19513,1097,,1210,-2228,,0,0.0,,,-1348,18244,,,2193,98317,11104,48187,-88158,-18216,53427,,21341,-67821,-17007,-1182,54423,-185,-10431,42996,61240,248519,2090,-1210,-15841,233558,,0.0,-51533,0.0,-85.0,0,-2497,,,-54115,,269767,,28,,269795,32123,481361,1142697,1624058,1624058,,0.0,,,
6230,2012年01月01日至2012年12月31日,,557363,557363,,,74020,4399,-535.0,1785,-13249,0.0,4331,0.0,,-597.0,9029,79183,,,3232,-265036,-5138,-165347,60277,-45454,-417466,,-55997,257631,73163,1570,9754,-1375,284746,-132720,-53537,503826,13186,-5793,-81246,429973,,0.0,-83422,10720.0,-498.0,0,-4182,-83506.0,0.0,-160888,,0,-5374.0,45,-129515.0,-139097,-29928,100060,1042637,1142697,1142697,,,-4253.0,,
