公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息收入,　　　　 股份基礎給付酬勞成本,　　　　 未實現外幣兌換損失（利益）,　　　　 其他項目,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收帳款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 應計退休金負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得不動產、廠房及設備,　　 存出保證金增加,　　 取得無形資產,　　 預付設備款增加,　　 收取之利息,　　 投資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 利息費用,　　　　　 負債準備增加（減少）,　　 存出保證金減少,　　 其他預付款項減少,　 籌資活動之現金流量,　　 員工執行認股權,　　 籌資活動之淨現金流入（流出）,　　 發放現金股利,　　 停業單位稅前淨利（淨損）,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　 營業活動之現金流量－直接法,　　 營業活動之收現類別,　　　 營業活動之收現類別合計,　　 取得備供出售金融資產,　　 處分不動產、廠房及設備,　　　 收益費損項目,　　　　 收益費損項目合計,　　　　　 淨確定福利負債增加(減少),　　 取得無活絡市場之債務工具投資,　　　　 處分投資損失（利益）,　　 處分備供出售金融資產,　　 存入保證金增加,　　 處分無活絡市場之債務工具投資
3588,2016年01月01日至2016年09月30日,,98991,98991,,,22289,6980,5583,-9851,7086,5670,307.0,,,,-143235,36460,2106,-104669,,96658,-5040.0,-1683,,90629,-14040,25801,124792,-19101,105691,,-377126,0.0,-17427,,10016,-395604,-4632,-363971,953325,589354,589354,,,806.0,0.0,,0.0,-69426.0,-69464.0,,1777.0,,,,-35515.0,10.0,,39841.0,694.0,-14518.0,0.0,9622.0,38.0,28528.0
3588,2016年01月01日至2016年06月30日,,60183,60183,,,13814,4461,2832,-7022,4272,4512,185.0,,,,-36197,48163,2736,14702,,27880,,-8828,,27538,42240,67071,127254,-8981,118273,,-345552,,-17170,,7637,-381577,-3323,-266627,953325,686698,686698,0.0,8023.0,823.0,0.0,,0.0,0.0,,,1777.0,,,,-32957.0,10.0,,24831.0,463.0,-14518.0,0.0,5814.0,0.0,14336.0
3588,2016年01月01日至2016年03月31日,,31895,31895,,,6532,1987,437,-3839,1905,5965,84.0,,,,-73922,45586,422,-27914,,-12647,4498.0,-3043,,-10961,-38875,-25804,6091,-83,6008,,-6312,,-2837,-109356.0,4059,-114444,-3047,-111483,953325,841842,841842,,,2.0,,,0.0,0.0,,,,,,,0.0,,,13071.0,231.0,0.0,,,,
3588,2015年度,,118643,118643,,,27022,6002,-146,-15635,15291,-1082,178.0,,,,12160,-19077,-3955,-10872,,-12929,-1253.0,9443,,-4412,-15284,15738,134381,-23518,110863,,-23150,9.0,-11299,0.0,14425,-64403,1002,-42607,995932,953325,953325,0.0,,,219.0,,0.0,-90069.0,-93157.0,0.0,0.0,,,110863.0,-13936.0,0.0,,31022.0,327.0,-65362.0,-608.0,34691.0,3088.0,
3588,2015年01月01日至2015年09月30日,,95164,95164,,,20423,4439,-3576,-11775,13677,-1942,94.0,,,,-67671,-23049,-4801,-95521,,29199,-5258.0,5078,,29195,-66326,-45595,49569,-23242,26327,,-15787,-7.0,-5196,,10565,-57403,-700,-121845,995932,874087,874087,,,0.0,339.0,,0.0,-90069.0,-93157.0,,,,,,-2588.0,,,20731.0,176.0,-65362.0,-609.0,20633.0,3088.0,
3588,2015年01月01日至2015年06月30日,,54381,54381,,,13768,3045,318,-7638,9118,12,,,,,-8859,-8182,-2199,-19240,,12958,,1434,,22997,3757,21780,76161,-12636,63525,,-10177,11.0,-4425,,6762,-58434,-62,8117,995932,1004049,1004049,9.0,8576.0,0.0,339.0,,0.0,3088.0,,,,,,,-6215.0,,,18023.0,29.0,-65362.0,-609.0,20633.0,3088.0,
3588,2015年01月01日至2015年03月31日,,27718,27718,,,6869,1488,-615,-3651,6301,1155,-64.0,,,,-54978,1649,-4221,-57550,,-16052,4174.0,-7723,,-19714,-77264,-65781,-38063,-306,-38369,,-3552,0.0,-1609,-115.0,2775,-61721,-35,-100125,995932,895807,895807,,,4.0,,,0.0,0.0,,,,,,,-3783.0,,,11483.0,-113.0,-55441.0,,,,
3588,2014年度,,134272,134272,,,29540,4802,-723,-13528,22173,-362,,41902.0,,,4790,-30550,-721,-26481,,5942,-4033.0,7799,303.0,10011,-16470,25432,159704,-35575,124129,,-22573,-52.0,-9533,2636.0,13307,-26228,107,16446,979486,995932,995932,0.0,,,,,10826.0,-81562.0,-92388.0,0.0,0.0,,,124129.0,-10013.0,0.0,,,,,,,,
3588,2014年01月01日至2014年09月30日,,98147,98147,,,22674,3405,-90,-10279,14247,-1611,,28406.0,,,-89165,-33558,-1608,-124331,,78106,-7302.0,2341,162.0,73307,-51024,-22618,75529,-31649,43880,,-17245,-38.0,-6650,,9978,-24472,5,-62149,979486,917337,917337,60.0,,0.0,2975.0,,10826.0,-81562.0,-92388.0,,,,,,-13492.0,,,,,,,,,
3588,2014年01月01日至2014年06月30日,,60431,60431,,,15658,1923,648,-6866,8255,168,,19826.0,,,-23368,11123,-1189,-13434,,19874,,-1123,24.0,28487,15053,34879,95310,-17659,77651,,-12475,-27.0,-6650,,6565,-19354,-132,66023,979486,1045509,1045509,40.0,9712.0,0.0,3245.0,,7858.0,7858.0,,,,,,,-10012.0,,,,,,,,,
3588,2014年01月01日至2014年03月31日,,31724,31724,,,7886,864,114,-3347,2457,-664,21.0,7331.0,,,-39229,-1695,-3119,-44043,,26411,4631.0,-2160,-113.0,28769,-15274,-7943,23781,-450,23331,,-3762,0.0,-919,-1242.0,3046,-12889,53,17493,979486,996979,996979,,,,,,6998.0,6998.0,,,,,,,-10012.0,,,,,,,,,
3588,2013年度,,144215,144215,,,34623,4858,-1869,-12394,2969,-334,,27853.0,,,6451,-15704,-1495,-10748,,24276,-2365.0,-4695,619.0,17835,7087,34940,179155,-5899,173256,,-24996,-32.0,-878,574.0,12328,-23016,533,52912,926574,979486,979486,0.0,,,,,1220.0,-97861.0,-99081.0,0.0,0.0,,,173256.0,-10012.0,0.0,,,,,,,,
3588,2013年01月01日至2013年12月31日,,144215,144215,,,34623,4858,-1869,-12472,2969,-334,,27853.0,,,6451,-15704,-1495,-10748,,24276,-2365.0,-4695,619.0,17835,7087,34940,179155,-5899,173256,,-24996,-32.0,-878,574.0,12328,-23016,533,52912,926574,979486,979486,78.0,,,,,1220.0,-97861.0,-99081.0,0.0,0.0,,,173256.0,-10012.0,0.0,,,,,,,,
3588,2013年01月01日至2013年09月30日,,107687,107687,,,26489,3689,-1353,-9347,2943,1364,,23844.0,,,-118394,-48053,-10539,-176986,,112873,-7925.0,-5333,464.0,100079,-76907,-53063,54624,-5614,49010,,-13673,-32.0,-560,,9028,-3799,449,-52201,926574,874373,874373,59.0,,0.0,1438.0,,1220.0,-97861.0,-99081.0,,,,,,,,,,,,,,,
3588,2013年01月01日至2013年06月30日,,72717,72717,,,17955,2484,-1683,-5970,1920,-1297,,13448.0,,,-29482,18670,-4334,-15146,,52895,,-6988,309.0,56753,41607,55055,127772,-5279,122493,,-8107,-32.0,-560,,5651,-1610,504,122607,926574,1049181,1049181,39.0,10537.0,0.0,1438.0,,1220.0,1220.0,,,,,,,,,,,,,,,,
3588,2013年01月01日至2013年03月31日,,34519,34519,,,9233,1281,-1191,-2821,1030,-1710,19.0,5841.0,,,-74939,13629,-3991,-65301,,14449,3665.0,-7504,154.0,10764,-54537,-48696,-14177,-253,-14430,,-4012,-22.0,0,671.0,2537,-826,398,-14858,926574,911716,911716,,,,,,,,,,,,,,,,,,,,,,,
3588,2012年01月01日至2012年12月31日,,145734,145734,,,38275,745,886,-10737,4858,-214,,33967.0,,,59744,-11948,1425,49221,,-525,187.0,-3903,564.0,-3677,45544,79511,225245,-5442,219803,,-35040,1004.0,-1234,-199.0,10607,-24748,-885,85220,841354,926574,926574,79.0,,,,,3340.0,-108950.0,-112290.0,0.0,75.0,,,219803.0,0.0,114.0,,,,,,,,
3588,2012年01月01日至2012年09月30日,,119686,119686,,,28045,608,886,-8126,4537,2484,,28473.0,,,-25575,-45815,-306,-71696,,60732,-3986.0,-7467,239.0,49518,-22178,6295,125981,-5211,120770,,-22819,0.0,-1232,,7767,-18466,-702,-7348,841354,834006,834006,39.0,,444.0,-2626.0,,3340.0,-108950.0,-112290.0,,,,,,,,,,,,,,,
3588,2012年01月01日至2012年06月30日,,74828,74828,,,18451,406,604,-5392,3155,-1465,,15785.0,,,-44109,-55876,-1356,-101341,,82670,,-3411,191.0,92762,-8579,7206,82034,-5175,76859,,-10701,0.0,-1232,,5199,-16225,-367,60267,841354,901621,901621,26.0,13312.0,441.0,-9932.0,,0.0,0.0,,,,,,,,,,,,,,,,
3588,2012年01月01日至2012年03月31日,,28314,28314,,,9204,203,735,-2589,1614,463,13.0,9643.0,,,-12992,-26491,104,-39379,,66599,5123.0,-2388,123.0,69457,30078,39721,68035,-651,67384,,-7397,-459.0,-1231,-784.0,2562,-7309,-669,59406,841354,900760,900760,,,,,,,,,,,,,,,,,,,,,,,
