公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息收入,　　　　 股份基礎給付酬勞成本,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 應計退休金負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得以成本衡量之金融資產,　　 取得不動產、廠房及設備,　　 取得無形資產,　　 其他非流動資產減少,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 庫藏股票買回成本,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分採用權益法之投資損失（利益）,　　　　 利息費用,　　　　 股利收入,　　 處分不動產、廠房及設備,　　 收取之股利,　　 發放現金股利,　　 其他籌資活動,　　　　 呆帳費用提列（轉列收入）數,　　　　 金融資產減損損失,　　 現金減資,　　 取得無活絡市場之債券投資,　　　　　 持有供交易之金融資產（增加）減少,　　 支付之利息,　　 預付投資款增加,　　 員工執行認股權,　　 其他非流動資產增加,　　 存入保證金增加,　　　 收益費損項目,　　　　 處分投資損失（利益）,　　　　 收益費損項目合計,　　　　　 淨確定福利負債增加(減少),　　 取得無活絡市場之債務工具投資,　　 處分原始認列時指定為透過損益按公允價值衡量之金融資產,　　 取得採用權益法之投資,　　　　　 應收帳款－關係人（增加）減少
3014,2016年01月01日至2016年09月30日,,352541,352541,,,13285,19481,46,-8754,27000,7180,,,,-1141,-67541,6,51438,-8774,89,135148,,,-61681,-22978,21151,-2244,,-67085,68063,137093,489634,9471,-31069,467005,,-2000.0,-6354,-973,7391.0,-44821,,0,-308705,705,114184,2349251,2463435,2463435,0.0,,472.0,-115.0,0.0,115.0,-308705.0,,,11506.0,,,161071.0,-1031.0,-20000.0,0.0,0.0,,,-1071.0,69030.0,-1333.0,,,-23000.0,
3014,2016年01月01日至2016年06月30日,,205319,205319,,,8939,13020,-173,-6368,23432,4533,,,,-123,50913,6,-26299,9593,46,-135621,,,-68793,11053,13864,-5714,,-50481,-186102,-137909,67410,6366,-15076,57669,,-2000.0,-5216,-910,7364.0,-23762,,0,0,264,34171,2349251,2383422,2383422,0.0,,472.0,,0.0,,,,,4923.0,,,-169415.0,-1031.0,0.0,0.0,0.0,,,-585.0,48193.0,-891.0,0.0,,-23000.0,-342.0
3014,2016年01月01日至2016年03月31日,,97415,97415,,,4559,6598,22,-3538,12092,1706,,,,3141,94157,6,-42504,11741,57,36999,,,-42251,-4456,-818,-13463,,-61424,-24425,-853,96562,3284,-324,99520,,,-1746,-4,3.0,-26747,,0,0,336,73109,2349251,2422360,2422360,0.0,,2.0,,,,,,,2533.0,,,-29599.0,-2.0,-2000.0,0.0,0.0,,,-402.0,23572.0,-436.0,,,-23000.0,
3014,2015年度,,417138,417138,,,18811,28656,75,-16438,34288,0,,,,-3469,-11270,146,42718,-1440,-173,-201623,,,20219,18919,19735,9961,,67551,-134072,-43375,373763,17383,-98288,292858,,-20000.0,-12698,-968,0.0,-35331,,-85895,-400331,-654,-143458,2492709,2349251,2349251,-128.0,0.0,0.0,-6628.0,700.0,6628.0,-315871.0,0.0,0.0,33926.0,0.0,,-228135.0,0.0,,1435.0,-7637.0,0.0,,-1865.0,90697.0,-1283.0,0.0,0.0,-1356.0,
3014,2015年01月01日至2015年09月30日,,305063,305063,,,14109,21580,144,-12572,26042,0,,,,-2569,-88068,-244,75795,1733,-138,8180,,,-31368,-29153,17412,-4061,,-48138,-39958,35074,340137,13051,-59020,294168,,-20000.0,-11044,-865,0.0,-38786,,-82333,-396769,-585,-141972,2492709,2350737,2350737,-154.0,0.0,0.0,-76.0,700.0,76.0,-315871.0,0.0,,27630.0,,,21671.0,0.0,0.0,1435.0,-7653.0,0.0,,-1671.0,75032.0,-968.0,0.0,,,
3014,2015年01月01日至2015年06月30日,,167165,167165,,,9441,14382,-262,-8451,17823,0,,,,-1028,56802,-13,33650,17466,-104,-282584,,,-58937,13951,-3964,-6049,,-55648,-338232,-278485,-111320,9453,-33471,-135338,,-20000.0,-9224,-207,,-36351,,-300,1135,312,-170242,2492709,2322467,2322467,-173.0,,0.0,,700.0,,,,,27630.0,,,-389357.0,0.0,0.0,1435.0,-7620.0,,,-643.0,59747.0,-649.0,0.0,,,
3014,2015年01月01日至2015年03月31日,,117136,117136,,,4780,7186,-305,-4180,9489,0,,,,-1978,23760,20,7806,-2278,-85,-232755,,,-4836,-2296,-1235,-636,,-9320,-242075,-225278,-108142,4676,-625,-104091,,,-1403,-5,0.0,-21399,,-100,1335,157,-123998,2492709,2368711,2368711,-173.0,,0.0,,,,,,,0.0,,,-260000.0,0.0,0.0,1435.0,-19991.0,,,0.0,16797.0,-317.0,,,0.0,
3014,2014年度,,473882,473882,,,34976,27742,453,-16830,32101,0,,,,-914,158737,2096,-3850,2794,128,-10952,,,-97461,3349,-2432,-2018,,-99838,-110790,16980,490862,15942,-81201,424997,,-52860.0,-12173,-5092,0.0,-70218,,-1220,-112321,185,242643,2250066,2492709,2492709,5.0,0.0,606.0,-6279.0,405.0,6279.0,-184502.0,30000.0,0.0,55053.0,0.0,,-169943.0,-606.0,,43035.0,-942.0,366.0,,-57.0,127770.0,-1276.0,-15835.0,10000.0,0.0,
3014,2014年01月01日至2014年09月30日,,428049,428049,,,28686,20762,-747,-12494,22577,0,84760.0,,,-2823,62486,1299,-778,5065,51,-64700,,,12411,-13308,-10502,-5634,-982.0,-18015,-82715,2045,430094,11457,-52551,388394,,-40860.0,-7117,-343,0.0,-75319,,-500,-112967,8,200116,2250066,2450182,2450182,4.0,0.0,606.0,-2613.0,405.0,0.0,-184502.0,30000.0,,27979.0,,-15225.0,-130000.0,-606.0,-12000.0,41669.0,-179.0,366.0,,,,,,,,
3014,2014年01月01日至2014年06月30日,,271023,271023,,,19837,13968,-547,-8327,12816,0,58534.0,,,2220,29891,1434,728,-2930,120,-8537,,,-5340,27910,-12009,-402,-678.0,9481,944,59478,330501,7407,-30633,306836,,-40860.0,-4061,-311,-1376.0,-101130,,-300,37173,-128,242751,2250066,2492817,2492817,-12.0,0.0,439.0,,400.0,,,,,20360.0,,-14922.0,-40000.0,-439.0,-40000.0,37473.0,,,,,,,,,,
