公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股份基礎給付酬勞成本,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 未實現外幣兌換損失（利益）,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他金融資產（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他應付款－關係人增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 取得採用權益法之投資,　　 預付投資款增加,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 其他應收款－關係人增加,　　 其他金融資產增加,　　 其他金融資產減少,　　 其他非流動資產增加,　　 收取之股利,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 償還長期借款,　　 存入保證金增加,　　 發放現金股利,　　 員工執行認股權,　　 庫藏股票買回成本,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　　 其他應收款－關係人（增加）減少,　　 存出保證金減少,　　 其他符合國際會計準則第七號現金及約當現金定義之項目,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　 存出保證金增加,　　 其他非流動資產減少,　　 停業單位稅前淨利（淨損）
4935,2015年01月01日至2015年09月30日,,746984,746984,,,242935.0,1516.0,0.0,5921.0,-15569.0,586.0,-8806.0,-115.0,0.0,1504.0,-2814.0,225158.0,,,-16838.0,-91973.0,-126519.0,108813.0,96791.0,52414.0,-987.0,-92747.0,-3258.0,-74304,,6.0,22392.0,-4423.0,45073.0,4050.0,758.0,-1127.0,475.0,67204,-7100,218058,965042,14930,-5707,-122161,852104,,0.0,0.0,0.0,0.0,-492750,344,0.0,-4003.0,0.0,-2495.0,9178.0,-489726,,606514,-235847,0,0.0,-259151.0,5905.0,0.0,117421,71279,551078,1986042,2537120,2537120,,,,,,,,
4935,2015年01月01日至2015年06月30日,,387399,387399,,,160671.0,1184.0,,3296.0,-9722.0,586.0,-3622.0,-66.0,,363.0,-1873.0,150817.0,,,-84164.0,126257.0,-136421.0,118802.0,-36832.0,53313.0,-3097.0,-251143.0,-422.0,-222885,,,43317.0,-11155.0,-10386.0,-3837.0,-1678.0,22941.0,317.0,39519,-183366,-32549,354850,7956,-3010,-88091,271705,,,,,,-141660,66,,8700.0,,8.0,,-132886,,374014,-109087,0,,,4005.0,0.0,268932,-72114,335637,1986042,2321679,2321679,-9178.0,,,,,,,
4935,2015年01月01日至2015年03月31日,,171883,171883,,,81365.0,313.0,,1451.0,-4245.0,439.0,-2745.0,-67.0,,-2001.0,-946.0,73564.0,,,-72382.0,270173.0,-74729.0,108750.0,-10851.0,58190.0,-1596.0,-220356.0,-217.0,56982,,,-99978.0,-13002.0,-31678.0,30.0,-3157.0,-1197.0,159.0,-148823,-91841,-18277,153606,3860,-1331,-28559,127576,,,,,,-29013,67,,,8700.0,,,-20242,,220659,-78807,0,,,4005.0,0.0,145857,-35749,217442,1986042,2203484,2203484,,4.0,0.0,,,,,
4935,2014年度,,658301,658301,,,316169.0,-736.0,0.0,7145.0,-14892.0,2502.0,-15655.0,-3035.0,0.0,21716.0,-3635.0,,,,-45892.0,-467487.0,60477.0,-38082.0,16278.0,-19428.0,235.0,57637.0,-1110.0,-437372,,,318266.0,41932.0,-7415.0,-354.0,3199.0,-4315.0,-187.0,351126,-86246,223333,881634,15893,-6944,-79895,810688,,0.0,0.0,0.0,,-146858,7147,,,-17470.0,,6608.0,-150692,,682839,-591662,-79165,,-128733.0,18477.0,-213459.0,-311703,131921,480214,1505828,1986042,1986042,,,,,309579.0,-119.0,,
4935,2014年01月01日至2014年09月30日,,467205,467205,,,233652.0,905.0,0.0,5477.0,-11594.0,1975.0,-13435.0,-3015.0,0.0,24037.0,-2708.0,235294.0,,,-47118.0,-333596.0,61039.0,-18790.0,-1732.0,-30624.0,567.0,158152.0,-843.0,-212945,,0.0,125995.0,43745.0,439.0,1520.0,-992.0,-5648.0,537.0,165596,-47349,187945,655150,12711,-4961,-68848,594052,,0.0,0.0,0.0,0.0,-123579,7126,-6608.0,-8770.0,0.0,-1607.0,0.0,-133438,,470006,-335040,-79166,609.0,-128733.0,1121.0,-213459.0,-284662,29344,205296,1505828,1711124,1711124,,,,,,,,
4935,2014年01月01日至2014年06月30日,,258940,258940,,,158030.0,276.0,,3867.0,-8000.0,1559.0,-6171.0,-2997.0,,10619.0,-1827.0,155356.0,,,-56832.0,-110111.0,27823.0,-8375.0,18485.0,-56417.0,369.0,76148.0,-577.0,-109487,,,130751.0,8814.0,-47476.0,1824.0,-4142.0,3303.0,358.0,93432,-16055,139301,398241,6270,-3164,-46095,355252,,,,,,-90894,7107,,-8705.0,,-1939.0,,-94431,,322621,-75464,-79165,,,0.0,-213459.0,-45467,-28594,186760,1505828,1692588,1692588,0.0,,,,,,,
4935,2014年01月01日至2014年03月31日,,137225,137225,,,82731.0,577.0,,1738.0,-3813.0,1003.0,-3771.0,-2972.0,,-6763.0,-911.0,67819.0,,,-12397.0,-80507.0,-22757.0,8822.0,-54194.0,-14854.0,396.0,7035.0,-379.0,-168835,,,153006.0,25671.0,-20964.0,-457.0,-5205.0,968.0,179.0,153198,-15637,52182,189407,3676,-1334,-12790,178959,,,,,,-50895,5639,,,-8700.0,,,-53572,,200032,-75676,-4166,,,0.0,-213459.0,-93269,31021,63139,1505828,1568967,1568967,,384.0,0.0,,,,,
4935,2013年度,,247756,247756,,,292553.0,3568.0,-936.0,9407.0,-14288.0,6095.0,-19789.0,126.0,-1345.0,-24707.0,-3531.0,,,,-16458.0,404318.0,-15712.0,-36176.0,102393.0,-4591.0,-419.0,-111071.0,-1258.0,321026,,,-94431.0,27235.0,31177.0,5612.0,-5640.0,1969.0,-307.0,-34385,286641,533794,781550,15511,-9486,-64121,723454,,-55717.0,57062.0,-98000.0,,-282879,8286,,,79866.0,,44053.0,-250840,,796785,-821919,-61666,,-166480.0,0.0,-117053.0,-370333,107514,209795,1296033,1505828,1505828,,,,,247153.0,-3511.0,,
4935,2013年01月01日至2013年12月31日,,247756,247756,,,,,,,,,,,,,,,,,,,,,,,,,,321026,,,,,,,,,,-34385,286641,533794,781550,15511,-9486,-64121,723454,,-55717.0,57062.0,-98000.0,,-282879,8286,,,79866.0,,44053.0,-250840,,796785,-821919,-61666,,-166480.0,,-117053.0,-370333,107514,209795,1296033,1505828,1505828,,,,,247153.0,-3511.0,,
4935,2013年01月01日至2013年09月30日,,181533,181533,,,217903.0,-792.0,-934.0,7359.0,-10375.0,5090.0,-17643.0,745.0,-1346.0,-1550.0,-2643.0,,,,2304.0,417276.0,-27529.0,-57131.0,69451.0,-41722.0,18.0,-39928.0,-944.0,321795,,,-59453.0,34752.0,-26456.0,4835.0,-2346.0,7076.0,675.0,-40917,280878,476692,658225,22971,-6640,-57415,617141,,-55717.0,57063.0,-980.0,-107800.0,-162903,7654,0.0,0.0,69866.0,-3514.0,44053.0,-152278,,675119,-380275,-57498,0.0,-166480.0,0.0,0.0,70866,77671,613400,1296033,1909433,1909433,,,,,195814.0,,,
