公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收帳款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他金融資產（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 處分原始認列時指定為透過損益按公允價值衡量之金融資產,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 存出保證金減少,　　 取得無形資產,　　 預付設備款增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 償還長期借款,　　 原始認列時指定為透過損益按公允價值衡量之金融負債減少,　　 存入保證金減少,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 處分採用權益法之投資損失（利益）,　　 處分採用權益法之投資,　　 收取之股利,　　 其他投資活動,　　 短期借款減少,　　 舉借長期借款,　　 存入保證金增加,　　 非控制權益變動,　　 發放現金股利,　　　　 股份基礎給付酬勞成本,　　 現金增資
1476,2016年01月01日至2016年09月30日,,2920938,2920938,,,611141,31,0,22936,-24259,-2212,15361,622998,,,420375,-69784,-46031,37597,-84869,257288,,258401,28470,16484,900,304255,561543,1184541,4105479,24259,-22936,-1040036,3066766,,,-233489,6017,-1703,,-23920,-246806,-497722,,,-30619,0,-43323,-1048321,10716,1531439,3661074,5192513,5192513,,,2179.0,,-710012.0,0.0,,,-2824367.0,,2560000.0
1476,2016年01月01日至2016年06月30日,,1893310,1893310,,,412245,0,0,15862,-10336,-1718,15980,432033,,,514378,14403,-76913,38430,-22608,467690,,93185,-193272,35444,250,-64393,403297,835330,2728640,10336,-15862,-607343,2115771,,,-199844,4653,-1850,,-22085,-156248,-373195,,,-4222,0,-13192,2167833,28742,3939151,3661074,7600225,7600225,,,2179.0,,-374753.0,0.0,,,,,2560000.0
1476,2016年01月01日至2016年03月31日,,801195,801195,,,208408,0,0,7998,-2919,-1572,8423,220338,,,827032,144689,-25761,14385,-25289,935056,,-8129,-409580,35151,-445,-383003,552053,772391,1573586,2919,-7998,-1402,1567105,,,-107962,1397,-1930,,-748,-28266,-137509,,0.0,-15392,0,-13192,2204377,38876,3672849,3661074,7333923,7333923,,,,,-327039.0,,,,,,2560000.0
1476,2015年度,,5121035,5121035,,,755908,-23250,-3023,36268,-7493,-2694,9052,901967,,,-259746,-464284,-10991,-37537,-12869,-785427,,69508,202875,-21453,-29016,221914,-563513,338454,5459489,7493,-36268,-767397,4663317,,0.0,-611435,21448,-3791,0.0,-10202,-180645,-782736,,0.0,-42322,-11627,0,-2026495,-42883,1811203,1849871,3661074,3661074,0.0,0.0,1889.0,0.0,-1655.0,83769.0,33239.0,0.0,-2087899.0,137199.0,
1476,2015年01月01日至2015年09月30日,,3688701,3688701,,,555622,-23250,-3023,27480,-6613,-2260,1357,549313,,,-64717,-1008604,191,-34696,-14475,-1122301,,369678,66588,22215,3746,462227,-660074,-110761,3577940,6613,-27480,-783601,2773472,,0.0,-428934,24586,-2900,0.0,-6520,-136157,-548036,,0.0,0,-11627,-9635,-2163396,-32649,29391,1849871,1879262,1879262,0.0,0.0,1889.0,0.0,-124297.0,70062.0,0.0,0.0,-2087899.0,,
1476,2015年01月01日至2015年06月30日,,2124258,2124258,,,361177,-23250,-3023,18265,-4661,-2369,188,346327,,,-595605,-999733,54315,-27473,-1894,-1570390,,518039,-182744,26106,2743,364144,-1206246,-859919,1264339,4661,-18265,-448084,802651,,0.0,-325504,16864,-2615,0.0,-3772,-30289,-343427,,0.0,0,-11627,-9635,-14639,18368,462953,1849871,2312824,2312824,0.0,0.0,1889.0,0.0,-21356.0,27979.0,0.0,0.0,,,
1476,2015年01月01日至2015年03月31日,,859042,859042,,,176116,-15000,-3023,9232,-844,-872,1254,166863,,,468231,-626639,-66721,-19342,-1294,-245765,,269192,-263640,15853,1831,23236,-222529,-55666,803376,844,-9232,-927,794061,,0.0,-139850,14133,-2181,0.0,-1421,-11486,-140805,,52437.0,-1043,-11627,-9635,30132,13457,696845,1849871,2546716,2546716,,,,,,,,,,,
1476,2014年度,,3738406,3738406,,,552267,-16203,8551,28799,-3902,-2505,9554,576906,,,-524662,133719,-88615,46944,8741,-423873,,-2554,38503,-104961,3502,-65510,-489383,87523,3825929,3902,-28799,-657104,3143928,,7209.0,-1486445,8208,0,1616.0,-8299,-164186,-1651815,,898964.0,-3910,0,-2264,-800585,-52144,639384,1210487,1849871,1849871,345.0,3210.0,1608.0,-14736.0,0.0,74085.0,0.0,-10814.0,-1756646.0,0.0,
1476,2014年01月01日至2014年09月30日,,2606457,2606457,,,378206,-31203,-6099,19576,-3517,-2048,1309,356569,,,-471053,-166942,-100628,48899,-5831,-695555,,287459,-109286,-56191,3497,125479,-570076,-213507,2392950,3517,-19576,-657700,1719191,,7209.0,-1242212,7872,0,1502.0,-3088,-179521,-1418156,,1027760.0,-24142,0,0,-763742,-13568,-476275,1210487,734212,734212,345.0,3210.0,1608.0,-14736.0,0.0,0.0,100.0,-10814.0,-1756646.0,,
1476,2014年01月01日至2014年06月30日,,1553234,1553234,,,240039,-33203,-6148,13096,-3104,-162,2362,213225,,,-203775,-107921,-116131,44558,-239,-383508,,66953,-174734,-67690,2591,-172880,-556388,-343163,1210071,3104,-13096,-380143,819936,,4779.0,-1059045,6834,0,1539.0,-2651,-173003,-1231465,,488748.0,-10703,0,0,467331,7074,62876,1210487,1273363,1273363,345.0,3210.0,1608.0,-14736.0,0.0,0.0,100.0,-10814.0,,,
