公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股份基礎給付酬勞成本,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 未實現外幣兌換損失（利益）,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收帳款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他金融資產（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 持有供交易之金融負債增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 取得無形資產,　　 其他金融資產增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 舉借長期借款,　　 償還長期借款,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 非金融資產減損損失,　　　　　 持有供交易之金融資產（增加）減少,　　 取得子公司股權,　　 發行公司債,　　 發放現金股利,　　 員工執行認股權,　　 預收款項增加－處分資產,　　 停業單位稅前淨利（淨損）,　　 其他金融資產減少
3149,2016年01月01日至2016年09月30日,,-185426,-185426,,,750104,45937,-9544,-4547,177304,-5475,-5605,-291318,0.0,-152992,503864,,,645928,-56324,62,4536,0,595819,,0.0,-325919,-393405,31124,-4672,-13120.0,-705992,-110173,393691,208265,5475,-65471,-628,147641,,-698667,2314149,-4292,,1594617,,3252078,-4982030,0,-748932,-1044,-2479928,27135,-710535,1985563,1275028,1275028,0.0,1617.0,0.0,,,,,0.0,-16573.0
3149,2016年01月01日至2016年06月30日,,5427,5427,,,572365,31014,-9357,-4595,136716,-3875,-2361,-280263,0.0,0,439644,,,735626,-44106,53675,-27016,0,719796,,,-283679,-391234,-5073,5737,-1038.0,-675287,44509,484153,489580,3875,-61398,-555,431502,,-396886,1715939,-3347,,1316267,,2651013,-4027170,0,-414895,0,-1791052,-39911,-83194,1985563,1902369,1902369,0.0,1617.0,0.0,,,,,0.0,561.0
3149,2016年01月01日至2016年03月31日,,10392,10392,,,281718,16225,-7911,-5115,67987,-1331,-1403,-6111,0.0,0,344059,,,805516,73580,19012,-170572,0,727536,,-644.0,-280715,-300471,-15715,29916,-2100.0,-569729,157807,501866,512258,1331,-23040,-29,490520,,-23750,429623,-2980,391.0,1225607,,1954335,-3220450,0,-208520,0,-1474635,-15268,226224,1985563,2211787,2211787,,,,,,,822323.0,,
3149,2015年度,,-5166717,-5166717,,,1240705,86734,1718,3649,299965,-9170,7984,-291683,,1397,3789506,,,397986,209471,172740,4267,0,775441,,,-113555,6110,-7932,-33255,,-148632,626809,4416315,-750402,9170,-96611,-12167,-850010,,-1763590,7976,-5084,1412.0,-1759286,,4423956,-3270891,351327,-1388486,0,61574,14777,-2532945,4518508,1985563,1985563,2448207.0,-9023.0,-54332.0,0.0,0.0,0.0,,,
3149,2015年01月01日至2015年09月30日,,-3946133,-3946133,,,958794,65503,2002,7261,223045,-7233,-881,-291142,,1397,3022523,,,353094,-16733,110055,33468,0,479884,,-6854.0,-63384,-96784,10698,-15731,603.0,-171452,308432,3330955,-615178,7233,-86305,-11520,-705770,,-1577031,5522,-5133,1238.0,-1575404,,2929018,-1730327,370154,-996779,1766,537682,51312,-1692180,4518508,2826328,2826328,2063777.0,,-36150.0,0.0,,,,,
3149,2015年01月01日至2015年06月30日,,-3375347,-3375347,,,690718,44247,-2616,-12472,146402,-4908,-1672,-317378,1605.0,1397,2601341,,,966370,-136362,-115467,-14447,-19,706706,,,-132284,-9948,-12388,-805,-5869.0,-161294,545412,3146753,-228594,4908,-61736,-11119,-296541,,-1263658,5095,-4507,-134430.0,-1397500,,1360358,-1236505,353155,-690004,-1613,-250759,-37684,-1982484,4518508,2536024,2536024,2056018.0,6631.0,-36150.0,,,,,0.0,-134430.0
3149,2015年01月01日至2015年03月31日,,-393082,-393082,,,345435,21137,3305,-12948,74727,-2768,7178,-328812,-1582.0,1397,107069,,,755432,-114737,-183568,641,-4,457764,,1366.0,47052,-64465,10955,-1188,-2713.0,-8993,448771,555840,162758,2768,-22164,-9756,133606,,-678899,0,-3341,-183966.0,-866206,,300000,-441350,200000,-322738,-236,-264324,-17775,-1014699,4518508,3503809,3503809,,,,,,,0.0,,
3149,2014年度,,-2172353,-2172353,,,1343430,77398,5820,37685,315335,-11511,58010,16879,,0,2369646,,,257617,4213,226777,25370,8384,486669,,,162097,207971,-32714,21522,,358876,845545,3215191,1042838,11511,-94140,2464,962673,,-1888163,485681,-11750,-246444.0,-1660676,,3777764,-3074845,1670235,-1445699,0,1902455,55986,1260438,3258070,4518508,4518508,526600.0,-35692.0,0.0,975000.0,0.0,0.0,,,
3149,2014年01月01日至2014年09月30日,,-1171690,-1171690,,,983825,56003,8031,12243,223047,-9495,47473,2813,,0,1355334,,,251826,-63759,-19171,10121,8377,187394,,-15466.0,247651,193692,-37304,14453,6710.0,409736,597130,1952464,780774,9495,-47809,-9096,733364,,-1331830,7334,-11011,-245730.0,-1581237,,2679627,-2491781,1051000,-1099759,2826,1116913,7701,276741,3258070,3534811,3534811,31394.0,,0.0,975000.0,,,,,
3149,2014年01月01日至2014年06月30日,,-874516,-874516,,,634068,34797,-3294,117,146305,-5128,29099,1247,0.0,0,837211,,,434095,-158735,-82835,-29327,8355,159672,,,230497,82150,-36374,9937,8293.0,294503,454175,1291386,416870,5128,-30381,-8690,382927,,-965853,4105,-11122,379.0,-972491,,1707946,-1062514,463000,-767127,448,341753,-18903,-266714,3258070,2991356,2991356,0.0,-11881.0,0.0,,,,,,
