公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 處分採用權益法之投資損失（利益）,　　　　 金融資產減損損失,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 其他應收款－關係人（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他應付款－關係人增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 收取之股利,　　 支付之利息,　　 支付之股利,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 取得無活絡市場之債務工具投資,　　 處分以成本衡量之金融資產,　　 取得採用權益法之投資,　　 處分採用權益法之投資,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金減少,　　 預付設備款增加,　　 預付設備款減少,　　 其他預付款項增加,　　 其他投資活動,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 應付短期票券增加,　　 舉借長期借款,　　 償還長期借款,　　 庫藏股票買回成本,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　　 應付帳款－關係人增加（減少）,　　 其他預付款項減少,　　 應付短期票券減少,　　 存出保證金增加,　　　 不影響現金流量之收益費損項目,　　　　 非金融資產減損損失,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 取得無活絡市場之債券投資,　　 以成本衡量之金融資產減資退回股款,　　 處分子公司,　　 短期借款減少,　　 發放現金股利,　　 備供出售金融資產減資退回股款,　　 取得無形資產,　　 償還公司債,　　 其他非流動資產增加,　　 存入保證金增加
2020,2015年01月01日至2015年09月30日,,-518487,-518487,,,60716,10337,192575.0,27522,21982,-7268,-67969.0,-27515,2,-2182,61412.0,459101.0,3306.0,732019.0,,,-26086,31176,80461,39473,-147862,1758.0,130867,-3891,-3371,102525,,-177224,-11980,-55442,98,4878,-285,-19154.0,0,-259109,-156584,575435,56948,6824,67969.0,-22275,-207301.0,-35032,-132867,,-16897.0,2592.0,0.0,394.0,-71147,79245.0,-23588,3474,171506,-11794.0,0.0,-27960,650,106475,,186317.0,19982.0,0.0,-3326,-85994.0,934,117913,26936,118457,366935,485392,485392,,,,,,,,,,,,,,,,,,
2020,2015年01月01日至2015年06月30日,,55353,55353,,,41410,7148,46811.0,11483,14456,-4342,-8771.0,-21988,671,-2718,,0.0,3306.0,87466.0,,,635,-2677,70755,36246,42945,-39107.0,56341,-1376,-7432,156330,,-113997,-42310,-44133,-46,3897,-155,-19479.0,0,-216223,-59893,27573,82926,3971,8951.0,-14618,,-21877,59353,,,2592.0,0.0,394.0,-71147,79245.0,-19199,945,28439,,2910.0,0,515,34259,,119703.0,0.0,,-3326,0.0,-9470,6942,-19507,81047,366935,447982,447982,0.0,9565.0,-99965.0,,,,,,,,,,,,,,,
2020,2015年01月01日至2015年03月31日,,18131,18131,,,21747,3609,13650.0,847,7462,-2030,-377.0,-14324,546,-2191,,,0.0,28939.0,,,61826,34003,49391,16967,13236,1758.0,-62702,-1609,-4297,108573,,-81032,-35546,-42706,-23,1590,-147,-19746.0,590,-177020,-68447,-39508,-21377,1871,377.0,-7521,,-8864,-35514,,,2592.0,,,-65763,82829.0,-14535,936,14345,0.0,922.0,0,206,25793,,131057.0,,,-3326,,-7198,70630,-12853,48056,366935,414991,414991,0.0,4261.0,-49903.0,0.0,,,,,,,,,,,,,,
2020,2014年度,,322061,322061,,,99997,12390,,-11232,31589,-6469,-21536.0,-107749,1046,-1239,0.0,3848.0,100911.0,,,,-26686,83768,9417,-33704,-101850,-1758.0,-324960,2640,19412,-373721,,137144,56922,52654,-540,-240,14455,,-892,245799,-127922,-26366,295695,5919,49616.0,-31646,,-58061,261523,,,567.0,,,-35557,0.0,-36860,157,13269,0.0,2306.0,-47860,459,-54504,,,149834.0,,-2990,-46551.0,29271,-145299,39032,100752,251183,351935,351935,,,0.0,,,0.0,101556.0,-13704.0,-25000.0,0.0,74015.0,-143596.0,-131267.0,,,,,
2020,2014年01月01日至2014年09月30日,,318063,318063,,,74527,8801,302.0,4345,22327,-5005,-21536.0,-97642,358,-1191,0.0,4374.0,101599.0,91259.0,,,-64546,123648,26143,-33069,-81311,0.0,-348740,-3556,14512,-366919,,119918,44591,-19826,-630,-26,-226,-14032.0,993,130762,-236157,-144898,173165,4475,49616.0,-22369,-131267.0,-51450,22170,,0.0,567.0,-10000.0,0.0,0,0.0,-31192,157,9429,0.0,3871.0,-18765,-26,-45959,,59144.0,149831.0,77.0,0,-46551.0,19401,181902,11800,169913,251183,421096,421096,,,,,,,,,,,,,,,,,,
2020,2014年01月01日至2014年06月30日,,214806,214806,,,49326,5570,0.0,-14046,14938,-2894,-7446.0,-29498,358,3303,,4374.0,101599.0,125584.0,,,4874,79889,-197578,-17989,-61096,-28080.0,-245143,-21,21615,-443529,,122646,58484,-284,909,303,-692,622.0,2,184013,-259516,-133932,80874,2936,7446.0,-14980,,-35280,40996,,,567.0,-10000.0,0.0,0,0.0,-25973,157,873,,5576.0,-7343,-259,-36402,,52509.0,49973.0,,-5969,-40984.0,14203,69732,-652,73674,251183,324857,324857,2023.0,0.0,0.0,,,,,,,,,,,,,,,
2020,2014年01月01日至2014年03月31日,,-14794,-14794,,,24545,2710,0.0,3978,7711,-1410,0.0,-13294,0,-533,,,77397.0,101104.0,,,-40150,8754,-80246,-14998,3471,0.0,-37784,-40230,14872,-186311,,12490,19568,-33024,-1857,156,1391,349.0,3,-85,-186396,-85292,-100086,1283,0.0,-7850,,-9240,-115893,,,567.0,,,0,0.0,-5831,0,0,-23.0,0.0,-13289,-275,-21827,,157468.0,,,-2509,,5418,110411,13880,-13429,251183,237754,237754,839.0,0.0,-49966.0,-2976.0,,,,,,,,,,,,,,
2020,2013年度,,241639,241639,,,95772,9563,,2206,41616,-7268,-19218.0,-57656,544,-18623,-55398.0,18169.0,65525.0,,,,96547,-75075,52487,-17780,9458,0.0,17891,-5327,6600,84801,,1992,50878,33714,2596,-2906,3760,,-5174,83061,167862,281677,523316,7300,50418.0,-42596,,-13044,525394,,,0.0,,,-195828,574352.0,-29915,407,10191,-5708.0,0.0,-28309,739,328525,,,0.0,,-11425,0.0,-24137,-894264,19050,-21295,272478,251183,251183,,,-99819.0,,,38583.0,113815.0,-1799.0,0.0,2596.0,0.0,-706376.0,-52507.0,,,,,
2020,2013年01月01日至2013年12月31日,,241639,241639,,,95772,9563,,2206,41616,-7268,-19218.0,-57656,544,-18623,-55398.0,18169.0,65525.0,,,,96547,-75075,52487,-17780,9458,,17891,-5327,6600,84801,,1992,50878,33714,2596,-2906,3760,,-5174,83061,167862,281677,523316,7300,50418.0,-42596,,-13044,525394,,0.0,0.0,,,-195828,574352.0,-29915,407,10191,-5708.0,0.0,-28309,739,328525,,,0.0,,-11425,0.0,-24137,-894264,19050,-21295,272478,251183,251183,,,-99819.0,,,38583.0,113815.0,-1799.0,,2596.0,0.0,-706376.0,-52507.0,0.0,0.0,0.0,,
2020,2013年01月01日至2013年09月30日,,207472,207472,,,71275,311,,1358,31683,-5920,-15905.0,-54040,544,-14113,,50035.0,0.0,,,,91594,-83235,-28164,0,12594,,37522,-7750,-1616,20945,,-28114,78662,13253,1949,-2271,79,,1665,64530,85475,150703,358175,6078,47105.0,-32945,-52507.0,-11225,314681,,,0.0,,,-16140,,-23249,407,8139,-9413.0,0.0,-4377,529,-41508,,0.0,0.0,0.0,-8534,0.0,-29520,-213443,2138,61868,272478,334346,334346,627.0,,-27.0,,,,65228.0,-1320.0,0.0,2596.0,,-175362.0,,,,,,
2020,2013年01月01日至2013年06月30日,,153848,153848,,,46886,207,,19952,21557,-4543,31200.0,-40767,544,-12707,,4067.0,0.0,,,,15779,-52946,49475,0,9131,-31200.0,-54146,-3312,-34205,-101424,,58586,28758,-13764,1384,-1011,4562,,-3880,73711,-27713,38683,192531,4865,0.0,-21671,,-14325,161400,,,0.0,,,-16140,,-10346,407,28817,-3738.0,0.0,-6207,474,-4137,,0.0,90204.0,,-5176,0.0,-390,-157628,3347,2982,272478,275460,275460,0.0,,,,,,66396.0,-924.0,0.0,2596.0,,-242266.0,,,,,,
2020,2013年01月01日至2013年03月31日,,101206,101206,,,22302,103,,7713,10946,-2311,,-14323,154,-11997,,4067.0,0.0,,,,48373,-47355,66389,0,10556,,-36750,-3136,-32454,5623,,-12013,77498,-40975,676,-2918,5443,,7357,27326,32949,49603,150809,2407,,-10588,,-2840,139788,,,0.0,,,-16140,,-2365,114,15405,-1525.0,,0,-178,-4088,,0.0,40169.0,,-2677,,5498,-131925,3004,6779,272478,279257,279257,0.0,601.0,0.0,0.0,,,16654.0,-7742.0,,,,-174915.0,,,,,,
2020,2012年01月01日至2012年12月31日,,159530,159530,,,69298,4927,,7507,50854,-8962,-21147.0,-40312,894,-36774,0.0,8230.0,0.0,,,,-7525,43778,29779,0,33516,,390673,5588,11957,507766,,-66518,-3183,8887,-12264,-2857,-3042,,1056,-77284,430482,513050,672580,8994,54321.0,-50543,,-18952,666400,,-50339.0,6012.0,,,-3313,0.0,-79903,246,9597,0.0,22941.0,-16861,-168002,-224106,,,89935.0,,-131931,-152417.0,-55159,-674811,-7459,-239976,512454,272478,272478,,,0.0,,,48053.0,82568.0,637.0,,0.0,48280.0,-367039.0,0.0,7488.0,-252.0,-58200.0,,
2020,2012年01月01日至2012年09月30日,,107642,107642,,,91275,4131,,651,38759,-6071,-21123.0,-21965,933,-463,,20759.0,,,,,11457,5296,22975,-31312,35356,,68815,-3181,16640,126046,,6217,14992,-8281,-10969,-1485,-3343,,-316,-2389,123657,230543,338185,6396,54297.0,-38906,,-7774,352198,,-25316.0,,,,-3313,,-149941,246,30850,0.0,6994.0,0,6847,-146351,,,89905.0,,-80138,-117814.0,-1439,-359940,-11663,-165756,512454,346698,346698,283.0,,0.0,,,,106886.0,513.0,,0.0,,-193638.0,0.0,,-252.0,-58200.0,-12466.0,1384.0
2020,2012年01月01日至2012年06月30日,,84469,84469,,,60472,2540,,6612,26544,-4764,33174.0,-14619,-37,-415,,20737.0,,,,,8393,16301,10263,-17496,9322,-33174.0,-7125,-32238,-47685,-93439,,29389,7236,555,-11518,-1513,-742,,-317,23386,-70053,60191,144660,5089,,-26223,,-876,122650,,-25316.0,,,,-3313,,-31491,114,24098,-2823.0,,0,6900,-41010,,,39885.0,,-34120,-76450.0,5555,-228922,-4213,-151495,512454,360959,360959,,,,,,,130244.0,296.0,,0.0,,-165204.0,,,-252.0,,-8927.0,1412.0
2020,2012年01月01日至2012年03月31日,,52393,52393,,,30168,1188,,-6474,13220,-2267,,-7646,-7,-64,,0.0,,,,,3062,25040,-55239,-1612,43499,,72788,-22749,99,64888,,16777,43174,-26354,32925,3878,10870,,0,81485,146373,175016,227409,1817,,-12963,,-45,216218,,-11901.0,,,,-3313,,-21129,132,25629,-1571.0,,-166,6544,-5775,,,41.0,,-21810,,2117,-174028,-5019,31396,512454,543850,543850,,0.0,,,,525.0,28643.0,215.0,,,,-154376.0,,,,,,
