公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他金融資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 取得無活絡市場之債務工具投資,　　 取得以成本衡量之金融資產,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 存出保證金減少,　　 取得投資性不動產,　　 收取之利息,　　 收取之股利,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 存入保證金增加,　　 存入保證金減少,　　 發放現金股利,　　 籌資活動之淨現金流入（流出）,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　 不影響現金流量之收益費損項目,　　　　 處分投資損失（利益）,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 處分備供出售金融資產,　　 取得無活絡市場之債券投資,　　 其他非流動資產增加,　　　　　 其他應收款（增加）減少,　　 處分無活絡市場之債券投資,　　 按攤銷後成本衡量之金融資產到期還本,　　　　 處分及報廢不動產、廠房及設備損失（利益）
2706,2015年01月01日至2015年09月30日,,476541,476541,,,7012,0,1819.0,-17222,-30250.0,-260562,-299203.0,,,609,-1763.0,-705,658,-1201,,-4407,4907,-615,369.0,254,-947,-300150,176391,-39976,136415,,-5000.0,-294663.0,-5571.0,-1523,0.0,-847.0,0,0.0,16205,18146.0,-273253,,0.0,-540.0,-870,-1410,-138248,820460,682212,682212,,,,,,,,,,,
2706,2015年01月01日至2015年06月30日,,289119,289119,,,4705,0,1213.0,-11267,-18017.0,-146873,-170239.0,,,842,98.0,324,2570,3834,,-3957,321,-146,246.0,-3536,298,-169941,119178,-19737,99441,,,17937.0,-5571.0,-1281,,-147.0,0,,9472,18017.0,38427,,0.0,,-706,-706,137162,820460,957622,957622,,,,,,,,,,,
2706,2015年01月01日至2015年03月31日,,116646,116646,,,2385,0,607.0,-5531,,-54925,-57464.0,,,795,-1120.0,-103,141,-287,,-3144,4178,-570,123.0,587,300,-57164,59482,-799,58683,,,25840.0,,-1033,,0.0,10,,7986,,32803,,0.0,,-462,-462,91024,820460,911484,911484,,,,,,,,,,,
2706,2014年度,,471011,471011,,,10541,77,1767.0,-20749,-24187.0,-207456,,,,-209,-375.0,541,-160,-203,,3006,-2292,1359,,1000,797,-245197,225814,-38866,186948,,0.0,,-9524.0,-2874,,-452.0,0,0.0,20855,24187.0,37799,,61140.0,0.0,-46782,14358,239105,581355,820460,820460,,-5987.0,-245994.0,-1073.0,53427.0,-47591.0,-229.0,,,,
2706,2014年01月01日至2014年09月30日,,391645,391645,,,7974,77,1227.0,-15288,-24187.0,-192847,-223044.0,,,373,-923.0,-667,75,-1142,,-3633,7643,657,-1203.0,3464,2322,-220722,170923,-38325,132598,,0.0,-43543.0,-9524.0,-2631,0.0,0.0,20,0.0,15446,15441.0,-24791,,540.0,0.0,-1103,-563,107244,581355,688599,688599,,,,,,,,,,,
2706,2014年01月01日至2014年06月30日,,231621,231621,,,5342,51,818.0,-10057,-15329.0,-101560,-120735.0,,,579,-1303.0,-122,-94,-940,,2828,4425,352,-1334.0,6271,5331,-115404,116217,-19004,97213,,,-33843.0,-70.0,-1843,,0.0,28,,11187,15329.0,-9212,,540.0,,-993,-453,87548,581355,668903,668903,,,,,,,,,,,
2706,2014年01月01日至2014年03月31日,,83635,83635,,,2681,26,408.0,-4923,,-27044,-28852.0,,,350,-1387.0,-823,115,-1745,,-1683,6189,209,137.0,4852,3107,-25745,57890,-765,57125,,,-6000.0,,-857,,-70.0,0,,7655,,728,,540.0,,-783,-243,57610,581355,638965,638965,,,,,,,,,,,
2706,2013年度,,361628,361628,,,12283,103,1634.0,-19625,-20828.0,-118839,,,,469,1288.0,-574,187,1370,,3981,-5190,186,,-658,712,-144560,217068,-37293,179775,,-73.0,,-79728.0,-2404,,0.0,731,-28.0,19045,20828.0,-122011,,450.0,-600.0,-47037,-47187,10577,570778,581355,581355,,0.0,-145272.0,365.0,0.0,-80382.0,0.0,,,,
2706,2013年01月01日至2013年12月31日,,361628,361628,,,12283,103,,-19625,-20828.0,-118839,,,,469,1288.0,-574,187,1370,,3981,-3556,186,,976,2346,-144560,217068,-37293,179775,,-73.0,,-79728.0,-2404,0.0,,731,-28.0,19045,20828.0,-122011,,450.0,-600.0,-47037,-47187,10577,570778,581355,581355,,,-146906.0,365.0,,-80382.0,,,,,0.0
2706,2013年01月01日至2013年09月30日,,283892,283892,,,9318,77,1225.0,-14683,-20828.0,-96889,,,,1107,-1879.0,-2006,57,-2721,,-3506,9600,-264,,6085,3364,-118416,165476,-36810,128666,,,,-79728.0,-1813,0.0,,198,-28.0,14215,11718.0,-110170,,450.0,,-689,-239,18257,570778,589035,589035,,,-121780.0,255.0,,-54732.0,,,,,
