公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 利息收入,　　　　 股份基礎給付酬勞成本,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 非金融資產減損損失,　　　　 未實現外幣兌換損失（利益）,　　　　 其他項目,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得無活絡市場之債券投資,　　 無活絡市場之債務商品投資到期還本,　　 取得不動產、廠房及設備,　　 存出保證金增加,　　 存出保證金減少,　　 取得無形資產,　　 收取之利息,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 員工執行認股權,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 非金融資產減損迴轉利益,　　 處分無活絡市場之債券投資,　　 處分不動產、廠房及設備,　　 預付設備款增加,　　 發放現金股利,　　　　　 預收款項增加（減少）,　　 現金增資,　　 其他籌資活動,　　　 收益費損項目,　　　　 利息費用,　　　　 收益費損項目合計,　　 取得備供出售金融資產,　　 取得無活絡市場之債務工具投資,　　 取得以成本衡量之金融資產,　　 其他金融資產增加,　　 短期借款增加,　　 庫藏股票買回成本,　　 其他符合國際會計準則第七號現金及約當現金定義之項目,　　 支付之利息,　　　　 處分投資損失（利益）,　　　　　 其他金融負債增加（減少）,　　 處分備供出售金融資產,　　 無活絡市場之債務工具投資到期還本,　　 短期借款減少,　　　　 金融資產減損損失
3661,2016年01月01日至2016年09月30日,,-238695,-238695,,,414343,104601,39345,-32297,7393,-102.0,,8123,66498,,,,-19656,-1214,88663,37436,19087,124316,,8124,-73519,1466.0,-148433,-24117,671402,432707,-27285,402116,,,,-259801,,1351.0,-125253,35771,48835,,0,-454610,-43264,-46923,958495,911572,911572,50752.0,,243.0,,-29679.0,-84504.0,,,,2888.0,695519.0,-6685.0,0.0,0.0,324279.0,-403247.0,-21684.0,,-3306.0,509.0,,78930.0,,,33466.0
3661,2016年01月01日至2016年06月30日,,-216997,-216997,,,297524,73664,51062,-22677,4705,-103.0,44366.0,7215,44819,,,,-39147,-6071,-111763,-6631,7880,-155732,,128006,-37714,1661.0,92113,-63619,472828,255831,-15162,238037,,,,-252245,,4311.0,-77234,28902,48107,,0,-346434,-15187,-75477,958495,883018,883018,,,245.0,,,160.0,,,,2230.0,536447.0,-6758.0,0.0,0.0,327839.0,-346434.0,0.0,,-2632.0,-191.0,,23047.0,,,33833.0
3661,2016年01月01日至2016年03月31日,,9169,9169,,,161282,37455,-2288,-11743,1954,,-13271.0,1196,22654,,,,33028,-577,-104558,26553,6546,-39008,,228264,-18999,403.0,167430,128422,327211,336380,-4754,329834,,,,-130053,0.0,1590.0,-62212,11603,150756,,0,-339014,-21305,120271,958495,1078766,1078766,,,,-1596.0,,-42238.0,,,,1550.0,198789.0,0.0,0.0,0.0,331424.0,0.0,0.0,,-1792.0,,,,,-339014.0,
3661,2015年度,,168236,168236,,,533176,163963,22072,-40627,4219,-4712.0,0.0,10926,88969,,,,-168636,7385,-20676,25002,-82,-157007,,-27035,-54527,,-110833,-267840,537114,705350,-82745,617297,,,,-502295,-3952.0,0.0,-90949,39880,-1440454,,21436,402367,22561,-398229,1356724,958495,958495,19449.0,,4761.0,0.0,-39433.0,-29086.0,0.0,0.0,,5913.0,804954.0,-847646.0,0.0,-32755.0,-253871.0,533699.0,-113335.0,,-5308.0,1606.0,-185.0,130130.0,116243.0,,
3661,2015年01月01日至2015年09月30日,,91025,91025,,,397354,128777,3939,-27293,2648,-4717.0,53347.0,11970,66649,,,,-376858,6489,-180404,66721,-19150,-503202,,223660,-41147,-38207.0,144306,-358896,277430,368455,-81949,283313,,,,-344678,-577.0,,-44936,20204,-1499070,,21436,535802,11122,-668833,1356724,687891,687891,,,4717.0,,-39433.0,,,,,3652.0,636326.0,-839773.0,-11051.0,-31444.0,-251532.0,667134.0,-113335.0,,-3193.0,,,,,,
3661,2015年01月01日至2015年06月30日,,-6551,-6551,,,261651,89940,4462,-14136,1106,-4677.0,,-1014,44775,,,,-65192,8173,-160482,79462,-13460,-151499,,21615,-67062,8799.0,-36648,-188147,238748,232197,-58067,173044,,,,-191527,0.0,920.0,-42631,15548,-1361806,,21436,572395,-29194,-645561,1356724,711163,711163,43247.0,,4677.0,0.0,,,,,,1541.0,426895.0,-832693.0,-35510.0,-31179.0,-249411.0,664294.0,-113335.0,,-1086.0,,,,,,
3661,2015年01月01日至2015年03月31日,,-52697,-52697,,,127691,48738,-6,-2170,0,0.0,32209.0,928,22852,,,,305473,11566,-103092,-17003,9604,206548,,26580,-26842,-7990.0,-8252,198296,428721,376024,-5006,371018,,,,-2114,-985.0,1912.0,-35941,1471,-914201,,21436,343798,-13657,-213042,1356724,1143682,1143682,,,,-164870.0,,,,,,183.0,230425.0,-326304.0,-40618.0,-31523.0,-315229.0,326304.0,-3942.0,0.0,,,,,,,
3661,2014年度,,299508,299508,,,469731,177056,4951,-7085,2038,-328.0,40879.0,8679,76938,775752.0,,,-142378,16768,-129652,-205497,-7977,-468736,,37426,86571,-277.0,237878,-230858,544894,844402,-56664,787738,,-206815.0,141470.0,-534670,-1635.0,539.0,-163133,7060,-810474,,125947,769815,53093,800172,556552,1356724,1356724,2893.0,,1260.0,-54550.0,-9746.0,114158.0,660566.0,-6952.0,,,,,,,,,,,,,,,,,
3661,2014年01月01日至2014年09月30日,,227096,227096,,,323791,128127,4046,-5801,106,-371.0,28072.0,2576,57157,537703.0,,,-129931,22681,-319902,-234202,-1652,-663006,,202177,58993,232612.0,493782,-169224,368479,595575,-27784,567791,,-184875.0,109208.0,-388606,-1069.0,273.0,-128593,5786,-586578,,55439,50741,8574,40528,556552,597080,597080,,,1298.0,,-4698.0,,,,,,,,,,,,,,,,,,,,
3661,2014年01月01日至2014年06月30日,,134974,134974,,,200768,81590,6502,-2969,106,-436.0,,4889,37902,353317.0,,,34411,20385,-187686,-93801,-1649,-228340,,175623,76264,112477.0,364364,136024,489341,624315,-18832,605483,,-73718.0,,-109857,-1071.0,175.0,-107663,2959,-476447,,21133,21133,-1959,148210,556552,704762,704762,24965.0,47868.0,1217.0,-236357.0,,,,,,,,,,,,,,,,,,,,,
