公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 其他項目,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 處分備供出售金融資產,　　 取得以成本衡量之金融資產,　　 對子公司之收購（扣除所取得之現金）,　　 處分子公司,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 其他金融資產減少,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 應付短期票券減少,　　 舉借長期借款,　　 償還長期借款,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　　 應收票據－關係人（增加）減少,　　　　　 其他應收款－關係人（增加）減少,　　 收取之股利,　　 處分以成本衡量之金融資產,　　 取得採用權益法之投資,　　 處分採用權益法之投資,　　 存出保證金增加,　　 其他非流動資產減少,　　 應付短期票券增加,　　 非控制權益變動,　　　　 股利收入,　　　　　 應付帳款－關係人增加（減少）,　　 以成本衡量之金融資產減資退回股款,　　 預付投資款增加,　　 發放現金股利,　　　　　 持有供交易之金融負債增加（減少）,　　　　 金融資產減損損失,　　 支付之股利,　　　　　 應計退休金負債增加（減少）,　　 取得備供出售金融資產,　　 其他非流動負債增加,　　　　 非金融資產減損損失,　　 其他非流動資產增加,　　 發行公司債,　　 其他非流動負債減少,　　　 收益費損項目,　　　　 收益費損項目合計,　　 存出保證金減少,　　 其他金融資產增加,　　 備供出售金融資產減資退回股款,　　 無活絡市場之債務工具投資到期還本
3702,2016年01月01日至2016年09月30日,,6204209,6204209,,,175256,28425,52852,21917,981225,-27088,-22300,4252,-976,0.0,,,,9916,-1204544.0,-941477,127453,1409607,-689011,1168182,20006,,-56651,,197698,7411861,737897,195528,,8542152,8485501,9720215,15924424,36797,-956888,-1141360,13953851,,14780,0,0.0,-34111.0,-106687,7572,,-1633207,,728924180,-735954075,-18434886.0,10879738,-11695725,-11525548,-3186996,-2391900,9446642,7054742,7054742,,43217.0,90878.0,30825.0,-610051.0,0.0,62130.0,1121.0,18769734.0,-19212.0,-40952.0,-832.0,0.0,-46320.0,-3973702.0,,62103.0,,,0.0,-21600.0,,,0.0,,,1234714.0,,-966648.0,9182.0,5000.0
3702,2016年01月01日至2016年06月30日,,3933164,3933164,,,118942,19972,53795,-8385,616940,-17438,-14016,3071,2414,40027.0,,,,9615,-93926.0,5497623,110999,2609929,-3594250,1047512,34099,,5661017,,53662,5189291,-411133,93985,,4923948,10584965,11435954,15369118,34231,-637964,-653564,14160288,,12748,0,0.0,-29939.0,-63880,1521,,-554267,,432234388,-443312536,-11803006.0,5380971,-7916420,-13637384,-1448690,-1480053,9446642,7966589,7966589,,39416.0,48467.0,0.0,-29400.0,0.0,,12610.0,11793339.0,0.0,-18625.0,-1857.0,0.0,0.0,,,54292.0,,,0.0,,,,0.0,-14120.0,,850989.0,48309.0,-520418.0,9182.0,5000.0
3702,2016年01月01日至2016年03月31日,,1902519,1902519,,,60314,10683,62834,13670,331046,-7179,-4981,294,-98,19979.0,,,,2579,699273.0,14150520,50050,1233096,-5692960,728412,-3334,,11144243,,457459,727820,-445925,100932,,838293,11982536,12459533,14362052,17019,-377517,-19003,13996396,,12042,0,0.0,-29939.0,-31001,1381,,-69605,,200588047,-212464059,-6101947.0,4419894,-5447085,-12617881,-1305860,3050,9446642,9449692,9449692,,-23393.0,13845.0,0.0,0.0,0.0,26918.0,9827.0,6421160.0,0.0,-9565.0,-1993.0,0.0,0.0,0.0,0.0,0.0,,,0.0,-33891.0,,,0.0,,,476997.0,,-58833.0,,
3702,2015年度,,7153443,7153443,,,238957,95734,684795,-5763,1282902,-34576,-25288,-13413,-60764,0.0,,,,11725,-3283813.0,-6474518,-49517,-6734994,-2116463,-613527,35279,,-19152285,,288782,2933016,32042,114720,,3368623,-15783662,-13617119,-6463676,68496,-1242268,-1689704,-9273089,,88218,-138364,-51299.0,-1553.0,-180196,31343,,-791331,,863208233,-853826871,-28307012.0,25902997,-24135401,6626932,1699271,-1738217,11184859,9446642,9446642,,73543.0,54063.0,21813.0,-3000.0,51610.0,0.0,36199.0,27927443.0,8418.0,-48036.0,63.0,29201.0,0.0,-4139274.0,,51995.0,,,-33762.0,0.0,,,0.0,-11601.0,,2166543.0,26001.0,-667542.0,,
3702,2015年01月01日至2015年09月30日,,5567872,5567872,,,174552,88823,299851,-43301,896592,-25063,-25385,-15341,-72692,0.0,,,,38916,-778165.0,-9181587,-54335,-2719059,-12501681,-1084128,-21611,,-26221340,,444876,13546932,1078622,175090,,15243521,-10977819,-9743162,-4175290,51874,-924295,-1102200,-6062747,,86441,-75000,-51299.0,0.0,-88682,30345,-1161723.0,-1280300,,628932874,-620959182,,13234599,-12852395,4766823,1586862,-989362,11184859,10195497,10195497,,80310.0,87164.0,29201.0,-3000.0,0.0,14588.0,-28471.0,528314.0,8418.0,-46654.0,-1999.0,0.0,0.0,-4139274.0,0.0,3275.0,,,-32700.0,13469.0,,,0.0,,,1234657.0,,,,
3702,2015年01月01日至2015年06月30日,,3608886,3608886,,,121525,71786,210850,-27071,542829,-16540,-10905,842,-83532,39488.0,,,,16046,-625881.0,2116195,-10484,-1199930,-7639228,-400470,-2415,,-7679807,,246009,4557471,-486780,211542,,4526184,-3153623,-2332571,1276315,39958,-557815,-688995,97560,,85500,-75000,-56400.0,,-69573,459,0.0,-142305,,433115081,-432496917,-779455.0,7381019,-8339556,-1152298,-1487217,-2684260,11184859,8500599,8500599,,66360.0,28097.0,29201.0,-3000.0,,,7040.0,0.0,8418.0,-31495.0,-2058.0,,,,,3275.0,,,-9912.0,0.0,,,,-40888.0,,821052.0,88023.0,-138643.0,,
3702,2015年01月01日至2015年03月31日,,1754735,1754735,,,55567,42549,21314,-5609,275774,-7323,-6457,15,-36070,19710.0,,,,-5197,616114.0,9356799,44690,-1048077,-7789481,-756573,-4046,,480589,,148444,4017292,-431994,-63133,0.0,3669426,4150015,4482465,6237200,15524,-289866,-11949,5981154,,48045,-50000,0.0,0.0,-47360,15,96495.0,95932,,214092665,-220495724,-44618.0,3193747,-4133810,-7365320,-612344,-1900578,11184859,9284281,9284281,,66360.0,30245.0,24500.0,-3000.0,0.0,0.0,3702.0,0.0,8418.0,-27020.0,-1183.0,0.0,-22000.0,,0.0,0.0,,,-4972.0,14002.0,,,,,,332450.0,50507.0,,,
3702,2014年度,,7104755,7104755,,,239793,141605,114623,61506,1044921,-26515,-30401,-106962,-52023,34203.0,1444346.0,,,-43110,-333441.0,-10308825,-4481,-672952,-12317018,-405089,-67029,,-23921818,,-17645,2854874,997361,68128,-26821.0,3866703,-20055115,-18610769,-11506014,63807,-1034613,-1044284,-13452896,,174622,-59953,0.0,0.0,-103446,310450,-77826.0,262847,,1533596388,-1527268240,,15759591,-11401464,12143516,2772789,1726256,9458603,11184859,11184859,0.0,230127.0,68208.0,37726.0,0.0,0.0,-55899.0,64244.0,-792153.0,-2573.0,-18315.0,-9194.0,0.0,-3000.0,-3808131.0,0.0,,,,-24071.0,65360.0,41911.0,,6000000.0,-5262.0,,,,,,
3702,2014年01月01日至2014年09月30日,,5468377,5468377,,,179416,105228,106239,29005,782411,-15798,-7775,1726,-86657,0.0,1096701.0,,,-10988,-304965.0,-8181067,22989,132720,-12681604,-853650,-53037,,-21764577,,50127,7832284,721122,306184,7917.0,8910346,-12854231,-11757530,-6289153,56898,-770276,-454360,-7411004,,170186,-16500,,0.0,-67245,9963,33058.0,221215,,1070962586,-1065840665,,8311288,-8079684,7709933,690763,1210907,9458603,10669510,10669510,,165025.0,45887.0,37726.0,0.0,0.0,-7081.0,80215.0,107829.0,0.0,-14392.0,-7288.0,,,-3808131.0,,,,,-19107.0,56710.0,17298.0,0.0,6000000.0,0.0,,,,,,
3702,2014年01月01日至2014年06月30日,,3611916,3611916,,,120644,59913,29813,9909,515946,-9711,-7963,1861,-79248,,658262.0,,,-12407,-587593.0,-1038901,69573,295338,-7089902,-1167710,-39917,,-9692326,,-106712,2211239,317535,31921,,2449400,-7242926,-6584664,-2972748,39764,-476477,-314661,-3688972,,166334,0,,0.0,-43423,9688,200345.0,397233,,730793534,-727333750,,3138855,-3252321,3503660,-26023,185898,9458603,9644501,9644501,,-120807.0,35150.0,0.0,0.0,0.0,15511.0,67885.0,80367.0,,,2256.0,,,,,17098.0,,-6839.0,-19107.0,76975.0,,,,,,,,,,
