公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股份基礎給付酬勞成本,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 未實現外幣兌換損失（利益）,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他金融資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 應計退休金負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 預付投資款增加,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金減少,　　 其他金融資產增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 發行公司債,　　 舉借長期借款,　　 償還長期借款,　　 應付租賃款減少,　　 員工執行認股權,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 金融資產減損損失,　　　　　 持有供交易之金融資產（增加）減少,　　 存出保證金增加,　　 其他非流動資產增加,　　 預付設備款增加,　　 短期借款減少,　　 庫藏股票買回成本,　　 非控制權益變動,　　　　 處分投資損失（利益）,　　　　　 其他應付款－關係人增加（減少）,　　 其他投資活動,　　　　　 其他應收款－關係人（增加）減少,　　 發放現金股利,　　 其他預付款項增加,　　 取得原始認列時指定為透過損益按公允價值衡量之金融資產
2478,2014年度,,222086,222086,,,459436,2527,0,-9978,9735,-14053,10425,845,-514,458372,,,-6728,-1220,7919,4658,-61926,4125,-1279,-168799,-223253,,0,-49351,80554,-137,-2597,29347,-193906,264466,486552,12564,-4814,-44496,449806,,,-307740,6960,-2489,-29373,-362267,,0.0,0,250000,-246250,-707,,-122500,59492,24531,861999,886530,886530,0.0,-431.0,0.0,-982.0,-7522.0,0.0,-85731.0,-2753.0,-51.0,878.0,-11841.0,428.0,-37059.0,,-9280.0
2478,2014年01月01日至2014年09月30日,,159121,159121,,,347620,1166,0,-10547,7881,-8987,7818,902,16099,361952,,,-18208,-34360,5486,2481,-122233,3791,-419,-253899,-426247,,0,136883,75897,8315,-1889,219206,-207041,154911,314032,6970,-3563,-40224,277215,,,-235958,5364,-489,-28032,-291769,,,0,200000,-196250,-556,0.0,-36617,4289,-46882,861999,815117,815117,0.0,-9314.0,0.0,-346.0,-20536.0,0.0,0.0,-2753.0,0.0,0.0,0.0,428.0,-37058.0,-11772.0,
2478,2014年01月01日至2014年06月30日,,87171,87171,,,233748,767,0,-10469,5959,-6150,5212,1020,20264,250351,,,-13479,11104,3623,908,-24079,-10430,329,-212359,-243955,,0,86417,21117,2453,-601,109386,-134569,115782,202953,4817,-2422,-30049,175299,,,-170898,5058,-17377,-53158,-260198,,,0,150000,-146250,-384,0.0,3366,-50507,-132040,861999,729959,729959,0.0,0.0,0.0,-346.0,-11680.0,0.0,0.0,0.0,,,,428.0,,-11797.0,
2478,2014年01月01日至2014年03月31日,,55559,55559,,,117379,368,0,-6899,3161,-2166,2606,-175,8190,122464,,,-12843,105436,1272,2419,7524,-11825,-188,-34517,57706,,0,-2275,4046,12055,-567,13259,70965,193429,248988,1492,-1158,-3635,245687,,0.0,-92633,605,-487,-621,-102667,,0.0,0,50000,-26250,-190,0.0,23560,-21294,145286,861999,1007285,1007285,,,,-126.0,-9405.0,,,,,,,428.0,,,
2478,2013年度,,99043,99043,,,463048,10910,0,3328,16517,-6042,10425,113,24054,532293,,,1413,-153576,4403,-813,-1557,1935,-1435,-108759,-271648,,0,33401,22462,15150,-1971,69042,-202606,329687,428730,6042,-9616,-39155,386001,,,-643360,1680,102435,-6344,-594346,,50000.0,562500,720000,-1136250,-1024,,157954,48488,-1903,863902,861999,861999,9940.0,-12831.0,0.0,0.0,-47300.0,0.0,0.0,-940.0,0.0,0.0,-1457.0,-428.0,-36332.0,,0.0
2478,2013年01月01日至2013年12月31日,,99043,99043,,,463048,10910,0,3328,16517,-6042,10425,113,24054,532293,,,1413,-153576,4403,-813,-1557,1935,-1435,-108759,-271648,,0,33401,22462,15150,-1971,69042,-202606,329687,428730,6042,-9616,-39155,386001,,,-643360,1680,102435,-6344,-594346,,50000.0,562500,720000,-1136250,-1024,0.0,157954,48488,-1903,863902,861999,861999,9940.0,-12831.0,0.0,0.0,-47300.0,0.0,0.0,-940.0,,0.0,-1457.0,-428.0,-36332.0,,
2478,2013年01月01日至2013年09月30日,,103792,103792,,,335449,10584,0,2145,13397,-4202,7819,-31,-22118,349520,,,1946,-119165,5364,-8992,-119,-20719,-3534,-43497,-201642,,746,46502,-23445,9511,-1469,31845,-169797,179723,283515,4202,-7922,-37356,242439,,,-568098,1680,102329,-49282,-555049,,,562500,695000,-982500,-801,0.0,273259,63766,24415,863902,888317,888317,6816.0,-12926.0,0.0,0.0,-41678.0,0.0,0.0,-940.0,-339.0,0.0,0.0,,,,
2478,2013年01月01日至2013年06月30日,,62963,62963,,,219431,7098,0,2771,9116,-3476,5213,-21,-5082,241866,,,139,-86683,359,2127,-52597,-13872,-1410,-43992,-199453,,0,39709,2765,11580,-973,53081,-146372,95494,158457,3476,-6204,-28269,127460,,,-571528,1620,99964,-3698,-487192,,,562500,595000,-857500,-483,0.0,299517,65036,4821,863902,868723,868723,6816.0,-3524.0,0.0,0.0,-13550.0,0.0,0.0,0.0,,,,,,,
2478,2013年01月01日至2013年03月31日,,28020,28020,,,108293,3532,0,1251,4613,-4739,2606,-17,-600,114939,,,1956,17992,277,5466,42517,-1516,120,-368739,-301927,,18050,-91993,-21165,1372,5,-93731,-395658,-280719,-252699,4220,-3618,-2408,-254505,,0.0,-550270,1615,99974,-137065,-585746,,127327.0,562500,400000,-325000,-205,0.0,764622,42285,-33344,863902,830558,830558,,,,,,,,,,,,,,,
2478,2012年01月01日至2012年12月31日,,144069,144069,,,442949,18293,600,-1882,7617,-2720,8137,-1121,25398,498293,,,-8788,34789,-6888,-7794,-24380,-1054,3187,0,-7123,,-222,169479,8594,4288,-1812,170713,163590,661883,805952,2720,-10087,-38658,759927,,,-175225,7865,0,-25630,-326464,,0.0,0,435000,-305000,-970,36895.0,-74800,-47411,311252,552650,863902,863902,1022.0,3805.0,-100371.0,-583.0,-102103.0,-100000.0,-66926.0,-3133.0,,-9614.0,69583.0,0.0,-70666.0,,
