公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分投資損失（利益）,　　　　 金融資產減損損失,　　　　 其他項目,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 應計退休金負債增加（減少）,　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 處分備供出售金融資產,　　 取得無活絡市場之債券投資,　　 取得不動產、廠房及設備,　　 取得無形資產,　　 其他金融資產減少,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 償還長期借款,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分採用權益法之投資損失（利益）,　　　　 非金融資產減損損失,　　 短期借款減少,　　 其他籌資活動,　　 處分無活絡市場之債券投資,　　 處分以成本衡量之金融資產,　　 其他投資活動,　　　　　 其他應收款－關係人（增加）減少,　　 處分不動產、廠房及設備,　　 其他金融資產增加,　　 償還公司債,　　 存出保證金減少,　　 存入保證金增加,　　　 收益費損項目,　　　　 處分其他資產損失（利益）,　　　　 買回應付公司債損失（利益）,　　　　 收益費損項目合計,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他金融資產（增加）減少,　　　　　 其他應付款－關係人增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 淨確定福利負債增加(減少),　　 收取之利息-營業活動,　　 支付之利息-營業活動,　 營業活動之現金流量－直接法,　　 營業活動之收現類別,　　　 營業活動之收現類別合計,　　 退還（支付）所得稅,　　 取得無活絡市場之債務工具投資,　　 處分無活絡市場之債務工具投資,　　 存出保證金增加,　　 預付設備款增加,　　 存入保證金減少,　　　　　 遞延借項（增加）減少,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他金融負債增加（減少）,　　 其他預付款項增加
3043,2016年01月01日至2016年09月30日,,-126487,-126487,,,30148,23,-50230,0.0,-75,2638.0,2986.0,28593,11994,,,,-17141,44882,1535,23906,19527,-2677,,105018,,-5287,-3385,3558,2910.0,-154,,,-2499,102519,128803,2316,75,-11035,-3493,-12137,,0.0,,-687,,,3071,,,-26512,0.0,-38101,16109,-31058,119277,88219,88219,207.0,,,-11271.0,,,0.0,,0.0,0.0,,,0.0,,,,0.0,26284.0,38540.0,-3554.0,,679.0,-820.0,,,,,,,0.0,392.0,3366.0,0.0,-318.0,,0.0,0.0,0.0
3043,2016年01月01日至2016年06月30日,,-112729,-112729,,,20392,16,-33654,,-52,1748.0,,28279,8096,,,,2738,20623,2644,39837,20534,-2123,0.0,94111,,-1111,-21786,-24168,,-73,,,-36426,57685,82510,-30219,52,-7546,-2578,-40291,,,,-646,,,195,,-5170.0,-10911,,-16347,6007,-50436,119277,68841,68841,0.0,,,,,,,,0.0,0.0,,,0.0,0.0,,,,24825.0,13412.0,,,1674.0,-478.0,,,,,,,,-1148.0,1989.0,,-266.0,-3554.0,0.0,9516.0,
3043,2016年01月01日至2016年03月31日,,-76336,-76336,,,10363,8,-16186,0.0,-367,874.0,0.0,3554,4059,,,,1913,33084,-1890,7135,20355,-2061,-3554.0,68428,,3545,-12929,-14546,6922.0,223,,2359.0,-14681,53747,56052,-20284,367,-3951,-1887,-25755,,,,-376,,,-1829,,3556.0,-1173,0.0,2685,3242,-21657,119277,97620,97620,0.0,,,0.0,,,0.0,,0.0,0.0,,0.0,0.0,302.0,,0.0,0.0,2305.0,13446.0,0.0,0.0,0.0,-255.0,367.0,-3951.0,,,-20284.0,-1887.0,-2610.0,0.0,1157.0,0.0,0.0,,,,
3043,2015年01月01日至2015年09月30日,,-27634,-27634,,,34318,33,-181110,0.0,-76,-1860.0,0.0,11939,13850,,,,1575,65395,-2276,104084,-19845,-14524,,202421,,5493,-75618,48418,-7845.0,3467,,,-33847,168574,45738,18104,77,-12644,-2303,3234,,0.0,,-3607,,,3820,,,-57086,0.0,-75120,1642,-66424,138190,71766,71766,70.0,,,-17682.0,,,0.0,,0.0,800.0,,,-1867.0,,,,0.0,-122836.0,68012.0,0.0,,815.0,-797.0,,,,,,,0.0,8494.0,0.0,0.0,-352.0,,-7780.0,0.0,0.0
3043,2015年01月01日至2015年06月30日,,-25794,-25794,,,22944,25,-68415,,-54,-3030.0,,11939,-71903,,,,175,100185,-11318,114231,-5819,-17817,0.0,227367,,7385,-70314,7989,,1151,,,-74571,152796,44285,18491,54,-9026,-1745,7774,,,,-2362,,,7125,,-12173.0,-40293,,-52484,5508,-32077,138190,106113,106113,-17.0,,,,,,,,0.0,771.0,,,2127.0,-18.0,,,,-108511.0,47730.0,,,1404.0,-476.0,,,,,,,,6589.0,0.0,,0.0,0.0,-5278.0,-16432.0,
3043,2015年01月01日至2015年03月31日,,-81011,-81011,,,11644,8,-17978,0.0,-25,-4518.0,0.0,5987,4824,,,,4032,76648,516,69366,4399,-7115,0.0,154035,,6331,-45410,-11707,-22606.0,-3533,,7628.0,-69650,84385,84257,3246,25,-4503,-997,-2229,,,,-1587,,,7574,,0.0,-25603,0.0,-32235,3063,-23827,138190,114363,114363,-70.0,,,-6624.0,,,0.0,,0.0,620.0,,0.0,2138.0,0.0,,0.0,0.0,-128.0,6189.0,0.0,0.0,0.0,-353.0,25.0,-4503.0,,,3246.0,-997.0,0.0,6403.0,0.0,0.0,-8.0,,,,
3043,2014年01月01日至2014年03月31日,,49700,49700,,,7695,1309,-13854,,-2047,,,0,-11133,-17361.0,,,-5918,126200,-290,-24808,-39306,-5660,0.0,50218,,-33402,25289,-55027,-21280.0,5112,0.0,0.0,-79308,-29090,-46451,3249,2047,-4932,-5724,-5360,,,,-502,,1981.0,1965,,,-49756,,-33988,-2436,-39819,158042,118223,118223,3.0,666.0,0.0,15360.0,39.0,233.0,,,,,,,253.0,369.0,,,,,,,,,,,,,,,,,,,,,,,,
3043,2013年01月01日至2013年12月31日,,-477501,-477501,,,44650,5605,60134,,-2047,,0.0,43422,25350,181595.0,,,10395,117892,11137,507170,25410,-1435,,652565,,2296,51366,-107973,12505.0,822,-1555.0,0.0,-42539,610026,791621,314120,2047,-20470,8033,303730,,,,-6191,0.0,12551.0,245285,,,-169074,,-551519,-11355,-13859,171901,158042,158042,135.0,4346.0,0.0,-83714.0,269.0,245568.0,0.0,,-18004.0,1085.0,-7728.0,-299000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
3043,2013年01月01日至2013年09月30日,,-328878,-328878,,,34885,4198,16881,0.0,-1506,,0.0,28610,99814,185957.0,,,1711,174578,-74770,164067,-41772,-5547,715.0,218982,,1333,270269,-173954,-3900.0,-3928,-9692.0,131785.0,211913,430895,616852,287974,175,-23974,-49669,214506,,,,-1791,0.0,0.0,-49020,,,-221365,0.0,-202437,-27265,-64216,171901,107685,107685,-932.0,2444.0,1563.0,18700.0,228.0,-46547.0,0.0,-682.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3043,2013年01月01日至2013年06月30日,,-242187,-242187,,,24498,2483,28510,0.0,-967,,0.0,9958,107811,175206.0,,,10212,204722,-11373,114607,6394,-6854,10500.0,328208,,-6162,96465,-180255,-8092.0,-4414,-9504.0,10744.0,-101218,226990,402196,160009,967,-16637,-1191,143148,,0.0,,-1888,,-38503.0,-40391,,,-104797,0.0,-164592,-3399,-65234,171901,106667,106667,178.0,1442.0,1293.0,-60161.0,366.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
