公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 其他各項負債準備淨變動,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 非金融資產減損損失,　　　　 處分承受擔保品損失（利益）,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 透過損益按公允價值衡量之金融資產（增加）減少,　　　　　 應收款項（增加）減少,　　　　　 貼現及放款（增加）減少,　　　　　 備供出售金融資產（增加）減少,　　　　　 其他金融資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 央行及銀行同業存款增加（減少）,　　　　　 透過損益按公允價值衡量之金融負債增加（減少）,　　　　　 附買回票券及債券負債增加（減少）,　　　　　 應付款項增加（減少）,　　　　　 存款及匯款增加（減少）,　　　　　 其他金融負債增加（減少）,　　　　　 員工福利負債準備增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 收取之股利,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 處分原始認列時指定為透過損益按公允價值衡量之金融資產,　　 取得無活絡市場之債券投資,　　 無活絡市場之債務商品投資到期還本,　　 取得持有至到期日金融資產,　　 持有至到期日金融資產到期還本,　　 處分以成本衡量之金融資產,　　 取得不動產及設備,　　 處分不動產及設備,　　 交割結算基金減少,　　 存出保證金增加,　　 存出保證金減少,　　 取得無形資產,　　 處分無形資產,　　 處分承受擔保品,　　 其他資產增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 應付商業本票增加,　　 應付商業本票減少,　　 發行金融債券,　　 存入保證金增加,　　 其他負債增加,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 符合國際會計準則第七號現金及約當現金定義之存放央行及拆借銀行同業,　　 符合國際會計準則第七號現金及約當現金定義之附賣回票券及債券投資,　　　　 金融資產減損損失,　　　　 金融資產減損迴轉利益,　　　　 非金融資產減損迴轉利益,　　　　　 存放央行及拆借金融同業（增加）減少,　　 以成本衡量之金融資產減資退回股款,　　 其他資產減少,　　 償還金融債券,　　 取得原始認列時指定為透過損益按公允價值衡量之金融資產,　　 取得以成本衡量之金融資產,　　 發放現金股利,　　 交割結算基金增加,　　 存入保證金減少,　　　　 出售及攤銷不良債權之損失,　　 非控制權益變動,　　 其他符合國際會計準則第七號現金及約當現金定義之項目,　　 取得投資性不動產,　　　 收益費損項目,　　　　 收益費損項目合計,　　　　　 持有至到期日金融資產（增加）減少,　　 發行公司債
2838,2015年度,,3840264,3840264,,,1659953,47225,-113942,-412352,4013743,-10098167,-236354,,389,-27504,-72681,,-6593,,,,10194787,-134478,-23070382,-8929244,-4453808,-28106508,,-2966823,-389630,-4804340,-1563426,25165702,1480,-271,15442692,-12663816,-17805256,-13964992,10045816,241941,-3992082,-60933,-7730250,,,,,,,,-147896,775,24443.0,-198979,,-82294,,21750,-1949914,-2335069,,160782.0,,2200000.0,104727,34125,2440074,82656,-7542589,86061535,78518946,8346755,48100000,22072191,120000.0,,-15157.0,1947488.0,,,,,,-637242.0,0.0,,0.0,-26715.0,,-2954.0,,-5141440.0,-3660871.0,604397.0
2838,2015年01月01日至2015年09月30日,,2670063,2670063,,,1234913,34110,-71574,-232845,3016631,-7668303,-229361,,253,-17585,-68051,,-6593,,,,7204854,131252,-19681719,-8778453,-4809546,-30096310,,-2346675,-383464,-1101503,2421474,19660311,5986,-2531,18253598,-11842712,-15746274,-13076211,7572576,234172,-2885534,-41181,-8196178,,,,,,,,-198537,770,,-149736,,-117484,,21750,-1656850,-2100644,,163365.0,,2200000.0,121859,63446,2491959,451815,-7353048,86061535,78708487,10987447,48320023,19401017,120000.0,,-15157.0,-2024561.0,,,,,,-637242.0,-557.0,,0.0,-26715.0,,0.0,,-3903562.0,-2138137.0,607246.0
2838,2015年01月01日至2015年06月30日,,1640180,1640180,,,808610,20350,-22923,-147241,1992608,-5054932,-18155,,195,-12065,-71900,,-7060,,,,-4574917,-210528,-12370731,-2444399,-2276513,-22140371,,2646638,-399458,986354,-1954659,13772907,6841,-2625,15055998,-7084373,-9611326,-7971146,5005510,18605,-2001457,-5551,-4954039,,,,,,,,-95758,57,24443.0,-98330,0.0,-74336,,21500,-1231176,-1453600,,180675.0,0.0,2200000.0,92200,8822,3040829,-213710,-3580520,86061535,82481015,8489762,49125456,24865797,,,-14440.0,973084.0,,,,,,,0.0,0.0,0.0,0.0,,,,-2526953.0,-1236367.0,559132.0
2838,2015年01月01日至2015年03月31日,,857912,857912,,,395279,8433,-27231,107179,976157,-2512603,-3242,,156,-2351,-8000,,-7060,,,,212280,707851,-15615419,-764492,-1017367,-14334310,,-1275955,-509482,-5862,-1703985,6928259,-5079,-2718,3425178,-10909132,-11996855,-11138943,2471392,3242,-898290,-8423,-9571022,,,,,,,,-67189,37,,-139171,,-2887,,21500,-590924,-779191,,,-39098.0,,2478,-8306,529705,-116150,-9936658,86061535,76124877,8142047,49000000,18982830,,,-14440.0,2629017.0,,,,,,,-557.0,0.0,,,,,,-1087723.0,-486180.0,574631.0
2838,2014年度,,3737796,3737796,,,1599068,35304,-494806,-321564,3730345,-9675323,-94819,0.0,6791,-19553,-112978,0.0,0,-5280984.0,,,-6452067,-727754,-27579651,-4957962,-2691160,-42794995,,1433686,-1655522,7208619,1335606,31767822,-182930,129,39907410,-2887585,-8168569,-4430773,9721290,97168,-3706634,-219951,1461100,,123178.0,-5686328.0,9274723.0,-361555.0,264962.0,8884.0,-2591118,909030,0.0,-75616,0.0,-22316,,0,0,990192,,519120.0,,0.0,10381,41000,543794,502267,3497353,82564182,86061535,9590048,50100000,26371487,654.0,0.0,0.0,-386401.0,18411.0,64351.0,0.0,0.0,-6000.0,-8962.0,-845.0,,65897.0,-17745.0,,-929569.0,,,,
2838,2014年01月01日至2014年09月30日,,2864140,2864140,,,1204995,26905,-434731,-166491,2761233,-7201042,-85014,,6940,-9593,-29307,0.0,0,-3860208.0,,,-10156263,-273099,-24723512,-2137447,1784394,-32983193,,561083,-650094,10361601,413414,18877501,-1224,1807,29564088,-3419105,-7279313,-4415173,7203502,86282,-2626442,-101992,146177,,634459.0,-2497971.0,7185046.0,-148557.0,260266.0,8884.0,-1869722,624592,0.0,-61161,0.0,-14299,,0,0,3165086,,499610.0,0.0,0.0,11002,77218,561123,153089,4025475,82564182,86589657,7952063,57700000,20937594,0.0,0.0,0.0,2522734.0,18411.0,1199.0,0.0,0.0,0.0,-8962.0,-845.0,,65897.0,-17745.0,,-975216.0,,,,
2838,2014年01月01日至2014年06月30日,,1891668,1891668,,,807547,18552,-283143,-160770,1817970,-4757042,-26227,0.0,3739,-3163,-14534,0.0,0,-2531174.0,,,-9400028,-44958,-18289656,-2596737,-1117542,-27838539,,3034566,-438754,7475515,-282792,11368027,31650,1565,21189777,-6648762,-9179936,-7288268,4812303,13126,-1807688,-60863,-4331390,,374381.0,-540907.0,3881951.0,-47719.0,205140.0,8884.0,-1296804,427586,0.0,0,24299.0,-9202,,0,0,3062527,,0.0,-129867.0,0.0,0,19730,-151536,-11552,-1431951,82564182,81132231,7196373,56900000,17035858,0.0,0.0,0.0,3610382.0,0.0,35763.0,0.0,,,,-845.0,-23654.0,65897.0,-17745.0,0.0,,,,,
2838,2014年01月01日至2014年03月31日,,880648,880648,,,406655,9579,-35306,-57809,891761,-2353385,-2696,,2259,-2391,1614,0.0,0,-1139719.0,,,-8326847,474306,-12040689,-645516,3303766,-15172875,,4187355,-215197,5311708,-671083,8300092,-44898,63,16868040,1695165,555446,1436094,2368528,2696,-811503,-24934,2970881,,38916.0,-551666.0,509702.0,-1984.0,200673.0,8884.0,-643916,192230,0.0,-135,0.0,-2393,0.0,0,-856,-251390,,0.0,-140016.0,,0,-7772,-158788,176393,2737096,82564182,85301278,9471640,57900000,17929638,,,,2062105.0,,,,,,,-845.0,-11000.0,,,,,,,,
2838,2013年度,,3408358,3408358,,,1618132,42654,-95868,-701895,3399120,-9239639,-85742,0.0,196,10037,121477,0.0,-10353,-5062068.0,,,-2426448,528115,-28249753,2206520,-3197525,-34634229,,-1107571,298333,-3706692,-2282445,27523515,-104533,-25319,20595288,-14038941,-19101009,-15692651,9243507,86272,-3515599,-145876,-10024347,,1000102.0,-29391008.0,24850343.0,-217883.0,614805.0,211.0,-2249136,663444,1228.0,0,179974.0,-36649,,162555,0,-4369514,,1000022.0,,3000000.0,66354,83155,3168489,251127,-10974245,93538427,82564182,8227163,54100000,20237019,0.0,-68594.0,-51593.0,-3495138.0,35319.0,17181.0,-800000.0,0.0,0.0,-181042.0,0.0,,0.0,0.0,,0.0,,,,
2838,2013年01月01日至2013年12月31日,,3408358,3408358,,,1618132,42654,-95868,-701895,3399120,-9239639,-85742,0.0,196,10037,121477,0.0,-10353,-5062068.0,,,-2426448,528115,-28249753,2206520,-3197525,-34634229,,-1107571,298333,-3706692,-2282445,27523515,-104533,-25319,20595288,-14038941,-19101009,-15692651,9243507,86272,-3515599,-145876,-10024347,,1000102.0,-29391008.0,24850343.0,-217883.0,614805.0,211.0,-2249136,663444,1228.0,0,179974.0,-36649,,162555,0,-4369514,,1000022.0,,3000000.0,66354,83155,3168489,251127,-10974245,93538427,82564182,8227163,54100000,20237019,0.0,-68594.0,-51593.0,-3495138.0,35319.0,17181.0,-800000.0,0.0,0.0,-181042.0,,,,,,,,,,
