公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他金融資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 持有供交易之金融負債增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他金融負債增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得以成本衡量之金融資產,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 取得無形資產,　　 其他金融資產減少,　　 其他非流動資產增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 其他非流動負債減少,　　 支付之利息,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 停業單位稅前淨利（淨損）,　　　　 處分採用權益法之投資損失（利益）,　　　　 買回應付公司債損失（利益）,　　 取得採用權益法之投資,　　 其他金融資產增加,　　 償還公司債,　　　　 股利收入,　　　　 股份基礎給付酬勞成本,　　 處分子公司,　　 發放現金股利,　　 庫藏股票買回成本,　　　　 呆帳費用提列（轉列收入）數,　　　　 金融資產減損損失,　　 其他非流動資產減少,　　 發行公司債,　　 舉借長期借款,　　 員工執行認股權,　　　　　 其他應付款增加（減少）,　　 非控制權益變動
3305,2016年01月01日至2016年09月30日,,312138,312138,,,53302,930,-7341,18237,-8813,2326,-527,58114,,,0,1244,-204199,-352513,-167100,-16466,-739034,,6934,38812,63034,4097,-4,112873,-626161,-568047,-255909,8813,-78917,-326013,,0,-329707,3357,,,136.0,-349887,,-165686,,,-19161,-249600,-81689,-1007189,2235002,1227813,1227813,,0.0,0.0,-28000.0,4327.0,0.0,0.0,0.0,0.0,-121489.0,-68327.0,,,,,126150.0,,,-1087.0
3305,2016年01月01日至2016年06月30日,,197352,197352,,,35339,640,-11915,12167,-5700,2095,-447,32536,,,0,2812,96141,-243439,-70087,6490,-208083,,11664,2819,16846,-7439,-3,23887,-184196,-151660,45692,5700,-31050,20342,,0,-225297,3242,,,336.0,-247090,,-181980,,,-12917,-184285,-45673,-456706,2235002,1778296,1778296,0.0,0.0,0.0,-28000.0,2629.0,0.0,,,0.0,,-47258.0,357.0,,,,57870.0,,,
3305,2016年01月01日至2016年03月31日,,82544,82544,,,17549,334,-1979,6145,-1787,822,-35,22193,,,-11177,4965,118482,-168560,-13172,-38033,-107495,,7920,-14306,36304,-5380,-3,12494,-95001,-72808,9736,1787,-15947,-4424,,0,-72058,1502,0.0,-1153.0,-94000.0,-193709,,-60685,0.0,0.0,-6636,-114579,-20864,-333576,2235002,1901426,1901426,,,,-28000.0,,,,,,,-47258.0,1144.0,,,,,,-12041.0,
3305,2015年度,,184838,184838,,,70190,1186,17301,25894,-33946,1205,5483,127251,,,682,4466,235811,186186,82982,-6616,503511,,-16894,89207,-50018,-4673,-372,17250,520761,648012,832850,33946,-78232,788564,,12964,-178210,35262,0.0,,,-120062,,-31132,0.0,,-25678,-265828,-55743,346931,1888071,2235002,2235002,,1973.0,0.0,0.0,-1877.0,,,1446.0,9258.0,-242979.0,-71979.0,36519.0,0.0,2541.0,0.0,86740.0,19200.0,,
3305,2015年01月01日至2015年09月30日,,132558,132558,,,55092,885,26564,19052,-19670,486,2257,68086,,,682,6458,200624,240946,58081,-26296,480495,,-26438,95874,10834,-9371,-7,70892,551387,619473,752031,19670,-54738,716963,,0,-100036,7901,,,-1076.0,-80610,,111805,,,-18796,-221949,22813,437217,1888071,2325288,2325288,,1973.0,0.0,0.0,3343.0,0.0,-20000.0,1447.0,9258.0,-242979.0,-71979.0,,,,,,,,
3305,2015年01月01日至2015年06月30日,,84854,84854,,,36665,594,27322,11762,-14500,351,-1872,62295,,,682,1438,236530,91745,21775,-6006,346164,,-27322,90600,-30547,-9164,0,23567,369731,432026,516880,14500,-37535,493845,,0,-22041,3014,,,-357.0,-9386,,83039,,,-11395,71644,-54719,501384,1888071,2389455,2389455,0.0,1973.0,0.0,9258.0,740.0,0.0,,,,,,,,,,,,,
3305,2015年01月01日至2015年03月31日,,44115,44115,,,18508,300,19259,5981,-6936,223,-156,37179,,,682,3295,155404,-7593,-78516,-12521,60751,,-9531,91513,-17375,-3267,0,61340,122091,159270,203385,6936,-18516,191805,,0,-15402,1274,0.0,-611.0,0.0,-14739,,-75249,0.0,0.0,-5763,-81012,-16391,79663,1888071,1967734,1967734,,,,,,,,,,,,,,,,,,,
3305,2014年度,,442257,442257,,,73263,1487,-693,20026,-25432,3947,-10057,65043,,,0,6009,24544,2225,-62992,1987,-28227,,11,-66979,-29892,3335,-225,-93750,-121977,-56934,385323,25432,-113809,296946,,-14757,-486109,22444,0.0,,,-468669,,222192,0.0,,-18450,18766,85728,-67229,1955300,1888071,1888071,,0.0,2502.0,0.0,3922.0,,,0.0,0.0,-237752.0,0.0,0.0,0.0,5831.0,-225224.0,278000.0,0.0,,
3305,2014年01月01日至2014年09月30日,,359768,359768,,,54917,1135,-2032,13812,-18096,2450,-2178,52510,,,0,-1046,-102388,28875,-117400,-3320,-195279,,3360,-2383,-14634,-3431,-171,-17259,-212538,-160028,199740,18096,-87983,129853,,-14815,-100396,7220,,,-3700.0,-107130,,336584,,,-14836,-141228,22784,-95721,1955300,1859579,1859579,,0.0,2502.0,0.0,4561.0,-225224.0,0.0,0.0,0.0,-237752.0,0.0,,,,,,,,
3305,2014年01月01日至2014年06月30日,,242769,242769,,,36822,757,-3202,9262,-12199,2272,-59,36155,,,36,905,-20671,29459,-26399,-14825,-31495,,2488,22907,-28841,-8377,-115,-11938,-43433,-7278,235491,12199,-42824,204866,,-14852,-36953,1974,,,-2770.0,-50498,,-221143,,,-10784,-457151,2134,-300649,1955300,1654651,1654651,0.0,0.0,2502.0,0.0,2103.0,-225224.0,,,,,,,,,,,,,
