公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 不動產、廠房及設備轉列費用數,　　　　 處分投資損失（利益）,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付費用（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 處分備供出售金融資產,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 存出保證金減少,　　 取得無形資產,　　 其他金融資產減少,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 應付短期票券增加,　　 償還長期借款,　　 存入保證金增加,　　 存入保證金減少,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 發放現金股利,　　　　　 應付帳款增加（減少）,　　 預付設備款增加,　　 短期借款減少,　　 其他金融資產增加,　　 應付短期票券減少,　　 發行公司債,　　　　 買回應付公司債損失（利益）,　　 償還公司債
2707,2016年01月01日至2016年09月30日,,800361,800361,,,322043,11013,6451,24824,-1504,-571,19236,0,5745,419906,,,165311,-44839,4164,22188,3261,7,35,150127,,-63699,-27016,-37717,850,-1132,-128714,21413,441319,1241680,1503,-7046,-236260,999877,,0,-272934,1637,-2083,3122,-11668.0,109419,-182422,,387605.0,74600,-42857,14097,-10246,-634089,28370,211736,629710,841446,841446,-1124488.0,,-9915.0,,,,1499300.0,32669.0,-1432100.0
2707,2016年01月01日至2016年06月30日,,556117,556117,,,212343,6957,8561,18035,-901,-502,12604,0,3830,260927,,,-454637,12108,10998,22084,-7709,-14,0,-417170,,-55492,-65194,-63184,151,-826,-184545,-601715,-340788,215329,898,-6774,-118336,91117,,0,-184712,1568,-2156,2945,-2560.0,89726,-99104,,383079.0,3900,-28572,10377,-7745,1860339,21615,1873967,629710,2503677,2503677,,,-2013.0,,-1902.0,0.0,1499300.0,,
2707,2016年01月01日至2016年03月31日,,309940,309940,,,104129,3430,2841,7478,-337,-83,1581,0,1915,120954,,,-122928,-23088,12291,16700,-5844,-53,0,-122922,,-56467,-125848,-25886,-83,-350,-208634,-331556,-210602,99338,334,-1857,-10,97805,,0,-130315,325,-1657,1185,,44527,-86065,,,-600,-14286,5576,-807,-56217,-4509,-48986,629710,580724,580724,,,-130.0,-46100.0,,,,,
2707,2015年度,,1357780,1357780,,,371767,13740,-2546,30543,-2129,-1063,15300,-4589,7659,428682,,,-22346,12987,69096,-28335,10372,11668,-270,53172,,14081,36980,20712,4093,-3210,72656,125828,554510,1912290,12365,-17155,-232713,1674787,,25153,-606944,1078,-5299,2676,0.0,-79190,-667316,,31500.0,-400,-57143,10306,-8134,-1135692,27754,-100467,730177,629710,629710,-1111821.0,,-4790.0,,,,,,
2707,2015年01月01日至2015年09月30日,,980610,980610,,,275535,10304,590,29810,-8878,-311,8624,-4589,5743,316828,,,18523,18356,99626,-8919,3780,11736,-6627,136475,,4229,-32863,-88984,2068,-2103,-204560,-68085,248743,1229353,8871,-13129,-236239,988856,,25153,-305631,326,-3153,1279,0.0,32324,-249702,,336000.0,33000,-42858,5446,-5544,-785777,19304,-27319,730177,702858,702858,-1111821.0,-86907.0,,,,,,,
2707,2015年01月01日至2015年06月30日,,715553,715553,,,180812,6867,5883,19301,-6084,-303,6392,-4589,3829,212108,,,-559279,13967,87972,-11531,8130,11735,-2728,-451734,,-21906,-65256,-89426,-3713,-979,-181280,-633014,-420906,294647,6077,-8194,-115236,177294,,25153,-239350,318,-1959,668,0.0,-29079,-244249,,0.0,-4500,-28572,2589,-3089,-33572,-14458,-114985,730177,615192,615192,0.0,,,,,,,,
2707,2015年01月01日至2015年03月31日,,363601,363601,,,87833,3437,-837,9661,-2692,-258,2734,-4594,1915,97199,,,-183489,-9079,2859,-17061,2794,-4549,-2010,-210535,,10082,-159572,-47024,-3713,-311,-200538,-411073,-313874,49727,2704,-4109,-6,48316,,25153,-163099,264,-30,390,0.0,-49193,-186515,,-2000.0,2500,-14286,120,-200,-13866,32315,-119750,730177,610427,610427,,,,,,,,,
2707,2014年度,,1372721,1372721,,,308191,14026,-8495,41337,-12739,-1513,22342,0,7660,370809,,,235259,23382,-90604,-4379,-27713,-11375,-238,124332,,25844,-75563,78188,-620,3449,31298,155630,526439,1899160,12729,-19424,-250236,1642229,,0,-902543,3043,-1480,203,-296.0,59083,-851375,,-39500.0,21000,-57143,6847,-17108,-964953,17950,-156149,886326,730177,730177,-879049.0,,-9385.0,,,,,,
2707,2014年01月01日至2014年09月30日,,928933,928933,,,224994,10577,-5188,29910,-9817,-1332,12186,0,5745,267075,,,301164,38940,6433,-646,-40692,179,-8218,297160,,6286,-164837,-26237,-3710,4584,-174396,122764,389839,1318772,9803,-13554,-250216,1064805,,0,-761247,2703,-1319,195,-241.0,118379,-641530,,186500.0,164000,-42858,6261,-14192,-579338,18454,-137609,886326,748717,748717,-879049.0,9518.0,,,,,,,
2707,2014年01月01日至2014年06月30日,,648396,648396,,,144238,7115,-4496,18930,-6378,-1329,10061,0,3830,171971,,,-186850,27365,4172,2586,-43699,315,-7042,-203153,,26519,-109515,-13077,-3710,4935,-94848,-298001,-126030,522366,6330,-8011,-130470,390215,,0,-526676,2670,-1186,169,-255.0,74222,-451056,,-2500.0,5000,-28572,5212,-8042,-28902,19985,-69758,886326,816568,816568,0.0,,,,,,,,
