公司代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 不影響現金流量之收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 金融資產減損損失,　　　　 金融資產減損迴轉利益,　　　　 其他項目,　　　　 不影響現金流量之收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收票據－關係人（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 其他應收款－關係人（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 遞延借項（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付票據－關係人增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得以成本衡量之金融資產,　　 取得採用權益法之投資,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 取得無形資產,　　 收取之利息,　　 其他投資活動,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款減少,　　 償還長期借款,　　 支付之利息,　　 退還（支付）之所得稅,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 利息費用,　　　　 利息收入,　　　　 不動產、廠房及設備轉列費用數,　　　　　 其他金融資產（增加）減少,　　　　　 其他應付款－關係人增加（減少）,　　　　 處分投資損失（利益）,　　　　　 其他營業負債增加（減少）,　　 處分採用權益法之投資,　　 存出保證金減少,　　 存入保證金減少,　　　　 非金融資產減損迴轉利益,　　　　　 應付建造合約款增加（減少）,　　 處分透過其他綜合損益按公允價值衡量之金融資產,　　 取得無活絡市場之債券投資,　　 處分無活絡市場之債券投資,　　 存入保證金增加,　　　　 股利收入,　　 收取之利息-營業活動,　　 取得原始認列時指定為透過損益按公允價值衡量之金融資產,　　 存出保證金增加,　　 現金增資,　　　　 投資性不動產公允價值調整損失(利益),　　 取得透過其他綜合損益按公允價值衡量之金融資產,　　 收取之股利,　　　 收益費損項目,　　　　 收益費損項目合計,　　 處分無活絡市場之債務工具投資,　 營業活動之現金流量－直接法,　　 營業活動之收現類別,　　　 營業活動之收現類別合計,　　 取得無活絡市場之債務工具投資,　　 預付設備款增加
1529,2015年01月01日至2015年06月30日,,-34417,-34417,,,1503,,780.0,8574,-123,6,16000.0,,,,,,-1980,,-8471,-5911,-31,5047,7850,484,-211.0,295.0,0,-2928,,398,,-1063,1492,-980,47.0,0.0,117,11,-2917,24862,-9555,-9763,,,,-440,0.0,,93,,-24704,,-1000,-2297,-1115,-301.0,-5003,,-39470,53051,13581,13581,1107.0,-68.0,,,,,0.0,,2315.0,,0.0,,0.0,,,-591.0,,,,,,,-3080.0,,,27779.0,532.0,,,-9763.0,0.0,-24031.0
1529,2015年01月01日至2015年03月31日,,-7046,-7046,,,757,0.0,676.0,2197,722,0,,,,,,,-817,0.0,-8110,-8068,-17,5048,2530,-3490,-83.0,,-17771,-30778,,954,,3258,0,-713,53.0,,-62,3490,-27288,-22408,-29454,-29403,,,,0,,,51,,-7474,,-1000,-1146,-562,,-3102,,-39979,53051,13072,13072,561.0,-33.0,0.0,,,,,,1280.0,-394.0,,,,,,,,,,,,,-8787.0,,,4880.0,33.0,,,,,
1529,2014年度,,-28128,-28128,,,3347,0.0,4050.0,-323,265,-23420,0.0,,0.0,-13718.0,,,-864,0.0,5768,-65,-161,1122,14097,3802,,,361,24060,,-301,,3896,-972,-1011,-109.0,0.0,118,1621,25681,11963,-16165,-16043,,-160000.0,,-90,71177.0,,545,,-95210,,-33020,-4483,-3584,-423.0,92065,,-19188,72239,53051,53051,3546.0,-449.0,,,,0.0,,,21614.0,-348.0,-604.0,,,,6047.0,,-130.0,,,,133500.0,0.0,-34236.0,278.0,,,,,,,,
1529,2014年01月01日至2014年09月30日,,-32017,-32017,,,2602,0.0,10553.0,3500,1129,-23416,0.0,0.0,0.0,-3597.0,,,56,0.0,-18022,-1210,1947,200,10465,-275,-246.0,,320,-6765,,-1585,,7949,2885,-105,3889.0,0.0,191,13224,6459,2862,-29155,-29313,,-50000.0,0.0,-90,71167.0,,0,,3937,,-33020,-3344,-3009,-421.0,93779,,68403,72239,140642,140642,2968.0,-164.0,,0.0,0.0,0.0,0.0,0.0,0.0,-348.0,-661.0,,,,5478.0,,-108.0,263.0,-20245.0,-2373.0,133500.0,,,,,,,,,,,
1529,2014年01月01日至2014年06月30日,,-34409,-34409,,,1804,,3069.0,-83,1251,-8,,,,7637.0,,,-1589,,-21698,140,9,105,2673,-1418,-186.0,,813,-21151,,1430,,4653,4811,-1424,3962.0,135.0,123,13690,-7461,176,-34233,-34016,,,,-90,10.0,,193,,3661,,-1020,-2220,-2136,24.0,-5380,,-35735,72239,36504,36504,2118.0,-122.0,,,,,0.0,,3244.0,,-392.0,0.0,1505.0,-1008.0,0.0,-4.0,,,,,,,,,,,,,,,,
1529,2014年01月01日至2014年03月31日,,-5891,-5891,,,901,50.0,0.0,-1698,951,14,0.0,0.0,-368.0,479.0,,,-34,-77.0,1413,868,-1224,48,-3893,-17156,-10.0,0.0,-1793,-21609,,22,,308,-808,-561,0.0,-705.0,227,-1517,-23126,-22647,-28538,-28538,,0.0,0.0,-90,0.0,0.0,1404,0.0,638,,-1020,-1105,-1083,,-3208,,-31108,72239,41131,41131,1079.0,-37.0,-413.0,249.0,,,0.0,,-676.0,,,,,,,,,,,,,,,,,,,,,,,
1529,2013年度,,-80118,-80118,,,4050,107.0,38856.0,-638,1332,-3381,0.0,,0.0,64134.0,,,51467,23.0,7941,6383,-196,10696,11783,1356,,,-41544,47909,,-2617,,-1920,-5776,529,16.0,-812.0,-182,-10762,37147,101281,21163,24166,,0.0,,-23768,3980.0,,3003,,-24523,,-670,-4335,-4817,0.0,-13072,,-13429,85668,72239,72239,4693.0,-3131.0,,,,0.0,,,319.0,-3250.0,22246.0,,,,444.0,,0.0,,,,0.0,0.0,-5498.0,0.0,,,,,,,,
1529,2013年01月01日至2013年12月31日,,-80118,-80118,,,4050,107.0,,-638,1332,-3381,0.0,,54350.0,57382.0,,,51467,23.0,7941,6383,-196,10696,18535,1356,412.0,,-49254,47807,,-2617,,-1920,-5776,529,,-812.0,-182,-8962,38845,96227,16109,16109,,,0.0,-23768,3980.0,,3003,,-16466,,-670,-4335,-4817,0.0,-13072,,-13429,85668,72239,72239,4693.0,-3131.0,,444.0,,0.0,1816.0,0.0,319.0,-3250.0,,,,,,,,,,,,,,,,,,,,,,
1529,2013年01月01日至2013年09月30日,,-68685,-68685,,,2788,96.0,,-250,727,-2979,0.0,0.0,37018.0,38594.0,,,49592,23.0,-25388,6205,1323,10548,-87,-2156,-3906.0,,-25979,10692,,1797,,-1895,-6444,-1021,,627.0,142,-9776,916,39510,-29175,-29175,,,0.0,-1480,3973.0,,231,,4439,,-670,-3239,-3661,,-7570,,-32306,85668,53362,53362,3541.0,-2347.0,,517.0,44.0,0.0,-3026.0,0.0,1715.0,,,,,,,,,,,,,,,,,,,,,,,
1529,2013年01月01日至2013年06月30日,,-8465,-8465,,,2030,86.0,0.0,-128,735,-132,0.0,,-4062.0,-873.0,,,46830,23.0,-17289,5155,-12659,10474,-11426,-804,-75.0,,-30149,-9658,,-3269,,1853,-586,-1732,162.0,1088.0,-20,-2504,-12162,-13035,-21500,-21500,,,0.0,-434,473.0,0.0,1392,-1711.0,-280,,-670,-2151,-2466,0.0,-5287,0.0,-27067,85668,58601,58601,2332.0,-1442.0,-292.0,262.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
