證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 金融資產減損損失,　　　　 非金融資產減損損失,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款－關係人增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 收取之股利,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 處分備供出售金融資產,　　 取得無活絡市場之債務工具投資,　　 處分以成本衡量之金融資產,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 存出保證金減少,　　 取得無形資產,　　 其他金融資產增加,　　 其他非流動資產增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 舉借長期借款,　　 存入保證金增加,　　 存入保證金減少,　　 發放現金股利,　　 現金減資,　　 庫藏股票買回成本,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 其他金融資產減少,　　 短期借款減少,　　　　 處分其他資產損失（利益）,　　　　　 其他金融資產（增加）減少,　　　　　 其他金融負債增加（減少）,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 取得備供出售金融資產,　　 取得採用權益法之投資,　　　　　 應付帳款－關係人增加（減少）,　　 員工執行認股權,　　 非控制權益變動
3380,2015年01月01日至2015年09月30日,,               -174594,               -174594,,,                358691,                 53567,                 -4463,                 51462,                 11893,                -24260,                              0,                 18000,                 15849,                  2050,                328866,                 40071,                 63068,                914794,,,               -328284,                995190,               -451854,                265930,                    690,                481672,,                -18179,                 -3357,               -206033,                 18003,               -131889,               -341455,                140217,              1055011,                880417,                 26423,                              0,                -12722,               -160706,                733412,,                              0,                -77925,                  7946,                -84594,                  8287,                              0,                 34792,                -46142,             -2031772,                              0,             -2189408,,              1663800,                300000,                              0,                    -42,               -579293,               -482744,                 -7306,                894415,                 14594,               -546987,              2281025,              1734038,              1734038,,,,,,,,,,,,,
3380,2015年01月01日至2015年06月30日,,                 90679,                 90679,,,                240985,                 35873,                 -2577,                    924,                  9771,                -17260,,                 12000,                 15977,                  2050,,,                 60758,                358501,,,               -329039,                548540,                 93814,                245370,                    690,                559375,,                179762,                 -2610,               -227875,                 12003,               -131889,               -170609,                388766,                747267,                837946,                 17494,,                -10827,                -80697,                763916,,,                -77925,                  7946,                -49913,                  5919,                              0,                 33264,                -30354,                              0,,                -43821,,                              0,                 10000,                              0,                   -116,,,                 -7306,               -166458,                -42161,                511476,              2281025,              2792501,              2792501,                 67242,               -169036,,,,,,,,,,,
3380,2015年01月01日至2015年03月31日,,                 83348,                 83348,,,                121972,                 18096,                 -7714,                -15925,                  4111,                 -4673,,                  6000,                  6285,,,,                 11161,                141363,,,                252715,                619309,               -114357,                213099,,                971456,,                 -4206,                  3542,               -396237,                  6003,,               -522787,                448669,                590032,                673380,                  6719,,                 -4196,                -33993,                641910,,,,                  7946,                -17917,                  4002,,                    206,                -21539,             -2506168,,             -2533470,,              2658304,,                     -7,,,,                 -7306,              2650991,                -10885,                748546,              2281025,              3029571,              3029571,,,                  2050,                    690,               -131889,,,,,,,,
3380,2014年度,,                658043,                658043,,,                478998,                 86039,                  7271,                131199,                 32538,                -50834,                 -9899,                 24000,                  3819,                   -910,,,                147525,,,,                574044,                -25668,                234345,                561152,,              1353158,,             -1046129,                 -3594,                 61825,,,             -1029441,                323717,              1173463,              1831506,                 48696,                  9899,                -31608,                -68145,              1790348,,                  1995,,,               -248418,                 13360,,                -24783,                -80298,                464859,,                126715,,               -287999,                              0,,                    194,               -663265,,               -204272,             -1155342,                -23400,                738321,              1542704,              2281025,              2281025,,,                              0,                  9285,                -51312,,                849746,                  9769,                              0,                              0,,,
3380,2014年01月01日至2014年09月30日,,                321468,                321468,,,                356695,                 64676,                  6835,                 53901,                 20961,                -27245,                    -45,                 18000,                  3310,                   -911,                              0,                              0,                222567,                718744,,,                885400,                 42254,                -88626,                368113,                  9285,              1216426,,             -1424299,                 -4839,               -220038,                 18002,                -51312,             -1682486,               -466060,                252684,                574152,                 24674,                     45,                -19010,                -58120,                521741,,                  1995,                              0,                              0,               -183097,                 12989,                -18296,                              0,                -46685,             -2656689,                -14213,             -2903996,,              3096103,                              0,                    151,                              0,               -663265,                              0,               -129509,              2303480,                  2258,                -76517,              1542704,              1466187,              1466187,,,,,,,,,,,,,
3380,2014年01月01日至2014年06月30日,,                162398,                162398,,,                239655,                 43004,                  5219,                -15601,                 11287,                -14087,,                 12000,                    806,                              0,,,                 83392,                365675,,,                572398,                 61276,               -206397,                 82320,                  9285,                518882,,               -827674,                 -5360,                -89670,                 11875,                -51312,               -962141,               -443259,                -77584,                 84814,                 13519,,                -18542,                -17341,                 62450,,,                              0,                              0,                -73182,                  1028,                -17038,                              0,                -40141,             -1330748,,             -1460081,,              1537925,                              0,                    181,                              0,,,               -129509,              1408597,                -32030,                -21064,              1542704,              1521640,              1521640,                              0,                              0,,,,,,,,,,,
3380,2014年01月01日至2014年03月31日,,                 57335,                 57335,,,                121140,                 19536,                  4668,                 86461,                 15644,                 -7988,,                  6000,                    503,,,,                 32541,                278505,,,                852457,                177453,               -335951,               -375282,,                327962,,               -690572,                 -4479,               -263030,                  5875,,             -1003518,               -675556,               -397051,               -339716,                  8096,,                -15394,                -10794,               -357808,,,,                              0,                -69254,                    537,,                    579,                -14853,                315721,,                232730,,                 61501,,                    194,,,,                -80358,                -18663,                -20746,               -164487,              1542704,              1378217,              1378217,,,                              0,                  9285,                -51312,,,,,,,,
3380,2013年度,,                964522,                964522,,,                472758,                 90260,                -52181,                 42202,                 36373,                -21938,                 -9854,                  6529,                  8828,                              0,,,                 41169,,,,                184337,               -271704,               -803682,               -516139,,             -1394259,,                898245,                 -6821,                103230,,,                989528,               -404731,                209415,              1173937,                 19223,                  9854,                -37634,               -194442,                970938,,                              0,,,               -305724,                 48574,,                 -9498,                -63960,               -427697,,               -812579,,               -177908,                308763,,                    141,               -555680,,               -223261,               -647945,                 29532,               -460054,              2002758,              1542704,              1542704,,,                              0,                 12929,                 -2828,,                614146,                 -2298,                 -1085,                -53189,,,
3380,2013年01月01日至2013年12月31日,,                964522,                964522,,,                472758,                 90260,                -52181,                 42202,                 36373,                -21938,                 -9854,                  6529,                  8828,,,,                 41169,,,,                184337,               -271704,               -803682,               -516139,,             -1394259,,                898245,                 -6821,                103230,,,                989528,               -404731,                209415,              1173937,                 19223,                  9854,                -37634,               -194442,                970938,,,,,               -292986,                 48574,,                 -9498,                -63960,               -427697,                -12738,               -812579,,               -177908,                308763,,                    141,               -555680,,               -223261,               -647945,                 29532,               -460054,              2002758,              1542704,              1542704,,,,                 12929,                 -2828,,                614146,                 -2298,                 -1085,                -53189,,                              0,
3380,2013年01月01日至2013年09月30日,,                616406,                616406,,,                352362,                 66351,                 -8528,                -38533,                 14994,                -16610,                 -9854,                              0,                  1674,,,,                 34525,,,,                823450,               -431429,               -290171,               -280142,,               -165363,,                166324,,                261306,,,                432221,                266858,                663239,              1279645,                 19386,                  9854,                -29135,               -183493,              1096257,,                              0,,,               -207619,                 46690,,                   -667,                -35510,                -20750,                 12893,               -206047,,,                302359,                              0,               -555680,,,               -223262,               -750259,                -12029,                127922,              2002758,              2130680,              2130680,,               -273676,                              0,                 12929,                 -2886,,                396381,                 18003,                 -1084,,                -10526,,
