證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資性不動產損失（利益）,　　　　 處分投資損失（利益）,　　　　 非金融資產減損損失,　　　　 未實現外幣兌換損失（利益）,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 處分以成本衡量之金融資產,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金減少,　　 處分投資性不動產,　　 其他金融資產增加,　　 其他金融資產減少,　　 其他非流動資產減少,　　 收取之利息,　　 收取之股利,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 應付短期票券減少,　　 其他非流動負債增加,　　 其他非流動負債減少,　　 發放現金股利,　　 支付之利息,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 存出保證金增加,　　 其他非流動資產增加,　　 應付短期票券增加,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 透過其他綜合損益按公允價值衡量之金融資產減資退回股款,　　 取得按攤銷後成本衡量之金融資產,　　 取得以成本衡量之金融資產,　　 對子公司之收購（扣除所取得之現金）,　　 取得投資性不動產,　　 取得備供出售金融資產,　　 處分備供出售金融資產
1417,2015年01月01日至2015年09月30日,,               -311915,               -311915,,,                123868,                    288,                  5961,                 29373,                  8537,                 -7933,                -51188,                  8186,                   -377,                              0,                -21491,                 53818,                 -1347,                147695,,,                 67502,                 63285,               -564662,                236033,                -50789,               -248631,,                 43491,                  5047,                  2172,                   -144,                 -3125,                 47441,               -201190,                -53495,               -365410,                 -1137,               -366547,,                              0,                -90537,                  1534,                  2077,                              0,                              0,                130358,                    446,                  7933,                 51188,                102999,,                200000,               -153214,                  1871,                              0,                              0,                 -5599,                 43058,                 15666,               -204824,              1015844,                811020,                811020,,,,,,,,,,,,,
1417,2015年01月01日至2015年06月30日,,               -182581,               -182581,,,                 82921,                    191,                  5050,                  2562,                  5651,                 -6246,                -18901,                  4719,                   -152,,                 -5434,                 17302,                  1592,                 89255,,,                 40730,                  3259,               -173869,                208223,                -12042,                 66301,,                 29220,                 -8013,                 -3026,                  2219,                 -3740,                 16660,                 82961,                172216,                -10365,                 -1083,                -11448,,                              0,                -66730,                  1308,,                              0,                102433,,,                  6246,                 18901,                 63309,,                190000,,                 -1725,,,                 -3674,                 32413,                 -5342,                 78932,              1015844,              1094776,              1094776,                  1250,                    -99,               -152188,,,,,,,,,,
1417,2015年01月01日至2015年03月31日,,                -92584,                -92584,,,                 41079,                     97,                  2986,                    809,                  2930,                 -3065,,                  1005,                   -152,,                 -5434,                 17815,                    533,                 58603,,,                 70790,                -18286,               -201093,                139026,                -14356,                -23919,,                137272,                -37015,                 -4858,                  4426,                    510,                100335,                 76416,                135019,                 42435,                   -279,                 42156,,                              0,                -42902,                    152,,                              0,                 28092,,,                  3065,,                -10286,,                160000,,                   -202,,,                 -1988,                  6529,                 -1368,                 37031,              1015844,              1052875,              1052875,                    947,                    360,               -151281,,,,,,,,,,
1417,2014年度,,                 19923,                 19923,,,                133177,                    377,                 -7679,                -10463,                  9510,                -22825,                -46467,                   -341,                 -1420,,                -33102,                 19926,                 -7743,,,,                151475,                 42930,               -232933,               -281614,                 -2557,               -322699,,                -10847,                -31425,                  1704,                -14745,,                -53294,               -375993,               -343043,               -323120,                -29319,               -352439,,                  8606,               -145879,                              0,,                  4549,               -174152,,,                 22825,                 46467,               -206932,,                 30000,,                 -6083,,                -75977,                 -6489,                 58104,                 35345,               -465922,              1481766,              1015844,              1015844,                 -1689,                  8346,                116653,,                 32950,                  2019,                              0,                 23995,                              0,                              0,                              0,,
1417,2014年01月01日至2014年09月30日,,                  3903,                  3903,,,                 94798,                    281,                 -8292,                 -7529,                  6876,                -18840,                -46142,                 -5485,                              0,                 -4260,                -33356,                  5983,                 -1693,                -17659,,,                105686,                 52411,               -353835,               -102073,                -33941,               -331752,,                  6461,                  2611,                 -2913,                   -810,                  1530,                  6879,               -324873,               -342532,               -338629,                -32874,               -371503,,                  8606,                -99459,                              0,                  4001,                  4265,                -23367,                              0,                  8438,                 18840,                 46142,                -32534,,                190000,                -52143,                              0,                 -4510,                -75977,                 -4739,                 52631,                  4997,               -346409,              1481766,              1135357,              1135357,,,,,,,,,,,,,
1417,2014年01月01日至2014年06月30日,,                 79473,                 79473,,,                 63276,                    188,                 -7268,                -12061,                  4352,                -13962,                -16928,                -11653,                 -4250,,                -11177,                -12608,                  1056,                -21035,,,                103530,                101902,                 40302,                -58205,                  6950,                194479,,                 -9676,                -43384,                 -9500,                  2955,                  1034,                -58571,                135908,                114873,                194346,                -29034,                165312,,                  8606,                -68558,                              0,,                  4252,                 17186,,,                 13962,                 16928,                -37443,,                100000,,                 -3369,,,                 -2852,                -57669,                -22741,                 47459,              1481766,              1529225,              1529225,                  4388,                -34207,               -151448,,,,,,,,,,
1417,2014年01月01日至2014年03月31日,,                 92960,                 92960,,,                 29625,                     95,                 -7530,                 -7909,                  2272,                 -6977,,                -15869,                 -4226,,                 -7390,                 10332,                 -1621,                 -9198,,,                129733,                 33581,                -64960,                -37644,                  7428,                 68138,,                 -9706,                -71958,                 -7207,                -10339,                    494,                -98716,                -30578,                -39776,                 53184,                 -8325,                 44859,,                  8606,                -25852,                              0,,                  4226,                              0,,,                  6977,,                 -1659,,                -10000,,                 -4499,,,                 -1503,                -66904,                  4732,                -18972,              1481766,              1462794,              1462794,                  5141,                   -757,                -50902,,,,,,,,,,
1417,2013年度,,                 32223,                 32223,,,                 94592,                    371,                 11255,                -18308,                  9848,                -39892,                -50070,                 18959,                   -318,,                -87592,                129763,                   -746,,,,               -133849,                -27358,               -114318,                -10050,                  3380,               -282195,,               -122313,                 12228,                 -1500,                 -1671,,               -114916,               -397111,               -329249,               -297026,                -53461,               -350487,,                  6804,               -104744,                  1132,,                              0,                 53152,,,                 39892,                 50070,                 71249,,                120000,,                 -3077,,               -189942,                 -5545,               -132177,                 72553,               -338862,              1820628,              1481766,              1481766,                -10257,                  1962,                -53613,,                 67862,                 -1660,                -14845,                 92891,                   -454,                -44220,                   -134,,
1417,2013年01月01日至2013年12月31日,,                 32223,                 32223,,,                 94592,                    371,                 11255,                -18308,                  9848,                -39892,                -50070,                 18959,                   -318,,                -87592,                129763,                   -746,,,,               -133849,                -27358,               -114318,                -10050,                  3380,               -282195,,               -122313,                 12228,                 -1500,                 -1671,,               -114916,               -397111,               -329249,               -297026,                -53461,               -350487,,                  6804,               -104744,                  1132,,,                 53152,,,                 39892,                 50070,                 71249,,                120000,,                 -3077,,               -189942,                 -5545,               -132177,                 72553,               -338862,              1820628,              1481766,              1481766,                -10257,                  1962,                -53613,,                 67862,                 -1660,,,                   -454,                -44220,                   -134,                -14845,                 92891
1417,2013年01月01日至2013年09月30日,,                -81926,                -81926,,,                 69629,                    278,                  5757,                 -9803,                  7365,                -32516,                -41080,                  9237,                      9,,                 -5412,                104527,                    443,,,,                  7052,                -16216,               -294193,                -78153,                -26626,               -408136,,                -14781,                -45636,                 -2508,                -15483,,                -80502,               -488638,               -380204,               -462130,                -53597,               -515727,,                  6804,                -72317,                    769,,                              0,                 53053,,,                 32516,                 41080,                 -8028,,                210000,,                    606,,               -189942,                 -4136,                -16277,                 54696,               -485336,              1820628,              1335292,              1335292,                 -3899,                -50579,                -32805,,                108434,                 -2094,,,                   -454,,                   -134,                -14867,
