證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收票據－關係人（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付費用（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他金融資產（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 持有供交易之金融負債增加（減少）,　　　　　 應付票據增加（減少）,　　　　　 應付票據－關係人增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他應付款－關係人增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 收取之股利,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 存出保證金減少,　　 取得投資性不動產,　　 其他金融資產減少,　　 其他非流動資產增加,　　 預付設備款增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 舉借長期借款,　　 償還長期借款,　　 存入保證金增加,　　 其他應付款－關係人減少,　　 發放現金股利,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 其他符合國際會計準則第七號現金及約當現金定義之項目,　　 其他應付款－關係人增加,　　　　　 其他應收款－關係人（增加）減少,　　 其他金融資產增加,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 應收款項減少,　　 預付設備款減少,　　 停業單位稅前淨利（淨損）,　　　　　 其他金融負債增加（減少）,　　 其他投資活動
1220,2015年01月01日至2015年09月30日,,                 95079,                 95079,,,                 45073,                  4534,                  6404,                 -2810,                  3859,                   -552,                 -4154,                      3,                 52357,,,                   -518,                 74850,                 16615,                 27001,                  4119,                  4617,                -41510,                 27979,                 31708,                   -593,                 10234,                 -7532,                146970,,                    546,                    894,                              0,                -24894,                -16246,                 19801,                   -545,                 -1767,                -30309,                    121,                 -5080,                -57479,                 89491,                141848,                236927,                    578,                  4154,                 -5070,                -16458,                220131,,                -54046,                     97,                              0,                  2669,                   -506,                  9000,                 -4748,                 -3008,                -50542,,                584558,               -819521,                 20000,                 -2066,                     30,                -35000,                -55626,                 50000,               -257625,                 -3392,                -91428,                411893,                320465,                320465,                              0,,,,,,,,,,,
1220,2015年01月01日至2015年06月30日,,                 19333,                 19333,,,                 29960,                  3216,                  7959,                  7109,                  2846,                   -428,,                      3,                 50665,,,                   -518,                101525,                 15907,                 95052,                  3208,                 11158,                 60668,                 29825,                -43798,                 -1439,                 10234,                 -9846,                271976,,                    428,                  2953,                              0,                -23819,                -12662,                 25274,,                 -1110,                -28490,                      7,                 -4907,                -42326,                229650,                280315,                299648,                    453,,                 -3881,                -10965,                285255,,                -25006,                     97,                              0,                  2669,                   -506,                  3000,                    -94,                   -408,                -20248,,                439177,               -660445,,                 -1374,                     30,,                 -2504,,               -225661,                    329,                 39675,                411893,                451568,                451568,                              0,                   -545,,,,,,,,,,
1220,2015年01月01日至2015年03月31日,,                 -4898,                 -4898,,,                 14918,                  1833,                  7379,                  3821,                    641,                   -173,,                     55,                 28474,,,                              0,                 98263,                 18011,                125680,                 -1154,                 -4941,                -49148,                 31529,                 65720,                 -5092,                  2000,                 -9995,                270873,,                     44,                 -1049,                  3597,                -26216,                -16580,                -10131,                   -545,                   -650,                    566,                    -24,                    234,                -50754,                220119,                248593,                243695,                    199,,                 -1974,,                241920,,                -14569,                     45,                -13890,                  2669,                    -10,                  2000,                              0,                 -3318,                -37156,,                215382,               -421828,,                   -685,                     30,,,,               -207101,                   -559,                 -2896,                420127,                417231,                417231,                              0,                              0,                              0,                -10083,,,,,,,,
1220,2014年度,,                 52170,                 52170,,,                 72844,                  6058,                 -7866,                 -7490,                  5831,                 -1804,                 -4265,                    388,,,,               -150000,                -54474,                -11961,                 10077,                  2595,                 52258,                -33387,                -32678,                -16768,                   -163,                -10234,                  5122,               -239612,,                              0,                 -2090,                              0,                 32647,                 16119,                 13945,                  5009,                   -402,                 -1216,                    214,,                 58917,               -180695,               -116999,                -64829,                  1801,                  4265,                 -5200,                 -3282,                -67245,,                -27775,                    605,                 -5903,                  4946,                   -289,,                 -2619,                -28817,                -72852,,                435776,               -281592,                              0,                 -6296,                              0,,                -64063,,                 83825,                 -3253,                -59525,                471418,                411893,                411893,                              0,                              0,                      1,                -13000,,                 63696,                 -5309,                              0,                              0,,,
1220,2014年01月01日至2014年09月30日,,                 58980,                 58980,,,                 56250,                  4506,                  1038,                 -4273,                  3344,                 -1035,                 -4265,                     64,                 55629,,,               -160090,                 -2697,                  2667,                 10885,                  6802,                 41984,                -28870,                  1832,                 17501,                 -1986,                              0,                -11331,               -123303,,                     96,                 -1747,                  3972,                 22045,                  1842,                  2847,                  4464,                 -1845,                   -447,                    150,                 -4634,                 26743,                -96560,                -40931,                 18049,                  1057,                  4265,                 -3712,                 -2761,                 16898,,                -20705,                    471,                 -5902,                  3276,                   -289,                              0,                 -2135,                -27163,                -52447,,                453520,               -495658,                              0,                 -5614,                              0,                              0,                -64063,                              0,               -111815,                   -553,               -147917,                471418,                323501,                323501,                              0,,,,,,,,,,,
1220,2014年01月01日至2014年06月30日,,                 46249,                 46249,,,                 37547,                  2943,                  2096,                    -19,                  2871,                   -627,,                    -35,                 44776,,,               -210090,                 33335,                  4048,                 56105,                 -7782,                 44577,                -96228,                  1191,                 48907,                 -1881,                -14569,                -12446,               -154833,,                     96,                  2681,                  3142,                 -3481,                    665,                 10171,,                 -1349,                 -2207,                    224,                 -4356,                  5586,               -149247,               -104471,                -58222,                    649,,                 -2830,                 -2732,                -63135,,                -16233,                    300,                 -5902,                  2991,                    -17,                              0,                 -1651,                -25237,                -45749,,                230527,               -349112,,                 -3875,                              0,,                 -2085,,               -120081,                   -307,               -229272,                471418,                242146,                242146,                              0,                  4464,,,,,,,,,,
1220,2014年01月01日至2014年03月31日,,                 28038,                 28038,,,                 18841,                  1445,                  1245,                 -3395,                  1868,                   -218,,                     48,                 19834,,,               -200000,                 78717,                  5651,                137090,                 -4264,                 -1494,                -21583,                    355,                 30037,                 -4666,                -15032,                -11719,                 -6907,,                              0,                   -508,                  2481,                -31100,                   -546,                 -9619,                              0,                   -641,                  3156,                     56,                 -4338,                -41059,                -47966,                -28132,                    -94,                    240,,                 -1475,,                 -1329,,                 -8812,                    167,                              0,                  2157,                              0,                              0,                   -464,                -12248,                -19200,,                252843,               -209827,,                 -1933,                              0,,,,                 45547,                 -1047,                 23971,                471418,                495389,                495389,                              0,                  4464,                      1,                              0,,,,,,,,
1220,2013年度,,                 48254,                 48254,,,                 78553,                  4825,                  6207,                 -1298,                  3483,                   -610,                 -2079,                    226,,,,                              0,                 50015,                  2742,                -32549,                  1404,                -63145,                249139,                   -639,                -55360,                   -303,                              0,                 -3976,                147327,,                              0,                   -422,                              0,                -56144,                   -191,                 -7965,                              0,                  1603,                 32505,                     77,,                -33535,                113792,                203099,                251353,                    608,                  2079,                 -3306,                 -1693,                249041,,                -39561,                    171,                 -2998,                              0,                   -200,,                 -6781,                 -8416,                -56125,,                329376,               -241769,                 20000,                 -5759,                  1299,,                -71805,,                 75842,                    827,                269585,                201833,                471418,                471418,                              0,                 44500,                     -1,                              0,,                 89307,                 -2998,                  1390,                    270,,,
1220,2013年01月01日至2013年12月31日,,                 48254,                 48254,,,                 78553,                  4825,                  6207,                 -1298,                  3483,                   -610,                 -2079,                    226,,,,                              0,                 50015,                  2742,                -32549,                  1404,                -63145,                249139,                   -639,                -55360,                   -303,,                 -3976,                147327,,                              0,                   -422,                              0,                -56144,                   -191,                 -7965,                              0,                  1603,                 32505,                     77,,                -33535,                113792,                203099,                251353,                    608,                  2079,                 -3306,                 -1693,                249041,,                -39561,                    171,                 -2998,                              0,                   -200,,                 -6781,                 -8416,                -56125,,                329376,               -241769,                 20000,                 -5759,                  1299,,                -71805,,                 75842,                    827,                269585,                201833,                471418,                471418,                              0,                 44500,                     -1,,,                 89307,                 -2998,                  1390,                    270,                              0,                              0,
1220,2013年01月01日至2013年09月30日,,                 74923,                 74923,,,                 57147,                  3540,                  4801,                   -879,                  2085,                   -399,                 -2079,                              0,,,,                              0,                 45889,                  3267,                -25646,                  1359,                -39380,                259090,                 -2249,                -19664,                   -542,                              0,                 -8561,                213563,,                              0,                 -1841,                              0,                -38428,                  2173,                 -7428,                              0,                   -719,                 -3832,                    178,,                -48466,                165097,                229313,                304236,                    419,                  2079,                 -2668,                   -428,                303638,,                -26620,                              0,                 -1491,                              0,                   -200,,                 -6781,                 -6726,                -40618,,                 39047,               -134759,                 10000,                 -3947,                  1299,,                -71805,,               -130665,                    -85,                132270,                201833,                334103,                334103,                              0,                 29500,,,,                 64216,                  1431,                  1200,,,,
1220,2013年01月01日至2013年06月30日,,                 25433,                 25433,,,                 38434,                  2388,                  6708,                 -1966,                  1690,                   -273,,                              0,,,,                              0,                 26545,                 -2217,                  9972,                  8920,                -38609,                145663,                   -345,               -185076,                   -934,,                -10234,                -46315,,                              0,                 -1021,                  2929,                -23402,                 -1029,                    748,                              0,                    359,                 21881,                    365,,                  1789,                -44526,                  2455,                 27888,                    294,,                 -2134,                   -430,                 25618,,                -12538,                              0,,                              0,,,                 -2004,                 -8631,                -22273,,                100886,               -204662,,                 -2477,                  1299,,                   -973,,                -76427,                   -186,                -73268,                201833,                128565,                128565,                              0,                 29500,                              0,,,                 46981,                    959,                    900,                              0,,,                              0
