證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 金融資產減損迴轉利益,　　　　 已實現銷貨損失（利益）,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收票據－關係人（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他金融資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 持有供交易之金融負債增加（減少）,　　　　　 應付票據增加（減少）,　　　　　 應付票據－關係人增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 處分備供出售金融資產,　　 處分無活絡市場之債務工具投資,　　 以成本衡量之金融資產減資退回股款,　　 取得採用權益法之投資,　　 對子公司之收購（扣除所取得之現金）,　　 採用權益法之被投資公司減資退回股款,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 存出保證金減少,　　 取得無形資產,　　 處分無形資產,　　 其他非流動資產增加,　　 其他非流動資產減少,　　 收取之股利,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款減少,　　 應付短期票券增加,　　 應付短期票券減少,　　 舉借長期借款,　　 償還長期借款,　　 其他非流動負債增加,　　 發放現金股利,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 未實現銷貨利益（損失）,　　 取得無活絡市場之債務工具投資,　　 短期借款增加,　　 其他非流動負債減少,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 預付投資款增加,　　 其他金融資產增加,　　 其他金融資產減少,　　 存入保證金減少,　　 庫藏股票買回成本,　　　　　 其他營業負債增加（減少）,　　 存入保證金增加,　　　　 非金融資產減損損失,　　 支付之股利,　　 取得備供出售金融資產,　　　　　 其他營業資產（增加）減少,　　　　　 其他金融負債增加（減少）,　　　　　 遞延貸項增加（減少）,　　 其他投資活動
1522,2015年01月01日至2015年09月30日,,                811046,                811046,,,                965967,                 23165,                 78530,                 -3605,                   -198,               -152205,                  1536,                              0,                    317,                 -1730,                911777,,,                  4528,                 -8916,                 -2389,                -91674,                -16489,               -216440,                 43328,                -19755,               -307807,,                  2692,                -35953,                              0,                 46757,                 -8909,                -30992,                -43324,                  1914,                -67815,               -375622,                536155,              1347201,                  3605,                -87724,               -201870,              1061212,,                              0,                 26851,                 24083,                 -3548,                              0,                              0,             -1419492,                 24285,                              0,                    268,                -20073,                      2,                              0,                  7880,                 20736,             -1339008,,               -339884,                422144,                              0,                430841,                -95345,                 10257,               -311958,                -25686,                 90369,                 11197,               -176230,                717703,                541473,                541473,,,,,,,,,,,,,,,,,,,,,
1522,2015年01月01日至2015年06月30日,,                438342,                438342,,,                641084,                 17728,                 51737,                 -2035,,               -104806,                  1570,                              0,,                 -1327,                604222,,,                  2347,                 -9068,                    991,                -36503,                -24139,                 -8172,                 61322,                -21295,                -34517,,                -10828,                 33027,,                 40745,                 -7860,               -146279,                103274,                  1203,                 13282,                -21235,                582987,              1021329,                  2035,                -59117,               -102796,                861451,,                              0,                 26855,,                 -4058,                              0,,             -1010063,                 21139,,                    797,                 -7902,,                              0,                  6731,                              0,               -966501,,,                342674,                              0,                263841,                -94127,                  6216,,,                 96680,                -54795,                -63165,                717703,                654538,                654538,                    271,                              0,               -421924,                              0,,,,,,,,,,,,,,,,,
1522,2015年01月01日至2015年03月31日,,                210474,                210474,,,                319065,                  9895,                 25739,                   -402,,                -55339,                    314,                              0,,                    391,                298747,,,                 -1121,                 -2550,                    -82,                 49792,                -23728,                107513,                -19073,                 -5195,                105556,,                -10870,                 60160,,                -97201,                -23006,               -187860,                 32022,                  1243,               -225512,               -119956,                178791,                389265,                    402,                -29026,                 33934,                394575,,                              0,                      5,,,                              0,,               -481567,                  2459,,                    670,                 -2943,,                              0,                  4701,                              0,               -476675,,               -125947,                225069,                              0,                 47000,                -35543,                  4252,,,                114831,                -51606,                -18875,                717703,                698828,                698828,                   -916,                              0,                              0,,,,,,,,,,,,,,,,,,
1522,2014年度,,              1003836,              1003836,,,              1487627,                 40216,                188595,                -10513,                 -1884,                -29952,                -75195,                -48296,,               -101416,,,,                 -4274,                -94774,                  2901,               -298173,                -22948,               -406212,                -79424,                 62214,               -840690,,                  8668,                 46346,                              0,                415934,                -66295,               -277228,                150634,,                274213,               -566477,                882705,              1886541,                 10513,               -198887,                -51158,              1647009,,                 74519,,                  1681,,                391751,                 26836,             -2171600,                118618,                -23440,                              0,                -38577,,                -30609,                              0,                 15468,             -1621216,,,                              0,               -454250,              2765600,             -2551713,                 -1273,                              0,                 40283,                -31015,                 30169,                 24947,              1148746,              1173693,              1173693,                              0,,                170357,                              0,,              1449182,                 -3846,                              0,                              0,                 14137,                    -19,                              0,,,,,,,,,
1522,2014年01月01日至2014年09月30日,,                558628,                558628,,,              1002003,                 25229,                 82679,                 -1384,                   -709,               -139196,                -75310,                -48291,                    396,               -101335,                744082,,,                 -1127,                -15443,                  2258,                -88863,                 -4228,                -29447,                 79967,                 32643,                -24240,,                  4660,                 20959,                  1900,                 89676,                -46773,               -382170,                 78456,                  2755,               -230537,               -254777,                489305,              1047933,                  1384,                -91162,                -16117,                942038,,                 74514,                  6108,                  1681,                              0,                391751,                 26836,             -1302804,                116892,                -25209,                              0,                -25495,                              0,                -17768,                              0,                 14293,               -739201,,               -216761,                              0,                -24580,              2625000,             -2704838,                  2861,                              0,                 40283,               -278035,                -11603,                -86801,                850672,                763871,                763871,,,,,,,,,,,,,,,,,,,,,
1522,2014年01月01日至2014年06月30日,,                387398,                387398,,,                653868,                 16918,                 56577,                 -1148,,               -105629,                -75514,                -46276,,               -100821,                398369,,,                 -2462,                 -4425,                     76,                 23780,                  3755,                180771,                 92592,                 27922,                322009,,                 -2202,                  1319,,                183949,                   -666,               -418900,                 65325,                  1934,               -169241,                152768,                551137,                938535,                  1148,                -62573,                -10067,                867043,,                 71682,                              0,,                              0,                391751,,               -945207,                116621,,                     15,                -18135,,                 -2500,                              0,                  3315,               -385334,,,                              0,               -134814,              2465000,             -2632919,                              0,,,               -601011,                -12795,               -132097,                850672,                718575,                718575,                    394,                 -2876,               -297497,                   -781,,,,,,,,,,,,,,,,,
1522,2014年01月01日至2014年03月31日,,                234013,                234013,,,                320293,                  6923,                 28219,                   -215,,                -53040,                   -160,                -36961,,               -100285,                165263,,,                   -497,                  4576,                  1573,                -77340,                  4802,                245338,                -38705,                -12449,                127298,,                  2132,                 -5756,,                 58259,                -58190,               -453371,                 29639,                    642,               -426645,               -299347,               -134084,                 99929,                    215,                -31235,                    -18,                 68891,,                 43106,                              0,,,                391854,,               -410360,                  1474,,                    625,                 -1087,,                   -142,                              0,                  3315,                 25862,,                              0,                              0,               -174592,                              0,                -41835,                  3470,,,                  4399,                  2814,                101966,                850672,                952638,                952638,                    489,                 -2923,                217356,,,,,,,,,,,,,,,,,,
1522,2013年度,,                309471,                309471,,,              1355889,                 33748,                170869,                 -8326,                 -2766,                 23245,                 10778,                              0,,               -107997,,,,                    442,                 24933,                 -2165,               -479759,                 71944,               -236006,                  2965,               -166779,               -784425,,                   -502,                 32092,               -148595,                236145,                167466,                290936,                 28770,,                605254,               -179171,              1395629,              1705100,                  8326,               -177768,                -23873,              1511785,,                              0,,                              0,,                              0,                              0,             -1980396,                 17488,                              0,                 16863,                -42813,,                              0,                 41960,                  2766,             -2251724,,,                174653,                              0,                517189,               -297438,                              0,                              0,                 39576,                524221,                113887,               -101831,              1250577,              1148746,              1148746,                 99360,,                 94664,                  2669,,              1574800,                 -1058,               -304567,                 -3025,                              0,                    -61,                 -7031,,,,,,,,,
1522,2013年01月01日至2013年12月31日,,                309471,                309471,,,              1355889,                 33748,                170869,                 -8326,                 -2766,                 23245,                 10778,,,               -107997,,,,                    442,                 24933,                 -2165,               -479759,                 71944,               -236006,                  2965,               -166779,               -784425,,                   -502,                 32092,               -148595,                236145,                167466,                170247,                149459,,                598359,               -186066,              1388734,              1698205,                  8326,               -177768,                -23873,              1504890,,,,,                              0,,,             -1980396,                 17488,                              0,                 16863,                -42813,,,                 48855,                  2766,             -2244829,,,                174653,                              0,                517189,               -297438,                  2669,                              0,                 39576,                524221,                113887,               -101831,              1250577,              1148746,              1148746,                 99360,,                 94664,,,              1574800,                 -1058,               -304567,                 -3025,,                    -61,                 -7031,                 -6895,,                              0,                              0,                              0,,,,
1522,2013年01月01日至2013年09月30日,,                288628,                288628,,,                993730,                 25078,                127904,                 -4371,                 -1591,                -71474,                  2781,                              0,,               -107454,,,,                 -6421,                  3526,                 -3472,               -331631,                 98676,               -417869,               -122715,                -65887,               -845793,,                 -1724,                140284,               -148595,                198801,                146489,                 76945,,,                613308,               -232485,                835450,              1124078,                  4371,               -135881,                -21904,                970664,,                              0,,                              0,,                              0,                              0,             -1433419,                 12025,                              0,                 16907,                -33285,,                              0,                115755,                  1591,             -1323315,,                              0,                159727,                              0,                126027,                              0,                  6785,,                 51851,                517562,                114218,                279129,              1250577,              1529706,              1529706,                103332,,                180289,                              0,,              1067935,                   -708,,                 -2889,                              0,                    -86,                 -7031,                201816,                              0,,,,,,,
