證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資性不動產損失（利益）,　　　　 處分無形資產損失（利益）,　　　　 處分投資損失（利益）,　　　　 非金融資產減損損失,　　　　 未實現外幣兌換損失（利益）,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 持有供交易之金融負債增加（減少）,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 備供出售金融資產減資退回股款,　　 取得無活絡市場之債務工具投資,　　 處分無活絡市場之債務工具投資,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 存出保證金減少,　　 取得無形資產,　　 取得投資性不動產,　　 處分投資性不動產,　　 其他非流動資產增加,　　 收取之利息,　　 收取之股利,　　 其他投資活動,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 應付短期票券增加,　　 應付短期票券減少,　　 舉借長期借款,　　 償還長期借款,　　 存入保證金增加,　　 存入保證金減少,　　 其他非流動負債減少,　　 庫藏股票買回成本,　　 支付之利息,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 其他非流動資產減少,　　 現金增資,　　 預付投資款增加,　　 其他非流動負債增加,　　　 不影響現金流量之收益費損項目,　　　　 處分採用權益法之投資損失（利益）,　　　　 其他項目,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 取得無活絡市場之債券投資,　　 處分無活絡市場之債券投資,　　 取得採用權益法之投資,　　 處分採用權益法之投資,　　 對子公司之收購（扣除所取得之現金）,　　 採用權益法之被投資公司減資退回股款,　　 發放現金股利,　　 按攤銷後成本衡量之金融負債減少,　　　　 股份基礎給付酬勞成本,　　 預付設備款增加,　　 處分子公司股權（未喪失控制力）,　　 預付設備款減少
2017,2015年01月01日至2015年09月30日,,                 31193,                 31193,,,                161128,                 46544,                 -1129,                 42429,                 -1005,                    -16,                    462,                   -566,                 -6886,                  1249,                 -6448,                142150,                 -7025,                370887,,,                 16244,                 37379,                 35889,                  2132,                 58099,                -16807,                132936,,                 -3322,                 -6230,                 29667,                -24010,                  3390,                   -348,                   -844,                    123,                 -1574,                131362,                502249,                533442,                -41162,                492280,,                -30973,                  9264,                141700,                 -8643,                  8637,               -177532,                  2509,                              0,                 15651,                -16546,                    -41,                 88165,                     96,                  1390,                  8766,                -34429,                  8014,,              4022996,             -4249885,              1930200,             -1928000,              1538916,             -1792016,                              0,                   -348,                              0,                              0,                -39631,                -27148,               -544916,                -44622,                255491,                210869,                210869,,,,,,,,,,,,,,,,,,,,,
2017,2015年01月01日至2015年06月30日,,                 13030,                 13030,,,                106974,                 30857,                 -2990,                 28330,                   -850,                    -16,                    -41,                 -1538,                 -8681,                    429,                   -448,                100899,                 -9492,                243433,,,                 14876,                  5773,                  6619,                   -904,                -46365,                 11938,                 -8063,,                 -3106,                -24324,                 53601,                -17775,                 27939,                   -553,                   -569,                     82,                 35295,                 27232,                270665,                283695,                -23762,                259933,,                -20858,                  9262,                  2200,                -22600,                  8605,               -164084,                  2045,,                 17188,                -10349,                    -41,                 30416,,                    519,                  3458,                -34429,               -178605,,              2730245,             -2718167,              1321901,             -1212000,                961940,             -1178907,                              0,                   -202,                    -43,                              0,                -27669,                -25556,               -117868,                -36540,                255491,                218951,                218951,                     63,                 30590,,,,,,,,,,,,,,,,,,,
2017,2015年01月01日至2015年03月31日,,                -54245,                -54245,,,                 53756,                 15370,                 -2960,                 14056,                   -308,,                  1582,                 -1304,,                    157,                   -455,                 60574,                -11930,                128538,,,                 15666,                -15586,                 -8817,                  2321,                182937,                 17609,                194130,,                   -411,                -23754,                 32402,                -34881,                -15144,                  1526,                   -285,                     41,                -40506,                153624,                282162,                227917,                    179,                228096,,                -17067,                  8482,,                -25841,                              0,                -38488,                  1789,                    907,,                 -3498,                    -41,,                     33,                    137,                  3442,,                -71145,,              1031646,             -1062881,                799705,               -720000,                499473,               -678890,                              0,,,                              0,                -13940,                -25556,               -139875,                 17076,                255491,                272567,                272567,,                 30590,                 -1000,                    -22,,,,,,,,,,,,,,,,,
2017,2014年度,,                -17722,                -17722,,,                206427,                 57170,                    121,                 49758,                 -3306,                 -2366,                 -6276,                    266,                 -6325,                     12,                 -6926,                266180,                  8289,,,,                -12619,                -20808,                -19829,                  3385,               -431692,                -10720,               -492283,,                     30,                   -782,               -127310,                 17421,                 20591,                 -1437,,                    -42,                -93013,               -585296,                -43952,                -61674,                -29779,                -91453,,                -40100,                109946,                              0,,,               -269617,                    631,,                     -7,                -71577,                -70008,                 15524,                    128,                  2719,                 10659,                -28360,               -315046,,              6233443,             -5789509,              1233983,             -1144000,              2448728,             -2529914,                    137,                   -196,,                -21831,                -48335,                  3155,                341871,                -64628,                320119,                255491,                255491,,,,                    -83,,                    -36,                -21644,                541344,                 -1484,                -84812,                 67067,                -10000,                    500,                 42761,                  9500,                -43707,,,,,
2017,2014年01月01日至2014年09月30日,,                 40422,                 40422,,,                154153,                 41809,                    111,                 36764,                 -1175,                 -2366,                    -47,                    160,                 -3804,                              0,                 -5718,                191693,                  4683,                416263,,,                  3241,                 22915,                -33296,                  4667,               -179830,                 -7284,               -189587,,                   -157,                  7324,               -122371,                  5622,                 18768,                 -2356,                 -1070,                     69,                -94171,               -283758,                132505,                172927,                -29662,                143265,,                -31728,                 81422,                              0,                -17474,                    416,               -228533,                    631,                   -247,                              0,                -70404,                -12410,                  9766,                     96,                    709,                 10659,                -28360,               -285457,,              4157300,             -4078108,                937800,               -818000,              1806451,             -1784392,                    107,                   -103,                    -61,                -21831,                -36182,                -42707,                120274,                -21918,                320119,                298201,                298201,,,,,,,,,,,,,,,,,,,,,
2017,2014年01月01日至2014年06月30日,,                -16717,                -16717,,,                102360,                 25880,                    120,                 23773,                   -841,                              0,                 -2596,                    249,                              0,                              0,                   -274,                128893,                    239,                277803,,,                  3241,                 -2383,                -24366,                  5170,                 27322,                  9808,                 18792,,                   -157,                   -158,                -17786,                 -1298,                 36489,                 -2513,                   -631,                     46,                 13992,                 32784,                310587,                293870,                -15887,                277983,,                -25510,                 14308,                              0,                              0,                  5944,               -183476,                    512,,                    225,                -68927,                -12407,                              0,,                    525,                  2985,                -28360,               -294116,,              2331135,             -2403339,                531979,               -402000,                969479,             -1025887,                     52,                              0,                    -41,                -21831,                -23358,                  1000,                -42811,                -58944,                320119,                261175,                261175,                     65,                              0,,,,,,,,,,,,,,,,,,,
2017,2014年01月01日至2014年03月31日,,                -42443,                -42443,,,                 51759,                 11151,                     95,                 12158,                   -353,,                 -2738,                      4,,                              0,                   -244,                 69080,                  9660,                150572,,,                 -1770,                -17456,                -50669,                  3912,                176269,                  8135,                118421,,                   -157,                 -1519,               -105143,                 -8949,                 -6779,                 -1014,                   -316,                     23,               -123854,                 -5433,                145139,                102696,                              0,                102696,,                 -6716,                  6258,,                -14784,                 20320,                -35476,                     20,                    580,,                -28957,                   -103,,                     32,                    191,                              0,,                -58635,,                776436,             -1088889,                315695,               -216000,                605058,               -505767,                     22,,,                 -6126,                -11917,                              0,               -131508,                -87447,                320119,                232672,                232672,,                              0,                              0,                    -20,,,,,,,,,,,,,,,,,
2017,2013年度,,                 14692,                 14692,,,                219027,                 46162,                    -48,                 37960,                 -4427,                 -3159,                 -4170,                    639,                              0,                 17906,                     28,                328737,                  3740,,,,                 -3241,                119695,                 70410,                 -2479,               -376876,                  8596,               -183895,,                    157,                    899,                 36567,                  6085,                  8497,                  6629,,                   -133,                 57031,               -126864,                485967,                500659,                -30025,                470634,,                -37003,                 16986,                  4648,,,               -186818,                  2146,,                 -2071,                -89523,               -446794,                              0,                 -6784,                  4225,                 17317,                -28338,               -363099,,              4054640,             -3767345,              1340096,             -1510000,              1867074,             -1914564,                     80,                    -53,,                              0,                -37480,                              0,                 -9255,                 98280,                221839,                320119,                320119,,,,                    -76,,                              0,                -29564,                612831,                 -1670,                              0,                430006,                -42671,                              0,                              0,                  1575,                -41627,,,,,
2017,2013年01月01日至2013年12月31日,,                 14692,                 14692,,,                219027,                 46162,                    -48,                 37960,                 -4427,                 -3159,                 -4170,                    639,,                 17906,                     28,                328737,                  3740,,,,                 -3241,                119695,                 70410,                 -2479,               -376876,                  8596,               -183895,,                    157,                    899,                 36567,                  6085,                  8497,                  6629,,                   -133,                 57031,               -126864,                485967,                500659,                -30025,                470634,,                -37003,                 16986,                  4648,,,               -186818,                  2146,,                 -2071,                -89523,               -446794,,                -35122,                  4225,                 17317,,               -363099,,              4054640,             -3767345,              1340096,             -1510000,              1867074,             -1914564,                     80,                    -53,,                              0,                -37480,                              0,                 -9255,                 98280,                221839,                320119,                320119,,                              0,,                    -76,,,                -29564,                612831,                 -1670,                              0,                430006,                -42671,                              0,,                  1575,                -41627,,                              0,,,
2017,2013年01月01日至2013年09月30日,,                 40545,                 40545,,,                165568,                 34508,                    701,                 28798,                 -2038,                 -3159,                  1869,                   -728,                              0,,                     47,                252821,                  1081,,,,                  5024,                 46890,                 34987,                   -808,               -273689,                  8735,               -178861,,                              0,                  9147,                 73242,                 -6482,                 -3109,                 -2758,,                    103,                 69063,               -109798,                369670,                410215,                -29411,                380804,,                -26148,                 12960,                  4648,,,               -160281,                  1498,,                    802,                -41269,               -346357,                              0,                   -765,                  1962,                 17317,                -28338,               -123568,,              2929389,             -3054776,              1239776,             -1280000,              1631490,             -1486886,                     80,                    -43,                    -55,                              0,                -29392,                              0,                -92044,                165192,                221839,                387031,                387031,,,,,,,,                479468,                 -1080,                -16178,                456581,,,,,                -41627,,,,,
2017,2013年01月01日至2013年06月30日,,                -52228,                -52228,,,                112183,                 22306,                     99,                 19598,                 -1498,,                 -1391,                   -391,,,                    -25,                178823,                 10513,,,,                -11759,                 22406,                 72811,                  2165,               -203505,                  3718,               -114164,,                              0,                  1001,                  4113,                  1997,                 29030,                 -2272,,                     69,                 33198,                -80966,                259251,                207023,                -15823,                191200,,                -13947,                  9033,                  4648,,,                -77405,                    996,,                    802,                -40972,               -346357,,                    399,                  1540,                              0,                -28338,                -59444,,              1735379,             -1358659,                840040,               -890000,                969615,             -1097511,                     13,                     -3,,                              0,                -17406,                              0,                181432,                313188,                221839,                535027,                535027,,,,                    -36,,,,                340217,                   -740,                -26158,                456315,,,,,,,,,,
2017,2013年01月01日至2013年03月31日,,                 57932,                 57932,,,                 58241,                 11122,                     38,                 10236,                   -860,,                 -1000,                    338,,,                     15,                 49087,                  7146,,,,                 -7221,                  7322,                 -2973,                  2674,               -123099,                  5187,               -118110,,                              0,                    653,                -74461,                -18037,                 -3600,                   -947,,                     34,                -96725,               -214835,                -80472,                -22540,,                -22540,,                 -7008,                  1985,,,,                -35869,                    230,,                    480,                -15924,               -341379,,                    132,                    860,,,                -98877,,              1001863,               -675935,                625741,               -626000,                622319,               -742475,                     13,,,,                -10026,,                195483,                 74066,                221839,                295905,                295905,,,,                    -17,,,,                134363,                   -367,,                297616,,,,,,                              0,,,,
2017,2012年01月01日至2012年12月31日,,               -254527,               -254527,,,                244989,                 43993,                    -67,                 45475,                 -6002,                 -3330,                 -8731,                   -235,,                  1474,                   -151,                321965,                              0,,,,                              0,                 92051,                -76879,                   -115,               -293343,                -16328,               -294614,,                              0,                    635,                 63600,                 -3600,                  6040,                 -9912,,                   -494,                 54749,               -239865,                401007,                146480,                -30151,                116329,,                -11429,                 20800,                              0,,,               -387764,                    849,,                   -610,                -25854,                 -2408,,                -23570,                  5671,                 26819,,               -835869,,              5828485,             -5760680,              1488036,             -1338000,              1937224,             -1970311,                    108,                              0,,                -40357,                -46549,                172615,                448792,               -270748,                492587,                221839,                221839,,                315000,,                     19,,,                    143,                640872,                 -1520,               -443449,                              0,                              0,                  2828,,                  2248,               -136798,,                  1349,,,
2017,2012年01月01日至2012年09月30日,,               -143125,               -143125,,,                184833,                 32137,                    -89,                 34060,                 -2247,,                 -6158,,,,                   -149,                195835,                              0,,,,                              0,                107356,                -43018,                  2035,               -460649,                -28628,               -422904,,,                 12222,                 60278,                -21561,                 -3838,                 -5582,,                    181,                 40497,               -382407,                 57893,                -85232,                -29984,               -115216,,                -11429,                 18779,                              0,,,               -152568,                    770,,                    590,                -21701,                 -2407,,               -123053,                  2247,                 23489,,               -735456,,              4960743,             -4839175,              1191714,             -1052000,              1702189,             -1705861,                     83,                              0,,                -40357,                -35408,                176843,                537011,               -313661,                492587,                178926,                178926,,                315000,,                     38,,,                    729,                440300,                 -1203,               -474211,                  1210,,                  2828,,,               -136798,,                  1349,,,
2017,2012年01月01日至2012年06月30日,,                  1515,                  1515,,,                123853,                 21408,                    -50,                 23709,                 -1513,,                 -6529,,,,                    -43,                 43320,                   -246,,,,                              0,                  7449,                -82810,                  7699,               -601025,                -19771,               -688458,,,                    821,                152257,                -19424,                 36532,                  4708,,                    121,                174157,               -514301,               -309205,               -307690,                -17027,               -324717,,                 -9011,                  4049,,,,               -101608,                    767,,                    150,                -16977,                 -2407,,                -24992,                  1513,                  7563,,               -669883,,              3634904,             -3294363,                780023,               -680000,              1102919,               -967304,                     66,                              0,                              0,,                -24425,                217277,                904800,                -89800,                492587,                402787,                402787,,                127243,,                     56,,,                     -9,                205096,                   -858,               -466356,                  1210,,                  2828,,,,,                  1196,                -66612,                  8404,
2017,2012年01月01日至2012年03月31日,,                -28093,                -28093,,,                 60861,                 10549,                     27,                 11188,                   -302,,                 -5496,                    123,,,                    -66,                  1409,                  5689,,,,                              0,                 26416,                -92845,                  7244,               -386667,                -15012,               -460864,,,                  1197,                166006,                -30043,                  3671,                 -6146,,                     61,                134384,               -326480,               -242449,               -270542,                    -17,               -270559,,                 -2007,                  2066,,,,                -52677,                     90,                 -1000,                              0,                 -8927,                 -1501,,                    489,                    302,,,               -127864,,              1820510,             -1636986,                259620,               -200000,                648821,               -451248,                     24,,,,                -12622,                217277,                657605,                259182,                492587,                751769,                751769,,,,                  3805,,,                     49,                 84031,                   -362,                -14446,                              0,,                  2828,,,,,,,                  8404,                -53081
