證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 不動產、廠房及設備轉列費用數,　　　　 處分投資損失（利益）,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收票據－關係人（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付票據－關係人增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 收取之股利,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 備供出售金融資產減資退回股款,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 取得無形資產,　　 其他金融資產增加,　　 其他非流動資產減少,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 應付短期票券減少,　　 存入保證金增加,　　 發放現金股利,　　 支付之利息,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 其他非流動資產增加,　　 應付短期票券增加,　　　 不影響現金流量之收益費損項目,　　　　 處分其他資產損失（利益）,　　　　 處分待出售非流動資產損失（利益）,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 處分子公司,　　 處分待出售非流動資產,　　 其他金融資產減少,　　　　 金融資產減損損失,　　　　 非金融資產減損損失,　　　　 其他項目,　　　　 非金融資產減損迴轉利益
1104,2015年01月01日至2015年09月30日,,                983038,                983038,,,                100673,                  5197,                  2017,                 10458,                 -1859,               -163529,               -690388,                   -463,                              0,                  1672,               -736222,,,                150670,                              0,                114296,                 29907,                 -4213,                 39908,                 -8777,                 -1916,                319875,,                -97545,                 13745,                -94346,                -48057,                -31074,                  7945,                -10238,               -259570,                 60305,               -675917,                307121,                  1849,                436384,                -40341,                705013,,                -12977,                              0,                    165,               -502501,                    463,                    -92,                  3538,                   -158,               -511562,,               -109000,                500022,                    -20,               -615970,                -11185,                  7254,               -228899,                    137,                -35311,                396132,                360821,                360821,,,,,,,,,,,,,,
1104,2015年01月01日至2015年06月30日,,                671506,                671506,,,                 66721,                  3179,                    639,                  6679,                 -1200,               -163526,               -446383,                    -43,                              0,                  1672,               -532262,,,                129776,                              0,                100567,                 13337,                -14566,                  8921,                 -3936,                  3611,                237710,,                -74749,                  4768,                -35959,                -49171,                -40871,                  5067,                 -8577,               -199492,                 38218,               -494044,                177462,                  1181,                 34946,                -39840,                173749,,                -12977,                              0,                    165,               -460122,                     43,                    -92,                 -8616,                    -60,               -481659,,                297000,               -100006,                    -30,                              0,                 -6794,                 -9042,                181128,                    -89,               -126871,                396132,                269261,                269261,,,,,,,,,,,,,,
1104,2015年01月01日至2015年03月31日,,                269734,                269734,,,                 33314,                  2077,                    431,                  3267,                   -557,,               -239156,                              0,                              0,                  1672,               -198952,,,                129333,                 -1997,                 47330,                 22357,                 -4864,                 -4144,                  2551,                 -2944,                187622,,                -34426,                -14554,                -26424,                -34915,                -36937,                  7362,                    819,               -139075,                 48547,               -150405,                119329,                    556,,                     -9,                119876,,                -12978,                    165,,               -343834,                              0,,                -13436,                              0,               -370157,,               -247000,                              0,                              0,                              0,                 -3693,                    -26,                149377,                    -40,               -100944,                396132,                295188,                295188,                    -74,                400096,,,,,,,,,,,,
1104,2014年度,,              1468035,              1468035,,,                130795,                 11674,                    890,                 10142,                 -3662,               -123901,             -1120584,                   -437,                  4637,                 -5412,,,,               -136296,                 44173,                 31036,                 47094,                 12075,                 14531,                -11312,                  6343,                  7644,,                -27161,                  5034,                -24164,                  1396,                 15002,                  2782,,                -21280,                -13636,             -1109494,                358541,                  3670,                328768,                -30764,                660215,,               -189925,                  8140,                  7271,               -226200,                    587,                    -67,,                     95,               -470658,,                238000,,                  1798,               -543543,                 -9942,                 -9250,               -222992,                    352,                -33083,                429215,                396132,                396132,,                 99945,,                              0,                              0,             -1095858,                  5831,                              0,                              0,                -70559,,,,
1104,2014年01月01日至2014年09月30日,,              1114236,              1114236,,,                 98031,                  7741,                    836,                  7308,                 -2550,               -123484,               -816960,                   -437,                  4637,                 -6086,               -830964,,,                -91195,                 44173,                 49263,                 76892,                 -5318,                 26958,                -10122,                 -7186,                 83465,,                -50460,                 -1076,                -39757,                -35591,                 -7624,                 14829,                 -1321,               -121000,                -37535,               -868499,                245737,                  2607,                328351,                -27571,                549124,,               -176838,                  6155,                  7271,                -93108,                    587,                    -67,                -53096,                     91,               -309005,,                -98000,                359811,                  1768,               -543541,                 -7278,                 -9001,               -296241,                    173,                -55949,                429215,                373266,                373266,,,,,,,,,,,,,,
1104,2014年01月01日至2014年06月30日,,                744679,                744679,,,                 65244,                  4675,                    853,                  4676,                 -1616,               -123484,               -506426,                   -507,                    305,                 -6086,               -562366,,,                -53341,                 44173,                -48728,                 84842,                 23845,                -16461,                 -9442,                  8528,                 33416,,                -44842,                  8753,                -15744,                -16418,                 -3064,                 13208,                 -2491,                -60598,                -27182,               -589548,                155131,                  1592,                  1710,                -25416,                133017,,               -145325,                  6155,                  7271,                -67353,                    507,                    -67,                -72703,                     91,               -271424,,                238000,               -199875,                  1041,                    -38,                 -4618,                              0,                 34510,                     16,               -103881,                429215,                325334,                325334,,,,,,,,,,,,,,
1104,2014年01月01日至2014年03月31日,,                251967,                251967,,,                 32471,                  1563,                    474,                  2320,                   -676,,               -193276,                   -350,                    140,                    325,               -157009,,,                 57106,                  7627,                 34357,                 21186,                   -453,                 34758,                   -927,                 -3395,                150259,,                -50667,                -12063,                -63329,                -32968,                -17299,                  8009,                 -3632,               -171949,                -21690,               -178699,                 73268,                    676,,                    -49,                 73895,,               -145325,                  1769,,                -49152,                    350,,                -12242,                     93,               -204507,,                305000,               -199879,                     -9,                    -38,                 -2320,                              0,                102754,                    188,                -27670,                429215,                401545,                401545,                              0,                              0,,,,,,,,,,,,
1104,2013年度,,              1148493,              1148493,,,                124615,                 11587,                    536,                  6823,                 -2178,               -136672,               -843929,                -12893,                  8652,                 13582,,,,                  2099,                -12019,                -89795,                 34862,                 -3057,                 -6240,                -14049,                -13777,               -101976,,                 30072,                -25543,                 39768,                -34074,                 28093,                  3545,,                 43801,                -58175,               -886805,                261688,                  2505,                289491,                 -5273,                548411,,               -500287,                196179,                              0,               -272478,                 11590,                   -297,,                  8734,               -417900,,                306000,,                    569,               -452922,                 -6811,                  1409,                 43120,                  2112,                175743,                253472,                429215,                429215,,                194875,,                  2073,                   -826,               -828630,                  1940,                  1291,                 86695,                 50673,,,,
1104,2013年01月01日至2013年12月31日,,              1148493,              1148493,,,                124615,                 11587,                    536,                  6823,                 -2178,               -136672,               -843929,                -12893,                  8652,                 13582,,,,                  2099,                -12019,                -89795,                 34862,                 -3057,                 -6240,                -14049,                -13777,               -101976,,                 30072,                -25543,                 39768,                -34074,                 28093,                  3545,,                 43801,                -58175,               -886805,                261688,                  2505,                289491,                 -5273,                548411,,               -500287,                196179,,               -272478,                 11590,                   -297,,                  8734,               -417900,,                306000,,                    569,               -452922,                 -6811,                  1409,                 43120,                  2112,                175743,                253472,                429215,                429215,,                194875,,                  2073,                   -826,               -828630,                  1940,                  1291,                 86695,                 50673,                              0,                              0,,
1104,2013年01月01日至2013年09月30日,,                779028,                779028,,,                 95019,                  8322,                   -161,                  4888,                 -1513,               -137283,               -543345,                 -4623,                  5337,                 12335,,,,                 81460,                 -7878,                 20957,                 44156,                -12145,                -13724,                -10715,                -23105,                 79006,,                  3137,                -38713,                 -1543,                -84668,                  6585,                  1718,,               -111896,                -32890,               -592667,                186361,                  1840,                288391,                 -3345,                473247,,               -500224,                196116,                              0,               -214039,                  3194,                   -185,                              0,                 10097,               -369808,,                482000,                 -5000,                    224,               -452922,                 -4876,                -23893,                 -4467,                  4058,                103030,                253472,                356502,                356502,,                              0,,                  2073,                   -826,               -559777,                  1588,                  1288,                 86698,                 47247,,,,
