證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股份基礎給付酬勞成本,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 非金融資產減損損失,　　　　 買回應付公司債損失（利益）,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 預付投資款增加,　　 對子公司之收購（扣除所取得之現金）,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金減少,　　 其他應收款－關係人增加,　　 取得無形資產,　　 處分無形資產,　　 其他金融資產減少,　　 預付設備款增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 償還長期借款,　　 存入保證金增加,　　 其他應付款－關係人增加,　　 應付租賃款減少,　　 發放現金股利,　　 現金增資,　　 其他籌資活動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 其他符合國際會計準則第七號現金及約當現金定義之項目,　　　　　 其他應付款－關係人增加（減少）,　　　　 非金融資產減損迴轉利益,　　　 不影響現金流量之收益費損項目,　　　　 處分無形資產損失（利益）,　　　　 不影響現金流量之收益費損項目合計,　　　　　 負債準備增加（減少）,　　 發行公司債,　　 支付之股利,　　　　 應付公司債匯率影響數,　　 舉借長期借款,　　 存入保證金減少
4141,2015年01月01日至2015年09月30日,,               -537306,               -537306,,,                 71460,                 93415,                152011,                -26937,                230370,                -97031,                 55092,                  7447,                -15694,                 15018,                  1499,                486650,,,                    684,                 27262,                537004,                    159,                 39439,               -352956,                -21934,                 -6743,                222915,,                 22748,                269281,                 -5199,                158458,                    106,                   -810,                444584,                667499,              1154149,                616843,                108750,               -243344,                -75184,                407065,,               -103272,                -88047,                -57973,                  1982,                 28940,               -167984,               -546658,                              0,                870169,                -37850,               -100693,,             -1346473,                -42291,                 -1242,                              0,                 -2880,                   -174,                543134,               -306999,             -1156925,               -107144,               -957697,              3316934,              2359237,              2359237,                              0,,,,,,,,,,,
4141,2015年01月01日至2015年06月30日,,               -247657,               -247657,,,                 47291,                 61381,                 68096,                -26809,                151772,                -72205,                 39454,                  1764,                    510,                 15018,                    998,                287270,,,                    681,                 27323,                620405,                    159,                 18304,               -279411,                -43919,                   -711,                342831,,                -81075,                 18580,                -12327,                148695,                 12983,                   -779,                 91113,                433944,                721214,                473557,                 48185,               -130110,                -42534,                349098,,               -102766,                -88047,                -27361,                  1098,                    131,                -17856,               -379382,                              0,                106691,                -21825,               -529317,,               -312239,                -44406,                 -1236,                              0,                 -1348,                   -174,                543134,               -306999,               -123268,               -160930,               -464417,              3316934,              2852517,              2852517,                              0,                  5036,,,,,,,,,,
4141,2015年01月01日至2015年03月31日,,               -366495,               -366495,,,                 23873,                 31012,                 25057,                -29750,                 76980,                -32765,                 23985,                  1138,,,                    505,                147115,,,                   -539,                -48255,                302219,                    161,                  9965,               -239919,               -125652,                    -43,               -102063,,                111997,                 56529,                 -8254,                 57313,                  6494,                   -810,                226879,                124816,                271931,                -94564,                 31104,                -66314,                -48965,               -178739,,               -104080,                -88047,                -13725,                    854,                   -503,,               -175686,,                106593,                 -8138,               -282732,,               -446208,                              0,                 -1251,,                   -695,                   -175,                543134,,                 94805,               -132917,               -499583,              3316934,              2817351,              2817351,                              0,                  3610,                 27080,,,,,,,,,
4141,2014年度,,                601112,                601112,,,                 84942,                100379,                 63122,                -10113,                278197,                -63878,                 33747,                  4422,                              0,,                 13990,,,,                 -5629,                -15366,               -370415,                   -154,                -45181,               -451271,                169848,                   -394,               -718562,,                292412,                242479,                  9493,                174195,               -175724,                 -1540,                542214,               -176348,                352913,                954025,                 63490,               -233283,               -312779,                471453,,,,               -121397,                  3628,                  1796,,               -744853,,               -710297,                -38794,             -1609917,,                427353,              2883178,                   -260,                   -210,                  1168,                -76619,                              0,,              3234610,                 43099,              2139245,              1177689,              3316934,              3316934,                              0,,                 24453,,                              0,                529261,                    899,                              0,,,,
4141,2014年01月01日至2014年09月30日,,                312269,                312269,,,                 61937,                 71006,                 47667,                -18942,                185522,                -33337,                 25241,                  3775,                 79229,                              0,                 15418,                437516,,,                -52219,                 43830,                471215,                              0,                 -4097,               -955221,                197850,                 -1813,               -300455,,                396352,                384321,                 -1912,                241730,               -121253,                    496,                899734,                599279,              1036795,              1349064,                 21948,               -164463,               -198059,              1008490,,                -57206,                              0,                -95204,                  2104,                  1474,                              0,               -566524,                    738,             -1056453,                -23081,             -1794152,,              1409515,                -61687,                  1956,                   -209,                    326,                              0,                              0,                              0,              1349901,                -82585,                481654,              1177689,              1659343,              1659343,                              0,,,,,,,,,,,
4141,2014年01月01日至2014年06月30日,,                380642,                380642,,,                 40086,                 46208,                 87132,                -13187,                125211,                -18882,                 16735,                     20,                 89717,                              0,                 15650,                388690,,,                 -1933,                 35786,                470259,                              0,                -12858,               -960761,                123323,                 -1189,               -347373,,                358101,                398567,                  7050,                158746,               -119609,                  1976,                804831,                457458,                846148,              1226790,                 16652,               -115934,               -104050,              1023458,,                              0,                              0,                -52506,                    432,                   -451,                              0,               -413505,                    715,                 67015,                -23100,               -421400,,                 26809,                -56440,                  1564,                   -209,                  1811,                              0,                              0,                              0,                -26465,                -84289,                491304,              1177689,              1668993,              1668993,                              0,                              0,,,,,,,,,,
4141,2014年01月01日至2014年03月31日,,                155862,                155862,,,                 18884,                 22260,                 31782,                 -9552,                 52654,                -10767,                  8321,                    234,,,                    486,                150333,,,                 -4438,                -39887,                204084,                              0,                  8208,               -581235,                 72621,                    229,               -340418,,                 76893,                370442,                 -4779,                149628,                -33466,                     27,                558745,                218327,                368660,                524522,                 10188,                -47275,                -46986,                440449,,                              0,                              0,                -19033,                     10,                    463,,               -231449,,                219820,                 -3297,                -33486,,                293056,                 -5291,                    268,,                   -673,                              0,                              0,,                287360,                -62883,                631440,              1177689,              1809129,              1809129,                              0,                              0,                 36031,,,,,,,,,
4141,2013年度,,                422156,                422156,,,                 76882,                 69696,                 39056,                -35212,                213625,                -39535,                  2118,                    384,                              0,,                   -475,,,,                127456,                -67616,               -257110,                              0,                -29007,               -389072,               -198265,                  8143,               -805471,,                 16675,               -109876,                 -1032,                 18011,                129554,                  5892,                 58504,               -746967,               -351436,                 70720,                 43789,               -210043,               -165396,               -260930,,,,               -116726,                  9843,                 -3041,,               -815750,,                  5368,                 -4189,               -924495,,                354584,                -70321,                -12155,                    206,                 -1139,               -144790,                648879,,              1099182,                 21735,                -64508,              1242197,              1177689,              1177689,                              0,,                 66927,,                  2065,                395531,                   -720,                323918,,,,
4141,2013年01月01日至2013年12月31日,,                422156,                422156,,,                 76882,                 71575,                 39056,                -35212,                213625,                -39535,                  2118,                    384,,,                   -475,,,,                127456,                -67616,               -257110,,                -29007,               -389072,               -200144,                  8143,               -807350,,                 16675,               -109876,                 -1032,                 18011,                129554,                  5892,                 58504,               -748846,               -353378,                 68778,                 43789,               -210043,               -165396,               -262872,,,                              0,               -116726,                  9843,                 -3041,,               -815750,                              0,                  5368,                 -4189,               -924495,,                354584,                -70321,                -12155,                    206,                 -1139,               -144790,                648879,,              1099182,                 23677,                -64508,              1242197,              1177689,              1177689,,,                 66927,,                  2065,                395468,                   -720,                323918,,                 -1942,,
4141,2013年01月01日至2013年09月30日,,                115776,                115776,,,                 57683,                 59670,                 24421,                -34846,                166975,                -30631,                  1471,                  1941,                 23818,,                    924,,,,                 29092,                -32154,                565289,,                -30711,               -728706,                -98484,                  7643,               -288031,,                 15107,               -199875,                 -3903,                207622,                 37672,                  5751,                -66612,               -354643,                -81770,                 34006,                 34700,               -167083,                -87777,               -186154,,,,                -85263,                  3286,                 -8402,,               -588395,                              0,                206446,                -10099,               -482427,,                553622,                -14015,                -12994,                  9772,                 -2663,,                648879,,              1572800,                 17902,                922121,              1242197,              2164318,              2164318,                              0,,,,                  1447,                272873,               -128986,                390199,,,,
