證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息收入,　　　　 股利收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收票據－關係人（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 持有供交易之金融負債增加（減少）,　　　　　 應付票據增加（減少）,　　　　　 應付票據－關係人增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 收取之股利,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 以成本衡量之金融資產減資退回股款,　　 取得採用權益法之投資,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 其他非流動資產增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 應付短期票券增加,　　 舉借長期借款,　　 償還長期借款,　　 發放現金股利,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 其他非流動負債增加,　　 非控制權益變動,　　　　 利息費用,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　 處分備供出售金融資產,　　　　 處分投資性不動產損失（利益）,　　 其他預付款項增加,　　 短期借款減少,　　 應付短期票券減少,　　　　　 其他營業資產（增加）減少,　　 其他非流動資產減少,　　　　 非金融資產減損迴轉利益
1434,2015年01月01日至2015年09月30日,,              3005016,              3005016,,,              2180631,                142958,                -19042,                   -268,                -19643,               -386084,               -206140,                227605,                              0,              1920017,,,                              0,                -55538,                 -2265,               -150784,                -15593,                -23744,                271903,               -633194,                -20220,               -629435,,                              0,                -12311,                -85301,                446956,               -198858,               -467207,                307554,                -84165,                -93332,               -722767,              1197250,              4202266,                 19643,                386084,               -156251,               -214262,              4237480,,                -81011,                 13380,                              0,             -1792145,                 61020,                 96360,             -1702396,,                733876,               -649775,              3568130,             -2262137,             -2587328,             -1197234,                -35815,              1302035,              3796868,              5098903,              5098903,,,,,,,,,,,,,
1434,2015年01月01日至2015年06月30日,,              1777062,              1777062,,,              1475182,                 94130,                 -2748,                 -4665,                -11506,                 -3225,               -111296,                227990,                              0,              1663862,,,                              0,                -25568,                 -1674,               -195365,               -333245,                -37295,                500121,               -568981,                 78361,               -583646,,                              0,                 -4522,               -130664,                259684,               -287059,               -525422,                160826,,               -527157,             -1110803,                553059,              2330121,                 11506,                  3225,                -96530,               -160676,              2087646,,                 -4402,,                              0,             -1034109,                 59918,                182985,               -795608,,                740921,               -549991,              2148796,             -2020476,                              0,                345244,                 16956,              1654238,              3796868,              5451106,              5451106,                 42969,                -16975,,,,,,,,,,,
1434,2015年01月01日至2015年03月31日,,                780680,                780680,,,                751097,,                   -126,                 -6095,                 -4960,                 -2906,                 -2044,                 23688,                              0,                805568,,,                              0,                -12283,                   -592,               -284165,               -141501,                 55635,                255061,               -362819,               -108057,               -598721,,                              0,                 27896,               -114399,                241739,               -154744,               -793008,                171969,,               -620547,             -1219268,               -413700,                366980,                  4960,                  2906,                -47293,                -50350,                277203,,                 -4402,,,               -657695,                 10423,                154069,               -497605,,                597764,                -49852,                152349,                              0,,                896957,                -22361,                654194,              3796868,              4451062,              4451062,                196696,                              0,                 46914,,,,,,,,,,
1434,2014年度,,              4171939,              4171939,,,              3367232,,                  5724,                  1769,                -20777,               -967716,               -184152,                 38231,                -36476,,,,               -649537,                  7900,                  4220,               -399850,               -285515,                -88463,               -587458,               -196144,                275982,             -1918865,,                   -240,                 33498,                 69510,                137477,               -305679,                668553,                102561,,                705680,             -1213185,              1202519,              5374458,                 20777,                967716,               -216324,               -325832,              5820795,,               -390435,,               -119154,             -1893163,                 49157,               -422244,             -2775839,,             -1101334,              1099662,              7200000,             -8107115,             -1684664,             -2574938,                261905,                731923,              3064945,              3796868,              3796868,                 79216,                -60703,                211869,,              2415704,                              0,,,,,,,
1434,2014年01月01日至2014年09月30日,,              3313191,              3313191,,,              2589884,                161655,                  5256,                  3945,                -15621,               -967716,               -152190,                -12772,                -36476,              1575965,,,               -429537,                 32011,                  4269,               -654361,               -226521,                 15767,                -33232,               -406744,                110055,             -1588293,,                   -239,                 17733,                -14792,                292860,               -163611,                 95778,                302477,                174863,                705069,               -883224,                692741,              4005932,                 15621,                967716,               -167329,               -324599,              4497341,,               -256744,                              0,                -41603,             -1205079,                 18597,               -274831,             -1759660,,               -216937,              1049372,              5500000,             -6451439,             -1745367,             -1864371,                 20733,                894043,              3064945,              3958988,              3958988,,,,,,,,,,,,,
1434,2014年01月01日至2014年06月30日,,              1579613,              1579613,,,              1773556,                109172,                  3367,                   -867,                 -9096,                 -3600,                -69009,                 -9168,                 -3655,              1790700,,,               -379034,                 31424,                 -2973,             -1130649,               -296539,                -12984,                103560,               -375434,                323521,             -1739108,,                   -943,                 54906,                 69201,                465053,               -157150,                 56735,                142017,,                629819,             -1109289,                681411,              2261024,                  9096,                  3600,               -119127,               -322637,              1831956,,                -32039,,                              0,               -632494,                 11966,               -291976,               -944543,,                -61507,               -200032,              3500000,             -3552490,                              0,               -273202,                  8497,                622708,              3064945,              3687653,              3687653,                 87282,                -46455,,,,,,,,,,,
1434,2014年01月01日至2014年03月31日,,                730815,                730815,,,                912223,,                  3630,                     26,                 -4750,                              0,                  1310,                 -2453,                 -3655,                962585,,,               -399760,                 -2833,                  2454,               -567792,               -204475,                 49145,               -360435,               -200644,                -14273,             -1698613,,                   -240,                 50406,                102569,                149261,                -62083,               -340419,                 62933,,                -37573,             -1736186,               -773601,                -42786,                  4750,                              0,                -67745,                   -166,               -105947,,                              0,,,               -270166,                  4696,               -216381,               -481851,,                229288,               -199980,              1500000,             -1594748,,                 61937,                 65874,               -459987,              3064945,              2604958,              2604958,                128431,                 -1054,                 56254,,,,,,,,,,
1434,2013年度,,              2659932,              2659932,,,              3981235,,                  5020,                 11763,                -16661,               -129404,               -246263,                -93687,                -93104,,,,                  3675,                155547,                  7661,                272426,                309439,                -47511,               -248822,                158985,               -162157,                449243,,                 -3674,                 14925,               -300850,               -211680,                -56534,               -325068,                -46893,,               -929774,               -480531,              3154249,              5814181,                 16661,                129404,               -216579,               -258134,              5485533,,                              0,,             -3528714,             -1579873,                127236,                138619,             -4187180,,                868351,                849922,             11510000,            -12451758,             -1684665,             -1002050,                 53886,                350189,              2714756,              3064945,              3064945,                 57595,               -151495,                215881,,              3634780,                655552,,,,,,,
1434,2013年01月01日至2013年12月31日,,              2659932,              2659932,,,              3981235,,                  5020,                 11763,                -16661,                 32898,               -279161,                -93687,                -93104,,,,                  3675,                155547,                  7661,                272426,                309439,                -47511,               -248822,                158985,               -162157,                449243,,                 -3674,                 14925,               -300850,               -211680,                -56534,               -325068,                -46893,,               -929774,               -480531,              3283653,              5943585,                 16661,,               -216579,               -258134,              5485533,,,,             -3528714,             -1579873,                127236,,             -4187180,,                868351,                849922,             11510000,            -12451758,             -1684665,             -1002050,                 53886,                350189,              2714756,              3064945,              3064945,                 57595,               -151495,                215881,,              3764184,                655552,,,,,,                138619,
1434,2013年01月01日至2013年09月30日,,              2000845,              2000845,,,              3296818,,                  2629,                 12307,                 -8806,                              0,               -266891,                -14995,                              0,,,,                  2173,                141654,                  8878,               -122061,                315998,                -51905,                318698,                 11902,                116847,                742184,,                 -2172,                -15472,               -275427,                -61261,               -391666,               -212410,                 27003,                146385,               -785020,                -42836,              3142201,              5143046,                  8806,                              0,               -163634,               -225834,              4762384,,                              0,,             -2049111,             -1258353,                119360,               -243304,             -3431408,,                243316,                 49992,              9810000,             -9458190,             -1684665,             -1191042,               -294454,               -154520,              2714756,              2560236,              2560236,,               -151495,                163975,,              3185037,,,,,,,,
