證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 利息費用,　　　　 利息收入,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分無形資產損失（利益）,　　　　 處分待出售非流動資產損失（利益）,　　　　 非金融資產減損迴轉利益,　　　　 未實現外幣兌換損失（利益）,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 其他應收款－關係人（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付費用（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他應付款－關係人增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 處分待出售非流動資產,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 其他金融資產增加,　　 其他非流動資產增加,　　 其他投資活動,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 舉借長期借款,　　 償還長期借款,　　 發放現金股利,　　 庫藏股票買回成本,　　 取得子公司股權,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 預收款項增加－處分資產,　　　 不影響現金流量之收益費損項目,　　　　 其他項目,　　　　 不影響現金流量之收益費損項目合計,　　　　　 預付款項（增加）減少,　　 存出保證金減少,　　 短期借款減少,　　　　 不動產、廠房及設備轉列費用數,　　　　 非金融資產減損損失,　　 取得無形資產
8163,2015年01月01日至2015年09月30日,,                722358,                722358,,,                586303,                 76316,                    296,                 33265,                -20831,                 -6965,                  3088,               -466461,                265551,                 32805,                503367,,,                 10660,                803203,                 11246,               -621315,                              0,                596912,                367149,              1167855,,             -1550257,                -28162,                106943,                 -2004,                  2796,                -37853,                  2927,             -1505610,               -337755,                165612,                887970,                  7788,                -34392,                -42062,                819304,,                 -7623,                608451,               -286734,                 50932,                    524,               -618065,               -376217,                  2446,               -626286,,                444607,                224325,               -239224,                -95671,               -271242,                   -850,                 61945,                 83716,                338679,                808617,              1147296,              1147296,,,,,,,,,,
8163,2015年01月01日至2015年06月30日,,                 71985,                 71985,,,                396971,                 41550,                    159,                 22210,                -11272,                 -5906,                  3088,,,                -21330,                425470,,,                    -31,                971684,                  3713,                -99646,                              0,                457915,                280224,              1613859,,             -1598357,                -25321,               -120940,                 -4357,                 -1999,                231034,                    543,             -1519397,                 94462,                519932,                591917,                  5115,                -23563,                -29890,                543579,,,,               -201240,                 37597,                    107,               -595038,                -32799,                  2798,               -352088,,                255898,                214300,               -121468,,,,                348730,                -66792,                473429,                808617,              1282046,              1282046,                436487,,,,,,,,,
8163,2015年01月01日至2015年03月31日,,                 43564,                 43564,,,                203999,                 24111,                    114,                 11863,                 -2854,                   -317,,,,                 -9450,                227466,,,                    -16,                161620,                 -1176,                100251,                              0,                 21250,                197200,                479129,,               -806136,                -11039,                -40412,                 -8828,                 -2584,                385356,                    242,               -483401,                 -4272,                223194,                266758,                  2854,                -12581,,                257031,,,,                -81982,                 23453,                 -2235,               -300682,                -18547,                  3311,               -376682,,                281812,                 60000,                -93900,,,,                247912,                -30832,                 97429,                808617,                906046,                906046,,,,,,,,,,
8163,2014年度,,                112591,                112591,,,                918012,                 56750,,                 84137,                -20346,                -89114,,,                              0,                 57195,,,,                    -57,               -398919,                    359,                -46210,                 27172,                 93195,,               -493897,,                226345,                  9266,                120885,                    220,                  5061,                 16337,                 -5960,                372154,               -121743,                885534,                998125,                 20346,                -87292,                -53140,                878039,,,,               -376355,                157176,,,                -53585,                 -2923,               -267696,,,              1106585,             -1118185,                -63780,,                              0,               -903435,                 59162,               -233930,              1042547,                808617,                808617,,,                    643,              1007277,               -169437,                  7991,               -828055,,,
8163,2014年01月01日至2014年09月30日,,                 15721,                 15721,,,                705556,                 43276,                  6820,                 68986,                -16033,                -87452,                              0,                              0,                              0,                 19065,                740218,,,                    -42,                -30537,                   -436,                 53925,                -34679,                259661,               -224256,                 23636,,               -253022,                 -2457,               -132590,                 -4024,                    603,                -32505,                 -4917,               -428912,               -405276,                334942,                350663,                 16033,                -71657,                -19633,                275406,,                              0,                              0,               -275877,                149224,                 -5530,                              0,                -52653,                    551,               -184285,,               -362501,                878360,               -854938,                -63780,                              0,                              0,               -402859,                 18015,               -293723,              1042547,                748824,                748824,,,,,,,,,,
8163,2014年01月01日至2014年06月30日,,                -59393,                -59393,,,                479311,                 31125,                  4183,                 48729,                -10866,                -69919,                              0,,,                  1860,                484423,,,                    -28,                372971,                  5184,                  7301,                -35026,                539150,                -61140,                828412,,               -898530,                 -4097,                -79374,                 -7193,                  1495,                -25643,                 -9916,             -1023258,               -194846,                289577,                230184,                 10866,                -52202,                 -7204,                181644,,,,               -158962,                114795,                 -4507,                              0,                -31848,                    186,                -80336,,               -412942,                733920,               -727975,,,,               -406997,                -60414,               -366103,              1042547,                676444,                676444,                              0,,,,,,,,,
8163,2014年01月01日至2014年03月31日,,               -124529,               -124529,,,                246222,                 15981,                  1761,                 25521,                 -5631,                 -4927,,,,                 20615,                299542,,,                    -14,                468730,                 11974,                144050,                 -3731,                289023,                  2756,                912788,,               -921791,                 -4997,               -199185,                 -8632,                    700,                 48309,                 -3024,             -1088620,               -175832,                123710,                   -819,                  5631,                -26427,,                -21615,,,,                -64639,                 29953,                 -2028,                              0,                -25199,                     31,                -61882,,                200036,                495000,               -504050,,,,                190986,                -12906,                 94583,              1042547,              1137130,              1137130,,,,,,,,,,
8163,2013年度,,                  4367,                  4367,,,              1024558,                 86594,,                 80361,                -12843,                -36941,,,                   -279,                 19401,,,,                 26965,              1461356,                   -591,                -52397,                -27172,                653027,,              1563646,,             -1250594,                  4770,               -227178,                  2109,                 -4605,               -113127,                    462,             -1588163,                -24517,              1136894,              1141261,                 12843,                -79934,                -79635,                994535,,,,               -627012,                 92979,,,                -46586,                 -9758,               -582695,,,                409220,               -375610,               -191341,,                 -1900,               -527103,                -46752,               -162015,              1204562,              1042547,              1042547,,,                    560,              1161411,               -497542,                  7682,               -367472,,,
8163,2013年01月01日至2013年12月31日,,                  4367,                  4367,,,              1024558,                 86594,,                 80361,                -12843,                -36941,,,                   -279,                 19401,,,,                 26965,              1461356,                   -591,                -52397,                -27172,                653027,,              1563646,,             -1250594,                  4770,               -227178,                  2109,                 -4605,               -113127,                    462,             -1588163,                -24517,              1136894,              1141261,                 12843,                -79934,                -79635,                994535,,,,               -627012,                 92979,                              0,,                -46586,                 -9758,               -582695,,                              0,                409220,               -375610,               -191341,,                 -1900,               -527103,                -46752,               -162015,              1204562,              1042547,              1042547,,,                    560,              1161411,               -497542,                  7682,               -367472,                              0,                              0,                              0
8163,2013年01月01日至2013年09月30日,,                -31305,                -31305,,,                773838,                 77325,                              0,                 59759,                 -9496,                -17984,,,                   -279,                 12586,,,,                 11319,                907425,                  3293,                 82341,                              0,                518853,               -350202,              1173029,,             -1312003,                 -2734,               -522022,                 -2039,                  1586,                 49577,                 -3034,             -1790669,               -617640,                278109,                246804,                  9496,                -60801,                -66373,                129126,,,,               -359921,                 35397,                  4117,,                -52035,                 -1388,               -373830,,                247225,                268280,               -375140,               -191341,,                 -1900,                -52876,                -55192,               -352772,              1204562,                851790,                851790,,,,                895749,,,,,,
