證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股份基礎給付酬勞成本,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 金融資產減損損失,　　　　 未實現外幣兌換損失（利益）,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 其他應收款－關係人（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他應付款－關係人增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得採用權益法之投資,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金減少,　　 其他應收款增加,　　 其他應收款－關係人增加,　　 取得無形資產,　　 其他金融資產增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 舉借長期借款,　　 償還長期借款,　　 存入保證金增加,　　 庫藏股票買回成本,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 存出保證金增加,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 存入保證金減少,　　 員工執行認股權,　　　　　 持有供交易之金融資產（增加）減少,　　 取得以成本衡量之金融資產,　　 其他金融資產減少,　　 發放現金股利,　　　　　 持有供交易之金融負債增加（減少）
3573,2015年01月01日至2015年09月30日,,               -259635,               -259635,,,                443534,                  1911,                  8598,                 -1945,                 12689,                 -7388,                  6995,                 22698,                  1666,                              0,                -23773,                              0,                464985,,,                 -7576,               -251039,                  2811,                 46869,                 -4045,                 38232,                 -9468,                 -8962,               -193178,,                -42239,                 43825,                 -1328,                -45519,                    865,                  3889,                   -117,                -40624,               -233802,                231183,                -28452,                  8189,                -12445,                    -31,                -32739,,                -13016,               -189287,                  4519,                    573,                 -5211,                 -6253,                 -3900,                    -24,               -212599,,              1779354,             -1495333,                              0,               -146704,                              0,               -246072,               -108755,                 14401,               -339692,                979976,                640284,                640284,,,,,,,,,,,
3573,2015年01月01日至2015年06月30日,,               -308932,               -308932,,,                291719,                  1162,                 23802,                 -1945,                  8189,                 -4678,                  4938,                 17086,                  1685,,                 36812,,                378770,,,                 -7848,                -24426,                  3105,                 19118,                 -3083,                 17218,                -10015,                -21265,                -27196,,                -42230,                 88052,                 -1372,                -81342,                  1306,                  5004,                    -79,                -30661,                -57857,                320913,                 11981,                  5570,                 -7862,                   -520,                  9169,,                -13016,               -146038,                  4500,,                 -7015,                 -7015,                 -3443,                    -24,               -172055,,              1060414,               -909399,                              0,                -74281,                              0,               -135902,                -59168,                -10544,               -232598,                979976,                747378,                747378,                     -4,,,,,,,,,,
3573,2015年01月01日至2015年03月31日,,               -118015,               -118015,,,                141163,                    472,                  6548,                 -2341,                  4273,                 -1740,                  2798,                  8117,                  1685,,                 31905,,                192880,,,                -11058,                 51748,                  1947,                 -3236,                   -659,                 75716,                    954,                 -2478,                112934,,                -42222,                 37836,                 -1372,                -66432,                    844,                  1143,                    -41,                -70244,                 42690,                235570,                117555,                  2291,                 -4158,                   -218,                115470,,,                -36606,                  4500,,                 -7598,                 -7598,                 -2466,,                -49769,,                477322,               -573828,                              0,                -37141,,                -74614,               -208261,                 -4107,               -146667,                979976,                833309,                833309,                     -1,,,,,,,,,,
3573,2014年度,,               -279981,               -279981,,,                521415,                  1992,                  6507,                  1138,                 14722,                 -4343,                 12622,                  5309,                    245,                  8307,                -41189,                 22792,,,,                -11548,                219781,                 57542,                 67866,                 -3947,                500983,                 14881,                 -8831,                836727,,                 41369,               -164482,                  1372,                -73603,                  1625,                  2734,,               -191169,                645558,              1195075,                915094,                  3067,                -16140,                   -668,                901353,,                -78353,               -281935,                              0,                  6331,,,                 -3154,                    -47,               -357158,,              2352191,             -2507546,                397294,               -240623,                    700,               -154239,               -152223,                 35208,                427180,                552796,                979976,                979976,,,                549517,                   -184,                              0,                              0,,,,,
3573,2014年01月01日至2014年09月30日,,                -93382,                -93382,,,                396027,                  1535,                  1013,                    746,                 10387,                 -1847,                  9743,                  1445,                    245,                  7679,                -12377,                 13497,                428093,,,                  4258,               -201838,                 58570,                 11212,                              0,                380235,                -20039,                -15066,                217332,,                   -872,               -135772,                              0,                -30054,                              0,                 16119,                   -138,               -150717,                 66615,                494708,                401326,                  1230,                -11823,                    -37,                390696,,                -78353,               -254910,                              0,                  6314,                              0,                              0,                 -1874,                    -23,               -328846,,              1881044,             -1933976,                389586,               -186232,                    700,               -151208,                    -86,                 13928,                 75692,                552796,                628488,                628488,,,,,,,,,,,
3573,2014年01月01日至2014年06月30日,,                  5319,                  5319,,,                264362,                  1018,                  3308,                   -807,                  6781,                   -557,                  6546,                  1599,                              0,,                 22523,,                304773,,,                  2409,               -112139,                 58209,                 29231,                 -2232,                197095,                -17742,                -29555,                125276,,                    -54,                -69209,                              0,                -53401,                   -714,                  2263,                    -92,               -121207,                  4069,                308842,                314161,                    558,                 -7857,                    -17,                306845,,                -78353,               -192966,                              0,,                              0,                              0,                 -3681,                    -23,               -268685,,              1175321,             -1450200,                311358,                -61318,                    300,                              0,                -24539,                  4911,                 18532,                552796,                571328,                571328,                  6338,,,,,,,,,,
3573,2014年01月01日至2014年03月31日,,                  4117,                  4117,,,                130846,                    475,                  3709,                   -667,                  2935,                   -169,                  3792,                    823,                              0,,                 36798,,                178542,,,                     57,                -17545,                 57546,                  2144,                              0,                191705,                 -4580,                 -6579,                222748,,                   -438,               -113897,                              0,                -76193,                              0,                  2670,                    -26,               -187884,                 34864,                213406,                217523,                    156,                 -3835,                     -8,                213836,,,               -151396,                              0,,                              0,                              0,                 -3081,,               -153090,,                519431,               -861221,                275665,                -31368,,                              0,                -97493,                  5936,                -30811,                552796,                521985,                521985,                  1387,,,,,,,,,,
3573,2013年度,,                -94530,                -94530,,,                469155,                  1193,                 12146,                    860,                 12382,                 -1747,                              0,                  1054,                  1290,                              0,                 37645,                              0,,,,                 15050,               -209811,                -59545,                 -2137,                              0,               -128403,                -10827,                 13157,               -382516,,                 -5862,                 74001,                              0,                -35140,                              0,                 -3531,,                 29285,               -353231,                180747,                 86217,                  1777,                -10702,                 -1483,                 75809,,                -13800,               -703348,                  2313,                  1035,,,                 -3840,                    -48,               -717688,,              2879140,             -2667360,                 68587,               -106026,                              0,                -49057,                122423,                 16080,               -503376,              1056172,                552796,                552796,,,                533978,                   -183,                 -4000,                  1139,,,,,
3573,2013年01月01日至2013年12月31日,,                -94530,                -94530,,,                469155,                  1193,                 12146,                    860,                 12382,                 -1747,,                  1054,                  1290,,                 37645,                              0,,,,                 15050,               -209811,                -59545,                 -2137,,               -128403,                -10827,                 13157,               -382516,,                 -5862,                 74001,,                -35140,,                 -3531,,                 29285,               -353231,                180747,                 86217,                  1777,                -10702,                 -1483,                 75809,,                -13800,               -703348,                  2313,                  1035,,,                 -3840,                    -48,               -717688,,              2879140,             -2667360,                 68587,               -106026,                              0,                -49057,                122423,                 16080,               -503376,              1056172,                552796,                552796,                              0,,                533978,                   -183,                 -4000,                  1139,,                              0,                              0,                              0,
3573,2013年01月01日至2013年09月30日,,                -96568,                -96568,,,                345239,                    871,                  4751,                  1216,                  9786,                 -1384,                              0,                    939,                  1434,                              0,                  3913,                              0,,,,                 17669,               -252383,                -76007,                -12354,                    -76,               -139189,                -19697,                -12006,               -496623,,                  8424,                304268,,                -51257,,                  5941,,                267255,               -229368,                137397,                 40829,                  1401,                 -8429,                 -1281,                 32520,,                              0,               -595587,                  2170,                    464,,,                 -3570,                    -24,               -596547,,              1963328,             -1792512,                 70488,                -29548,                 10000,                -49057,                173838,                 12479,               -377710,              1056172,                678462,                678462,,,                366765,                   -121,,                  1139,                 -2580,,,,
