證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收票據－關係人（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 收取之股利,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 備供出售金融資產減資退回股款,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 存出保證金減少,　　 取得無形資產,　　 其他金融資產增加,　　 預付設備款增加,　　 其他預付款項增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款減少,　　 應付短期票券增加,　　 舉借長期借款,　　 償還長期借款,　　 存入保證金增加,　　 存入保證金減少,　　 發放現金股利,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 非金融資產減損損失,　　 應付短期票券減少,　　 停業單位稅前淨利（淨損）,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 其他金融資產減少,　　 其他非流動資產增加,　　 其他非流動資產減少,　　 預付設備款減少
1307,2015年01月01日至2015年09月30日,,              1049945,              1049945,,,                501628,                  1087,                  2436,                  1847,                 30549,                -13142,                 -3271,                    578,                 90961,                612673,,,                 -1614,                 -3786,                 -9440,               -201036,                -96589,                   -261,                -49210,                 17979,                 22883,                              0,               -321074,,                  1264,                182591,                142609,                  7867,                -45286,                289045,                -32029,                580644,              1630589,                 13142,                  3271,                -32562,                -82922,              1531518,,                              0,                 12462,               -543316,                    412,                    -27,                    177,                              0,                              0,                              0,                 -4251,               -534543,,               -130000,                 90000,                100000,               -256950,                  4892,                   -200,               -599971,               -792229,                134332,                339078,              3798181,              4137259,              4137259,,,,,,,,,,
1307,2015年01月01日至2015年06月30日,,                641609,                641609,,,                333292,                    745,                     71,                    906,                 20720,                -10041,,                    334,                  1753,                347780,,,                   -334,                -17034,                 11824,                 88883,                 38752,                   -122,                 -9844,                 41744,                 29018,,                182887,,                  2591,                -47973,                 82326,                  8254,                -45286,                    -88,                182799,                530579,              1172188,                 10041,,                -22071,                -54709,              1105449,,                              0,                 10027,               -354871,                    299,                              0,                     75,,                              0,                              0,                 -4251,               -348721,,               -300000,                 60000,                100000,               -115000,                  4676,                   -200,,               -250524,               -103876,                402328,              3798181,              4200509,              4200509,,,,,,,,,,
1307,2015年01月01日至2015年03月31日,,                348726,                348726,,,                168202,                    404,                  2666,                              0,                 10640,                 -3881,,                   -122,                 -3374,                174956,,,                              0,                  3897,                 16696,               -281566,               -102134,                      2,               -120045,                 -3526,                 57462,,               -429214,,                  1876,                 83042,                 31666,                  7119,                -45286,                 78417,               -350797,               -175841,                172885,                  3881,,                -11309,                -11689,                153768,,,,               -161636,                    298,                              0,,,,                 -3916,                 -4251,               -169505,,               -100000,,                              0,                -87000,                  4728,                   -200,,                -92530,                -48468,               -156735,              3798181,              3641446,              3641446,                    421,                 89942,,,,,,,,
1307,2014年度,,              1177898,              1177898,,,                595386,                  4097,                    -60,                   -803,                 41071,                -14363,                 -3443,                 -1918,                  4978,,,,                    803,                  8185,                  2289,                -63489,                -15891,                   -375,                300683,                  5463,                 -1226,,                236442,,,                -96588,                 24555,                 25344,,                -74223,                162219,                787164,              1965062,                 14363,                  3443,                -42946,               -148653,              1791269,,                 -1631,                  7043,               -849691,                  5815,                   -165,                    459,                 -2016,,                -60923,,               -871304,,                190000,,                326340,               -221000,                              0,                   -253,               -509684,               -214597,                226825,                932193,              2865988,              3798181,              3798181,,,                              0,,                624945,                -27534,                 29805,                              0,                              0,
1307,2014年01月01日至2014年09月30日,,                867476,                867476,,,                437531,                  3736,                  1457,                   -803,                 30062,                 -9971,                 -3442,                 -1960,                 26211,                482821,,,                    803,                    313,                 -1101,               -198390,               -135777,                 -2339,                 80282,                -24566,                -33081,                -43903,               -357759,,                  1242,                 30429,                 47339,                 10487,                -32779,                 56718,               -301041,                181780,              1049256,                  9971,                  3442,                -31837,                -84350,                946482,,                 -1630,                  7043,               -710029,                  4864,                   -172,                    137,                 -2016,                -43973,                -37502,                              0,               -783278,,                 80000,                              0,                300000,               -193000,                              0,                   -244,               -509684,               -322928,                 64986,                -94738,              2865988,              2771250,              2771250,,,,,,,,,,
1307,2014年01月01日至2014年06月30日,,                600391,                600391,,,                281704,                  1747,                    318,                   -590,                 20072,                 -6356,,                 -2123,                 16904,                311676,,,                    743,                 21779,                  4076,                -46797,                -78060,                 -2011,                 30823,                 20531,                 -1955,,                -50871,,                  1251,                  7600,                 -2521,                 17542,                -32654,                 -8782,                -59653,                252023,                852414,                  6356,,                -21436,                -78249,                759085,,                 -1630,                  7043,               -435076,                  4821,                    -82,                    134,,                -72037,                -28832,                              0,               -525659,,                -40000,                120000,                100000,               -106000,                              0,                   -239,,                 73761,                 -5998,                301189,              2865988,              3167177,              3167177,,,,,,,,,,
1307,2014年01月01日至2014年03月31日,,                305902,                305902,,,                137944,                    851,                  1633,                    404,                 10000,                 -3009,,                 -1424,                  8768,                157805,,,                    106,                 10931,                -12650,               -260657,               -118398,                 -1462,                -25581,                -11342,                -32244,,               -451297,,                  1876,                 41635,                -17545,                 31280,                -32654,                 24592,               -426705,               -268900,                 37002,                  3009,,                -10621,                   -397,                 28993,,,,               -225038,                  3840,                    -20,,,,                -30541,                              0,               -251759,,                -40000,,                100000,                -28000,                              0,                   -244,,                 31756,                 63569,               -127441,              2865988,              2738547,              2738547,                  2638,                              0,,,,,,,,
1307,2013年度,,              1027659,              1033804,,,                550722,                  6979,                     91,                  2350,                 36092,                -14464,                 -1801,                 -2228,                 36150,,,,                 -2350,                  1616,                 37977,               -106262,                 50608,                  7123,               -292630,                 -9866,                 -9559,,               -323343,,,                 67465,                 58060,                 18394,,                129805,               -193538,                420353,              1454157,                 14464,                  1801,                -37523,                -56150,              1376749,,                              0,                 11491,               -943526,                  4457,                 -5230,                    598,                 -2372,,                -52404,,               -986274,,               -200000,,                778500,               -395300,                  9479,                -13616,               -494839,               -315776,                 71509,                146208,              2719780,              2865988,              2865988,,,                  6145,,                613891,                -14114,                              0,                   -560,                  1272,
1307,2013年01月01日至2013年12月31日,,              1027659,              1033804,,,                550722,                  6979,                     91,                  2350,                 36092,                -14464,                 -1801,                 -2228,                 36150,,,,                 -2350,                  1616,                 37977,               -106262,                 50608,                  7123,               -292630,                 -9866,                 -9559,,               -323343,,,                 67465,                 58060,                 18394,,                129805,               -193538,                420353,              1454157,                 14464,                  1801,                -37523,                -56150,              1376749,,,                 11491,               -943526,                  4457,                 -5230,                    598,                 -2372,,                -52404,,               -986274,,               -200000,,                778500,               -395300,                  9479,                -13616,               -494839,               -315776,                 71509,                146208,              2719780,              2865988,              2865988,,                              0,                  6145,,                613891,                -14114,,                   -560,                  1272,                              0
1307,2013年01月01日至2013年09月30日,,                731221,                737366,,,                417731,                  6197,                  1782,                  2350,                 26002,                -11452,                 -1801,                     43,                 23438,,,,                 -2350,                 27278,                 42063,               -210093,                -42704,                  4046,               -280165,                 -4847,                -30167,                              0,               -496939,,                    564,                118194,                -30855,                 45654,,                132776,               -364163,                100127,                837493,                 11452,                  1801,                -27173,                -55448,                768125,,                              0,                 11491,               -676998,                    293,                 -5122,                    597,                 -2372,                              0,                -37870,,               -709259,,                -90000,                 89931,                360000,               -167300,                  9477,                -13861,               -494839,               -306592,                 46279,               -201447,              2719780,              2518333,              2518333,,,                  6145,,                464290,                   -781,,                   -549,                  1271,
