證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股份基礎給付酬勞成本,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 不動產、廠房及設備轉列費用數,　　　　 處分採用權益法之投資損失（利益）,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付費用（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得原始認列時指定為透過損益按公允價值衡量之金融資產,　　 取得不動產、廠房及設備,　　 存出保證金增加,　　 預付設備款增加,　　 預付設備款減少,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 發放現金股利,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 其他符合國際會計準則第七號現金及約當現金定義之項目,　　　 不影響現金流量之收益費損項目,　　　　 處分無形資產損失（利益）,　　　　 處分投資損失（利益）,　　　　 其他項目,　　　　 不影響現金流量之收益費損項目合計,　　　　　 其他金融資產（增加）減少,　　　　　 應計退休金負債增加（減少）,　　 處分原始認列時指定為透過損益按公允價值衡量之金融資產,　　 採用權益法之被投資公司減資退回股款,　　 處分不動產、廠房及設備,　　 取得無形資產,　　 其他非流動資產減少,　　 發行公司債,　　 現金增資,　　 員工執行認股權,　　　　 處分投資性不動產損失（利益）,　　 其他非流動資產增加,　　　　　 應收票據－關係人（增加）減少,　　　　 呆帳費用提列（轉列收入）數,　　 存出保證金減少,　　 其他投資活動,　　 原始認列時指定為透過損益按公允價值衡量之金融負債減少,　　　　　 應收帳款－關係人（增加）減少
4119,2015年01月01日至2015年09月30日,,                378071,                378071,,,                 97675,                     91,                 -1393,                  8059,                   -933,                  4053,                              0,                    636,                              0,                              0,                108188,,,                 -3941,                -79016,                   -641,                 37742,                    793,                   -211,                   -796,                -46070,,                 -3760,                 -1959,                  1870,                    187,                  4604,                    121,                   -237,                    826,                -45244,                 62944,                441015,                    933,                    -15,                -44194,                397739,,               -231000,               -116575,                   -440,                -68455,                 58317,               -358153,,                 35000,                -85000,               -228882,               -278882,                              0,               -239296,                399044,                159748,                159748,                              0,,,,,,,,,,,,,,,,,,,,,,,
4119,2015年01月01日至2015年06月30日,,                263021,                263021,,,                 66066,                     70,                   -869,                  6234,                   -639,                  2860,                              0,                    636,                              0,                              0,                 74358,,,                  4891,                -99696,                 -3854,                 31258,                   -562,                   -423,                   -558,                -68944,,                 -3021,                  5398,                 26847,                    -75,                 -4197,                    107,                   -154,                 24905,                -44039,                 30319,                293340,                    639,                    -10,                -23588,                270381,,               -198000,                -56146,                              0,                -54034,                  9089,               -299091,,                 10000,                -60000,,                -50000,                              0,                -78710,                399044,                320334,                320334,,,,,,,,,,,,,,,,,,,,,,,,
4119,2015年01月01日至2015年03月31日,,                113667,                113667,,,                 33606,                     38,                   -616,                  3186,                   -286,                  1918,                              0,                    636,                              0,,                 38482,,,                  3995,                 -9286,                 -1005,                  9082,                  1931,                   -188,                    161,                  4690,,                   -996,                  8849,                 -9599,                   -187,                  1716,                    103,                    -75,                   -189,                  4501,                 42983,                156650,                    286,                    -10,                    -28,                156898,,                -90000,                -24241,,                -26491,                  1264,               -139468,,                              0,                -50000,,                -50000,                              0,                -32570,                399044,                366474,                366474,                              0,,,,,,,,,,,,,,,,,,,,,,,
4119,2014年度,,                335094,                335094,,,                134455,                    248,                   -456,                  8394,                 -1814,                  9133,                  5991,                    116,                  3184,                -40117,,,,                  3134,                -54049,                 30159,               -103180,                    926,                  3478,                    850,               -118682,,                   -433,                 -1984,                 65917,                    -67,                  7696,                     62,,                 59500,                -59182,                 59952,                395046,                  1814,                    -28,                -38061,                358771,,                -93000,               -275814,                   -510,                -93336,,               -462660,,                391694,               -447694,               -118271,               -174271,,               -278160,                677204,                399044,                399044,                              0,,                              0,                              0,                              0,                119134,                              0,                -11691,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,,,,,,,,
4119,2014年01月01日至2014年09月30日,,                266884,                266884,,,                101584,                    211,                   -368,                  5194,                 -1383,                  6393,                  5991,                     13,                    682,                -40117,                 78200,,,                    410,                -27134,                 20792,                -57688,                    984,                  3206,                   -858,                -60288,,                   -314,                -15774,                 41919,                   -511,                -14898,                    266,                -12294,                 -1606,                -61894,                 16306,                283190,                  1383,                    -23,                -37497,                247053,,                -93000,               -280554,                   -510,                -57466,                 41321,               -390209,,                327000,               -301000,               -118271,                -92271,                    101,               -235326,                677204,                441878,                441878,                              0,,,,,,,,,,,,,,,,,,,,,,,
4119,2014年01月01日至2014年06月30日,,                193165,                193165,,,                 69211,                    173,                     70,                  2251,                 -1057,                  4007,                  5991,                     13,                    682,                -40117,                 41224,,,                   -327,                 -7338,                 20470,                -54562,                    -60,                  2697,                    362,                -38758,,                  2566,                 19158,                 51068,                   -547,                   -929,                     85,                -12376,                 59025,                 20267,                 61491,                254656,                  1057,                    -18,                -18953,                236742,,                -93000,               -199542,                   -510,                -60413,                 11174,               -342291,,                135000,               -121000,,                 14000,                    -77,                -91626,                677204,                585578,                585578,,,,,,,,,,,,,,,,,,,,,,,,
4119,2014年01月01日至2014年03月31日,,                 79948,                 79948,,,                 34442,                    111,                   -104,                  1491,                   -460,                  1002,                  3802,                              0,                    331,,                 40615,,,                  3171,                -28842,                 18513,                    378,                  2102,                  2461,                    580,                 -1637,,                    653,                 -8136,                 -1548,                   -579,                 37857,                     87,                -12452,                 15882,                 14245,                 54860,                134808,                    460,                  1902,                 -2545,                134625,,                    136,                -94538,,                -33013,                 16505,               -110910,,                 75000,               -106000,,                -31000,                    -80,                 -7365,                677204,                669839,                669839,                              0,,,,,,,,,,,,,,,,,,,,,,,
4119,2013年度,,                193780,                193780,,,                122513,                    470,                    103,                  2834,                   -590,                 32426,                 12167,                  1673,                    676,                              0,,,,                    105,                 24807,                -22098,               -113626,                 -1428,                  2035,                 -1051,               -101949,,                 -1336,                    824,                 18959,                    337,                  1535,                     97,,                 20264,                -81685,                 90712,                284492,                    590,                 -3681,                -42830,                238571,,               -120000,               -690369,                   -500,                -82659,,               -815963,,                106000,                -35024,               -132170,              1231322,,                653930,                 23274,                677204,                677204,                              0,,                     82,                    -51,                     94,                172397,                  9307,                   -152,                 45051,                 21682,                    846,                     22,                  9964,                597000,                694000,                  1516,,,,,,,,
4119,2013年01月01日至2013年12月31日,,                193780,                193780,,,                122513,                    470,                    103,                  2834,                   -590,                 32426,                 12167,                  1673,                    676,,,,,                    105,                 24807,                -22098,               -113626,                 -1428,                  2035,                 -1051,               -101949,,                 -1336,                    824,                 18959,                    337,                  1535,                     97,,                 20264,                -81685,                 90712,                284492,                    590,                 -3681,                -42830,                238571,,               -120000,               -690369,                   -500,                -82659,,               -815963,,                106000,                -35024,               -132170,              1231322,                              0,                653930,                 23274,                677204,                677204,,,                     82,                    -51,                     94,                172397,                  9307,                   -152,                 45051,,                    846,                     22,                  9964,                597000,                694000,                  1516,,                              0,,                              0,                              0,                 21682,                              0,
4119,2013年01月01日至2013年09月30日,,                148599,                148599,,,                 89278,                    359,                   -135,                  1085,                    -19,                 32453,                  9294,                  1536,                    579,                              0,,,,                  4365,                 -6579,                 -4335,                -61721,                     69,                  4924,                 -6529,                -60499,,                 -2811,                  4015,                  3843,                     10,                  1310,                    102,,                  6682,                -53817,                 80695,                229294,                     19,                 -3631,                -43213,                182469,,               -120000,               -645936,                   -500,                -65223,,               -820823,,              1590900,             -1619024,               -132170,              1132223,                    881,                494750,                 23274,                518024,                518024,,,,,,                134512,                  9307,                    213,,,                    846,,,                597000,                694000,                  1517,                     82,                  9990,,,,,,
