證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股份基礎給付酬勞成本,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分採用權益法之投資損失（利益）,　　　　 非金融資產減損迴轉利益,　　　　 未實現外幣兌換損失（利益）,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得採用權益法之投資,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 取得無形資產,　　 其他金融資產增加,　　 預付設備款增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 存入保證金增加,　　 發放現金股利,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 其他投資活動,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 其他金融負債減少,　　　　　 其他營業資產（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　 存出保證金增加,　　 處分無形資產,　　 存入保證金減少,　　 應付租賃款減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他營業負債增加（減少）
1789,2015年01月01日至2015年09月30日,,                570832,                570832,,,                353819,                  8465,                    -77,                 -2522,                  5512,                -22446,                  7136,                   -754,                    793,                -95381,                   -673,                              0,                 91565,                345437,,,                     27,               -125212,                -15982,                 74790,                -39663,               -106040,,                  6890,                 71422,                -14428,                -24477,                     57,                    728,                 40192,                -65848,                279589,                850421,                 22286,                 -5512,               -102843,                764352,,                              0,               -577861,                    411,                 -5037,               -531131,                 -4428,             -1118046,,                401755,                 20884,               -140592,                              0,                282047,                 -9863,                -81510,              1927603,              1846093,              1846093,,,,,,,,,,,,,
1789,2015年01月01日至2015年06月30日,,                366381,                366381,,,                235223,                  5931,                    -37,                 -3146,                  2892,                -14470,                  4731,                   -754,                    603,                -95381,                              0,                              0,                 49856,                185448,,,                 -8944,                -36526,                 -3715,                 87039,                -40224,                 -2370,,                 -1032,                137658,                -52882,                -30743,                              0,                    481,                 53482,                 51112,                236560,                602941,                 14267,                 -2892,                -25579,                588737,,                              0,               -369364,                    411,                   -323,                  1089,                 24719,               -343468,,                212268,                 20000,,                              0,                232268,                  4634,                482171,              1927603,              2409774,              2409774,                              0,,,,,,,,,,,,
1789,2015年01月01日至2015年03月31日,,                134298,                134298,,,                117868,                  2905,                    -15,                 -5515,                  1411,                 -3613,                  2352,                   -754,                     68,,                              0,                              0,                 16025,                130732,,,                     27,               -130044,                  3211,                 31043,                -32059,               -127822,,                 31954,                109291,                -22077,                -11702,                              0,                    238,                107704,                -20118,                110614,                244912,                  3350,                 -1411,                 -6199,                240652,,                              0,               -292304,                    414,                   -188,                   -447,                 22885,               -269640,,                 85699,                 20000,,                              0,                105699,                  3208,                 79919,              1927603,              2007522,              2007522,,,,,,,,,,,,,
1789,2014年度,,                602209,                602209,,,                458019,                 13082,                     66,                  2531,                  4139,                -32308,,                 15498,                  4077,,                   -140,                              0,                 88322,,,,                    203,                447585,                -37801,                   -740,                 36411,                445658,,                     73,               -210624,               -206068,                -37856,                              0,,               -453503,                 -7845,                545441,              1147650,                 32431,                 -4139,               -287647,                888295,,                              0,               -842242,                  1426,                 -5358,                 15791,               -176131,             -1006514,,                587691,                  1656,               -811113,                              0,               -221766,                -21840,               -361825,              2289428,              1927603,              1927603,,,                553286,                    972,,,,,,,,,
1789,2014年01月01日至2014年09月30日,,                527677,                527677,,,                341935,                  8278,                    211,                  4311,                  3139,                -21676,                  7711,                  9048,                  2997,                              0,                    -91,                              0,                 87184,                443047,,,                    230,                106171,               -115666,               -221232,                 14328,               -216169,,                    396,                -69424,                -93496,                -46093,                    109,                    156,               -208352,               -424521,                 18526,                546203,                 21978,                 -3139,               -287439,                277603,,                              0,               -736044,                    930,                 -1949,                 15609,               -160532,               -881986,,                433403,                              0,               -811113,                              0,               -377710,                 -4283,               -986376,              2289428,              1303052,              1303052,,,,,,,,,,,,,
1789,2014年01月01日至2014年06月30日,,                397418,                397418,,,                229176,                  5555,                     98,                 -2934,                  1607,                -17657,                  5113,                  3822,                     46,                              0,                              0,                              0,                 45088,                269914,,,                -11506,                189612,                -20753,               -212714,                 32671,                -22690,,                   -834,                -44028,               -171397,                -48864,                              0,                     85,               -265038,               -287728,                -17814,                379604,                 17445,                 -1607,               -148030,                247412,,                              0,               -552727,                    618,                 -1257,                 18246,               -140931,               -676051,,                316653,                              0,,                              0,                316653,                  6933,               -105053,              2289428,              2184375,              2184375,                              0,,,,,,,,,,,,
1789,2014年01月01日至2014年03月31日,,                185030,                185030,,,                114494,                  2808,                      2,                    -34,                  4175,                 -5281,                  2542,                    334,                    126,,                              0,                              0,                 14849,                134015,,,                 -1378,                342587,                -13807,               -138424,                 37095,                226073,,                   -307,                -39417,                -39443,                 24976,                              0,                     31,                -54160,                171913,                305928,                490958,                  5141,                 -4175,                   -382,                491542,,                              0,               -286930,                    324,                   -585,                    973,                -84794,               -371012,,                380373,                              0,,                              0,                380373,                  2439,                503342,              2289428,              2792770,              2792770,,,,,,,,,,,,,
1789,2013年度,,              1408513,              1408513,,,                437569,                  9949,                      5,                  1611,                  7916,                -37646,,                 16791,                 -3338,,                 -3185,                              0,                 11396,,,,                   -230,               -129312,                -65196,               -647254,                 14599,               -827393,,                     35,                 41363,                 81974,                 73629,                              0,,                197087,               -630306,               -189238,              1219275,                 37646,                 -7916,               -309532,                939473,,               -107388,               -738918,                  6984,                -18215,                 -1838,               -487112,             -1346487,,                426109,                              0,               -779916,                 -1603,               -355410,                 16840,               -745584,              3035012,              2289428,              2289428,,,                441068,                     86,,,,,,,,,
1789,2013年01月01日至2013年12月31日,,              1408513,              1408513,,,                437569,                  9949,                      5,                  1611,                  7916,                -37646,,                 16791,                 -3338,,                 -3185,                              0,                 11396,,,,                   -230,               -128194,                -65196,               -647254,                 14599,               -827393,,                     35,                 41363,                 81974,                 73629,                              0,,                197087,               -630306,               -189238,              1219275,                 37646,                 -7916,               -309532,                939473,,               -107388,               -738918,                  6984,                -18215,                   -850,               -487112,             -1346487,,                426109,,               -779916,                 -1603,               -355410,                 16840,               -745584,              3035012,              2289428,              2289428,,,                441068,                     86,,,                 -1118,                   -988,                              0,                              0,                              0,,
1789,2013年01月01日至2013年09月30日,,              1135362,              1135362,,,                323334,                  7087,                     -2,                 -1111,                  5249,                -26462,,                 11416,                  1008,,                 -1138,                              0,                 98364,,,,                 -2646,                154703,                -58766,               -582835,                 49052,               -440492,,                   -279,                 75455,                 -3124,                 73229,                    121,,                145851,               -294641,                123104,              1258466,                 26654,                 -5249,               -309112,                970759,,               -107388,               -505790,                    308,                -11109,                 -1568,               -360112,               -985659,,                479156,,               -779916,                 -1603,               -302363,                 16330,               -300933,              3035012,              2734079,              2734079,,,                417745,                    449,                              0,,,,,,,,
1789,2013年01月01日至2013年06月30日,,                875434,                875434,,,                211163,                  4489,                     35,                  1804,                  3001,,,                  2375,                  1248,,                 -1106,                              0,                 73289,,,,                     -5,                -29151,                -26207,               -488544,                -54115,               -600514,,                   -713,                 56022,                -59802,,                 75647,,                 71460,               -529054,               -232756,                642678,,                 -3001,               -183436,                456241,,               -107388,               -299796,                      8,                -10641,,               -205859,               -623676,,                491361,,,                 -1459,                489902,                 21518,                343985,              3035012,              3378997,              3378997,,,                296298,,,                 -2492,,,,,,                              0,                    306
1789,2013年01月01日至2013年03月31日,,                407273,                407273,,,                101734,                  2136,                     28,                  1624,                  1413,                 -8890,,                              0,                    196,,                    -71,                              0,                 41980,,,,                   -468,                242547,                -18519,               -396676,                 38896,               -135679,,                    113,                 71167,                 13453,                  1809,                              0,,                 86706,                -48973,                 91177,                498450,                  9103,                 -1413,                   -564,                505576,,                              0,               -143656,                              0,                              0,                   -860,               -112718,               -257234,,                127992,,                              0,                              0,                127992,                   -301,                376033,              3035012,              3411045,              3411045,,,                140150,                    164,                              0,                 -1459,,,,,,,
1789,2012年01月01日至2012年12月31日,,              1372157,              1372157,,,                357884,                  5384,                 -4115,                  1593,                     29,                -29797,,                  4434,                    357,,                 -5857,                              0,                 26200,,,,                              0,                  6683,                -48317,               -441576,                -23369,               -506579,,                    962,                -76176,                 45206,                -14763,                -19804,,                -61852,               -568431,               -212319,              1159838,                 29797,                    -29,               -208053,                981553,,                              0,               -493806,                 24741,                 -7905,                              0,               -379479,               -859906,,                263676,,               -631000,                    -69,               -368607,                -11709,               -258669,              3293681,              3035012,              3035012,,,                356112,                  2723,,,                              0,                 -8503,                  5046,                   -250,                   -964,,
1789,2012年01月01日至2012年09月30日,,                881956,                881956,,,                261691,                  3757,                 -4079,                 -1188,                     26,,,                  4434,                   -493,,                 -2725,                              0,                 66284,,,,                              0,               -111479,                -18356,               -574243,                -10469,               -714547,,                    -35,                -56513,                 51396,                  9618,                -20522,,                -14986,               -729533,               -401826,                480130,,                              0,               -200258,                279872,,                              0,               -279938,                 10643,                 -6832,                 -2871,               -338790,               -617788,,                              0,,               -631000,                    -55,               -631305,                -21486,               -990707,              3293681,              2302974,              2302974,,,                327707,                  1070,                   -250,,,,,,,,
1789,2012年01月01日至2012年06月30日,,                489891,                489891,,,                171769,                  2223,                 -4117,                  2963,                     21,,,                  4434,                   -632,,                 -2570,                              0,                 29322,,,,                              0,                116024,                -33229,               -603218,                 67882,               -454476,,                    -15,                -47984,                -12576,,                  3363,,                -56754,               -511230,               -307817,                182074,,                              0,               -121183,                 60891,,                              0,               -159107,                 10630,                 -5032,,               -218811,               -372320,,                              0,,,                    -22,                    -22,                -10045,               -321496,              3293681,              2972185,              2972185,,,                203413,,,                -17487,,,,,,                 15552,                    458
1789,2012年01月01日至2012年03月31日,,                290343,                290343,,,                 86732,                  1089,                   -140,                  1850,                     13,,,                  4434,                     41,,                              0,                  6824,                 -8857,,,,                   -146,                104095,                -10791,               -345886,                 -2740,               -305160,,                    -32,                -14831,                 16218,,                  1325,,                  3033,               -302127,               -210141,                 80202,,                              0,                   -675,                 79527,,,               -113587,                    607,,,,               -112980,,                              0,,,                    -43,                    -43,                -23994,                -57490,              3293681,              3236191,              3236191,,,                 91986,,,                -49692,,,,,,,                    353
