證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 利息費用,　　　　 利息收入,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他金融資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 存出保證金減少,　　 取得無形資產,　　 預付設備款增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 應付短期票券增加,　　 存入保證金增加,　　 發放現金股利,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 應付短期票券減少,　　　　　 其他應收款－關係人（增加）減少,　　　　　 負債準備增加（減少）,　　 存入保證金減少,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 除列按攤銷後成本衡量金融資產淨損失（利益）,　　　　 金融資產重分類淨損失（利益）,　　　　 股利收入,　　　　 股份基礎給付酬勞成本,　　　　 應付公司債匯率影響數,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 不動產、廠房及設備轉列費用數,　　　　 處分投資性不動產損失（利益）,　　　　 處分無形資產損失（利益）,　　　　 處分其他資產損失（利益）,　　　　 處分待出售非流動資產損失（利益）,　　　　 處分投資損失（利益）,　　　　 處分採用權益法之投資損失（利益）,　　　　 金融資產減損損失,　　　　 金融資產減損迴轉利益,　　　　 非金融資產減損損失,　　　　 非金融資產減損迴轉利益,　　　　 未實現銷貨利益（損失）,　　　　 已實現銷貨損失（利益）,　　　　 未實現外幣兌換損失（利益）,　　　　 買回應付公司債損失（利益）,　　　　 逾期未領股利及董監酬勞轉列其他收入,　　　　 其他項目,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 避險之衍生金融資產（增加）減少,　　　　　 應收票據－關係人（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 應收建造合約款（增加）減少,　　　　　 生物資產（增加）減少,　　　　　 預付費用（增加）減少,　　　　　 遞延借項（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 持有供交易之金融負債增加（減少）,　　　　　 避險之衍生金融負債增加（減少）,　　　　　 應付票據－關係人增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 應付建造合約款增加（減少）,　　　　　 其他應付款－關係人增加（減少）,　　　　　 其他金融負債增加（減少）,　　　　　 遞延貸項增加（減少）,　　　　　 以成本衡量之金融負債增加（減少）,　　　　　 其他營業負債增加（減少）,　　　　　 應付建造合約款（增加）減少
1727,2015年01月01日至2015年09月30日,,                 83442,                 83442,,,                 97216,                    338,                    -94,                  4471,                    -10,                   -107,                101814,,,                 46553,                  6330,                 -3601,                -13808,                -15795,                  1434,                    -31,                 21082,,                     -2,                 56731,                 -1045,                     75,                  1942,                   -742,                 56959,                 78041,                179855,                263297,                     10,                 -4562,                -19185,                239560,,               -114763,                    684,                 -5684,                  4666,                              0,                -84188,               -199285,,                 32230,                -69427,                 39895,                              0,                -52500,                -49802,                    407,                 -9120,                 55380,                 46260,                 46260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1727,2015年01月01日至2015年06月30日,,                 50699,                 50699,,,                 65662,                    225,                    -63,                  3097,                     -8,                     74,                 68987,,,                 42505,                 18328,                    306,                 11986,                -11589,                  1035,                     35,                 62606,,                  1123,                 -5157,                    979,                   -127,                    379,                   -231,                 -3034,                 59572,                128559,                179258,                      8,                 -3131,                 -8846,                167289,,                -49828,                    360,                 -4989,                  4377,,                -73491,               -123571,,                 60310,                -31280,,,,                -20846,                   -259,                 22613,                 55380,                 77993,                 77993,                -49876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1727,2015年01月01日至2015年03月31日,,                 21705,                 21705,,,                 34180,                    113,                    -43,                  1611,                              0,                     62,                 35923,,,                 21056,                 -5762,                  1716,                -16349,                -28807,                  1183,                     23,                -26940,,                   -146,                 70534,                 -5337,                   -287,                    718,                   -121,                 66355,                 39415,                 75338,                 97043,                              0,                 -1619,                 -1885,                 93539,,                -38165,                    116,                 -4969,                  4377,,                -35963,                -74604,,                              0,                -18416,                              0,,                              0,                -18416,                   -244,                    275,                 55380,                 55655,                 55655,,                              0,                    994,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1727,2014年度,,                133053,                133053,,,                138760,                    300,                 -2021,                  5206,                    -36,                 -1311,,,,                -76391,                -40926,                 -6302,                -96792,                 13925,                   -525,                    -54,               -207065,,                 -6454,                 30390,                 -8590,                 -1511,                   -469,,                 15624,               -191441,                -50543,                 82510,                     36,                 -5387,                -21669,                 55490,,                -53047,                  5567,                -10304,                 12271,                 -2253,               -134017,               -181783,,                129337,                -33664,                 89993,                    224,                -50000,                135706,                    906,                 10319,                 45061,                 55380,                 55380,                              0,                              0,                  2710,                   -184,,                140898,                   -452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1727,2014年01月01日至2014年09月30日,,                 89218,                 89218,,,                103913,                    188,                    -78,                  3656,                     -8,                    -18,                107653,,,                  1414,               -107548,                 -1279,                -76313,                    244,                 -7746,                     -2,               -191230,,                 23028,                 43699,                 -3815,                   -145,                    365,                   -354,                 62778,               -128452,                -20799,                 68419,                      8,                 -3797,                -21668,                 42962,,                -36630,                  4031,                   -969,                 12012,                 -2253,                -97883,               -121692,,                 87817,                -12055,                 79992,                    224,                -50000,                105978,                    336,                 27584,                 45061,                 72645,                 72645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1727,2014年01月01日至2014年06月30日,,                 65473,                 65473,,,                 69655,                              0,                    -68,                  2491,                     -8,                    -42,                 72028,,,                 11062,                -79698,                    364,                -31946,                 -4519,                 -2013,                     40,               -106710,,                 -8519,                 54864,                    705,                     81,                    -35,                   -238,                 46858,                -59852,                 12176,                 77649,                      8,                 -2525,                -10542,                 64590,,                -29735,                  4015,                   -714,                 12012,,                -78019,                -92441,,                 40958,                              0,,,,                 40949,                    -21,                 13077,                 45061,                 58138,                 58138,                     -9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1727,2014年01月01日至2014年03月31日,,                 26549,                 26549,,,                 34735,                              0,                              0,                  1166,                              0,                              0,                 35901,,,                -12385,                 28258,                    628,                -23179,                 -6473,                 -2543,                     13,                -15681,,                 28679,                  9494,                -11452,                   -222,                    131,                   -120,                 29322,                 13641,                 49542,                 76091,                              0,                 -1214,                 -3066,                 71811,,                 -9782,                              0,                   -184,                 11964,,                -43499,                -41501,,                              0,                -29252,                     57,,                              0,                -29195,                    112,                  1227,                 45061,                 46288,                 46288,,                              0,                  2812,                              0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1727,2013年度,,                132092,                132092,,,                130782,                              0,                 -1040,                  5131,                    -40,                    197,,,,                 78722,                 -1492,                   -320,                 22020,                 -7554,                  7491,                  2905,                101772,,                  3239,                -39078,                    613,                 -3212,                      4,,                -39472,                 62300,                197330,                329422,                     40,                 -5366,                -24808,                299288,,                 -9666,                  1948,                -20712,                 18402,                              0,               -159377,               -169405,,                 91386,               -175734,                              0,                              0,                -37000,               -131489,                   -621,                 -2227,                 47288,                 45061,                 45061,                -10055,                              0,                      9,                    -86,,                135030,                 -1047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1727,2013年01月01日至2013年12月31日,,                132092,                132092,,,                130782,,                 -1040,                  5131,                    -40,                    197,,,,                 78722,                 -1492,                   -320,                 22020,                 -7554,                  7491,                  2905,                101772,,                  3239,                -39078,                    613,                 -3212,                      4,,                -39472,                 62300,                197330,                329422,                     40,                 -5366,                -24808,                299288,,                 -9666,                  1948,                -20712,                 18402,,               -159377,               -169405,,                 91386,               -175734,                -10055,,                -37000,               -131489,                   -621,                 -2227,                 47288,                 45061,                 45061,,                              0,                      9,                    -86,,                135030,                 -1047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1727,2013年01月01日至2013年09月30日,,                 90794,                 90794,,,                 96920,                              0,                   -112,                  3736,                    -18,                    601,,,,                 65790,                 17178,                 -2280,                 35749,                 -8102,                  7581,                  4565,                120481,,                 -2845,                -24452,                 -9022,                  4301,                  1071,,                -30751,                 89730,                190857,                281651,                     17,                 -3928,                -24808,                252932,,                -34682,                    759,                -15458,                 18402,                              0,                -84087,               -115066,,                 87174,               -168553,,                              0,                -37000,               -138477,                   -404,                 -1015,                 47288,                 46273,                 46273,                -20012,                              0,                    500,                    -86,,                101127,                   -304,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0
1727,2013年01月01日至2013年06月30日,,                 52512,                 52512,,,                 63900,,                    -79,                  2419,                    -16,                    391,,,,                 11753,                 10397,                    356,                 -6040,                  3037,                  6442,                  4565,                 30510,,                  7043,                -10416,                 -8806,                  6041,                     20,,                 -5211,                 25299,                 91914,                144426,                     16,                 -2572,                -11524,                130346,,                -21599,                    625,                -14949,                 17962,,                -73524,                -91485,,                 87174,               -136012,                 10000,,,                -38838,                   -347,                   -324,                 47288,                 46964,                 46964,                              0,,                  1108,,,                 66615,                   -201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1727,2013年01月01日至2013年03月31日,,                 27733,                 27733,,,                 31594,,                              0,                  1274,                              0,                    293,,,,                   -601,                 17252,                    290,                 10840,                -22423,                  6570,                  1565,                 13493,,                    236,                  1735,                -27698,                  4790,                    -82,,                -19276,                 -5783,                 27378,                 55111,                              0,                 -1294,                              0,                 53817,,                 -6178,                    269,                -14806,                 12455,,                -30967,                -39227,,                 10057,                 -6984,                -20044,,                              0,                -16971,                   -286,                 -2667,                 47288,                 44621,                 44621,,                              0,                  1846,                              0,,                 33161,                   -103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1727,2012年01月01日至2012年12月31日,,                138771,                138771,,,                121619,,                 10317,                  4773,                    -18,                    521,,,,                 40519,                -28188,                   -520,                 -7070,                  6522,                 -7698,                 -2957,                  2940,,                    660,                -16111,                  5737,                  4008,                  1148,,                 -5084,                 -2144,                135068,                273839,                     18,                 -5042,                -25654,                243161,,                -26570,                 77092,                 -4211,                 10648,,               -131522,                -74563,,                 11721,               -112715,                -29937,,                -37000,               -169134,                    108,                   -428,                 47716,                 47288,                 47288,,                  2332,                    -46,                 -1203,,                137212,                   -480,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
