證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 金融資產減損損失,　　　　 非金融資產減損損失,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 收取之股利,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得原始認列時指定為透過損益按公允價值衡量之金融資產,　　 取得採用權益法之投資,　　 預付投資款增加,　　 處分待出售非流動資產,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金減少,　　 取得無形資產,　　 其他金融資產減少,　　 其他非流動資產增加,　　 預付設備款增加,　　 其他投資活動,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 應付短期票券增加,　　 舉借長期借款,　　 償還長期借款,　　 存入保證金減少,　　 應付租賃款增加,　　 發放現金股利,　　 其他籌資活動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 不動產、廠房及設備轉列費用數,　　 取得以成本衡量之金融資產,　　 長期應收租賃款增加,　　 其他金融資產增加,　　 處分原始認列時指定為透過損益按公允價值衡量之金融資產,　　 處分以成本衡量之金融資產,　　 預付投資款減少,　　 存出保證金增加,　　 短期借款減少,　　 應付短期票券減少,　　 存入保證金增加,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 處分備供出售金融資產,　　 以成本衡量之金融資產減資退回股款,　　 庫藏股票處分,　　　　　 其他應收款－關係人（增加）減少,　　 取得投資性不動產,　　 處分透過其他綜合損益按公允價值衡量之金融資產,　　 取得備供出售金融資產,　　 庫藏股票買回成本,　　 取得按攤銷後成本衡量之金融資產,　　 非控制權益變動
1312,2015年01月01日至2015年09月30日,,              1747444,              1747444,,,                624154,                513670,                   -149,                 17116,                -11127,               -102327,                -14158,                 -2563,                   -346,                  7148,                              0,                  9701,              1041119,,,                -20009,                178100,                 27247,                330015,                -45686,                 10008,                479675,,                -15781,               -653908,                118779,                   -296,                 -8401,                  6853,                -15104,               -567858,                -88183,                952936,              2700380,                  9275,                331967,                -17945,               -235794,              2787883,,               -263182,                              0,                              0,                254126,               -182068,                    332,                    392,                              0,               -351441,               -433224,                -75369,                 69828,               -980606,,               -782332,               -405000,                              0,               -600000,                     -1,                 10040,               -370459,                  3542,             -2144210,                 20356,               -316577,              1081542,                764965,                764965,,,,,,,,,,,,,,,,,,,,,,,,
1312,2015年01月01日至2015年06月30日,,              1499977,              1499977,,,                416690,                366655,                    -56,                 14756,                -12528,                -19481,               -265749,                 -2724,                   -209,                  7148,                              0,,                509046,,,                -22160,               -567960,                 55917,                102280,                -45316,                 -1635,               -478874,,                  4099,                 58899,                 68524,                   -580,                 -2228,                  5156,                 -9702,                124168,               -354706,                154340,              1654317,                 12932,                249121,                -15224,               -187905,              1713241,,               -180183,                              0,                              0,                254126,               -109875,                    332,                    321,                              0,,               -299455,                -56707,,               -776861,,               -616529,               -305000,                              0,               -200000,                              0,,,,             -1121529,                -33625,               -218774,              1081542,                862768,                862768,                  4544,                 -1569,                              0,               -383851,,,,,,,,,,,,,,,,,,,,
1312,2015年01月01日至2015年03月31日,,                387200,                387200,,,                207116,                208365,                    -43,                  9675,                 -5428,                 -3217,                -89251,                     83,                    -52,                  7148,,,                335877,,,                -13436,               -220714,                 45904,                236254,                -23382,                  1688,                 26314,,                 -4109,                -19717,               -100629,                   -489,                 -3878,                  6241,                 -4596,               -127177,               -100863,                235014,                622214,                  3928,                  3217,                 -9786,                 -1711,                617862,,,,,,                -23913,                    268,,                              0,,               -253553,                -42692,,               -639328,,,,                              0,                              0,,,,,               -332214,                -14175,               -367855,              1081542,                713687,                713687,                  1481,,,               -173677,                -94334,                -58855,                  8314,                   -886,               -240214,                -92000,                              0,,,,,,,,,,,,,
1312,2014年度,,                753928,                753928,,,                862363,                621692,                    -16,                 31683,                -25980,                -77807,               -156113,                  5606,                   -286,                 12838,,                166751,,,,                  5105,                637816,                -24428,                295279,                 20492,                   -237,                934027,,                  9129,               -142993,               -174072,                    381,                -11198,                  1409,,               -373247,                560780,              2023246,              2777174,                 24943,                 77807,                -31383,               -382590,              2465951,,,               -134702,               -218811,,               -452859,                    384,,                   -626,                 79122,               -711961,                -64767,,             -1558750,,,,                200000,               -600000,                      6,,             -1019093,                  9320,               -734462,                 52987,                225726,                855816,              1081542,              1081542,                 21735,,,                              0,                -59342,                              0,,                  4812,                640305,                 35000,,,              1462466,                -55903,                              0,                              0,                              0,,,,,,,
1312,2014年01月01日至2014年09月30日,,                798140,                798140,,,                625204,                480883,                    -18,                 22720,                -19198,                -77807,               -170626,                  5309,                   -125,                 11118,                 15780,                 18111,                911351,,,                -41689,                -93165,                -12764,                -70946,                -62832,                -21827,               -303223,,                 -5231,                180516,               -208757,                    817,                  3603,                  7021,                -13840,                -35871,               -339094,                572257,              1370397,                 16907,                244863,                -22207,               -395896,              1214064,,                -87947,               -128148,               -124980,                              0,               -411148,                    731,                  5633,                   -627,                 44601,               -397841,                -40787,                              0,             -1140513,,                928237,                265000,                400000,               -600000,                    -14,                              0,             -1019093,                  9320,                -16550,                 14800,                 71801,                855816,                927617,                927617,,,,,,,,,,,,,,,,,,,,,,,,
1312,2014年01月01日至2014年06月30日,,                514841,                514841,,,                411544,                280545,                              0,                 13997,                -12425,                -16264,                -85564,                  4995,                              0,                 10930,                 15780,,                638201,,,                -23399,               -209715,                 15586,                 25879,                -15252,                -12316,               -219217,,                 15483,                262974,               -115290,                   -198,                 -2867,                  4418,                 -9733,                154787,                -64430,                573771,              1088612,                 12614,                181822,                -13843,               -328743,                940462,,                              0,               -127105,               -123380,                              0,               -337809,                     65,                  5392,                   -626,,               -239099,                 -2206,,               -901636,,                381709,                110000,                200000,               -600000,                    -13,,,,                 91696,                 -3268,                127254,                855816,                983070,                983070,                 14663,                              0,                              0,                -76868,,,,,,,,,,,,,,,,,,,,
1312,2014年01月01日至2014年03月31日,,                193624,                193624,,,                216851,                144873,                              0,                  6540,                 -5886,                 -3753,                  6113,                    169,                              0,                              0,,,                370002,,,                 -9379,                321775,                -26038,               -322551,                -27713,                -16958,                -80864,,                 -9398,                245089,               -190779,                   -332,                -14264,                  5661,                 -5675,                 30302,                -50562,                319440,                513064,                  3423,                  3753,                 -6595,                 -5426,                508219,,,,,,               -137347,                     57,,                   -477,,                -80083,                 -1099,,               -459080,,,,                200000,               -400000,,,,,               -118930,                 16189,                -53602,                855816,                802214,                802214,                  5095,,,               -244695,                              0,                              0,                              0,                  4564,               -143918,                225000,                    -12,,,,,,,,,,,,,
1312,2013年度,,              2608287,              2608287,,,                848333,                551694,                              0,                 38223,                -14957,               -281742,               -218658,                  6200,                -35222,                 25898,,                 67480,,,,                  4427,               -455016,                  2659,                364811,                213818,                 76989,                207688,,                 50259,                643061,                150020,                  3108,                 15964,                -16976,,                798658,              1006346,              2012385,              4620672,                 14038,                281742,                -38247,               -263050,              4615155,,,                              0,                              0,,               -592606,                    772,,                   -789,                              0,               -559912,                -96643,,             -1288600,,,,                200000,               -200000,                              0,,             -1043794,                  9320,             -3003806,                 25640,                348389,                507427,                855816,                855816,                 18790,,,               -629118,                              0,                435193,,                 -6115,             -1171088,               -800000,,,              1006039,                -46778,                160612,                      6,                  1756,,,,,,,
1312,2013年01月01日至2013年12月31日,,              2608287,              2608287,,,                848333,                551694,,                 38223,                -14957,               -281742,               -218658,                  6200,                -35222,                 25898,                              0,                 67480,,,,                  4427,               -455016,                  2659,                364811,                213818,                 76989,                207688,,                 50259,                643061,                150020,                  3108,                 15964,                -16976,,                798658,              1006346,              2012385,              4620672,                 14038,                281742,                -38247,               -263050,              4615155,,,                              0,,,               -592606,                    772,,                   -789,,               -559912,                -96643,,             -1288600,,                              0,                              0,                200000,               -200000,                              0,,             -1043794,                  9320,             -3003806,                 25640,                348389,                507427,                855816,                855816,                 18790,                              0,,               -629118,,                435193,,                 -6115,             -1171088,               -800000,,,              1006039,                -46778,                160612,                      6,                  1756,,                              0,                              0,                              0,                              0,,
1312,2013年01月01日至2013年09月30日,,              1870815,              1870815,,,                598716,                417366,                              0,                 29542,                 -9716,                -36364,               -105101,                  7319,                -35222,                  8755,                              0,                 82811,,,,                  6598,               -511066,                 19761,                325203,                189129,                 59847,                 89472,,                 52365,                625883,                 86352,                  1903,                 -2402,                  3393,,                738097,                827569,              1785675,              3656490,                  8094,                 36364,                -29391,               -261920,              3409637,,                              0,                              0,                              0,,               -559656,                    166,,                   -490,,               -366319,                -47290,,             -1068447,,,,                100000,                              0,                              0,,             -1043796,                  9320,             -2144811,                  3607,                199986,                507427,                707413,                707413,,,,               -688453,,                435191,,                 -2209,               -807091,               -405000,,,                958106,                -29397,                160613,,                  1756,,,,,,,
