證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 金融資產減損損失,　　　　 非金融資產減損損失,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款－關係人（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他金融資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他應付款－關係人增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 收取之股利,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 處分備供出售金融資產,　　 取得無活絡市場之債務工具投資,　　 處分無活絡市場之債務工具投資,　　 處分以成本衡量之金融資產,　　 以成本衡量之金融資產減資退回股款,　　 取得採用權益法之投資,　　 對子公司之收購（扣除所取得之現金）,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 取得無形資產,　　 其他金融資產增加,　　 其他金融資產減少,　　 其他非流動資產減少,　　 預付設備款增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 發放現金股利,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 其他非流動資產增加,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 處分無活絡市場之債券投資,　　　　　 應付帳款－關係人增加（減少）,　　 取得無活絡市場之債券投資,　　 存出保證金增加,　　 採用權益法之被投資公司減資退回股款,　　　　　 其他應收款（增加）減少
9924,2015年01月01日至2015年09月30日,,                793903,                793903,,,                112194,                 27918,                   -815,                -13328,                  1856,                 -6190,                -35657,                -49986,                    907,                -45107,                              0,                 45233,                 37025,,,               -197336,                 -4009,               -241422,                              0,                              0,                 25497,                -12499,                 32837,               -396932,,                 78995,                  7458,                 40268,                  1903,                 -7237,                -17535,                103852,               -293080,               -256055,                537848,                  5022,                406947,                 -1679,               -191293,                756845,,                              0,                              0,                              0,                 67303,                              0,                              0,                              0,                -59614,                    489,                 -3315,                    272,                              0,                  3823,                -38869,                -29911,,                              0,                -92369,               -376904,                 -5968,               -475241,                 16747,                268440,              1000962,              1269402,              1269402,,,,,,,,,,
9924,2015年01月01日至2015年06月30日,,                446016,                446016,,,                 74077,                 19113,                 -2308,                -21228,                  1638,                 -4970,                              0,                -27301,                    513,                -44974,                              0,                              0,                 -5440,,,                 -6750,                 -4965,                -30316,                              0,                              0,                 16598,                -15185,                 26607,                -14011,,                  7790,                -13544,                -59481,                 -1863,                 -3066,                -11704,                -81868,                -95879,               -101319,                344697,                  4422,                              0,                   -842,                -93531,                254746,,                              0,,                              0,                 67303,                              0,                              0,                              0,                -30946,                    477,                 -2389,                 -2429,,,                -31027,                   -533,,                              0,                              0,,                 -2593,                 -2593,                -19296,                232324,              1000962,              1233286,              1233286,                 -1522,,,,,,,,,
9924,2015年01月01日至2015年03月31日,,                219274,                219274,,,                 36999,                  9914,                 -2202,                -10162,                    690,                 -2493,                              0,                -10186,                    107,                -19076,                              0,                              0,                  3591,,,                -10335,                 -4054,                 24645,                              0,                              0,                  8926,                -40054,                  6555,                -14317,,                -20289,                -51155,                -63399,                    891,                    948,                 -5608,               -138612,               -152929,               -149338,                 69936,                  2090,                              0,                   -529,                -12564,                 58933,,                              0,,                              0,                 29297,                              0,                              0,                              0,                -10959,                    404,                   -210,                 -4700,,,                -14572,                 -6502,,                              0,                              0,                              0,                              0,                              0,                 -6795,                 45636,              1000962,              1046598,              1046598,                 -5762,,,,,,,,,
9924,2014年度,,                671423,                671423,,,                140245,                 34187,                  3650,                 45821,                  3019,                -11527,                -22985,                -55571,                   -521,                -55734,                              0,                              0,,,,                268379,                    166,               -353803,                 37211,                              0,                 34168,                -13243,                 -9749,                -36871,,                 19963,                135674,                 54184,,                  8272,,                203494,                166623,                247207,                918630,                 11557,                 53187,                 -2758,                -98895,                881721,,                              0,,,                 79838,                              0,                              0,                -50708,               -408027,                  7565,                 -3068,                -11700,,,                -54607,               -389840,,                228648,               -228320,               -376904,                -11770,               -388346,                 18698,                122233,                878729,              1000962,              1000962,                 -8674,,                 80584,                -14599,                 59541,,,,,
9924,2014年01月01日至2014年09月30日,,                496539,                496539,,,                104045,                 24658,                     73,                 37090,                  4000,                 -7789,                -22985,                -42224,                   -511,                -48341,                              0,                              0,                 48016,,,                272874,                -16070,               -366204,                 30818,                              0,                 90950,                -23197,                 -9383,                -20212,,                 37052,                134897,                  2900,                  4711,                  1387,                -15833,                165114,                144902,                192918,                689457,                  7872,                 53187,                 -3038,                -99132,                648346,,                              0,               -213552,                 59541,                 67998,                              0,                              0,                -40711,               -273792,                  7305,                 -4671,                  6650,                  9800,                -49731,                              0,               -431163,,                227072,               -136217,               -376904,                -11770,               -297819,                 12085,                -68551,                878729,                810178,                810178,,,,,,,,,,
9924,2014年01月01日至2014年06月30日,,                256798,                256798,,,                 68530,                 17328,                    168,                 44905,                  2789,                 -5775,                 -7877,                -14666,                   -110,                -22885,                              0,                              0,                 82407,,,                142588,                 -3092,               -226575,                  5571,                              0,                122857,                 -4197,                 -8962,                 28190,,                 10852,                 35187,                -49513,                  2008,                  1093,                -10392,                -10765,                 17425,                 99832,                356630,                  5860,                 30202,                 -1657,                -54476,                336559,,                              0,,                              0,                 27485,                              0,                              0,                -40711,                -42188,                  6814,                 -2252,                -22395,,,               -146644,               -222770,,                 45926,                              0,,                 -8712,                 37214,                 -5148,                145855,                878729,              1024584,              1024584,                 -2879,,,,,,,,,
9924,2014年01月01日至2014年03月31日,,                 71279,                 71279,,,                 34822,                  6669,                     46,                 66977,                  1120,                 -2367,                              0,                 -7477,                  1363,                 -4335,                              0,                              0,                 96818,,,                 37341,                 -4808,                -49198,                 20593,                              0,                 72747,                  3716,                -14740,                 65651,,                -12050,                -44386,                -80015,                  4109,                 -2155,                 -4496,               -138993,                -73342,                 23476,                 94755,                  2427,                              0,                 -1023,                 -6535,                 89624,,                              0,,                              0,                  6000,                              0,                              0,                              0,                -15655,                  5236,                   -120,                 -2943,,,                -22539,                -32203,,                 46515,                              0,                              0,                              0,                 46515,                 -2305,                101631,                878729,                980360,                980360,                 -2182,,,,,,,,,
9924,2013年度,,                762675,                762675,,,                128783,                 24880,                    414,                -20007,                  2764,                 -7607,                -29258,               -299542,                    433,               -101999,                 27435,                 20051,,,,                 81633,                 17116,               -594206,                512401,                  7802,               -183498,                -10287,                 29323,               -139716,,                -38549,                155891,                 36196,,                    658,,                109930,                -29786,               -283439,                479236,                  6981,                165625,                 -2152,               -104099,                545591,,                250877,,,                              0,                 14121,                              0,                              0,               -161799,                 21699,                 -6144,                100282,,,               -191489,                 -8249,,                133706,                -75827,               -282678,                 -8316,               -233115,                 31383,                335610,                543119,                878729,                878729,                -35796,,               -253653,                -44266,                              0,,,,,
9924,2013年01月01日至2013年12月31日,,                762675,                762675,,,                128783,                 24880,                    414,                -20007,                  2764,                 -7607,                -29258,               -299542,                    433,               -101999,                 27435,                 20051,,,,                 81633,                 17116,               -594206,                512401,                  7802,               -183498,                -10287,                148012,                -21027,,                -38549,                155891,                 36196,,                    658,,                109930,                 88903,               -164750,                597925,                  6981,                165625,                 -2152,               -104099,                664280,,                250877,,,,                 14121,                              0,,               -161799,                 21699,                 -6144,                -18407,,,,               -126938,,                 57879,,               -282678,                 -8316,               -233115,                 31383,                335610,                543119,                878729,                878729,               -227285,,               -253653,                -44266,,,,,                              0,
9924,2013年01月01日至2013年09月30日,,                629155,                629155,,,                 95118,                  6229,                    295,                -14884,                  1923,                 -5084,                -29249,               -271683,                    218,                -99831,                  3925,                 17632,,,,                114206,                 16929,               -226268,                 75938,,                -52691,                -17325,                 29051,                -60160,,                -30162,                 94627,                -52080,                  4659,                 12728,,                 53311,                 -6849,               -302240,                326915,                  5143,                 96497,                 -1349,                -84465,                342741,,                250877,,,                              0,                  6248,                              0,                              0,               -143923,                  3141,                 -5867,                100423,,,,                188198,,                 98848,                -30703,               -282678,                 -8318,               -222851,                 10123,                318211,                543119,                861330,                861330,                -22701,,               -295391,                -36761,                              0,                 60300,                              0,,,
9924,2013年01月01日至2013年06月30日,,                191253,                191253,,,                 61809,                  4287,                    143,                 -4832,                    164,                 -2631,                -13474,                -26980,                    121,                              0,,,,,,                127751,                 11719,               -192596,                -12631,,                -81207,                -10452,                  2252,               -155164,,                 10367,                128978,                -59349,                              0,                 13501,,                 58261,                -96903,                -78296,                112957,                  2661,                 80722,                   -381,                -39281,                156678,,,,,                              0,,,                              0,                -43783,                  2893,                 -5860,                 89714,,,                -28248,                 -3405,,                -29933,,,                 -4806,                -34739,                 16869,                135403,                543119,                678522,                678522,                -10086,,                 18607,                -35236,,,,                 -8035,,
9924,2013年01月01日至2013年03月31日,,                 88454,                 88454,,,                 30792,                  1890,                   -163,                 -1170,                     99,                 -1145,,                -20247,                    610,                              0,,,,,,                132457,                 21730,                 34085,                 67394,,                -20331,                 -8449,                109314,                336200,,                -38446,                -20362,                -88188,                  1610,                  9352,,               -163287,                172913,                183579,                272033,                  1200,                 67248,                   -316,                -11687,                328478,,,,,                              0,,,,                -23107,                    542,                 -2475,                 -6407,                              0,,                -15073,                -52768,,                -29348,,,,                -29348,                 -4386,                241976,                543119,                785095,                785095,                 -6248,,                 10666,                -27253,,,,,,
9924,2012年01月01日至2012年12月31日,,                512073,                512073,,,                135661,                  7244,                   -736,                -21750,                    794,                 -7182,                -38991,                -71361,                  5557,                 -4042,                              0,                              0,,,,                115168,                  1186,               -166195,                -93895,                 11739,               -125961,                -17686,                -41434,               -317078,,                 87524,                110375,                 65582,,                 17767,,                255269,                -61809,                -56615,                455458,                  7119,                162524,                   -441,                -93282,                531378,,                 28039,,,,                 37073,                -11199,,                -59865,                  1107,                   -109,                 -3707,,,,               -114719,,                 29782,,               -226142,                 -7020,               -203380,                 -8991,                204288,                338831,                543119,                543119,               -108000,,                  5194,                -25979,,,,,                  1942,
9924,2012年01月01日至2012年09月30日,,                392894,                392894,,,                103061,                  4015,                   -676,                -11290,                    398,                 -4929,                -38982,                -47349,                    943,                 -7870,                              0,                              0,,,,                 58079,                 -7927,               -139861,                -59446,                 10613,                -40855,                 -2075,                 53856,               -145890,,                 39606,                 69038,                -10382,,                 -4610,,                 82339,                -63551,                -66230,                326664,                  3049,                162524,                   -286,                -85281,                406670,,                 28039,,,,                 37073,                -11199,,                -69221,                    813,                    -22,                              0,                    390,,                 -7613,                -21454,,                 59870,                              0,               -226142,                 -7021,               -173293,                 -7357,                204566,                338831,                543397,                543397,                 -1656,,                 -2679,                -11313,,                              0,,,                  1942,                -18274
9924,2012年01月01日至2012年06月30日,,                231594,                231594,,,                 69072,                  2728,                   -115,                 -7422,                     45,                 -3007,                -10133,                -27455,                    185,,,,,,,               -160272,                 -7366,                -36331,                -41613,                  1657,                 18749,                 -2034,                 78346,               -176465,,                 25044,                 34589,                -13025,,                 -7320,,                 31573,               -144892,               -120994,                110600,                  3049,                133675,                              0,                -58271,                189053,,                 28039,,,,,                -11199,,                -41822,                  1001,                    -22,                              0,                    390,,                 -2694,                -25958,,                 29610,                              0,,,                 29610,                 -7516,                185189,                338831,                524020,                524020,                 -1593,,                 23898,                 -7715,,                              0,,,                  1942,                -27601
9924,2012年01月01日至2012年03月31日,,                 95158,                 95158,,,                 34970,                  1481,                      8,                 -9017,                              0,                   -308,                -10133,                   -823,                    150,,,,,,,                -97701,                  7914,                -11486,                 12457,                 -1336,                 23492,                 74807,,                  6023,,                -30408,                  3624,                -64052,,                 -5729,,               -100386,                -94363,                -78035,                 17123,                    292,                133675,                              0,                -17639,                133451,,                  2323,,,,,                -11199,,                -13104,                     44,                              0,,,,                -14063,                -34784,,,                              0,,,                              0,                  5625,                104292,                338831,                443123,                443123,                   -727,,                 16328,                 -3821,,                              0,,,                  1942,                 -2124
