證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 股份基礎給付酬勞成本,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 不動產、廠房及設備轉列費用數,　　　　 處分投資損失（利益）,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他金融資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 收取之股利,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得原始認列時指定為透過損益按公允價值衡量之金融資產,　　 處分原始認列時指定為透過損益按公允價值衡量之金融資產,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 取得以成本衡量之金融資產,　　 處分以成本衡量之金融資產,　　 以成本衡量之金融資產減資退回股款,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 其他非流動資產增加,　　 預付設備款增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 償還長期借款,　　 發放現金股利,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 其他非流動資產減少,　　　 不影響現金流量之收益費損項目,　　　　 金融資產減損損失,　　　　 非金融資產減損迴轉利益,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 取得透過其他綜合損益按公允價值衡量之金融資產,　　 處分透過其他綜合損益按公允價值衡量之金融資產,　　 存出保證金減少,　　 短期借款減少,　　 舉借長期借款,　　 其他籌資活動,　　 預付設備款減少,　　 其他投資活動,　　　　 攤銷費用,　　　　　 其他營業負債增加（減少）
1708,2015年01月01日至2015年09月30日,,                798443,                798443,,,                260545,                   -203,                 29389,                 -1015,                   -422,                    575,                  1017,                 21905,                -24528,                  5181,                292444,,,                -30149,                -63436,                 82602,                -27063,                  7717,                -30329,,                 11626,               -206686,                  1424,                -28200,                 -2124,               -223960,               -254289,                 38155,                836598,                  1230,                    422,                -29256,               -182166,                626828,,                 -5000,                 10208,                -12960,                              0,                              0,                 24205,                  8205,               -109938,                  1568,                 -3471,                   -393,               -612688,               -700264,,                228971,               -182303,               -261027,                 -4231,               -218590,                 44232,               -247794,              1006196,                758402,                758402,,,,,,,,,,,,,,,,
1708,2015年01月01日至2015年06月30日,,                522207,                522207,,,                171616,                   -203,                 19256,                   -839,                   -125,                    383,                  1072,                 17179,                -24528,                  3667,                187478,,,                 -8650,                -51334,                -25882,                -35007,                  7735,               -113138,,                 -3147,                 15506,                -26591,                -16120,                 -1465,                -31817,               -144955,                 42523,                564730,                  1059,                    125,                -19029,               -123547,                423338,,                 -5000,                 10208,,                              0,                              0,                 24205,                  2000,                -87290,,                   -582,                    138,               -453694,               -510015,,                121011,               -125127,,                 -4231,                 -8347,                -16504,               -111528,              1006196,                894668,                894668,,,,,,,,,,,,,,,,
1708,2015年01月01日至2015年03月31日,,                264530,                264530,,,                 85996,                   -197,                  9545,                   -439,                   -125,                    192,                    813,                  6855,                -12189,                  1730,                 92181,,,                 -7428,                -48244,               -119145,                -17096,                    672,               -191241,,                 -4784,                158728,                 -8085,                -10435,                   -758,                134666,                -56575,                 35606,                300136,                    636,                    125,                 -9331,                    -29,                291537,,                 -5000,                  5140,,                              0,                              0,                 12189,,                -58915,,                     -6,                              0,               -248785,               -295308,,                 31015,                -71081,,                              0,                -40066,                 -9027,                -52864,              1006196,                953332,                953332,                     69,,,,,,,,,,,,,,,
1708,2014年度,,                834682,                834682,,,                323341,                   -218,                 46934,                 -1911,                 -1171,                  1506,                 -2738,                 27531,                -17636,                  4818,,,,                -12004,                -90567,                -55755,                 -8728,                 -4787,               -171841,,                  6852,                115635,                 50527,                  3677,,                174207,                  2366,                382822,              1217504,                  1761,                  1171,                -46812,               -116957,              1056667,,,,                              0,                 30922,                -74097,                              0,                  4138,               -248163,                 46904,                 -6214,                 -1012,               -651715,               -894150,,                255300,               -236326,                -82866,                -29986,                -93878,                 23488,                 92127,                914069,              1006196,              1006196,                              0,,                              0,                              0,                380456,                 -2484,                -15000,                 20087,                              0,                              0,                              0,,,,,
1708,2014年01月01日至2014年09月30日,,                635023,                635023,,,                240776,                    -73,                 36312,                 -1126,                 -1171,                  1130,                 -1944,                 21323,                -17414,                  3404,                281217,,,                -16589,                -19752,               -165105,                -42219,                 -5383,               -249048,,                  2819,                101228,                 22399,                 -5608,                   -465,                120373,               -128675,                152542,                787565,                    977,                  1171,                -36487,                -77620,                675606,,                -10000,                 10007,                              0,                 30923,                -74097,                              0,                  4139,               -134326,                 35068,                 -5016,                 -1734,               -556829,               -701865,,                311391,               -150655,                -82866,                 -5545,                 72325,                 13413,                 59479,                914069,                973548,                973548,,,,,,,,,,,,,,,,
1708,2014年01月01日至2014年06月30日,,                428040,                428040,,,                160167,                   -133,                 25099,                   -634,                    -59,                    753,                              0,                 15456,                -17414,                  2412,                185647,,,                 -4387,                 -5478,                -22079,                -25740,                  2544,                -55140,,                 -1410,                 -2211,                 -2016,                 35126,                   -465,                 29024,                -26116,                159531,                587571,                    675,                     59,                -25004,                -55529,                507772,,                              0,                 10007,,                 30923,                -74097,                              0,                  1666,                -62447,,                 -4819,                   -986,               -510885,               -610638,,                259202,                -97710,,                 -5545,                155947,                 -1462,                 51619,                914069,                965688,                965688,,,,,,,,,,,,,,,,
1708,2014年01月01日至2014年03月31日,,                212789,                212789,,,                 79997,                   -133,                 11581,                   -227,                    -59,                    376,                              0,                  4961,                -17414,                  1373,                 80455,,,                 18960,                 71174,                 13566,                -11656,                 -6472,                 85572,,                 -2274,                 90016,                 -6255,                -10214,                   -465,                 70808,                156380,                236835,                449624,                    244,                     59,                -11140,                    -23,                438764,,                              0,                 10007,,                 30923,                -74097,                              0,,                -13128,,                 -1581,                   -337,               -224666,               -272879,,                270864,                -44989,,                    258,                226133,                  6899,                398917,                914069,              1312986,              1312986,                              0,,,,,,,,,,,,,,,
1708,2013年度,,                555511,                555511,,,                291043,                    126,                 32940,                 -1092,                   -722,                  1872,                     64,                 17495,                -45424,                              0,,,,                 14434,                 65217,                129387,                  4126,                 29135,                242299,,                 -4026,               -268926,                  3132,                -15303,,               -287970,                -45671,                248331,                803842,                  1598,                    722,                -31967,                -39680,                734515,,,,                    -85,                119110,                -29210,                    474,                  3143,                -65372,                    800,                              0,                              0,               -913285,               -889181,,                              0,               -126299,                -78919,                   -655,                466006,               -112994,                198346,                715723,                914069,                914069,                  2195,,                              0,                 -2300,                294002,                 -2847,                -10000,                              0,                  3049,               -145161,                817040,,,,,
1708,2013年01月01日至2013年12月31日,,                555511,                555511,,,                291043,                    126,                 32940,                 -1092,                   -722,                  1872,                     64,                 17495,                -45424,                              0,,,,                 14434,                 65217,                129387,                  4126,                 29135,                242299,,                 -4026,               -268926,                  3132,                -15303,,               -287970,                -45671,                248331,                803842,                  1598,                    722,                -31967,                -39680,                734515,,,,                    -85,                119110,                -29210,                    474,                  3143,                -65372,                    800,,                  2195,               -913285,               -889181,,,               -126299,                -78919,                   -655,                466006,               -112994,                198346,                715723,                914069,                914069,,,                              0,                 -2300,                294002,                 -2847,                -10000,                              0,                  3049,               -145161,                817040,                              0,,,,
1708,2013年01月01日至2013年09月30日,,                421439,                421439,,,                214163,                    240,                 22991,                   -746,                   -722,                  1404,                     64,                  9384,                -45424,                  9809,,,,                 30276,                131812,                -72499,                -21216,                 30775,                 99148,,                 -8041,               -238555,                -36602,                -25787,,               -310983,               -211835,                 -2972,                418467,                    740,                    722,                -23915,                -40057,                355957,,                -10000,                              0,,                119584,                -29210,,                  3143,                -46635,                    800,                              0,                              0,               -353622,               -310593,,                              0,                -95077,                -78919,                   -605,                -38304,                -61955,                -54895,                715723,                660828,                660828,                  2295,,,                 -2300,                208863,                 -1998,,,                  3052,               -126876,                263173,,,,,
