證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息收入,　　　　 股利收入,　　　　 股份基礎給付酬勞成本,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 非金融資產減損損失,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 其他應收款－關係人（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付費用（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他應付款－關係人增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 處分備供出售金融資產,　　 處分子公司,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金減少,　　 取得無形資產,　　 其他金融資產減少,　　 收取之股利,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 存入保證金增加,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 其他金融資產增加,　　　 不影響現金流量之收益費損項目,　　　　 金融資產減損損失,　　　　 不影響現金流量之收益費損項目合計,　　　　　 其他營業資產（增加）減少,　　 退還（支付）之所得稅,　　 取得以成本衡量之金融資產,　　 取得採用權益法之投資,　　 處分原始認列時指定為透過損益按公允價值衡量之金融資產,　　 庫藏股票買回成本,　　 非控制權益變動,　　 存入保證金減少,　　　　　 應付票據增加（減少）,　　 支付之利息,　　 存出保證金增加
2363,2015年01月01日至2015年09月30日,,                -25252,                -25252,,,                 14606,                  9884,                     13,                              0,                 -8490,               -173364,                  3972,                  8852,                              0,                              0,                              0,               -144527,,,                   -266,                 15772,                              0,                    -98,                              0,                 41087,                 -1108,                  1307,                 56694,,                  6929,                -16044,                -62433,                              0,                    318,                -71230,                -14536,               -159063,               -184315,                  8721,               -175594,,                              0,                              0,                 -1282,                              0,                 -1495,                 -3028,                -33200,                173364,                134359,,                   -132,                   -132,                     84,                -41283,              1482300,              1441017,              1441017,,,,,,,,,,,,,,,
2363,2015年01月01日至2015年06月30日,,               -127714,               -127714,,,                 10053,                  6561,                     -8,                              0,                 -5812,,                  1189,                 14981,                              0,                              0,                              0,                 26964,,,,                 16212,                              0,                    286,                              0,                 26193,                 -3231,                    250,                 39710,,                  3440,                -16676,                -48517,                              0,                    -73,                -61826,                -22116,                  4848,               -122866,                  6086,               -116780,,                              0,,                 -3101,                              0,                 -1421,                              0,,,                 -8822,,                   -348,                   -348,                 -1161,               -127111,              1482300,              1355189,              1355189,                 -4300,,,,,,,,,,,,,,
2363,2015年01月01日至2015年03月31日,,                -55047,                -55047,,,                  5190,                  3281,                     -4,                              0,                 -3141,,                    603,                 -3424,                              0,,,                  2505,,,                              0,                 18752,                              0,                   -560,                              0,                 16072,                 -3340,                  2116,                 33040,,                  2816,                -16862,                -27953,,                     72,                -41927,                 -8887,                 -6382,                -61429,                  3151,                -58278,,,,                 -2253,                              0,                     85,                              0,,,                 -4168,,                              0,                              0,                   -732,                -63178,              1482300,              1419122,              1419122,                 -2000,,,,,,,,,,,,,,
2363,2014年度,,               -115009,               -115009,,,                 25347,                 21710,                     43,                   -345,                -12518,               -157690,                  2882,                110535,                     -9,               -103159,                  1682,,,,                              0,                 -7837,                 43899,                  3198,                    647,                -57721,                   -111,                    496,                -18393,,                -10349,                 15513,                 18575,,                 -3113,                 20626,                  2233,               -104012,               -219021,                 12507,               -206514,,                157576,                    426,                -15182,                     37,                   -526,                 -8825,                  2000,                157690,                293196,,                  1331,                  1331,                     93,                 88106,              1394194,              1482300,              1482300,,,                  5277,               -106245,                   -964,                              0,                              0,                              0,,,,,,,
2363,2014年01月01日至2014年09月30日,,                -39808,                -39808,,,                 19381,                 18431,                      6,                   -345,                 -9141,               -157690,                  2289,                 90673,                     -6,               -103159,                  1683,               -137878,,,                              0,                -51356,                 43899,                  3525,                    647,                -63049,                 -2706,                   -976,                -70016,,                 15816,                 41806,                 18242,                  1203,                   -818,                 76249,                  6233,               -131645,               -171453,                  8948,               -162505,,                157576,                    426,                 -1791,                      6,                   -188,                 -8748,                  2000,                157690,                306971,,                  1331,                  1331,                   -275,                145522,              1394194,              1539716,              1539716,,,,,,,,,,,,,,,
2363,2014年01月01日至2014年06月30日,,               -118374,               -118374,,,                 13059,                 15160,                      1,                   -345,                 -5947,,                  1642,                 58929,                     -6,               -102733,                  1683,                -18557,,,,                -62611,                 43899,                  3881,                    647,                -34209,                 -1621,                    146,                -49868,,                 34908,                 72641,                 15399,                  1393,                   -800,                123541,                 73673,                 55116,                -63258,                  5965,                -57293,,                157575,,                   -711,                      6,                    -11,                 -8748,,,                148111,,                    349,                    349,                   -144,                 91023,              1394194,              1485217,              1485217,                              0,,,,,,,,,,,,,,
2363,2014年01月01日至2014年03月31日,,                -85273,                -85273,,,                  6617,                 11691,                      6,                   -360,                 -2980,,                  1190,                 20988,                     -6,,,                 37146,,,                   -401,                 -2392,                 42470,                  2314,                     69,                     84,                 -3376,                    668,                 39436,,                 -2725,                 33932,                -37420,,                 -1327,                 -7540,                 31896,                 69042,                -16231,                  2959,                -13272,,,,                 -9833,                      6,                              0,                 -8748,,,                -18575,,                    349,                    349,                    128,                -31370,              1394194,              1362824,              1362824,                              0,,,,,,,,,,,,,,
2363,2013年度,,               -276166,               -276166,,,                 30553,                 43022,                 -4532,                    345,                -11729,               -128170,                              0,                110285,                   -522,                -51061,                              0,,,,                  4095,                 30092,                -43899,                 -1033,                   -647,                 73868,                    330,                 -9902,                 49929,,                -30762,                -58165,               -161197,,                -23985,               -274109,               -224180,               -223273,               -499439,                 11905,               -487557,,                 12987,                121011,                 -2766,                 12584,                  2950,                -25169,                 32000,                128170,                 72767,,                      7,                      7,                    437,               -414346,              1808540,              1394194,              1394194,,,                 12716,                    907,                 -2975,                    -23,                -14000,               -195000,,,,,,,
2363,2013年01月01日至2013年12月31日,,               -276166,               -276166,,,                 30553,                 43022,                 -4532,                    345,                -11729,               -128170,                              0,                110285,                   -522,                -51061,                              0,,,,                  4095,                 30092,                -43899,                 -1033,                   -647,                 73868,                    330,                 -9902,                 49929,,                -30762,                -58165,               -161197,,                -23985,               -274109,               -224180,               -223273,               -499439,                 11905,               -487557,,                 12987,                121011,                 -2766,                 12584,                  2950,                -25169,                 32000,                128170,                 72767,,                      7,                      7,                    437,               -414346,              1808540,              1394194,              1394194,,,                 12716,                    907,                 -2975,                    -23,                -14000,               -195000,                              0,                              0,                              0,,,,
2363,2013年01月01日至2013年09月30日,,               -178902,               -178902,,,                 23459,                 34319,                    285,                              0,                 -8694,               -128170,                              0,                 84651,                   -995,                -51057,                              0,,,,                  4095,                 46410,                -76551,                   -895,                              0,                 -3823,                 -1184,                 -9899,                -41847,,                -13404,                -42487,               -161708,                              0,                  4878,               -212721,               -254568,               -300770,               -479672,                  8908,               -470905,,                 12987,                119899,                 -2367,                 12033,                  1988,                -25163,                              0,                128170,                 52547,,                              0,                              0,                    112,               -418246,              1808540,              1390294,              1390294,,,,                -46202,,                   -141,,               -195000,,,,,,,
