證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 股份基礎給付酬勞成本,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分無形資產損失（利益）,　　　　 未實現外幣兌換損失（利益）,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 其他應收款－關係人（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付費用（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付票據－關係人增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他應付款－關係人增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得以成本衡量之金融資產,　　 對子公司之收購（扣除所取得之現金）,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 存出保證金減少,　　 取得無形資產,　　 其他金融資產增加,　　 其他非流動資產增加,　　 其他非流動資產減少,　　 收取之利息,　　 收取之股利,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 償還長期借款,　　 存入保證金減少,　　 發放現金股利,　　 庫藏股票買回成本,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 其他金融資產減少,　　 存入保證金增加,　　　 不影響現金流量之收益費損項目,　　　　 處分採用權益法之投資損失（利益）,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 員工執行認股權,　　 取得無活絡市場之債券投資,　　　　 其他項目
2450,2015年01月01日至2015年09月30日,,                554138,                554138,,,                135160,                 18243,                    364,                 -6526,                  6176,                -15041,                    -60,                 43443,               -217803,                 57493,                     20,                  9861,                 31330,,,                  1142,                -19492,                 19474,                527366,                -55785,                 68974,                736128,                 70633,                 77218,              1425658,,                -29097,                              0,                273128,                -64273,                 62699,                -18077,                -17527,                -32875,                  3988,                 -2438,                175528,              1601186,              1632516,              2186654,                 -6040,               -120819,              2059795,,                              0,               -113983,                 -9610,                    547,                              0,                 22861,                -53333,                 -9596,                 17671,                              0,                 15072,                157426,                 27055,,                              0,               -500855,                 -3666,                   -176,               -387379,               -492770,             -1384846,                  1923,                703927,              1944359,              2648286,              2648286,,,,,,,,,
2450,2015年01月01日至2015年06月30日,,                436057,                436057,,,                 95299,                 11228,                    143,                   -887,                  3817,                 -9970,,                 28962,               -131598,                 32586,                     20,                 -9769,                 19831,,,                  1142,                    664,                 74838,                 29007,                -25335,                -40232,                300902,                 22270,                 80729,                443985,,                  9403,                              0,               -106676,                -59837,                -59003,                -48014,                 -9662,                 49934,                    578,                 -1626,               -224903,                219082,                238913,                674970,                 -3755,                -28781,                642434,,                              0,,                 -5077,                    483,                              0,                 15707,                -28286,,                 -1796,                              0,                  9898,,                 12035,,                300000,,,                 -1049,,                -35254,                263697,                 -3815,                914351,              1944359,              2858710,              2858710,                 21106,,,,,,,,
2450,2015年01月01日至2015年03月31日,,                152196,                152196,,,                 50610,                  5076,                    -69,                    288,                  2679,                 -3680,,                 14481,                -64505,                 24429,                     20,                 -4929,                 24400,,,                  1142,                -23688,                 44796,                264882,                -29169,                 48273,                -91111,                 19873,                 83315,                318313,,                   -858,                     23,                  5877,                -58919,               -111686,               -134846,                 -3008,                 18139,                  1918,                   -829,               -284189,                 34124,                 58524,                210720,                 -2679,                   -119,                207922,,,,                 -3609,                    397,                              0,                  7757,                -27143,,                 -1732,                              0,                  3695,,                    140,,,,,                   -771,,,                   -771,                 -1739,                205552,              1944359,              2149911,              2149911,                 20775,                              0,,,,,,,
2450,2014年度,,                642099,                642099,,,                242042,                 16440,                 12474,                 -1142,                 13766,                -11706,                   -660,                 93287,               -212891,                 39489,,                 16371,,,,                     91,                   -903,                -91619,                 35909,                 55265,                173155,                374567,                 32074,                246789,                825328,,                 -4126,                   -315,                407618,                 35207,               -372304,               -109837,                 -3248,                 13672,                 -1704,,                -38569,                786759,                994229,              1636328,                -13749,               -390005,              1232574,,                -24000,,               -146814,                  4724,                              0,                  7222,                -23453,                -52176,                              0,                  6945,                 11693,                101332,               -114527,,                500000,,,                    -66,             -1033010,,               -533076,                  9338,                594309,              1350050,              1944359,              1944359,,,,                              0,                207470,                 -3532,                              0,,
2450,2014年01月01日至2014年09月30日,,                342218,                342218,,,                181805,                 13470,                 10820,                 -3830,                  9474,                 -8342,                   -660,                 79696,               -154420,                 10539,                              0,                  2974,                141526,,,                     91,                  4896,                 26483,               -126350,                -91987,                211522,               -401262,                  7472,                 76009,               -293126,,                 -2930,                   -315,              1296693,                 74525,                -82639,               -180344,                 -1765,                -26587,                  1146,                 -2424,              1075360,                782234,                923760,              1265978,                 -9474,               -389440,                867064,,                -24000,                              0,               -100800,                  4523,                 -1906,                              0,                -21065,                -30436,                              0,                  3875,                  8366,                101332,                -60111,,                800000,                              0,                              0,                   -668,             -1033010,                              0,               -233678,                 -3784,                569491,              1350050,              1919541,              1919541,,,,,,,,,
2450,2014年01月01日至2014年06月30日,,                348365,                348365,,,                122437,                  9859,                    696,                    456,                  5064,                 -5683,,                 53131,                -99845,                  7993,                              0,                -21452,                 72656,,,                     91,                -28083,               -229375,                 60840,                -55555,                 38345,               -538174,                  2666,                 89919,               -659326,,                 -1542,                   -315,                462203,                -33534,                -98747,               -241696,                 -4452,                -25049,                  7268,                 -1643,                 62493,               -596833,               -524177,               -175812,                 -5064,               -210029,               -390905,,                -24000,,                -79857,                  3730,                 -3056,                              0,                 -5596,,                              0,                  3791,                  5666,,                -99322,,                800000,,,                   -143,,                              0,                799857,                   -195,                309435,              1350050,              1659485,              1659485,                              0,,,,,,,,
2450,2014年01月01日至2014年03月31日,,                211656,                211656,,,                 61144,                  4906,                    681,                    713,                  1467,                 -1775,,                 26566,                -43305,                  2872,                              0,                 -5187,                 48082,,,                     91,                 13740,                115857,                232530,                  8650,                117542,             -1105751,                 17322,                 89140,               -510879,,                   -415,                   -315,                906876,                 -9792,               -140996,               -266628,                  9898,                  3046,                  8123,                   -853,                508944,                 -1935,                 46147,                257803,                 -1467,                 -6958,                249378,,,,                -43904,                  1133,                 -2349,                              0,                 -4195,,                              0,                    353,                  1800,,                -47162,,,,,                              0,,,                    232,                 -3088,                199360,              1350050,              1549410,              1549410,                              0,                    232,,,,,,,
2450,2013年度,,              1725449,              1725449,,,                191444,                 23235,                    539,                    -91,                  9308,                 -5372,                   -996,                 69579,               -175237,                  4350,,                 31962,,,,                    268,                -17009,                414285,               -119088,                 98645,               -160242,               -729269,                -66863,               -315274,               -894547,,                -17703,                    333,                -81288,               -483424,                156696,               -450533,                 26009,                 26547,                 -4097,,               -828048,             -1722595,             -1589299,                136150,                 -9308,               -367320,               -240478,,                              0,,               -298763,                     43,                -40096,                              0,                 -1088,                              0,                 -6945,                              0,                  5526,                 67990,               -273333,,                              0,,,                 -4983,             -1029316,,               -992544,                 -1110,             -1507465,              2857515,              1350050,              1350050,,,,                -15425,                133296,                   -588,                 41755,,
2450,2013年01月01日至2013年12月31日,,              1725449,              1725449,,,                191444,                 23235,                    539,                    -91,                  9308,                 -5372,,                 69579,               -175237,                  4350,,                 31962,,,,                    268,                -17009,                414285,               -119088,                 98645,               -160242,               -729269,                -66863,               -315274,               -894547,,                -17703,                    333,                -81288,               -483424,                156696,               -450533,                 26009,                 26547,                 -4097,,               -828048,             -1722595,             -1588303,                137146,                 -9308,               -367320,               -239482,,,,               -298763,                     43,                -40096,,                 -1088,,                 -6945,,                  5526,                 66994,               -274329,,,,,                 -4983,             -1029316,,               -992544,                 -1110,             -1507465,              2857515,              1350050,              1350050,,,,                -15425,                134292,                   -588,                 41755,,
2450,2013年01月01日至2013年09月30日,,              1408967,              1408967,,,                136908,                 17855,                    345,                    308,                  4623,                 -6807,,                 45303,               -127211,                  3313,,                 30078,,,,                    268,                 22489,                447793,                -42379,                 65920,               -115703,             -1634874,                -53750,                -10832,             -1321068,,                -16944,                     18,                790778,               -501333,                -40813,               -744466,                 17543,                 -7379,                  7642,,               -495399,             -1816467,             -1711752,               -302785,                 -4623,               -366573,               -673981,,                              0,,               -163044,                     24,                -32222,,                   -841,                              0,                -16745,                              0,                  6976,                 66994,               -138858,,                800000,,,                 -4566,             -1029316,,               -205528,                -13507,             -1031874,              2857515,              1825641,              1825641,,,,,                104715,                   -445,                 28354,,
