證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分待出售非流動資產損失（利益）,　　　　 金融資產減損損失,　　　　 非金融資產減損損失,　　　　 投資性不動產公允價值調整損失(利益),　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得無活絡市場之債務工具投資,　　 取得採用權益法之投資,　　 預付投資款減少,　　 處分待出售非流動資產,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 其他應收款增加,　　 取得無形資產,　　 取得投資性不動產,　　 其他非流動資產增加,　　 其他預付款項增加,　　 收取之股利,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 應付短期票券增加,　　 應付短期票券減少,　　 償還公司債,　　 舉借長期借款,　　 償還長期借款,　　 其他非流動負債增加,　　 發放現金股利,　　 庫藏股票買回成本,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 其他應收款減少,　　 其他非流動負債減少,　　　　 非金融資產減損迴轉利益,　　　 不影響現金流量之收益費損項目,　　　　 處分無形資產損失（利益）,　　　　 處分投資損失（利益）,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 處分備供出售金融資產,　　 取得無活絡市場之債券投資,　　 取得以成本衡量之金融資產,　　 發行公司債,　　 處分以成本衡量之金融資產
2903,2015年01月01日至2015年09月30日,,              1776581,              1776581,,,              2280990,                 25673,                   -922,                -28222,                353504,                -63523,               -297640,               -425049,                 28146,                     97,                168767,                 18766,                  3462,                184319,              2248368,,,               -155716,                 -7593,               -593000,               -100003,                 22407,               -532272,                -67663,                 38101,                  6262,             -1389477,,                375264,             -5350725,               -106443,               -794129,                754996,                100471,                 -5255,             -5025821,             -6415298,             -4166930,             -2390349,                 66585,               -357273,               -838018,             -3519055,,                854825,               -106000,                 78346,                     16,             -1377109,                  1022,                              0,                -27338,                 -1822,                -33235,                -12607,                399091,               -224811,,             34055868,            -33785723,             18821278,            -19058353,             -1000000,             36464952,            -34690000,                -14919,             -1439211,               -176255,               -581519,             -1403882,                 11849,             -5135899,             10952918,              5817019,              5817019,,,,,,,,,,,,,
2903,2015年01月01日至2015年06月30日,,                916927,                916927,,,              1520215,                 15935,                   -712,                -27726,                232064,                -47640,                     -1,                 51090,                 17363,                     97,                168253,                 -2027,                  2459,                 95975,              2025345,,,                -17608,                -14285,                145707,                 55173,                116352,                274286,                 64138,                 36955,                  4174,                664892,,                -18957,             -5452699,                -85015,               -899856,                397870,                 60308,                 -2262,             -6000611,             -5335719,             -3310374,             -2393447,                 40395,               -202774,               -492348,             -3048174,,                502269,               -106000,                 78346,                     16,               -974083,                    457,,                 -9208,                   -769,                 -3399,                              0,                      1,               -512370,,             21089308,            -20574263,             11024656,            -11543074,                              0,             26300313,            -25525000,,                    -15,,                -81392,                667384,                -31949,             -2925109,             10952918,              8027809,              8027809,                              0,                -23149,,,,,,,,,,,
2903,2015年01月01日至2015年03月31日,,                487335,                487335,,,                762427,                  7889,                   -923,                 -2854,                114447,                -25971,,                 42534,                  2358,,                    514,,,                 12016,                913597,,,                -38904,                -34506,                140681,                  2393,                 43369,               -144341,               -134614,                  7446,                  2086,               -156390,,                -15419,             -4252700,                -79025,               -709461,                661646,                 10862,                 -1220,             -4385317,             -4541707,             -3628110,             -3140775,                 27956,               -197690,                -54957,             -3365466,,                205540,,,,               -397823,                      7,,                 -3177,,                  1963,,,               -193490,,             11728446,            -10929670,              6280817,             -6863141,                              0,             12200265,            -13825000,,                    -15,,                -81392,             -1521641,                -15502,             -5096099,             10952918,              5856819,              5856819,                              0,                -31951,                  1160,,,,,,,,,,
2903,2014年度,,              3089800,              3089800,,,              2951638,                 28907,                 -3321,                -46651,                465191,               -101762,               -268122,               -133261,                 18330,                   -316,                  2055,                513283,                 21931,                223165,,,,                 -4270,                 25709,                276947,               -134629,                173061,                104093,                115264,                -18273,                  5294,                543196,,                -95891,                -92347,                  1329,               -448737,                449175,                 12266,,               -147686,                395510,              4066577,              7156377,                116462,               -481901,               -609052,              6450707,,,               -360000,                 78456,                    582,             -1984796,                 24190,                212388,                -34958,,                -52667,               -372940,                268821,             -2859668,,             68280489,            -69231410,             23851586,            -23907209,             -2500000,             48618177,            -48592000,                 26571,             -1622612,,               -720319,             -5796727,                -62799,             -2268487,             13221405,             10952918,             10952918,,,,,                              0,                              0,              3671067,                 26519,                              0,               -369923,                              0,                              0,
2903,2014年01月01日至2014年09月30日,,              1841860,              1841860,,,              2195953,                 20502,                 -1770,                 -6816,                341346,                -70728,               -264620,               -104494,                 14613,                   -316,                  1541,                 32866,                              0,                123431,              2281508,,,                -30050,                  8725,                332206,                -78129,                177184,               -130085,               -253148,                 21054,                  5981,                 53738,,               -125175,             -5294900,                -85034,             -1161382,                972921,                  5934,                 -3739,             -5691375,             -5637637,             -3356129,             -1514269,                 85452,               -354519,               -617514,             -2400850,,               -681693,               -360000,                 78456,                    582,             -1573147,                    475,                278286,                -28950,                              0,                 -4489,                -76906,                393640,             -1973746,,             56079462,            -52879060,             17444137,            -16722551,             -2500000,             32159768,            -35174000,                 14816,             -1622590,                              0,               -720319,             -3920337,                 63580,             -8231353,             13221405,              4990052,              4990052,,,,,,,,,,,,,
2903,2014年01月01日至2014年06月30日,,              1351740,              1351740,,,              1455085,                 12763,                 -2658,                  2451,                223063,                -49408,                -21702,               -111004,                 11778,                   -316,                  1027,                 16120,                              0,                 50494,              1587693,,,                  6757,                 23280,                185042,                -27684,                173312,                342780,               -100207,                 15500,                  3987,                622767,,               -110120,             -5401173,                -84994,             -1079969,                577851,                -25970,                 -2589,             -6126964,             -5504197,             -3916504,             -2564764,                 63511,               -223453,               -322889,             -3047595,,               -320340,               -360000,                              0,                    582,             -1038575,                    133,,                 -9036,                              0,                 -7714,                -71369,                      1,             -1510302,,             35871617,            -35484841,             11297924,            -10291092,             -2500000,             23659639,            -22524000,,                    -21,,               -122387,               -101984,                 -1479,             -4661360,             13221405,              8560045,              8560045,                296016,                 -8823,,,,,,,,,,,
2903,2014年01月01日至2014年03月31日,,                768488,                768488,,,                729416,                  6365,                     14,                  2594,                112046,                -25653,,                -27870,                  3737,,                    514,,,                -61295,                735342,,,                  5803,                 16052,                 89915,                 -6994,                129574,                 77330,               -218774,                 15935,                  1993,                110834,,                -99010,             -5666587,                -95165,             -1120315,              1265861,                -39042,                 -1359,             -5755617,             -5644783,             -4909441,             -4140953,                 41684,               -122095,                 76377,             -4144987,,                -52442,,,,               -494580,                      1,,                 -4303,,                -22185,,,               -301543,,             17190302,            -15404276,              6808014,             -6248526,             -2500000,             11505346,            -11595159,,                              0,,               -122387,               -458600,                 14879,             -4890251,             13221405,              8331154,              8331154,                271966,                -91914,                 -4526,,,,,,,,,,
2903,2013年度,,              4092782,              4092782,,,              2934424,                 24630,                  8518,                -33996,                508253,               -120037,               -236453,               -228035,                 41902,                              0,                  1027,                 14217,                -26681,                199505,,,,              1169262,                  3076,                698025,                 -6325,                 -6519,                165533,                 73263,                -13293,                  5412,              2088434,,                -39328,               -993958,                -19053,             -2032521,                642472,                 84261,,             -2369875,               -281441,              2422103,              6514885,                 87411,               -515434,             -1144255,              5278177,,,               -147899,                 78216,                              0,             -3388947,                  5023,             -1250053,                -30186,,                -21593,                              0,                335570,             -3414959,,             52458782,            -54640379,             25070441,            -26671997,             -1200000,             51964386,            -52270000,                131672,             -1095903,,               -197462,             -5459768,                 23852,             -3572698,             16794103,             13221405,             13221405,,,,,                  3256,               -386986,              2703544,                -11748,                709014,                681466,                -50000,                990692,
2903,2013年01月01日至2013年12月31日,,              4019767,              4019767,,,              2980758,                 24630,                  8518,                -33996,                508253,               -120037,               -236453,               -228035,                 41902,,                  1027,                 14217,,                199505,,,,              1169262,                  3076,                698025,                 -6325,                 -6519,                165533,                 73263,                -13293,                  5412,              2088434,,                -39328,               -993958,                -19053,             -2032521,                642472,                 84261,,             -2369875,               -281441,              2495118,              6514885,                 87411,               -515434,             -1144255,              5278177,,,               -147899,                 78216,,             -3388947,                  5023,             -1250053,                -30186,                              0,                -21593,,                335570,             -3414959,,             52458782,            -54640379,             25070441,            -26671997,             -1200000,             51964386,            -52270000,                131672,             -1095903,,               -197462,             -5459768,                 23852,             -3572698,             16794103,             13221405,             13221405,,,,,                  3256,               -386986,              2776559,                -11748,                709014,                681466,                -50000,                990692,                              0
2903,2013年01月01日至2013年09月30日,,              2419395,              2419395,,,              2180721,                 18150,                 -5696,                -18431,                390476,                -97217,               -234250,               -159477,                 35539,                              0,                    513,                 38228,,                156308,,,,                              0,                 10597,                661421,                 22876,                147744,                 50067,                181169,                  7461,                  4059,              1085394,,               -138191,             -6524046,               -113727,             -1488149,                798287,                 64679,,             -7410534,             -6325140,             -4397622,             -1978227,                 93064,               -354215,             -1017207,             -2934499,,,               -147899,                 47825,                              0,             -2676942,                  3581,             -1237779,                -22954,,               -117821,,                322086,             -2555477,,             39767771,            -41768786,             19771211,            -19890431,                              0,             39204362,            -41550000,                 84834,                   -129,,               -197462,             -4578630,                -52637,            -10121243,             16794103,              6672860,              6672860,,,,,                  2480,               -379826,              1927518,                 -9387,                701854,                944658,                -50000,,
