證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 利息收入,　　　　 股利收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 未實現銷貨利益（損失）,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付帳款增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 收取之股利,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得採用權益法之投資,　　 採用權益法之被投資公司減資退回股款,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金減少,　　 其他金融資產增加,　　 其他非流動資產增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 存入保證金減少,　　 發放現金股利,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　　 應收票據（增加）減少,　　　　　 應付票據增加（減少）,　　 存出保證金增加,　　 其他金融資產減少,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 取得以成本衡量之金融資產,　　 員工執行認股權,　　 其他非流動資產減少,　　 處分採用權益法之投資
6202,2015年度,,                946703,                946703,,,                 48700,                 66759,                -26759,                 -8135,                -57094,                   -258,                  4223,                 27436,,,                -56384,                 -9915,                -88476,                 -6547,               -161322,,                  6289,                 -1582,                 16188,                 20895,               -140427,               -112991,                833712,                 26696,                 51681,               -144501,                767588,,                -31146,                  9678,                -31411,                    668,                    227,               -347815,                -55586,               -455385,,                   -943,               -795842,                -12000,               -808785,                 -2253,               -498835,              1179235,                680400,                680400,,,,,,,,,,,
6202,2015年01月01日至2015年09月30日,,                717636,                717636,,,                 36365,                 48609,                -20404,,                -46335,                  8534,                  3649,                 30418,,,                 -5172,,                -73606,                 -6509,                -83799,,,                 -1192,                -39758,                 89239,                  5440,                 35858,                753494,                 21447,                 43546,               -142992,                675495,,                -17081,,                -25078,                    665,                    223,               -391463,                -44618,               -477352,,,               -795842,,               -795842,                  1358,               -596341,              1179235,                582894,                582894,                  1488,                130189,,,,,,,,,
6202,2015年01月01日至2015年06月30日,,                451153,                451153,,,                 23975,                 31411,                -14573,,                -25149,                  9643,                  1233,                 26540,,,               -456091,,                -27640,                    272,               -508429,,,                   -797,                 -8123,                 -3115,               -511544,               -485004,                -33851,                 16808,                 36150,                -77097,                -57990,,                -10042,,                -17516,,,               -392386,                -35038,               -454994,,,,,,                 -2990,               -515974,              1179235,                663261,                663261,                -24970,                  5805,                    -12,                              0,,,,,,,
6202,2015年01月01日至2015年03月31日,,                190025,                190025,,,                 11968,                 15579,                 -6671,,                 -6104,                  5564,                     51,                 20387,,,               -185274,,                -34365,                  2034,               -109188,,,                   -401,                -67902,                -82154,               -191342,               -170955,                 19070,                 10083,                 10833,                  1535,                 41521,,                -10042,,                 -7338,,                    177,,                -14941,               -330276,,,,,,                 -1355,               -290110,              1179235,                889125,                889125,                108417,                -13851,,               -298132,,,,,,,
6202,2014年度,,                938519,                938519,,,                 47843,                 51272,                -26480,                 -4558,                -57440,                  4815,                    336,                 15788,,,                104737,                -47552,                 24448,                -15926,                 65707,,                  4064,                 -1687,                     68,                  2445,                 68152,                 83940,              1022459,                 26476,                 45407,               -115171,                979171,,                 -7632,                              0,                -20338,                    450,                   -487,                -32630,                -52247,               -112884,,                              0,               -746355,                              0,               -746355,                  8683,                128615,              1050620,              1179235,              1179235,,,,,,,,,,,
6202,2014年01月01日至2014年09月30日,,                678647,                678647,,,                 35796,                 37588,                -19829,,                -37892,                  6299,                    941,                 22903,,,                140003,,                -38037,                 -8810,                 62466,,,                 -1278,                -46736,                -18362,                 44104,                 67007,                745654,                 21145,                 40849,               -112202,                695446,,                 -7632,,                -14880,                    450,                   -321,                -27636,                -45064,                -95083,,,               -746355,,               -746355,                  1421,               -144571,              1050620,                906049,                906049,                -30690,                 29652,,,,,,,,,
6202,2014年01月01日至2014年06月30日,,                433523,                433523,,,                 23842,                 23909,                -13408,,                -19565,                  7169,                   -424,                 21523,,,                115569,,                -37724,                 -7937,                    429,,,                   -861,                -19103,                 38967,                 39396,                 60919,                494442,                 15444,                 30191,                -75196,                464881,,                 -7632,,                 -9791,,,                              0,                -33412,                  3846,,,,,,                 -3935,                464792,              1050620,              1515412,              1515412,                -69479,                 58931,                     -5,                 54686,,,,,,,
6202,2014年01月01日至2014年03月31日,,                191698,                191698,,,                 12008,                 11346,                 -6371,,                 -7332,                  7584,                    407,                 17642,,,                100166,,                -59935,                -12292,                 84529,,,                   -435,                -54250,                -17121,                 67408,                 85050,                276748,                  9769,                  5842,                -19536,                272823,,                              0,,                 -2313,,                     -7,,                 -7751,                107727,,,,,,                     -8,                380542,              1050620,              1431162,              1431162,                 56590,                 37564,,                117798,,,,,,,
6202,2013年度,,                882032,                882032,,,                 48208,                 45719,                -23211,,                -61252,                 20115,                    -65,,,,                 77836,,                 49176,                -19463,                 18656,,,,                 64577,                 43632,                 62288,                 91802,                973834,                 22134,                 26861,                -47072,                975757,,                              0,,                -31296,                              0,                  1063,               -106068,                -38926,               -179403,,,               -558996,,               -474247,                 11023,                333130,                717490,              1050620,              1050620,                -88893,                -19090,,,,                 29514,                 -1855,                 -4176,                 84749,,
6202,2013年01月01日至2013年12月31日,,                882032,                882032,,,                 48208,                 45719,                -23211,,                -61252,                 20115,                    -65,,,,                 77836,,                 49176,                -19463,                 18656,,,,                 64577,                 43632,                 62288,                 91802,                973834,                 22134,                 26861,                -47072,                975757,,,,                -31296,,                  1063,               -106068,                -38926,               -179403,,,               -558996,,               -474247,                 11023,                333130,                717490,              1050620,              1050620,                -88893,                -19090,,,,                 29514,                 -1855,                 -4176,                 84749,,                              0
