證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 未實現外幣兌換損失（利益）,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付票據－關係人增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金減少,　　 預付設備款增加,　　 收取之股利,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 償還長期借款,　　 庫藏股票處分,　　 其他籌資活動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 短期借款減少,　　 存出保證金增加,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應收票據－關係人（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 應計退休金負債增加（減少）,　　 預付設備款減少,　　 應付短期票券減少,　　　　　 負債準備增加（減少）,　　 應付短期票券增加
1418,2015年01月01日至2015年09月30日,,               -108986,               -108986,,,                 69535,                    216,                 14412,                   -196,                -17015,                  1719,                              0,                  3172,                 71843,,,                  5245,                 29578,                  2303,                 24783,                    147,                 -3615,                 58441,,                     11,                 -8932,                -28914,                  2703,                   -384,                -10785,                    -82,                -46383,                 12058,                 83901,                -25085,                    196,                -14744,                     34,                -39599,,                -31046,                              0,                              0,                 -3509,                 17015,                -17540,,                 32098,                              0,                 15459,                 -1500,                 46057,                              0,                -11082,                 50641,                 39559,                 39559,,,,,,,,,,,
1418,2015年01月01日至2015年06月30日,,                -86283,                -86283,,,                 46650,                    144,                  9771,                   -189,                -16945,                  1161,                              0,                    -27,                 40565,,,                  5165,                 24209,                  1538,                 79962,                  3106,                  7929,                121909,,                    -85,                 -2541,                -42757,                  2823,                   -435,                 -7089,                    -97,                -50181,                 71728,                112293,                 26010,                    189,                -10413,                     34,                 15820,,                -20940,                              0,                              0,                   -156,                 16945,                 -4151,,                              0,                              0,                 15459,,                 -7177,                              0,                  4492,                 50641,                 55133,                 55133,                -22636,,,,,,,,,,
1418,2015年01月01日至2015年03月31日,,                -60814,                -60814,,,                 23152,                     73,                  4791,                   -148,,                    438,,                   -969,                 27337,,,                  2201,                 22827,                  1405,                -76161,                 -6795,                 -7359,                -63882,,                     62,                 -8800,                -63092,                  5282,                   -435,                 -3596,                   -112,                -70691,               -134573,               -107236,               -168050,                    148,                 -4590,                     34,               -172458,,                 -9339,,,                 -3604,,                -12943,,,                              0,                  2083,,                170060,                              0,                -15341,                 50641,                 35300,                 35300,                167977,                              0,,,,,,,,,
1418,2014年度,,               -157239,               -157239,,,                100732,                    287,                 17235,                   -194,                -23711,                  3300,                    -35,                  3316,,,,                  3714,                -31823,                  1145,                -63054,                  1642,                -35538,               -123914,,                 -1385,                 -1947,                -94700,                -14772,                    742,,                     74,               -125973,               -249887,               -148957,               -306196,                    194,                -17034,                     -3,               -323039,,                -43866,                  2180,                  5464,                              0,                 23711,                -12434,,                340996,                -15400,,,                325596,                              0,                 -9877,                 60518,                 50641,                 50641,                              0,,,                100930,                              0,                              0,                -13985,                     77,                              0,,
1418,2014年01月01日至2014年09月30日,,                -93540,                -93540,,,                 76721,                    216,                 12908,                   -176,                -23711,                  1447,                    116,                    489,                 68010,,,                  3880,                -11090,                 -3052,               -117783,                 -4899,                   -882,               -133826,,                 -1356,                 -4233,                -97287,                 -8943,                    581,                -10498,                    -36,               -121772,               -255598,               -187588,               -281128,                    176,                -12613,                     -3,               -293568,,                -36792,                    113,                  5464,                 -5068,                 23711,                -12572,,                299103,                -11700,                              0,                              0,                287403,                      5,                -18732,                 60518,                 41786,                 41786,,,,,,,,,,,
1418,2014年01月01日至2014年06月30日,,                -50198,                -50198,,,                 51944,                    144,                  8538,                   -171,                -23634,                  1085,                    116,                 -1773,                 36249,,,                    591,                -25605,                -11047,               -168862,                    836,                   -890,               -204977,,                    866,                 -3972,               -133150,                 -8562,                    133,                 -7086,                    -49,               -151820,               -356797,               -320548,               -370746,                    171,                 -8132,                     -2,               -378709,,                -23214,                    113,                    464,                 -5880,                 23634,                 -4883,,                387717,                 -7800,                              0,,                379917,                     -1,                 -3676,                 60518,                 56842,                 56842,                              0,,,,,,,,,,
1418,2014年01月01日至2014年03月31日,,                -41554,                -41554,,,                 25963,                     72,                  3553,                   -148,,                    487,,                  5106,                 35033,,,                  2534,                 -4298,                  4199,                   -562,                 -6163,                -27910,                -32200,,                  4289,                 -4993,               -146354,                 -8935,                    247,                 -3368,                     13,               -159101,               -191301,               -156268,               -197822,                    148,                 -3021,                              0,               -200695,,                 -9685,,,                 -5634,,                -15655,,,                 -3900,                              0,,                216417,                      4,                     71,                 60518,                 60589,                 60589,                220317,                   -336,,,,,,,,,
1418,2013年度,,               -118692,               -118692,,,                 98444,                    287,                 11577,                   -175,                -14601,                  2365,                    636,                  1154,,,,                 -6468,                 24031,                  1683,                 61257,                    760,                    -66,                 84360,,                    693,                 10195,                 21439,                 -4865,                    -77,,                    347,                 13972,                 98332,                198019,                 79327,                    251,                -11683,                     62,                 67957,,                -48186,                  3812,                  1690,                -12968,                 14601,                -41051,,                              0,                -15600,,,                -89352,                     12,                -62434,                122952,                 60518,                 60518,                -73752,,,                 99687,                  1600,                  1563,                -13760,                              0,                              0,,
1418,2013年01月01日至2013年12月31日,,               -118692,               -118692,,,                 98444,                    287,                 11577,                   -175,                -14601,                  2365,                    636,                  1154,,,,                 -6468,                 24031,                  1683,                 61257,                    760,                    -66,                 84360,,                    693,                 10195,                 21439,                 -4865,                    -77,,                    347,                 13972,                 98332,                198019,                 79327,                    251,                -11683,                     62,                 67957,,                -48186,                  3812,                  1690,                -12968,                 14601,                -41051,,                              0,                -15600,,,                -89352,                     12,                -62434,                122952,                 60518,                 60518,                -73752,,,                 99687,                  1600,                  1563,                -13760,,                              0,,
1418,2013年01月01日至2013年09月30日,,                -91158,                -91158,,,                 72749,                    216,                  8710,                   -169,                -14601,                  1536,                  1442,                 -1358,,,,                 -2845,                 -9765,                    635,                -23969,                 -8668,                 -2149,                -45161,,                   -334,                 10739,                  3386,                -10838,                   -154,,                     19,                 -7555,                -52716,                 15809,                -75349,                    245,                 -8745,                      8,                -83841,,                -43713,                  1885,                  1690,                 -1743,                 14601,                -27280,,                 40544,                -11700,,,                 28844,                     15,                -82262,                122952,                 40690,                 40690,,,,                 68525,                  1600,,                -10373,,,,
