證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 利息費用,　　　　 利息收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 未實現外幣兌換損失（利益）,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收建造合約款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付建造合約款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 取得無活絡市場之債務工具投資,　　 取得以成本衡量之金融資產,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 預收款項增加－處分資產,　　 存出保證金減少,　　 取得無形資產,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 應付短期票券減少,　　 舉借長期借款,　　 償還長期借款,　　 存入保證金增加,　　 發放現金股利,　　 庫藏股票買回成本,　　 非控制權益變動,　　 其他籌資活動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 其他符合國際會計準則第七號現金及約當現金定義之項目,　　 處分無活絡市場之債務工具投資,　　 預付設備款增加,　　　 不影響現金流量之收益費損項目,　　　　 處分採用權益法之投資損失（利益）,　　　　 非金融資產減損損失,　　　　 不影響現金流量之收益費損項目合計,　　 取得無活絡市場之債券投資,　　 處分子公司,　　 因合併產生之現金流入,　　 收取之股利,　　 短期借款減少,　　 償還公司債,　　　　　 應付建造合約款（增加）減少,　　 其他非流動資產增加,　　 其他非流動資產減少,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　　 負債準備增加（減少）,　　　　　 應計退休金負債增加（減少）,　　 其他金融資產減少,　　 其他投資活動,　　 存入保證金減少
5515,2015年01月01日至2015年09月30日,,                -85277,                -85277,,,                 79216,                  5715,                -24294,                 23289,                -41591,                    234,                 58477,                -37459,                 26996,                 90583,,,                  5954,                 -9113,                698690,               -150952,                 10727,                 24086,                224473,                107074,                 -3698,                907241,,               -186183,               -161296,                 -3649,               -159918,                 35242,                  6883,               -468921,                438320,                528903,                443626,                 36533,                -23819,               -112668,                343672,,               -345453,                190170,               -326428,                 -9432,                -27571,                175623,                114081,                 10268,                 -1091,               -219833,,               -162480,                    120,                              0,                -71054,                   -180,               -177559,               -211638,                              0,                  2750,               -620041,                 44931,               -451271,              2708532,              2257261,              2230426,                 26835,,,,,,,,,,,,,,,,,,,,,
5515,2015年01月01日至2015年06月30日,,                -16318,                -16318,,,                 58402,                  3758,                -29843,                 16199,                -28005,                    169,                 20499,                -37459,                 13718,                 17438,,,                  2924,               -194372,                385750,                -31848,                 17440,                 15882,                218145,                129229,                   -886,                542264,,               -281649,               -249525,                108661,               -143484,                 32882,                    -74,               -533189,                  9075,                 26513,                 10195,                 24594,                -16930,               -107187,                -89328,,               -188947,                 88320,               -101751,                 -9354,                -20157,                112606,,                  8195,                 -1091,                190530,,               -304950,                -79826,,                -70467,                  1471,                              0,               -131759,,,               -585531,                -51777,               -536106,              2708532,              2172426,              2172426,                              0,                302709,                              0,,,,,,,,,,,,,,,,,,,
5515,2015年01月01日至2015年03月31日,,                -47792,                -47792,,,                 31631,                  1831,                -39213,                  9053,                -14324,                     86,                 20296,,                    100,                  9460,,,                    523,               -288042,                303453,                 19749,                 75329,                 12526,                 91891,                128124,                 -2061,                341492,,               -305891,               -186587,                 46733,               -156924,                 24854,                    -34,               -577849,               -236357,               -226897,               -274689,                 10799,                 -9824,                -45664,               -319378,,                              0,,                -97463,                 -9456,                -11974,                 19971,,                    -42,                   -332,                -99296,,               -221720,                -79826,,                -71235,                  2825,,                -13458,,,               -383414,                -23153,               -825241,              2708532,              1883291,              1883291,                              0,,,,,,,,,,,,,,,,,,,,,
5515,2014年度,,                349171,                349171,,,                151588,                  7682,                  9276,                 27928,                -77489,                  1042,                 60007,                -45998,                -39588,,,,                  2526,                150174,               -755852,               -239323,                   -847,                  9423,               -149305,                 41621,                -46802,               -988385,,                -24177,                 45897,                 24724,                -93257,                -22367,                 -1247,                -70427,             -1058812,               -917520,               -568349,                 76259,                -28123,               -277849,               -798062,,                -78216,                 96860,,                -12048,                -79241,                 27361,,                 -8106,                 -2846,               -371694,,,                 79826,              1200000,               -756827,                 16027,               -355119,,                 -5475,                  1250,                 -7008,                134839,             -1041925,              3750457,              2708532,              2708532,                              0,,                 -2275,,                 29003,                 17841,                141292,               -307661,                 -5522,                              0,                              0,                313310,               -500000,,,,,,,,,
5515,2014年01月01日至2014年09月30日,,                299011,                299011,,,                111797,                  5795,                  3112,                 20324,                -59016,                    592,                  8749,                -45998,                -46159,                   -804,,,                  1870,                343626,               -722805,               -123636,                 -3330,                 11259,                -97258,                  1940,                -51477,               -639811,,                -37238,                 16781,                 39200,               -178188,                -27027,                     87,               -186385,               -826196,               -827000,               -527989,                 62597,                -14069,               -217962,               -697423,,                -78216,                 96860,                              0,                -12048,                -49553,                 24621,                              0,                 -8306,                 -2483,                -29125,,                442544,                              0,                720000,               -718804,                 12518,               -355119,                              0,                 -5236,                              0,                 95903,                 42144,               -588501,              3750457,              3161956,              3161956,                              0,,,,,,,,,,,,,,,,,,,,,
5515,2014年01月01日至2014年06月30日,,                150076,                150076,,,                 76209,                  3888,                  4751,                 13847,                -40349,                    426,                     78,                -45998,                 23778,                 36630,,,                     51,                 81358,               -664496,                -91509,                  5940,                  8818,                -49593,                 28547,                  2584,               -678300,,               -143969,                  3575,                 23954,               -151002,                -23890,                 -3459,               -294791,               -973091,               -936461,               -786385,                 43242,                 -9823,               -182882,               -935848,,                -78216,                 96860,                              0,                              0,                -18497,                  5842,,                    -37,                 -2305,                  2794,,                238960,                              0,,               -216301,                  8377,                 -5141,                              0,,,                 25895,                -14059,               -921218,              3750457,              2829239,              2829239,                              0,                              0,                   -853,,,,,,,,,,,,,,,,,,,
5515,2014年01月01日至2014年03月31日,,                -32039,                -32039,,,                 38236,                  1970,                 -5464,                  7094,                -19472,                    176,                 -1871,,                -24791,                 -4122,,,                    -91,                    639,                312326,               -239689,                -23434,                 15204,               -152206,                -85465,                 -4748,               -177464,,                 90080,               -238157,                 41783,               -118458,                -32153,                    190,               -256715,               -434179,               -438301,               -470340,                 18798,                 -6731,                -27606,               -485879,,                -37452,,                              0,                              0,                 -9062,                  5398,,                     68,                              0,                -41048,,                182820,                              0,,               -101429,                  6276,,                              0,,,                 87667,                 44396,               -394864,              3750457,              3355593,              3355593,                              0,,,,,,,,,,,,,,,,,,,,,
5515,2013年度,,              1306321,              1306321,,,                155452,                  8546,                -25716,                 28426,                -70852,                    689,                 -5203,                   -142,                 91531,,,,                 40844,                 28062,               -666351,                364340,                    531,                -52434,                113450,                -21523,                 94838,                -98243,,                176355,               -103483,                  9730,                 60397,                -12459,                 -7030,                123510,                 25267,               -938586,                367735,                 66627,                -27321,               -111821,                295220,,                              0,                    867,,                              0,               -152202,                 96898,,                -15454,                              0,              1297376,,,                              0,                              0,             -1012368,                 10523,               -355119,,                 -2727,                              0,             -1490371,                116762,                218987,              3531470,              3750457,              3750457,                              0,,                              0,,             -1149184,                  2600,               -963853,                              0,              1284828,                  1000,                 81439,               -130680,                              0,,,,,,,,,
5515,2013年01月01日至2013年12月31日,,              1306321,              1306321,,,                155452,                  8546,                -25716,                 28426,                -70852,                    689,                 -5203,                   -142,                 91531,,,,                 40844,                 28062,               -666351,                364340,                    531,                -52434,                113450,                -21523,,               -193081,,                176355,               -103483,,                 60397,                -12459,                 -7030,                123510,                -69571,             -1033424,                272897,                 66627,                -27321,               -111821,                200382,,,                    867,,,               -152202,                 96898,,                -15454,,              1392214,,,                              0,                              0,             -1012368,                 10523,               -355119,                              0,                 -2727,,             -1490371,                116762,                218987,              3531470,              3750457,              3750457,                              0,,,,             -1149184,                  2600,               -963853,,              1284828,                  1000,                 81439,               -130680,,                  9730,                 94838,,,,,,,
5515,2013年01月01日至2013年09月30日,,              1074914,              1074914,,,                119300,                  6493,                   -113,                 22159,                -51025,                    509,                 -2875,                   -143,                -33608,,,,               -169979,                150324,                 22367,                466797,                 24606,                -23233,                 19906,                 42585,                100279,                633652,,                 13749,                -86478,                 81165,                -22555,                -46043,                 -3525,                -63687,                569965,               -472100,                602814,                 60062,                -15622,                -89629,                557625,,                              0,                    868,,                              0,               -115158,                 31960,,                -24247,                              0,              1147377,,               -130680,,                              0,               -991219,                  5486,               -355119,,                 -2728,,             -1474260,                 82836,                313578,              3531470,              3845048,              3844140,                    908,,                              0,,             -1102762,,             -1042065,,              1171515,                  1000,                 81439,,,,,,,,,,,
