證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息收入,　　　　 股利收入,　　　　 股份基礎給付酬勞成本,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 金融資產減損迴轉利益,　　　　 非金融資產減損損失,　　　　 未實現外幣兌換損失（利益）,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 收取之股利,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 處分備供出售金融資產,　　 取得不動產、廠房及設備,　　 存出保證金減少,　　 取得無形資產,　　 其他金融資產增加,　　 預付設備款增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 存入保證金減少,　　 發放現金股利,　　 現金增資,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 金融資產減損損失,　　　　　 應收票據（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　 存出保證金增加,　　　 不影響現金流量之收益費損項目,　　　　 利息費用,　　　　 不影響現金流量之收益費損項目合計,　　 支付之利息,　　 處分以成本衡量之金融資產,　　 預付設備款減少,　　 庫藏股票買回成本,　　 存入保證金增加
3416,2015年01月01日至2015年09月30日,,                182419,                182419,,,                 26267,                  2709,                   -506,                    -78,                 -6262,                   -729,                              0,                  8467,                              0,                              0,                 15509,                  5369,                  2110,                 52856,,,                     78,                 41715,                 54766,                 -4817,                   -277,                 -5904,                 85561,,                  6184,                 -2881,                -39116,                  2828,                -32985,                 52576,                105432,                287851,                  6328,                    729,                -39895,                255013,,                -10067,                              0,                -18965,                    200,                 -5958,                    -13,                 -5486,                -40289,,                   -496,               -240726,                              0,               -241222,                 -1472,                -27970,                433036,                405066,                405066,,,,,,,,,,,,
3416,2015年01月01日至2015年06月30日,,                112924,                112924,,,                 17655,                  1972,                 -1066,                    -36,                 -4285,,,                    784,                              0,                              0,,                  2933,                  5160,                 33473,,,                 -9965,                 19884,                 -2783,                  1502,                   -185,                  1778,                  9943,,                  1993,                    699,                -14856,                 -9662,                -21826,                -11883,                 21590,                134514,                  4261,,                -20306,                118469,,                   -526,                              0,                -13707,                    450,                 -4887,                    -13,,                -18683,,                   -196,,,                   -196,                 -2435,                 97155,                433036,                530191,                530191,                 10356,                   -121,                   -167,                              0,,,,,,,,
3416,2015年01月01日至2015年03月31日,,                 60830,                 60830,,,                  8703,                  1059,                  1491,                    -24,                 -2196,,,                    241,                              0,,,                  2408,                  5855,                 18755,,,                -13979,                 20248,                 28877,                  6027,                    -92,                 -6830,                 33594,,                  1007,                    507,                -23947,                   -438,                -22871,                 10723,                 29478,                 90308,                  2178,,                    384,                 92870,,                   -526,,                 -6696,,                 -2335,                    -13,,                 -9570,,,,,,                 -2013,                 81287,                433036,                514323,                514323,                  1218,                   -369,                   -288,,,,,,,,,
3416,2014年01月01日至2014年09月30日,,                197657,                197657,,,                 26378,                  3276,                  1295,                    -71,                 -4575,                   -884,                  1802,                    218,                     26,                 -1293,                              0,                  7882,                 -2090,                 31964,,,                     71,                -45747,               -102061,                -58048,                   -309,                 -2017,               -208111,,                  3701,                    193,                -23073,                   -491,                -19670,               -227781,               -195817,                  1840,                  4628,                    884,                -29691,                -22339,,                              0,                  2900,                -20596,                   -439,                 -2450,                 -3663,                              0,                -24248,,                              0,               -150495,                250000,                 99505,                   -441,                 52477,                309011,                361488,                361488,,,,,,,,,,,,
3416,2014年01月01日至2014年06月30日,,                110378,                110378,,,                 17606,                  2310,                     87,                    -39,                 -3131,,,                    -99,                     26,                 -1293,,                  5041,                  3062,                 23570,,,                     40,                -15030,                -52409,                -51486,                   -209,                 -2250,               -118809,,                 15195,                    220,                 -5674,                  2351,                 12092,               -106717,                -83147,                 27231,                  3132,,                -14820,                 15543,,                              0,                  2900,                -14752,                              0,                 -2450,                    -13,,                -15014,,                              0,,,                              0,                   -169,                    360,                309011,                309371,                309371,                              0,                              0,                  2535,                   -699,,,,,,,,
3416,2014年01月01日至2014年03月31日,,                 52330,                 52330,,,                  8947,                  1256,                   -384,                    -24,                 -1730,,,                     50,                     22,,,                  3221,                    290,                 11648,,,                     24,                    372,                -41772,                -31584,                   -105,                 -5094,                -77115,,                  9441,                    459,                -27808,                  5098,                -12810,                -89925,                -78277,                -25947,                  1730,,                   -445,                -24662,,                              0,,                 -5261,,                 -1944,                    -13,,                 -7218,,,,,,                   -273,                -32153,                309011,                276858,                276858,                              0,                    -75,                  1119,,,,,,,,,
3416,2013年01月01日至2013年06月30日,,                122354,                122354,,,                 16278,                  2718,                    346,                    -35,                 -2344,,,                     69,                              0,                 -4808,,                  3698,                   -797,,,,                 -3966,                 -7773,                 26134,                -45830,                   -241,                 -3718,                -29198,,                 46503,                  1140,                 16003,                   -983,                 62663,                 33465,                 52021,                174375,                  2227,                    168,                -10343,                166257,,,                              0,                -10991,                    243,                 -5158,                    -13,,                 -1107,,                    -17,,,                 -6294,                    235,                159091,                162516,                321607,                321607,                  2093,                  1535,                  4661,                              0,,                  1338,                 18556,                     -2,                  8768,                  5876,                 -6277,
3416,2013年01月01日至2013年03月31日,,                 61322,                 61322,,,                  8167,                  1081,                    256,                    -18,                 -1136,,,                     51,                              0,                 -4808,,                  2427,                 -1170,,,,                  6019,                -12181,                 46157,                -37370,                   -120,                 -7367,                  1946,,                 44884,                  1200,                 -7066,                   -714,                 38304,                 40250,                 47859,                109181,                  1014,,                    328,                110523,,,,                 -4502,                    250,                 -3884,                    -13,,                  6495,,                    -17,,,                    -17,                    460,                117461,                162516,                279977,                279977,                  2093,                  1536,                  5272,,,                    666,                  7609,,                  8768,                  5876,,
3416,2012年01月01日至2012年06月30日,,                 92839,                 92839,,,                 15599,                    687,                    429,                    -46,                 -3004,,,                    136,                      2,                              0,                  8868,                  2823,                 -1662,,,,                -15962,                -48291,                 11557,                -23637,                   -276,                 -6921,                -92292,,                 22063,                   -670,                  2838,                  9296,                 33527,                -58765,                -32036,                 60803,                  2697,                              0,                 -1123,                 62375,,,,                -99318,                  2268,                   -270,                    -11,                -40313,               -137644,,                              0,,,                     30,                   -509,                -75748,                367424,                291676,                291676,                              0,                    -54,                 -8708,,,                  2897,                 26729,                     -2,                              0,                              0,                              0,                     30
3416,2012年01月01日至2012年03月31日,,                 41020,                 41020,,,                  7690,                    380,                     75,                    -20,                 -1469,,,                    113,                      2,                              0,,                  1410,                    309,,,,                -13989,                  1385,                -27146,                -22332,                   -138,                 -7310,                -71341,,                 19536,                 -2740,                -15882,                 17365,                 18279,                -53062,                -43128,                 -2108,                  1472,,                   -910,                 -1546,,,,                 -8276,                    775,                   -150,                    -10,                -66315,                -73976,,                              0,,,                              0,                   -320,                -75842,                367424,                291582,                291582,                              0,                      9,                 -1820,,,                  1444,                  9934,,                              0,                              0,,
