證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 不動產、廠房及設備轉列費用數,　　　　 處分投資損失（利益）,　　　　 買回應付公司債損失（利益）,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得以成本衡量之金融資產,　　 處分以成本衡量之金融資產,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 取得無形資產,　　 預付設備款增加,　　 預付設備款減少,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 應付短期票券增加,　　 舉借長期借款,　　 償還長期借款,　　 存入保證金增加,　　 應付租賃款減少,　　 發放現金股利,　　 庫藏股票買回成本,　　 非控制權益變動,　　 其他籌資活動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 投資性不動產公允價值調整損失(利益),　　　　 非金融資產減損迴轉利益,　　　 不影響現金流量之收益費損項目,　　　　 金融資產減損損失,　　　　 非金融資產減損損失,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 處分原始認列時指定為透過損益按公允價值衡量之金融資產,　　 償還公司債,　　 員工購買庫藏股,　　 應付租賃款增加,　　 應付短期票券減少,　　 存入保證金減少,　　 取得備供出售金融資產,　　 停業單位稅前淨利（淨損）
2472,2015年01月01日至2015年09月30日,,                526106,                526106,,,                207089,                  8947,                   -451,                  3229,                 28612,                -20330,                  9844,                    162,                 -6059,                              0,                 -8500,                222543,,,                -16948,                  7838,                161707,                 32386,                141601,                -77338,                 -8378,                 -8472,                232396,,                   -812,                -64970,                -76470,                 -5711,                   -717,               -148680,                 83716,                306259,                832365,                 20330,                -27488,               -152013,                673194,,                              0,                  1544,               -181523,                 10841,                 -2061,                -51411,                  2765,               -219845,,              4266579,             -4106443,                     91,                149745,               -223503,                    -11,                -12733,               -277824,                -75685,                137325,                372750,                230291,                 18223,                701863,              1093534,              1795397,              1795397,,,,,,,,,,,,,,,
2472,2015年01月01日至2015年06月30日,,                277271,                277271,,,                138460,                  4899,                  1955,                 -1361,                 18380,                -13383,                  9358,                    162,                 -5213,                              0,,                144757,,,                -18894,                 -2803,                157091,                 23931,                115601,                -25625,                 -6526,                 -3065,                239710,,                  5425,                -51397,                -73668,                   -888,                   -443,               -120971,                118739,                263496,                540767,                 13383,                -19769,               -102736,                431645,,                              0,                  1544,               -110402,                 10253,                 -1680,                -11410,                  2638,               -109057,,              2545721,             -2421804,                     59,                149745,               -205190,                    -19,                -17831,,,                 17658,,                 68339,                -15006,                375921,              1093534,              1469455,              1469455,                 -8500,,,,,,,,,,,,,,
2472,2015年01月01日至2015年03月31日,,                141509,                141509,,,                 70892,                  2650,                  2309,                 -1238,                  8366,                 -3239,                    -34,,                   -914,,,                 70292,,,                -18231,                  3502,                198227,                 31924,                 44156,                 -9758,                 -1771,                  2589,                250638,,                 -8310,                -38991,                -34852,                 -3067,                   -265,                -85485,                165153,                235445,                376954,                  3239,                -11218,                -45024,                323951,,,,                -23920,                  1451,                   -367,                 -8491,                  1080,                -30247,,                968913,               -999672,                     54,                 69745,                -90569,                    -16,                -15991,,                              0,                 -5614,,                -73150,                 -5115,                215439,              1093534,              1308973,              1308973,,                 -8500,,,,,,,,,,,,,
2472,2014年度,,                844356,                844356,,,                285096,                 10437,                  1718,                    434,                 35353,                -16163,                   -865,                              0,                -14801,                              0,,,,,                  5306,                -62454,               -102500,                 19428,               -106240,                  9415,                   -673,                 17384,               -220334,,                   -260,                -10431,                 11053,                  1021,,                    809,               -219525,                 90184,                934540,                 16163,                -42743,               -177269,                730691,,                -12305,,               -266033,                  4352,                 -9295,                -23000,                  3535,               -245555,,              5081333,             -5120205,                 79900,                449950,               -355521,                     99,                 -2634,               -315929,                              0,                -15040,,               -198047,                 16923,                304012,                789522,              1093534,              1093534,,,,                              0,                  8500,                309709,                   -574,                 57191,                              0,                              0,,,,,
2472,2014年01月01日至2014年09月30日,,                617492,                617492,,,                212453,                  7139,                  4156,                   -395,                 25223,                 -8864,                 -1064,                              0,                -13102,                              0,                              0,                225546,,,                 -8919,                -70785,               -108454,                 13852,                -92276,                  6955,                 -6285,                 18905,               -247007,,                  2579,                -18088,                -32310,                 -5740,                   -568,                -54127,               -301134,                -75588,                541904,                  8864,                -31114,               -130847,                388807,,                -12229,                 56842,               -221076,                  3988,                 -9183,                -21022,                    688,               -201992,,              3982957,             -3931432,                 79983,                207446,               -107613,                     79,                 -6941,               -308694,                              0,                 -7235,                              0,                -91450,                  3887,                 99252,                789522,                888774,                888774,,,,,,,,,,,,,,,
2472,2014年01月01日至2014年06月30日,,                349112,                349112,,,                141720,                  2231,                    720,                   -930,                 16106,                 -5908,                   -884,                              0,                -12863,                              0,,                140192,,,                  2218,                -86322,                -52990,                 56078,                -68539,                -25261,                 -3892,                 19726,               -158982,,                 -1784,                -33249,                -46080,                 -3854,                   -377,                -85344,               -244326,               -104134,                244978,                  5908,                -23598,                -74027,                153261,,                 -4904,                 56982,               -174832,                  3058,                 -8048,                -16096,                    688,               -143152,,              2696721,             -2666752,                 79912,                814786,               -700859,                     34,                 -7774,,,                              0,,                216068,                 -6814,                219363,                789522,              1008885,              1008885,                              0,,,,,,,,,,,,,,
2472,2014年01月01日至2014年03月31日,,                145132,                145132,,,                 72245,                  2084,                  1059,                   -654,                  6536,                 -2488,                   -690,,                 -1538,,,                 76554,,,                  2733,                -23814,                 50676,                 20225,                -50546,                 -6462,                -18938,                 -2324,                -28450,,                  2949,                -20365,                -39529,                 -3207,                   -161,                -60313,                -88763,                -12209,                132923,                  2488,                -15740,                -25231,                 94440,,,,               -123974,                  1197,                 -2066,                -13490,                 18645,               -119688,,              1286231,             -1221159,                     93,                468705,               -330986,                     21,                 -2897,,                              0,                              0,,                200008,                 -1826,                172934,                789522,                962456,                962456,,                              0,,,,,,,,,,,,,
2472,2013年度,,                564171,                564171,,,                271870,                  2154,                   -735,                 -2175,                 30270,                 -5599,                  2161,                  5966,                 -1822,                  2483,,,,,                  7424,                 41684,                -96124,                 -4177,                -18030,                -41198,                  4506,                121499,                 15584,,                 -6064,                 61265,                  2846,                -11438,,                 37659,                 53243,                412305,                976476,                  5599,                -29705,               -163361,                789009,,                              0,,               -338987,                 10863,                 -3360,               -126479,                137389,               -320574,,              5883092,             -5910786,                 89950,                182590,                -81484,                    168,                -18837,               -149687,                -36009,                -15761,,               -193169,                -24310,                250956,                538566,                789522,                789522,,,,                  2148,                 52341,                359062,                 -8950,                              0,               -179700,                 43295,,,,,
2472,2013年01月01日至2013年12月31日,,                564171,                564171,,,                271870,                  2154,,                 -2175,                 30270,                 -5599,                  2161,                  5966,                 -1822,                  2483,,,,,                  7424,                 41684,                -96859,                 -4177,                -18030,                -41198,                  4506,                121499,                 14849,,                 -6064,                 61265,                  2846,                -11438,,                 37659,                 52508,                412305,                976476,                  5599,                -29705,               -163361,                789009,,                              0,,               -338987,                 10863,                 -3360,               -126479,                137389,               -320574,,              5883092,             -5910786,                 89950,                182590,                -81484,                    168,                -18837,               -149687,                -36009,                -15761,,               -193169,                -24310,                250956,                538566,                789522,                789522,,,,                  2148,                 52341,                359797,                 -8950,                              0,               -179700,                 43295,,                              0,                              0,,
2472,2013年01月01日至2013年09月30日,,                371647,                371647,,,                203653,                  4863,                 -2530,                 -2956,                 24612,                 -2570,                  1759,                  4879,                 -1092,                  2407,,,,,                    197,                 20976,                -22207,                 12605,                -25100,                -46469,                -55790,                108166,                 -7622,,                -11910,                 75498,                -48581,                  4212,,                 18607,                 10985,                303415,                675062,                  2570,                -14345,               -124484,                538803,,                              0,                              0,               -285451,                 10455,                 -2352,                -92583,                110968,               -252543,,              4053120,             -4004126,                 89917,                199746,                -71228,                    104,                 -5168,               -113510,                -36009,                -22481,,                -46331,                    288,                240217,                538566,                778783,                778783,,,,,                 59405,                292430,                   -612,                  6420,               -174700,                 38004,,,,,
