證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 未實現外幣兌換損失（利益）,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他金融資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得不動產、廠房及設備,　　 其他金融資產減少,　　 其他非流動資產增加,　　 預付設備款增加,　　 收取之利息,　　 收取之股利,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 舉借長期借款,　　 償還長期借款,　　 其他非流動負債增加,　　 發放現金股利,　　 支付之利息,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　　 預付費用（增加）減少,　　　　　 預付款項（增加）減少,　　　 不影響現金流量之收益費損項目,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資性不動產損失（利益）,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 以成本衡量之金融資產減資退回股款,　　 處分不動產、廠房及設備,　　 處分投資性不動產,　　 取得原始認列時指定為透過損益按公允價值衡量之金融資產,　　 取得持有至到期日金融資產,　　 預付設備款減少,　　 其他非流動負債減少
2617,2015年01月01日至2015年09月30日,,                141326,                141326,,,                479279,                 94268,                 10184,                -10482,                 -3175,                    714,                570788,,,                 83111,                 -1531,                 19114,                 23672,                 -2068,                 -4159,                118139,,                  1659,                 10587,                -48138,                -14741,                -27762,                -18363,                -96758,                 21381,                592169,                733495,                -74070,                659425,,               -785206,                522032,                 -5542,               -506700,                 15387,                  2085,               -757944,,                140000,                601791,               -449655,                  2697,               -271241,                -10289,                 13303,                  6105,                -79111,                343153,                264042,                264042,,,,,,,,,,,,,,
2617,2015年01月01日至2015年06月30日,,                 70787,                 70787,,,                321634,                 72507,                  6791,                 -7043,                 -3174,                  1881,                392596,,,                 58095,                -17680,                  8399,,                     72,                  4290,                 74046,,                 16276,                 -2618,                -45267,                -10586,                -28193,                -15080,                -85468,                -11422,                381174,                451961,                -49917,                402044,,                -48878,                541985,                 -5540,               -504012,                  6996,,                 -9449,,,,               -246727,                  1084,,                 -7019,               -252662,                 -5052,                134881,                343153,                478034,                478034,                 20870,,,,,,,,,,,,,
2617,2015年01月01日至2015年03月31日,,                 85938,                 85938,,,                161192,                -15561,                  3497,                 -3633,                     17,                  1617,                147129,,,                 81101,                -10424,                 32834,,                 -1325,                -11408,                110307,,                -14152,                  2301,                -29598,                 -4303,                 -1680,                -11760,                -59192,                 51115,                198244,                284182,                 -9918,                274264,,                -29186,                566585,                 -1074,               -497165,                  5996,,                 45156,,,,               -187180,                    -58,,                 -3419,               -190657,                 -3470,                125293,                343153,                468446,                468446,,                 19529,,,,,,,,,,,,
2617,2014年度,,                422504,                422504,,,                594133,                -40133,                 23226,                -24148,                 -3905,                 -1093,,,,                -88066,                  3607,                 32554,,                  2607,                -12622,                -81076,,                -27823,                 -4877,                 12288,                  1876,                -36770,,                -72117,               -153193,                394887,                817391,                -87231,                730160,,                -65587,                682725,               -197321,               -737763,                 29378,                  2085,               -286483,,,                              0,               -408612,                   -801,               -333836,                -23840,               -767089,                 23631,               -299781,                642934,                343153,                343153,                -19156,,,                              0,                              0,                548080,                -16811,                              0,                              0,                              0,,,,
2617,2014年01月01日至2014年09月30日,,                325379,                325379,,,                444740,                  7641,                 18922,                -18911,                 -3991,                   -817,                447584,,,                -29023,                -29355,                 17305,                -31754,                  7272,                -47360,               -112915,,                -19705,                  2864,                   -801,                  9720,                -13498,                -15738,                -37158,               -150073,                297511,                622890,                -87176,                535714,,                -37141,                394564,                    -89,               -732205,                 25031,                  2085,               -347755,,                              0,                              0,               -346875,                   -760,               -333836,                -19242,               -700713,                 10902,               -501852,                642934,                141082,                141082,,,,,,,,,,,,,,
2617,2014年01月01日至2014年06月30日,,                260433,                260433,,,                300676,                 24049,                 13770,                -13070,                 -3988,                  1460,                322897,,,                  4995,                -10958,                 15244,,                    471,                -31623,                -41385,,                -58530,                 13869,                 -3457,                -17858,                -18283,                 -8072,                -92331,               -133716,                189181,                449614,                -34529,                415085,,                -19201,                989787,                    -89,               -563437,                 14920,,                421980,,,,               -191068,                 -1067,,                -13922,               -206057,                 -3898,                627110,                642934,              1270044,              1270044,                -19514,,,,,,,,,,,,,
2617,2014年01月01日至2014年03月31日,,                111008,                111008,,,                149009,                 14719,                  6898,                 -6424,                     20,                      1,                164223,,,                 -8023,                 11117,                 20445,,                 -1056,                 -6809,                  4669,,                -33526,                  2028,                  1350,                -12430,                -35190,                 -7337,                -85105,                -80436,                 83787,                194795,                   -171,                194624,,                   -204,                491640,                              0,               -578056,                  6406,,                -80214,,,,               -131617,                   -515,,                 -6447,               -138579,                 47435,                 23266,                642934,                666200,                666200,,                -11005,,,,,,,,,,,,
2617,2013年度,,                607263,                607263,,,                558682,                  1271,                 22399,                -18039,                 -3594,                 93141,,,,                 25030,                 17568,                 -3826,,                  2025,                 48265,                103743,,                 11474,                  5994,                -31077,                 19579,                 26297,,                 12235,                115978,                599601,              1206864,               -212606,                994258,,               -932980,                255097,                 12985,               -310332,                 22787,                  3127,               -835106,,,                772604,               -399896,                      9,               -333836,                -22296,                 16585,                 58812,                234549,                408385,                642934,                642934,                 14681,,,               -159047,                -11190,                483623,                -20032,                  8100,                 90903,                 15207,,,,
2617,2013年01月01日至2013年12月31日,,                607263,                607263,,,                558682,                  1271,                 22399,                -18039,                 -3594,                 93141,,,,                 25030,                 17568,                 -3826,,                  2025,                 48265,                103743,,                 11474,                  5994,                -31077,                 19579,                 26297,,                 12235,                115978,                599601,              1206864,               -212606,                994258,,               -932980,                255097,                 12985,               -310332,                 22787,                  3127,               -835106,,,                772604,               -399896,                      9,               -333836,                -22296,                 16585,                 58812,                234549,                408385,                642934,                642934,                 14681,,,               -159047,                -11190,                483623,                -20032,                  8100,                 90903,                 15207,                              0,                              0,,
2617,2013年01月01日至2013年09月30日,,                518666,                518666,,,                416777,                  6585,                 16467,                -12901,                 -3678,               -105498,,,,                 35031,                 14126,                 10067,,                   -344,                  2022,                 81304,,                -36183,                 13564,                 -8637,                 32024,                 21932,,                  4553,                 85857,                233372,                752038,               -212564,                539474,,               -926471,                928540,                 13282,               -309687,                 18931,                  3127,               -158068,,,                773753,               -141543,                     75,               -333836,                -16138,                282311,                 -2880,                660837,                408385,              1069222,              1069222,                 20402,,,               -159047,                -11190,                147515,                -18147,                  8100,                 90903,                 15207,,,,
