證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 非金融資產減損損失,　　　　 未實現外幣兌換損失（利益）,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他金融資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 持有供交易之金融負債增加（減少）,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 收取之股利,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得原始認列時指定為透過損益按公允價值衡量之金融資產,　　 處分原始認列時指定為透過損益按公允價值衡量之金融資產,　　 處分以成本衡量之金融資產,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金減少,　　 取得無形資產,　　 處分無形資產,　　 其他非流動資產增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 發行公司債,　　 償還長期借款,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 存出保證金增加,　　 其他非流動資產減少,　　 短期借款減少,　　　 不影響現金流量之收益費損項目,　　　　 處分投資性不動產損失（利益）,　　　　 非金融資產減損迴轉利益,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 取得以成本衡量之金融資產,　　 處分投資性不動產,　　 存入保證金減少,　　　　 股份基礎給付酬勞成本,　　 取得投資性不動產,　　 現金增資,　　 取得子公司股權
1506,2015年01月01日至2015年09月30日,,                 38127,                 38127,,,                 87856,                  1195,                   -818,                  1085,                 15834,                   -287,                 -1200,                   -142,                 -2926,                    143,                 -1332,                    155,                 99563,,,                              0,                -52492,                 37355,                    765,                -29287,                 -8099,                 17327,                -34431,,                    489,                   -641,                -22880,                -40689,                 -3440,                -14613,                -81774,               -116205,                -16642,                 21485,                    287,                  1200,                 -3230,                 -6461,                 13281,,                -70750,                    518,                 12000,                -82025,                    586,                     83,                 -1831,                              0,                -17254,               -158673,,               -240554,                684567,                -35898,                 -2897,                405218,                -27260,                232566,                 83558,                316124,                316124,,,,,,,,,,,,,,,
1506,2015年01月01日至2015年06月30日,,                 11014,                 11014,,,                 57777,                    903,                   -791,                  3807,                 10602,                   -220,                  1200,                   -115,                 -2745,                    270,                  4620,                    103,                 75411,,,                              0,                -40266,                 -4364,                 -2590,                -19835,                -14273,                 14327,                -67001,,                    307,                   -356,                 37552,                -31050,                  4513,                 -9792,                  1174,                -65827,                  9584,                 20598,                    220,,                 -2753,                 -5468,                 12597,,                -20995,                    518,                 12000,                -58049,                  5851,,                 -1831,                              0,                -17740,                -80336,,               -272894,                684567,                -35898,                 -2897,                372878,                -23753,                281386,                 83558,                364944,                364944,                    -90,,,,,,,,,,,,,,
1506,2015年01月01日至2015年03月31日,,                  7475,                  7475,,,                 28512,                    461,                   -387,                  1726,                  4430,                    -25,,                     30,                   -298,,                  4245,                     52,                 38746,,,,                -70624,                 43189,                 -1332,                -11134,                 -4244,                 17327,                -26818,,                    307,                  1494,                 21735,                -33866,                  3549,                 -4896,                -11677,                -38495,                    251,                  7726,                     25,,                 -1371,                 -2840,                  3540,,                -11586,                    518,,                -28832,                              0,                      1,                 -1230,,                 -9341,                -50470,,                              0,                684567,                -35898,                 -2897,                337565,                -15813,                274822,                 83558,                358380,                358380,                              0,                              0,               -308207,,,,,,,,,,,,
1506,2014年度,,                  9151,                  9151,,,                128774,                  1541,                    455,                    304,                 15529,                   -739,,                 14353,                 -2182,                  4480,                 -4259,                  2249,,,,                  1594,                -36435,                -32445,                 21716,                -66342,                -16240,                -17327,               -145479,,                    981,                  1289,                 36082,                 16637,                  9459,,                 45120,               -100359,                 60146,                 69297,                    739,,                -15563,                    -87,                 54386,,,,                              0,               -104331,                 19963,                              0,                 -1056,                  8889,                 -1719,               -119382,,                 29219,,                -28718,                              0,                    501,                  6523,                -57972,                141530,                 83558,                 83558,                -10782,,,,                              0,                              0,                160505,                -19328,                -30346,                              0,                              0,,,,
1506,2014年01月01日至2014年09月30日,,                  8609,                  8609,,,                 95672,                  1145,                              0,                    254,                 11617,                   -520,                              0,                  7151,                 -1458,                              0,                  1540,                  2226,                117627,,,                  1557,                -43306,                -33906,                    807,                -54064,                -19577,                              0,               -148489,,                    281,                  1547,                 57251,                 11579,                  3206,                -14219,                 59645,                -88844,                 28783,                 37392,                    520,                              0,                -11662,                   -385,                 25865,,                              0,                              0,                              0,                -64666,                 21321,                   -805,                 -1058,                  8882,                  1268,                -35058,,                 44146,                              0,                -21605,                              0,                 22541,                  6040,                 19388,                141530,                160918,                160918,,,,,,,,,,,,,,,
1506,2014年01月01日至2014年06月30日,,                 -2955,                 -2955,,,                 64007,                    732,                              0,                              0,                  6476,                   -161,                              0,                  1398,                 -1431,                              0,                  1729,                  2173,                 74923,,,                  1557,                -74735,                 -6618,                 -7596,                -20233,                   -236,                              0,               -107861,,                    464,                  1805,                 33014,                 13443,                 -3011,                 -9420,                 36295,                -71566,                  3357,                    402,                    161,,                 -6552,                   -257,                 -6246,,                              0,                              0,                              0,                -48621,                 25434,,                   -102,                  1840,                    -66,                -22149,,                -21043,                              0,                -14425,                              0,                -35468,                  4765,                -59098,                141530,                 82432,                 82432,                   -634,,,,,,,,,,,,,,
1506,2014年01月01日至2014年03月31日,,                 -7950,                 -7950,,,                 33386,                    400,                              0,                    105,                  3367,                    -65,,                    -87,                   -359,,                   -866,                     89,                 35970,,,,                -21177,                 38004,                -18652,                 -7468,                 -4696,                              0,                -13989,,                    359,                  2063,                -40679,                 -6455,                 -1052,                 -4705,                -50469,                -64458,                -28488,                -36438,                     65,,                 -3355,                     -6,                -39734,,                              0,                              0,,                -16378,                    139,                              0,                              0,,                              0,                -16202,,                 16459,                              0,                 -7245,                              0,                  9214,                  3989,                -42733,                141530,                 98797,                 98797,                   -634,                    671,                              0,,,,,,,,,,,,
1506,2013年度,,                -92902,                -92902,,,                135021,                  1447,                 -2037,                    105,                 29088,                   -858,,                  3516,                 -1799,                 50017,                 -5949,                    350,,,,                              0,                 18666,                -51504,                 11093,                 45867,                -16948,                              0,                  7174,,                  1058,                              0,                 39329,                -10470,                  2713,,                 11788,                 18962,                185277,                 92375,                    858,,                -29053,                 -8134,                 56046,,,,                 11923,                -61109,                  1499,                 13608,                 -1614,                              0,                -15523,                112574,,                -55281,,                -28965,                -22592,               -108438,                -11847,                 48335,                 93195,                141530,                141530,                              0,,,,                -17569,                -25017,                166315,                -20842,                              0,                163790,                 -1600,,,,
1506,2013年01月01日至2013年12月31日,,                -92902,                -92902,,,                135021,                  1447,                 -2037,                    105,                 29088,                   -858,,                  3516,                 -1799,                 50017,                 -5949,                    350,,,,,                 18666,                -51504,                 11093,                 45867,                -16948,,                  7174,,                  1058,                              0,                 39329,                -10470,                  2713,,                 11788,                 18962,                185277,                 92375,                    858,,                -29053,                 -8134,                 56046,,,,                 11923,                -61109,                  1499,                 13608,                 -1614,,                -15523,                112574,,                -55281,,                -28965,                -22592,               -108438,                -11847,                 48335,                 93195,                141530,                141530,,,,,                -17569,                -25017,                166315,                -20842,,                163790,                 -1600,                              0,                              0,                              0,                              0
1506,2013年01月01日至2013年09月30日,,                -34059,                -34059,,,                100860,                    772,                 -2038,                   -151,                 12532,                   -594,,                  1937,                 -1877,,                    -18,                    266,,,,                              0,                 -9520,                -30046,                -17695,                 39023,                 -7957,,                -26195,,                  1101,                              0,                 44048,                 -4730,                  5565,,                 30304,                  4109,                107175,                 73116,                    594,,                -12483,                 -8551,                 52676,,,,                 11958,                -51592,                    769,                  6118,                              0,                              0,                 -8224,                122819,,                -57789,,                -21774,,                -81163,                -11611,                 82721,                 93195,                175916,                175916,,,,,                -17569,                  8946,                103066,                -15680,,                163790,                 -1600,,,,
