證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付費用（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得原始認列時指定為透過損益按公允價值衡量之金融資產,　　 處分原始認列時指定為透過損益按公允價值衡量之金融資產,　　 取得備供出售金融資產,　　 取得無活絡市場之債務工具投資,　　 無活絡市場之債務工具投資到期還本,　　 取得持有至到期日金融資產,　　 處分持有至到期日金融資產,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金減少,　　 取得無形資產,　　 其他非流動資產增加,　　 其他非流動資產減少,　　 收取之利息,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 存入保證金增加,　　 存入保證金減少,　　 其他非流動負債減少,　　 發放現金股利,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 未實現外幣兌換損失（利益）,　　　　 呆帳費用提列（轉列收入）數,　　 其他非流動負債增加,　　 其他符合國際會計準則第七號現金及約當現金定義之項目,　　　 不影響現金流量之收益費損項目,　　　　 處分投資損失（利益）,　　　　 不影響現金流量之收益費損項目合計,　　 處分備供出售金融資產,　　 取得無活絡市場之債券投資,　　 無活絡市場之債務商品投資到期還本,　　 現金減資,　　　　　 應計退休金負債增加（減少）,　　　　 處分投資性不動產損失（利益）,　　　　 非金融資產減損損失,　　　　　 預付款項（增加）減少,　　 存出保證金增加
1737,2015年01月01日至2015年09月30日,,                279944,                279944,,,                107176,                 12112,                -18800,                -18977,                  1117,                  1154,                 -2789,                 80993,,,                 -1082,                -31139,                -11964,                -55580,                -10884,                 14388,                -96261,,                 -8027,                 17127,                  7099,                              0,                 23607,                  1872,                 41678,                -54583,                 26410,                306354,                -36312,                270042,,               -476041,                277920,                              0,                 -4224,                198640,                              0,                 45335,                -69334,                    217,                  3991,                   -644,                              0,                   -619,                 26398,                  1639,,                  1683,                              0,                 -8947,               -200000,               -207264,                    685,                 65102,                719848,                784950,                784950,,,,,,,,,,,,,,,,
1737,2015年01月01日至2015年06月30日,,                139717,                139717,,,                 71274,                  7741,                 -1475,                -12641,,                    677,,                 58975,,,                  1898,                -27626,                 -1488,                -15910,                -59572,                 16672,                -86026,,                -10184,                 24390,                 -3119,                              0,                 34195,                  1237,                 46519,                -39507,                 19468,                159185,                -20528,                138657,,               -290372,                 40000,                 -7838,                              0,                210820,                              0,                 43674,                -50492,                      3,                  2890,                   -108,,                   -196,                 20177,                -31442,,                 25843,                              0,                 -6061,,                 19782,                   -976,                126021,                719848,                845869,                845869,                 -6601,,,,,,,,,,,,,,,
1737,2015年01月01日至2015年03月31日,,                 60075,                 60075,,,                 35467,                  3786,                   -673,                 -7932,,                    100,,                 39987,,,                  2602,                 10293,                  1984,                -31980,                -55136,                 11719,                -60518,,                   -739,                 23562,                -27960,                              0,                 10421,                    755,                  6039,                -54479,                -14492,                 45583,                 -1175,                 44408,,               -100414,                              0,                 -4899,                              0,                206560,,                              0,                -15912,                      3,                  2992,                    -67,,,                 15074,                103337,,,                 23447,,,                 20561,                 -1315,                166991,                719848,                886839,                886839,                  9239,                              0,                 -2886,                              0,,,,,,,,,,,,
1737,2014年度,,                245758,                245758,,,                125873,                 12965,                 -9913,                -26756,,                -23593,,,,,                 -2414,                 -8588,                 27780,                 -4290,                 -1223,                 -3630,                  7635,,                 19541,                 18590,                  3518,                    962,                  2283,,                 44894,                 52529,                142930,                388688,                -17627,                371061,,               -326900,                708341,                -83985,,,               -220885,                280065,               -146605,                 38069,                    335,                 -2203,                 -1440,                              0,                 18787,               -245221,,                  3986,,,               -100000,                -96014,                  1450,                 31276,                688572,                719848,                719848,                 11825,                              0,,,,                              0,                 90401,                              0,               -510700,                  1900,                              0,,,,,
1737,2014年01月01日至2014年09月30日,,                184277,                184277,,,                 93511,                  9575,                 -5786,                -19983,                              0,                -23898,                     58,                 53477,,,                    401,                -20032,                 28312,                -19044,                  9405,                -30829,                -31787,,                 10846,                 26949,                 -6042,                    721,                  6788,                    974,                 40236,                  8449,                 61926,                246203,                -15922,                230281,,               -266901,                475178,                -74499,               -494900,                  1900,               -190867,                243155,                -88760,                 38069,                    428,                 -3949,                    233,                              0,                 14383,               -346530,,                              0,                 -3123,                              0,               -100000,               -103123,                    175,               -219197,                688572,                469375,                469375,,,,,,,,,,,,,,,,
1737,2014年01月01日至2014年06月30日,,                119925,                119925,,,                 61955,                  6753,                 -2815,                -14761,,                -24357,,                 32569,,,                    999,                 -8767,                 28749,                 33249,                -31244,                -29871,                 -6885,,                 -6452,                 20356,                -14197,                    481,                 16270,                    649,                 17107,                 10222,                 42791,                162716,                 -7297,                155419,,               -138501,                344615,                -69759,               -482600,                  1900,                -30740,                 46293,                -56813,                 38069,                    568,                   -956,,                 -1671,                 11437,               -338158,,                              0,                 -3429,                              0,,                 -3429,                   -779,               -186947,                688572,                501625,                501625,                  5794,,,,,,,,,,,,,,,
1737,2014年01月01日至2014年03月31日,,                 87031,                 87031,,,                 30856,                  3364,                 -2427,                 -6021,,                -25932,,                    720,,,                  1946,                 12667,                 20835,                -16332,                 10936,                -26322,                  3730,,                -12601,                 15481,                -53495,                    241,                  3729,                    320,                -46325,                -42595,                -41875,                 45156,                    -20,                 45136,,                -69111,                204348,                -38684,               -393500,                  1500,,                 46226,                -16948,                 38069,                    300,                   -956,,,                  5035,               -223721,,,                 -4283,,,                 -4283,                     28,               -182840,                688572,                505732,                505732,                  1132,                   -252,                              0,                              0,,,,,,,,,,,,
1737,2013年度,,                143537,                143537,,,                117990,                 14135,                 -1285,                -27910,,                  4517,,,,,                 -2997,                -36964,                -19524,                  8713,                   -498,                  1578,                -49692,,                 11604,                  2227,                 31108,                     12,                 -6364,,                 38587,                -11105,                 66717,                210254,                 -7042,                203212,,               -240000,                252166,                              0,,,               -146803,                              0,                -93529,                     36,                    -12,                              0,                              0,                    875,                 28087,                 92155,,                  4656,,,                -72305,               -848604,                    464,               -552773,              1241345,                688572,                688572,                 17006,                 -4851,,,,                -41780,                 77822,                 79695,                -95000,                306640,               -780955,,,,,
1737,2013年01月01日至2013年12月31日,,                143537,                143537,,,                117990,                 14135,                 -1285,                -27910,,                  3960,,,,,                 -2997,                -36964,                -19524,                  1371,,                  1578,                -57034,,                 11604,                  2227,                 31108,                     12,                 -6364,,                 38587,                -18447,                 66717,                210254,                 -7042,                203212,,               -240000,                252166,,,,               -146803,                              0,                -93529,                     36,                    947,,                    875,,                 28087,                 92155,,                 40749,                -36093,,                -72305,               -848604,                    464,               -552773,              1241345,                688572,                688572,                 17006,                 -4851,,,,                -41780,                 85164,                 79695,                -95000,                306640,               -780955,                              0,                    557,                  7342,                   -498,                   -959
1737,2013年01月01日至2013年09月30日,,                 90885,                 90885,,,                 87355,                 10693,                  2095,                -21322,,                  3031,,,,,                 -1864,               -113149,                  1700,                 35550,                -29332,                  3809,               -103286,,                 14453,                  9234,                 12587,                    690,                 -8028,,                 29269,                -74017,                  1285,                 92170,                 -6857,                 85313,,               -190000,                143002,                              0,,,               -146803,                              0,                -74239,                     36,                   -236,                              0,,                  1421,                 24053,               -143596,,,                    754,,                -72305,                -71551,                    313,               -129521,              1241345,              1111824,              1111824,                 13758,                 -3871,,,,                -16437,                 75302,                 32530,                -95000,                161640,,                    333,,,,
