證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 非金融資產減損損失,　　　　 未實現外幣兌換損失（利益）,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得不動產、廠房及設備,　　 取得投資性不動產,　　 其他金融資產增加,　　 其他金融資產減少,　　 其他非流動資產增加,　　 預付設備款增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 償還長期借款,　　 發放現金股利,　　 庫藏股票買回成本,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 取得無形資產,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　 舉借長期借款,　　　　 攤銷費用,　　 處分不動產、廠房及設備,　　 發行公司債,　　 現金增資
1337,2015年01月01日至2015年09月30日,,                321944,                321944,,,                222988,                 12634,                              0,                 14205,                -13676,                              0,                  9519,                              0,                 26854,                272524,,,                 -9392,               -593876,                     60,                 27821,                -22932,               -598319,,                 13895,                -12138,                 -3966,                 -2209,               -600528,               -328004,                 -6060,                 21798,                 -4298,               -133043,               -121603,,               -701089,                              0,                              0,                462744,                 -7631,                              0,               -245976,,                100200,                -73622,               -122870,                -10992,                              0,               -107284,                 16491,               -458372,              2366326,              1907954,              1907954,,,,,,,,
1337,2015年01月01日至2015年06月30日,,                162068,                162068,,,                136874,                  5614,                              0,                  8629,                -11179,                              0,                  9519,                 13587,                 17610,                180654,,,                 -1538,               -290254,                    441,                  2725,               -162329,               -450955,,                -91808,                -23722,                 -3958,               -119488,               -570443,               -389789,               -227721,                 19285,                 -2031,               -104276,               -314743,,               -662482,                              0,,                461822,                              0,                -12803,               -213463,,                100200,                -73622,                -61312,,                              0,                -34734,                -46764,               -609704,              2366326,              1756622,              1756622,,,,,,,,
1337,2015年01月01日至2015年03月31日,,                 96992,                 96992,,,                 68625,                  3555,                              0,                  4123,                 -5556,,                  6060,                  7837,                  8875,                 93519,,,,                 54187,                    874,                 42718,               -196839,                -99060,,               -176770,                -33078,                 -2394,               -212242,               -311302,               -217783,               -120791,                  1380,                   -931,                -72772,               -193114,,               -467933,,,                 11009,,                   -780,               -457709,,                              0,                -75386,                              0,,,                -75386,                -15756,               -741965,              2366326,              1624361,              1624361,                     -5,,,,,,,
1337,2014年度,,              1530465,              1530465,,,                253054,                 -1043,                -86767,                 35610,                -31023,                  2190,                  4920,                -19230,                 26724,,,,,              1207909,                   -964,                -51271,                -38765,              1116909,,               -573318,                -35212,                -10952,               -619482,                497427,                681862,              2212327,                 24071,                -24251,               -495258,              1716889,,             -1210705,                 -1843,,               -450574,                -25230,                -37345,             -1726514,,                449951,             -1112879,               -311967,               -199833,                -24447,             -1199175,                119241,             -1089559,              3455885,              2366326,              2366326,                   -817,,                184435,                              0,,,,
1337,2014年01月01日至2014年09月30日,,              1241692,              1241692,,,                188067,                 -1990,                -86708,                 30419,                -12822,                  1407,                              0,                  4882,                 19395,                142650,,,                              0,              1026098,                   -132,                 18083,                -70015,                974034,,               -630360,                 -7110,                -11447,               -648917,                325117,                467767,              1709459,                 12338,                -21953,               -390682,              1309162,,               -927894,                 -1843,             -1289649,                 39863,                -25076,                -35010,             -2239609,,                 66191,               -582296,               -250436,                              0,                -24447,               -790988,                 27418,             -1694017,              3455885,              1761868,              1761868,,,,,,,,
1337,2014年01月01日至2014年06月30日,,                858117,                858117,,,                124772,                    460,                -86766,                 24663,                -10063,                  1406,                              0,                  5031,                 12259,                 71762,,,                              0,                782118,                   -137,                  3268,                -44286,                740963,,               -698294,                -45041,                -10903,               -754238,                -13275,                 58487,                916604,                 10029,                -19050,               -271863,                635720,,               -753284,                 -1843,,             -1248030,                -25127,                 -9743,             -2038027,,                 99490,               -282093,               -250949,,                -24447,               -457999,                 15733,             -1844573,              3455885,              1611312,              1611312,,,,,,,,
1337,2014年01月01日至2014年03月31日,,                408461,                408461,,,                 62926,                   -398,                -46718,                 11813,                 -6438,,                              0,                 12405,                  5156,                 38746,,,,                717827,                   -333,                -56907,                -25054,                635533,,               -355415,                 -5800,                -13414,               -374629,                260904,                299650,                708111,                  5091,                 -7625,               -170687,                534890,,               -494636,,,                -34551,,                 -5108,               -534295,,                609228,                              0,                -36142,,,                573086,                -18582,                555099,              3455885,              4010984,              4010984,                              0,,,,,,,
1337,2013年度,,              1905759,              1905759,,,                201149,                  2482,                 85699,                 41939,                -34699,                 16099,                    159,                  6485,                 13968,,,,,               -890535,                   -255,                -61344,                275140,               -676994,,                381975,                    887,                 14532,                397394,               -279600,                 53681,              1959440,                 38902,                -31228,               -514527,              1452587,,               -964259,               -127557,,              1079801,                              0,                -22016,               -174871,,                134985,                              0,               -288275,               -631051,                              0,               -666793,                153415,                764338,              2691547,              3455885,              3455885,               -140840,,                333281,                117548,,,,
1337,2013年01月01日至2013年12月31日,,              1905759,              1905759,,,                201149,                  2482,                 85699,                 41939,                -34699,                 16099,,                  6485,                              0,,,,,               -890535,                   -255,                -61185,                275140,               -676835,,                381975,                    887,                 14532,                397394,               -279441,                 53681,              1959440,                 38902,                -31228,               -514527,              1452587,,               -986275,               -127557,,              1079801,,,               -174871,,                134985,,               -288275,               -631051,,               -666793,                153415,                764338,              2691547,              3455885,              3455885,               -140840,,                333122,                117548,                 13968,                              0,                              0,                              0
1337,2013年01月01日至2013年09月30日,,              1441256,              1441256,,,                141967,                  2005,                 17520,                 31005,                -28802,                  2150,                 30366,                -36926,                  8947,,,,,               -261520,                    438,               -743318,                267365,               -737035,,                177037,                 39899,                              0,                216936,               -520099,               -351867,              1089389,                 32765,                -22913,               -359001,                740240,,               -595986,               -127557,,              1079965,                              0,,                261047,,                133054,                              0,                -71919,               -631051,                              0,               -569916,                 79363,                510734,              2691547,              3202281,              3202281,                -95375,,                168232,,,,,
