證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分其他資產損失（利益）,　　　　 處分投資損失（利益）,　　　　 金融資產減損損失,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收票據－關係人（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　　　 應收建造合約款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 其他應收款－關係人（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付票據－關係人增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 應付帳款－關係人增加（減少）,　　　　　 應付建造合約款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他應付款－關係人增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 收取之股利,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 處分備供出售金融資產,　　 處分以成本衡量之金融資產,　　 以成本衡量之金融資產減資退回股款,　　 取得採用權益法之投資,　　 預付投資款增加,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金減少,　　 取得無形資產,　　 取得投資性不動產,　　 其他非流動資產增加,　　 其他非流動資產減少,　　 其他投資活動,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 應付短期票券增加,　　 應付短期票券減少,　　 舉借長期借款,　　 存入保證金增加,　　 存入保證金減少,　　 其他非流動負債減少,　　 發放現金股利,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 存出保證金增加,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 備供出售金融資產減資退回股款,　　 取得無活絡市場之債券投資,　　 持有至到期日金融資產到期還本,　　 取得以成本衡量之金融資產,　　 處分採用權益法之投資,　　 其他非流動負債增加,　　 現金減資,　　 應付租賃款減少,　　 應付租賃款增加,　　　　 非金融資產減損損失,　　　　　 應付建造合約款（增加）減少,　　 償還長期借款,　　 其他符合國際會計準則第七號現金及約當現金定義之項目
1513,2015年01月01日至2015年09月30日,,                685553,                685553,,,                264121,                 49909,                 89644,                  5657,                 21129,                -12481,                -35381,                -47566,                   -665,                              0,                 -5538,                  2767,                     37,                331633,,,                 79019,                  3884,                -12963,               -450258,                 75969,                  5499,                 20594,                 23493,               -882240,                -58434,                  7451,             -1187986,,                 -1551,                 -2551,                  4351,                -36072,               -180925,                  8655,                    125,                 71516,                  4638,                   -865,               -132679,             -1320665,               -989032,               -303479,                 14884,                 81992,                -20966,               -195742,               -423311,,                              0,                 20105,                  3374,                 -1515,                 -4343,               -191448,                  1043,                 29383,                   -145,                    -77,                -17365,                              0,                 -1647,               -162635,,              1281942,                              0,                -30000,                 15000,                              0,                   -733,                -23631,               -504000,                  2871,                741449,                 14906,                170409,                955095,              1125504,              1125504,,,,,,,,,,,,,,,,,
1513,2015年01月01日至2015年06月30日,,                293396,                293396,,,                175082,                 33463,                 40285,                 -6541,                 13517,                 -7617,                -14369,                -13205,                   -521,,                 -1552,                  2766,,                221308,,,                 76688,                 -2101,                -19549,                 97490,                 24859,                 17261,                 14287,                -45634,               -638721,                -44217,                 12446,               -507191,,                  1324,                 -2551,                102071,                -11571,                 38209,               -117905,                     98,                 56752,                  2769,                 -1943,                 67253,               -439938,               -218630,                 74766,                 10261,                 60980,                -14190,               -108482,                 23335,,                              0,,                              0,                 -1515,,                -85381,                    719,                 40240,                              0,                    -77,                -12697,,                 -1098,                -59809,,                101292,                120001,                              0,                 15000,                    723,,                -24492,,                 -5252,                207272,                -25269,                145529,                955095,              1100624,              1100624,,,,,,,,,,,,,,,,,
1513,2015年01月01日至2015年03月31日,,                155684,                155684,,,                 87186,                 16520,                 31127,                -12077,                  5723,                 -3634,                   -245,                  2688,,,                   -552,,                     77,                126813,,,                 58857,                    804,                  2832,                 65689,                -17414,                103898,                 24980,                  3594,               -394548,                  2654,                 16682,               -131972,,                 -2393,                 -2551,                 -3339,                -30145,               -161980,               -194678,                     54,                   -609,                  1696,                    916,               -393029,               -525001,               -398188,               -242504,                  7421,                    245,                 -6330,                   -561,               -241729,,,,,                 -1515,,                -48038,,                 27922,,                    -77,                 -5678,,                   -549,                -27935,,                554432,,                -49852,                 14852,                    178,                              0,                -25026,,                 -2220,                492364,                -11362,                211338,                955095,              1166433,              1166433,                              0,,,,,,,,,,,,,,,,
1513,2014年度,,                857360,                857360,,,                348169,                 61350,                 50363,                -21589,                 19502,                -25647,                -40423,                -44907,                 -6207,                -12124,                -13051,                 15422,                              0,,,,                  7322,                -16011,                -22238,               -139393,                 74726,               -252238,                -20928,                 97154,               -271456,                284828,                190065,                -68169,,                 -1815,                 -5342,                 93691,                 18762,               -614158,                 87255,                   -878,                 62001,                -50836,,               -407896,               -476065,               -145207,                712153,                 21919,                 87388,                -19787,               -139378,                662295,,                161181,,                  7790,                -11962,,               -276978,                 15392,,                -21072,                              0,                              0,                 10396,                 -2196,               -229519,,                177360,                180017,,                278263,,                              0,                 -2817,               -384000,                  5386,               -348711,                 41333,                125398,                536538,                661936,                661936,                 -2371,,                330858,                  3424,                 15564,               -130918,                              0,                              0,                  5655,                 -2920,               -600000,,,,,,
1513,2014年01月01日至2014年09月30日,,                493029,                493029,,,                260833,                 45110,                 10694,                -34061,                 14453,                -14662,                -40214,                  2657,                    -12,                -12066,                -12822,                 11338,                              0,                231248,,,                 49639,                    -80,                 -2477,                -24375,                 51676,               -381732,                -23111,                 71325,               -512534,                 44236,                197272,               -530161,,                 -1999,                 -7893,                130572,                 43959,               -617955,                -25991,                  9074,                 34756,                -49236,                  2657,               -482056,             -1012217,               -780969,               -287940,                 13582,                 87179,                -14769,               -124610,               -326558,,                161181,                              0,                  7790,                -11962,                              0,               -186967,                    319,                  3953,                -19888,                              0,                -41937,                 66426,                 -1647,                -22732,,                364846,                  9522,                              0,                209978,                 10777,                              0,                 -2407,                              0,                 -2078,                590638,                  2357,                243705,                698779,                942484,                942484,,,,,,,,,,,,,,,,,
1513,2014年01月01日至2014年06月30日,,                318503,                318503,,,                173191,                 31693,                 11799,                -36404,                 10307,                -11830,                -32790,                    267,                    -32,,                -12781,                 11354,,                144774,,,                 86243,                  2310,                 -1479,                 41405,                 32015,               -179741,                -28589,                 74490,               -239660,                184301,                115803,                 87098,,                 -1004,                 -7893,                247317,                 20110,               -310102,               -131002,                   -964,                 42528,                -50291,                  1619,               -189682,               -102584,                 42190,                360693,                 11908,                 49597,                -11002,                -57302,                353894,,                161181,,                  7790,                -20874,,               -162278,                    317,                 19029,                -19528,                              0,                -35849,,                 -1098,                -51310,,                551277,                              0,                -20758,                249759,                  9666,,                 -3729,,                 -6809,                779406,                -26679,              1055311,                698779,              1754090,              1754090,,,,,,,,,,,,,,,,,
1513,2014年01月01日至2014年03月31日,,                129592,                129592,,,                 81651,                 13899,                  7597,                   -904,                  5191,                 -7453,                   -462,                  4355,,,                   -350,,                              0,                103524,,,                 67231,                 -9528,                 -5196,                200518,                 22214,                 50392,                     44,                 -1445,               -356385,                 78480,                104278,                150603,,                 -1006,                 -7893,                 -3097,                 -2413,                -91837,               -217897,                 24260,                 32148,                      7,                    783,               -266945,               -116342,                -12818,                116774,                  7104,                    462,                 -5966,                   -603,                117771,,,,,                -20874,,               -106451,,                              0,,                              0,                -12602,,                   -549,               -165518,,                121878,,                -49949,                114950,                              0,                   -309,                 -3522,,                 -1028,                182020,                 -8884,                125389,                698779,                824168,                824168,                -25042,,,,,,,,,,,,,,,,
1513,2013年度,,                743055,                743055,,,                306663,                 50248,                -14469,                -17347,                 16798,                -22729,                -41021,                  2223,                   -869,                              0,                  7813,                 15920,                 -2592,,,,                 97212,                 80673,                 18346,               -234775,               -214996,                157146,                  6022,                 65382,                260578,                 68897,               -339936,                -35451,,                -41465,                  7893,               -278801,                -26979,               -521232,                163816,                 -2874,                -59137,                 42545,,               -722118,               -757569,               -456931,                286124,                 23934,                 87056,                -15952,               -167529,                213633,,                  9789,,                  4165,                -45000,,               -464473,                 24878,,                              0,                   -316,                -82571,                              0,                 10122,               -687877,,                323914,                 50053,,                407947,,                  1053,                 -4036,               -480000,                  4344,                303275,                 48971,               -121998,                658536,                536538,                536538,                -10790,,                300638,                 -5884,                              0,               -162241,                 43560,                -15000,                              0,                              0,                              0,,,,,,
1513,2013年01月01日至2013年12月31日,,                743055,                743055,,,                306663,                 50248,                -14469,                -17347,                 16798,                -22729,                -41021,                  2223,,                   -869,                  7813,                 15920,                 -2592,,,,                 97212,                 80673,                 18346,               -234775,               -214996,                157146,                  6022,                 65382,                260578,                 68897,               -339936,                -35451,,                -41465,                  7893,               -278801,                -26979,,                163816,                 -2874,                -59137,                 42545,,               -722118,               -757569,               -456931,                286124,                 23934,                 87056,                -15952,               -167529,                213633,,                  9789,,                  4165,                -45000,,               -464473,                 24878,                              0,                              0,                   -316,                -82571,,                 10122,               -687877,,                323914,                 50053,                              0,                407947,,                  1053,                 -4036,               -480000,                  4344,                303275,                 48971,               -121998,                658536,                536538,                536538,                -10790,,                300638,                 -5884,,               -162241,                 43560,                -15000,,                              0,,,,                              0,               -521232,                              0,
1513,2013年01月01日至2013年09月30日,,                441882,                441882,,,                231261,                 36503,                 -9585,                -11835,                 11251,                -17865,                -40959,                 -2240,                 -1404,                              0,                  9112,                 10670,,,,,                 97997,                 65381,                 18346,               -516752,               -136150,                 30451,                  3635,                -32979,                 38904,                 73721,               -320318,               -677764,,                -35744,                              0,               -294254,                -19304,               -163819,                 78681,                 -3368,                -48788,                 48652,,               -440396,             -1118160,               -903251,               -461369,                 18856,                 86994,                -10563,               -160761,               -526843,,                              0,,                  4165,                              0,,               -291770,                 25109,                              0,                              0,,               -120268,                              0,                 10671,               -552620,,                895608,                140098,,                407902,                              0,                 -1154,                 -5378,               -480000,                    250,                957326,                 23337,                -98800,                658536,                559736,                559736,                -41445,,                214909,                 -2452,,               -167642,                 43560,                -15000,,,,,,,,,
