證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 不動產、廠房及設備轉列費用數,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他金融資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 收取之股利,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金減少,　　 取得無形資產,　　 其他金融資產增加,　　 其他非流動資產減少,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 應付短期票券增加,　　 應付短期票券減少,　　 舉借長期借款,　　 償還長期借款,　　 存入保證金減少,　　 發放現金股利,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 存出保證金增加,　　　 不影響現金流量之收益費損項目,　　　　 處分其他資產損失（利益）,　　　　 處分投資損失（利益）,　　　　 非金融資產減損損失,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 取得原始認列時指定為透過損益按公允價值衡量之金融資產,　　 處分原始認列時指定為透過損益按公允價值衡量之金融資產,　　 其他非流動資產增加,　　 短期借款減少,　　 存入保證金增加,　　 其他金融資產減少,　　 預收款項增加－處分資產,　　 處分子公司股權（未喪失控制力）
2012,2015年01月01日至2015年09月30日,,                213840,                213840,,,                201722,                  3669,                 -6824,                 -4744,                 82779,                -10311,                -21817,                  9405,                  9393,                   -319,                262953,,,                  1248,                 66113,                 78209,                -14917,                235313,                 58512,                -30013,                394465,,                 25966,                 48073,                 55697,                 -5842,                 20501,                   -561,                143834,                538299,                801252,              1015092,                 13608,                 21817,                -85530,                -34913,                930074,,               -227551,                 20839,                  1203,                 -2707,                -49879,                 10056,               -248039,,                187959,                              0,                -80000,                294100,               -243541,                   -614,               -131700,                -34142,                 -7938,                -67883,                606214,                902754,              1508968,              1508968,,,,,,,,,,,,,,,
2012,2015年01月01日至2015年06月30日,,                 88113,                 88113,,,                134810,                  2301,                -10132,                -11052,                 54515,                 -6182,                   -368,                  3171,                    899,                  1137,                169099,,,,                 55427,                 80530,                -11887,                170376,                -12311,                -11029,                271106,,                 84499,                 13867,                 -9574,                 -9181,                 21479,                  8751,                109841,                380947,                550046,                638159,                  7372,                    368,                -53358,                -30763,                561778,,               -100741,                    747,                              0,                    -94,                -92786,                 13591,               -180238,,                359647,,                -50000,                268300,               -147578,                   -249,,,                430120,                -19349,                792311,                902754,              1695065,              1695065,                   -955,,,,,,,,,,,,,,
2012,2015年01月01日至2015年03月31日,,                 40633,                 40633,,,                 68323,                  1064,                 -7065,                 -2211,                 27739,                 -2908,,                    657,                     54,                    285,                 85938,,,,                 65178,                 90519,                -15399,                 18607,                -26920,,                131985,,                  9984,                 74481,                -35799,                -13255,                 25311,                  3183,                 63905,                195890,                281828,                322461,                  5164,,                -31691,                 -3861,                292073,,                -42565,                    267,                              0,                    -61,                -65864,                  2894,               -107494,,                203486,,                -70000,                150350,                -51993,                   -704,,,                231139,                -11639,                404079,                902754,              1306833,              1306833,                 -2165,,,,,,,,,,,,,,
2012,2014年度,,                264861,                264861,,,                260416,                 10015,                 40355,                  2395,                121499,                -10137,                -18369,                 18527,                    214,                  3368,,,,,                -20883,                 85175,                 -4623,                -42042,                 35948,                              0,                 53575,,                 48579,                 30211,                 21482,                 20347,                -26128,,                 98379,                151954,                583662,                848523,                  7705,                 18369,               -117500,                -66306,                690791,,               -224185,                  1783,,                 -1875,                -25858,                              0,               -259573,,,                 40000,                              0,                183000,               -238298,                   -511,               -131967,                -58129,               -461834,                 11088,                -19528,                922282,                902754,                902754,                   -973,,                              0,                              0,                  3425,                431708,                  3888,                              0,                              0,                 -8465,               -255929,                              0,,,
2012,2014年01月01日至2014年09月30日,,                153135,                153135,,,                193254,                  7799,                 39652,                  2784,                 88470,                 -7093,                -18405,                 17480,                              0,                  1159,                325100,,,                              0,                -16459,                 23783,                 -2292,                -81687,                  7956,                              0,                -68699,,                 10589,                 45894,                 -7270,                  2651,                -18343,                  2864,                 36385,                -32314,                292786,                445921,                  8279,                 18405,                -87027,                -48183,                337395,,               -138998,                  1815,                  2545,                   -920,                -26203,                  2898,               -158863,,                242105,                 50000,                              0,                183000,               -172054,                  3182,               -131971,                -58129,                116133,                 -8025,                286640,                922282,              1208922,              1208922,,,,,,,,,,,,,,,
2012,2014年01月01日至2014年06月30日,,                 78174,                 78174,,,                126792,                  5149,                 36158,                  3052,                 56771,                 -4056,                   -732,                 14622,                              0,                  1864,                239620,,,,                 39774,                 -5081,                 -4201,               -127940,                 14893,                              0,                -82555,,                 48974,                 13300,                  4294,                  1772,                -24987,                 -1504,                 41849,                -40706,                198914,                277088,                  4919,                    732,                -54999,                -23232,                204508,,               -100642,                    934,                  2245,                   -495,                -40098,                  1941,               -136115,,                 84922,,                -80000,                 60000,                -55976,                   -691,,,                  8255,                 -4391,                 72257,                922282,                994539,                994539,                              0,,,,,,,,,,,,,,
2012,2014年01月01日至2014年03月31日,,                 74349,                 74349,,,                 63715,                  2521,                  6986,                    757,                 26497,                 -1323,,                 13108,                              0,                     62,                112323,,,,                 35293,                 17007,                 -1974,               -127689,                  2657,,                -74706,,                 11694,                 14360,                -38626,                  1159,                 13718,                   -723,                  1582,                -73124,                 39199,                113548,                  2186,,                -24949,                -12191,                 78594,,                -34763,                    580,                    774,                 -1370,                   -556,                    972,                -34363,,                 37974,,                -40000,                 60000,                -49196,                 -1265,,,                  7513,                 -7810,                 43934,                922282,                966216,                966216,                              0,,,,,,,,,,,,,,
2012,2013年度,,                291690,                291690,,,                251414,                  9673,                 83054,                -10444,                114054,                 -7574,                -19577,                  2671,                    468,                  4876,,,,,                -43086,               -228082,                -14651,                -19800,                -64892,                  5634,               -364877,,                 12221,                 67406,                -12630,                 -4085,                 33912,,                 85344,               -279533,                145574,                437264,                  6717,                 19577,               -115028,                -54577,                293953,,               -146689,                  1959,,                 -1421,                 -6506,                  7873,               -120337,,,                              0,               -170000,                423750,               -481603,                              0,                              0,                -75108,               -402805,                 -1535,               -230724,              1153006,                922282,                922282,                   -998,,                 -3524,                     16,                              0,                425107,                -11480,                 -1013,                 26458,                              0,               -100654,                    810,,,
2012,2013年01月01日至2013年12月31日,,                291690,                291690,,,                251414,                  9673,                 83054,                -10444,                114054,                 -7574,                -19577,                  2671,                    468,                  4876,,,,,                -43086,               -228082,                -14651,                -19800,                -64892,                  5634,               -364877,,                 12221,                 67406,                -12630,                 -4085,                 33912,,                 85344,               -279533,                145574,                437264,                  6717,                 19577,               -115028,                -54577,                293953,,               -146689,                  1959,,                 -1421,                 -6506,                  7873,               -120337,,                              0,,               -170000,                423750,               -481603,,,                -75108,               -402805,                 -1535,               -230724,              1153006,                922282,                922282,                   -998,,                 -3524,                     16,,                425107,                -11480,                 -1013,                 26458,,               -100654,                    810,                              0,,                              0
2012,2013年01月01日至2013年09月30日,,                183587,                183587,,,                185639,                  7170,                 75456,                 -6449,                 83504,                 -3921,                -19576,                  1684,                    468,                  5570,,,,,                -42677,               -197556,                -27870,                 60842,                -44261,                  5634,               -245888,,                 -5291,                 71669,                -14975,                 -1190,                 23742,,                 63545,               -182343,                143678,                327265,                  3927,                 19576,                -82797,                -51773,                216198,,               -122747,                  1329,                    263,                 -1222,                 -6463,,                -98441,,                436183,                              0,               -180000,                216950,               -309601,                    702,                              0,                -75109,                 89125,                 11214,                218096,              1153006,              1371102,              1371102,,,                 -3524,,,                326021,                -10410,                 -1013,                 24473,,,,                  6939,,
