證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 金融資產減損損失,　　　　 非金融資產減損迴轉利益,　　　　 投資性不動產公允價值調整損失(利益),　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 預收款項增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 以成本衡量之金融資產減資退回股款,　　 處分採用權益法之投資,　　 處分子公司,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金減少,　　 取得無形資產,　　 取得投資性不動產,　　 其他金融資產減少,　　 其他非流動資產增加,　　 收取之利息,　　 收取之股利,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 舉借長期借款,　　 償還長期借款,　　 存入保證金增加,　　 存入保證金減少,　　 其他非流動負債增加,　　 發放現金股利,　　 支付之利息,　　 非控制權益變動,　　 其他籌資活動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 金融資產減損迴轉利益,　　　　　 其他營業負債增加（減少）,　　 預付投資款增加,　　　　　 其他營業資產（增加）減少,　　 其他金融資產增加,　　 其他非流動資產減少,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　 取得採用權益法之投資,　　 對子公司之收購（扣除所取得之現金）,　　 採用權益法之被投資公司減資退回股款,　　 其他投資活動,　　 其他非流動負債減少,　　　　　 其他金融資產（增加）減少,　　　　　 應計退休金負債增加（減少）,　　 取得以成本衡量之金融資產,　　 存出保證金增加,　　 處分以成本衡量之金融資產
2614,2015年01月01日至2015年09月30日,,               -876589,               -876589,,,                245486,                 31043,                              0,               -345988,                351449,                -50872,                    -37,               -175233,                 -1353,                -11799,                              0,               -115571,               -269357,               -202550,               -544782,,,                330889,                 16879,                 53123,                 58873,                327610,                 51889,                  2121,                841384,,                 10276,               -327130,               -109572,                -15075,                -14788,                  1003,               -455286,                386098,               -158684,             -1035273,                -56902,             -1092175,,                 86743,                305800,                 -2378,               -125779,                  4860,                 66988,                -54475,                    -43,                 44969,                -24248,                 52372,                189207,                544016,,              1657000,             -1764594,              3810000,             -3416735,                              0,                 -3444,                -21268,                              0,               -329040,                 42641,               -103296,               -128736,                 66162,               -610733,              4271624,              3660891,              3660891,,,,,,,,,,,,,,,,,,
2614,2015年01月01日至2015年06月30日,,               -518229,               -518229,,,                172245,                 26877,                              0,               -200766,                233974,                -37888,,               -112132,                    364,                 -7481,,,               -269357,               -169263,               -478998,,,                              0,                 12627,                 88481,                -63288,                143968,                  8135,                328276,                518199,,                  7304,               -332638,               -109060,                -28336,                -13328,,               -473890,                 44309,               -434689,               -952918,                -53656,             -1006574,,                 86742,                305799,                 -2378,                -80950,                    231,                 45942,                -44941,                    -43,                107143,                              0,                 38383,,                455928,,              1337388,             -1274350,              1710000,             -1400851,                              0,                   -738,                 34097,               -103296,               -233419,                 44140,,                112971,                -60792,               -498467,              4271624,              3773157,              3773157,               -115571,                  2168,                              0,,,,,,,,,,,,,,,
2614,2015年01月01日至2015年03月31日,,               -395918,               -395918,,,                 76735,                 10320,                              0,                -35984,                117667,                -19012,,                -44528,                    -36,                 -4522,                              0,,               -269357,                 82507,                -86210,,,,                  7214,                 28079,                -52166,                106777,                -13436,,                195319,,                  3531,               -127615,                 27978,                -72761,                -16780,,               -152047,                 43272,                -42938,               -438856,                   -911,               -439767,,                 86742,,                 -2378,                 -5749,                    108,                -32193,                 -3006,                    -43,                    322,                              0,                 18192,,                115567,,              1006388,               -987639,              3102300,             -2499701,,                 -3472,                              0,,               -116136,                 44848,,                546588,                -57468,                164920,              4271624,              4436544,              4436544,,                 33600,,                118851,                              0,                 53572,,,,,,,,,,,,
2614,2014年01月01日至2014年09月30日,,             -3133361,             -3133361,,,                207395,                 21794,                              0,                350023,                294609,                -51464,                    -93,               -167915,                 20822,               -125263,                 27516,                155675,                              0,              1335974,              2069073,,,              1206920,                  8911,                344022,                -53485,                -15522,                -90002,                -52469,              1348375,,                  9045,                147500,                128704,                 15542,                 65213,                    702,                366706,              1715081,              3784154,                650793,                -37869,                612924,,                              0,                              0,                              0,               -134484,                              0,                 42859,                              0,                -20689,                170283,                 -8127,                 53604,                195490,                298936,,              1501193,             -1932099,              2121412,             -1361783,                 11417,                              0,                              0,               -347994,               -382206,                168060,                -86440,               -308440,                  3849,                607269,              2976394,              3583663,              3583663,,,,,,,,,,,,,,,,,,
2614,2014年01月01日至2014年06月30日,,             -2701017,             -2701017,,,                140281,                 15056,                  2561,                362266,                193514,                -34281,,                -99882,                    158,                -65305,,,                              0,              1339529,              2026719,,,                624957,                 30897,                 98625,                 63230,                 34147,                  8031,                -76971,                782916,,                     59,                122726,                310749,                  3068,                 63532,,                500571,              1283487,              3310206,                609189,                -15956,                593233,,                              0,                              0,                              0,               -132761,                              0,                 44002,                -34326,                -20689,                106295,                -46411,                 37933,,               -135957,,                700000,             -1128523,              1590000,               -896600,                 16224,                              0,                  2204,                -86440,               -283332,                              0,,                -86467,                  5685,                376494,              2976394,              3352888,              3352888,                172822,                    437,                -90000,,,,,,,,,,,,,,,
2614,2014年01月01日至2014年03月31日,,             -1485294,             -1485294,,,                 71511,                  6274,                 -1244,                327116,                 90135,                -16780,,                -30616,                    161,                 -4318,                116772,,                              0,                593290,              1152301,,,,                 28970,                -78799,                 42907,                 73122,                -41808,,                -79047,,                 -2413,                157932,                 65189,                 15939,                 57631,,                294466,                215419,              1367720,               -117574,                 -1213,               -118787,,                              0,,                              0,                -31792,                    165,                 -3838,                -19712,                              0,                              0,                -45070,                 16592,,               -134113,,                700000,             -1312962,              2230678,             -1470000,,                 -3087,                  2550,,                -87726,                   -283,,                 59170,                 21751,               -171979,              2976394,              2804415,              2804415,,                    188,,               -103439,                -50458,                              0,,,,,,,,,,,,
2614,2013年01月01日至2013年12月31日,,                389923,                389923,,,                355941,                 30270,                  9875,             -1049912,                368397,                -86555,                -52917,               -246951,                  9610,                -52633,                  4800,,,             -1289912,,,,               -321679,                    875,                -75215,                244887,                268367,                -27102,,                168840,,                -49645,               -185026,                104686,                    187,                -13754,,               -144068,                 24772,             -1975215,             -1585292,                -90601,             -1675893,,,,,                -86910,                  3937,                186988,,                -26814,                268488,                360086,                 73567,                260136,              1271388,,              1562239,               -918049,              4743013,             -4960000,                  4046,                              0,,,               -343669,                -77615,,                 -5425,                 38380,               -371550,              3347944,              2976394,              2976394,,                   -516,,                 78707,,,,             -1999987,                 -7499,                -37774,                 69964,                207219,                -15390,,,,,
2614,2013年01月01日至2013年09月30日,,                525576,                525576,,,                254840,                 26788,                  2730,             -1135716,                247356,                -53799,,               -163329,                 -3393,                -15845,,,,               -663049,,,,               -341027,                 24722,               -202354,                474759,                284436,                -55497,               -340243,                 14651,,                -46654,               -151690,               -104823,                 63223,                -15317,,               -251564,               -236913,             -1740330,             -1214754,                -85334,             -1300088,,,,,                -44083,                  4423,                162711,                -53583,                -26813,,,                 51260,,                150048,,              1524596,               -981724,              4702049,             -4640000,                  6403,                              0,,                -81434,               -237778,                  5220,,                297332,                 45543,               -807165,              3347944,              2540779,              2540779,,                  3331,,                  6963,,,,             -1503417,                -13882,,                 70015,,,                162892,                    366,,,
2614,2013年01月01日至2013年06月30日,,                -51438,                -51438,,,                174833,                 19455,                  4434,               -399339,                161150,                -33050,,               -110552,                 -1781,                -11509,,,,               -512149,,,,               -304130,                 23754,               -169061,                451470,                277158,                -73360,,                147570,,                -38111,               -269455,                -30468,                100398,                 -6623,,               -251903,               -104333,               -812841,               -864279,                -45930,               -910209,,,,,                -27798,                  2613,,                -45699,                -26704,,,                 17183,,                 46092,,              1375687,               -811724,              2628033,             -2470000,                  3132,,,                -81434,               -154509,                  4351,,                493536,                 36428,               -334153,              3347944,              3013791,              3013791,                              0,                 -7882,,               -293282,,,,               -708508,,,,,,                235021,                    238,                              0,                126497,
2614,2013年01月01日至2013年03月31日,,               -284766,               -284766,,,                 87702,                  9351,,                121412,,,,                -39531,                 -1507,                 -6806,                    480,,,               -246804,,,,                -31984,                 13961,               -212258,                -66163,                387657,                -87472,                124308,                409947,,                -40866,               -243210,                -35973,                 88177,                -24697,,               -259771,                150176,                 74473,               -210293,                   -782,               -211075,,,,,                 -2517,                  2282,                 76210,                 -2926,                              0,,,                  6044,,                 79103,,              1065829,               -543655,              2324016,             -2170000,                              0,                              0,,                -81255,                -74911,                   -266,,                519758,                 24653,                412439,              3347944,              3760383,              3760383,                              0,                 -3323,,,,,,                -75703,,,,,,                281898,                    121,                              0,                              0,                     10
2614,2012年01月01日至2012年12月31日,,             -3654826,             -3654826,,,                393568,                 54009,                              0,                527578,                282355,                -78954,                -21342,               -179150,                   -254,                -57068,                150026,,,              1357199,,,,                -45148,                 13101,                319730,               -643487,               -233871,                -15906,,               -569967,,               -129239,                -43319,                104565,                 39666,                -39843,,                -85725,               -655692,              1772275,             -1882551,                -22060,             -1904611,,,,,                -85888,                  9800,                258746,,                 -5449,               -247090,               -151239,                 68359,                216129,                234836,,              2464738,             -2309902,              4618364,             -4184389,                              0,                   -382,,,               -252342,                 81703,,                401685,                 -6406,             -1274496,              4622440,              3347944,              3347944,,                -17555,,                 35614,,,,              2427967,               -298574,                              0,                275255,                194787,                -16105,,,,,
2614,2012年01月01日至2012年09月30日,,             -1579590,             -1579590,,,                330966,                 29861,                 16151,                196772,                159999,                -23799,,               -158656,                    128,                -30886,,,,                167349,,,,                 40459,                  8930,                506192,               -472280,                124645,               -139912,                  1357,               -125913,,               -119194,               -169332,                -27201,                 -7766,                -27851,,               -350220,               -476133,                211752,             -1367838,                -46045,             -1413883,,,,,                -56559,                    545,                154717,                 -6138,                 -1166,,,                 22499,,                289553,,              1147795,               -972571,              4311698,             -4270000,                              0,                    -98,,                              0,               -186567,                   -484,,                 29773,                 -7741,             -1102298,              4622440,              3520142,              3520142,,                    766,,                 28718,,,,                687885,                -99600,,                275255,,,               -224022,                    358,,,
2614,2012年01月01日至2012年06月30日,,             -1634069,             -1634069,,,                250987,                 21020,                 -7978,                751857,                102905,                -16175,,                -87370,                    155,                -16553,,,,                194787,,,,               -379032,                  6858,                288123,               -392351,                250575,                -25901,,               -448811,,               -128940,               -450594,               -159867,                -33880,                -53051,,               -825073,             -1273884,               -171007,             -1805076,                -46037,             -1851113,,,,,                -55183,                     78,,                 -5276,                 -1166,,,                 15072,,                -28435,,              1000920,               -945684,              2120000,             -1675417,                  9600,,,                              0,                -98404,                    338,,                411353,                 29988,             -1438207,              4622440,              3184233,              3184233,                -90758,                  1094,,                 10865,,,,              1102877,,,,,,               -207948,                    165,                -99600,                117640,
