證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 停業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 股份基礎給付酬勞成本,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 非金融資產減損損失,　　　　 未實現外幣兌換損失（利益）,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得備供出售金融資產,　　 取得無活絡市場之債務工具投資,　　 取得採用權益法之投資,　　 處分待出售非流動資產,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 存出保證金減少,　　 預付設備款增加,　　 收取之股利,　　 其他投資活動,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 存入保證金增加,　　 員工執行認股權,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 其他符合國際會計準則第七號現金及約當現金定義之項目,　　　　 非金融資產減損迴轉利益,　　 存入保證金減少,　　　　　 持有供交易之金融資產（增加）減少,　　 取得投資性不動產,　　 其他預付款項增加,　　　 不影響現金流量之收益費損項目,　　　　 攤銷費用,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 處分其他資產損失（利益）,　　　　 不影響現金流量之收益費損項目合計,　　 取得無活絡市場之債券投資,　　 預付投資款增加,　　 發放現金股利,　　 對子公司之收購（扣除所取得之現金）
3622,2015年01月01日至2015年09月30日,,               -739289,                  2379,               -736910,,,                604551,                -13356,                    213,                -19748,                   -134,                   -641,                 -2761,                 25360,                 26235,                 -4884,                              0,                614835,,,                 29022,                476459,                 47380,                 82642,                 10439,                645942,,                 -1957,               -414469,                 91397,                 -3314,               -186863,               -515206,                130736,                745571,                  8661,                 19748,                   -213,                -15291,                 12905,,                 -5000,                 -9650,                              0,                              0,                -97035,                 23300,                              0,                  5773,                -10060,                 35622,                   -772,                -57822,,                -17500,                  2018,                              0,                 17500,                  2018,                -19241,                -62140,              1549807,              1487667,              1487667,                              0,,,,,,,,,,,,,,
3622,2015年01月01日至2015年06月30日,,               -552414,                  2542,               -549872,,,                407374,                -11330,                    213,                -12971,,                   -513,                  7386,                   -683,                 44475,                 27235,                              0,                461186,,,                 28685,                319451,                 49132,                 63356,                  6559,                467183,,                 -1863,               -310494,                 18818,                 -4170,               -142898,               -440607,                 26576,                487762,                -62110,                 12971,                   -213,                -14504,                -63856,,                 -5000,                 -9271,,                              0,                -67266,                  8692,                              0,                  1668,                 -6107,,                 -1251,                -78535,,                -17500,                              0,                              0,                 17500,                   -155,                 13146,               -129400,              1549807,              1420407,              1306872,                113535,                              0,                   -155,,,,,,,,,,,,
3622,2015年01月01日至2015年03月31日,,               -227221,                    859,               -226362,,,                207045,                   -439,                     91,                 -5693,,                   -180,                  3288,                  1917,                              0,                 10051,                              0,                191850,,,                 26204,                 56206,                 32271,                 80340,                 -3920,                191101,,                 -1208,                -77160,                 18128,                   -337,                -69226,               -129803,                 61298,                253148,                 26786,                  5693,                    -91,                 -9382,                 23006,,,                 -5548,,                              0,                -30012,                  4874,                              0,                    485,                 -1808,,                 -4179,                -38351,,                              0,                   -360,                              0,,                   -360,                  4693,                -11012,              1549807,              1538795,              1389048,                149747,                -24230,,                              0,                 -2163,                              0,,,,,,,,,
3622,2014年度,,             -1732152,                  3538,             -1728614,,,              1064408,                109981,                    614,                -27630,                 -1649,                    -29,                 88021,                 -1290,                682324,                -74077,                -10197,,,,                 46269,                -18501,               -162234,                 86477,                 49212,                  1223,,                 -2024,                233771,               -182968,                  6343,               -192258,               -137136,               -135913,              1752161,                 23547,                 27630,                   -614,                 -9608,                 40955,,                              0,,                 -4050,                 11209,               -459878,                 18933,                -56813,,                -43509,                 29251,                  2286,             -1227242,,                 -8100,,                    543,,                 -3417,                 87626,             -1102078,              2651885,              1549807,              1399183,                150624,                -35717,                  4140,                              0,,,,                  4229,                              0,                 89086,              1888074,               -723671,                 -1000,                              0,
3622,2014年01月01日至2014年09月30日,,               -891491,                  5991,               -885500,,,                798913,                136894,                    556,                -19463,                 -1649,                     -4,                 17556,                 -3250,                 58460,                -16743,                -10197,                961073,,,                 49586,                 57008,                -37310,                 68200,                  9907,                147391,,                  1041,                 57505,                -55697,                  4897,                -90424,                -82678,                 64713,              1025786,                140286,                 19463,                   -556,                 -7344,                151849,,                              0,               -738717,                 -4050,                 12784,               -459565,                  3469,                 -1707,                              0,                -33257,                 29251,                    855,             -1190937,,                 -8100,                  1918,                    516,                              0,                 -5666,                 -7092,             -1051846,              2651885,              1600039,              1452807,                147232,,,,,,,,,,,,,,
3622,2014年01月01日至2014年06月30日,,               -430135,                  9206,               -420929,,,                536736,                 27661,                    395,                -11136,,                    335,                 21155,                   -536,                 15912,                 11004,                -13011,                588515,,,                 72384,                -76057,                -20564,                 19841,                -25009,                -29405,,                  1151,                235180,                -90819,                  2521,                -87575,                 60458,                 31053,                619568,                198639,                 11136,                   -395,                 -3423,                205957,,                              0,               -737430,,                  1575,               -209235,                    544,                 -1022,                              0,                -11260,,                  1609,               -955219,,                   -550,                  1856,                     96,                              0,                  1402,                  2030,               -745830,              2651885,              1906055,              1762458,                143597,                              0,                              0,,,,,,,,,,,,
3622,2014年01月01日至2014年03月31日,,               -216407,                    772,               -215635,,,                263540,                  5542,                     66,                 -5136,,                              0,                 17771,                              0,                    105,                 -1233,                 -5983,                296140,,,                 63190,               -114077,                 17057,                -72508,                    441,               -105897,,                    601,                289735,                -90277,                 16460,                -32512,                184007,                 78110,                374250,                158615,                  5136,                    -66,                 -2307,                161378,,,               -542931,,                  1575,                -95850,                              0,                   -186,                              0,                 -8241,,                    687,               -644946,,                 -1300,                  1825,                     50,,                    575,                 -6617,               -489610,              2651885,              2162275,              1984698,                177577,                 21468,,                              0,                              0,                              0,,,,,,,,,
3622,2013年度,,             -1451468,               -273586,             -1725054,,,              1220611,                -18620,                    770,                -14149,                   -599,                 -3852,                 68140,                  7768,              1075531,                  8305,                              0,,,,                -27818,              1770597,                 76240,                668382,                 70078,              2560384,,                     33,             -1466375,               -359989,                -55424,                -48950,             -1930705,                629679,              3015391,              1290337,                 14149,                   -770,                -93671,              1210045,,                 -2047,,                              0,                              0,             -1098128,                 32343,                              0,,               -438758,                 24259,                -13960,             -1346291,,                   -200,,                  1910,,                -84700,                 -2684,               -223630,              2875515,              2651885,              2471955,                179930,               -160908,                -10787,                  2905,,,,                 19730,                 -3139,                186124,              2385712,                150000,                              0,                -75623,
3622,2013年01月01日至2013年12月31日,,             -1451468,               -273586,             -1725054,,,              1240341,                -19471,                    770,                -14149,                   -599,                 -3852,                 68140,                  7768,              1075531,                  8305,,,,,                -27818,              1771448,                 76240,                668382,                 70078,              2561235,,                     33,             -1466375,               -359989,                -55424,                -48950,             -1930705,                630530,              3015391,              1290337,                 14149,                   -770,                -93671,              1210045,,                 -2047,,                              0,,             -1098128,                 32343,                              0,,               -438758,                 24259,                -13960,             -1346291,,                   -200,,                  1910,,                -84700,                 -2684,               -223630,              2875515,              2651885,              2471955,                179930,                 25216,                -10787,                  2905,,,,,                 -3139,,              2384861,                150000,,                -75623,
3622,2013年01月01日至2013年09月30日,,               -123059,               -214294,               -337353,,,                931409,                 -9503,                    621,                 -8651,                   -134,                 -3852,                 47712,                 12895,                111063,                 35624,                              0,,,,                 47996,              1119366,                 67928,                443426,                 -9821,              1665578,,                   -369,             -1004801,               -372802,                -43197,                -37551,             -1458720,                206858,              1286308,                948955,                  8651,                   -621,                -67013,                889972,,                 -2047,,                              0,                              0,               -412908,                 34067,                   -273,,               -746517,                 23793,                -12404,             -1055177,,                  3800,,                  1909,,                -81858,                 -3727,               -250790,              2875515,              2624725,              2473834,                150891,                -55101,                -11944,                 -3317,,,,                 14285,                  3082,,              1079450,                 61112,,                -75623,
3622,2013年01月01日至2013年06月30日,,                183718,               -227697,                -43979,,,                636975,                -14462,                    300,                 -5977,,                              0,                 12176,                 15862,                 83355,                 11689,                              0,,,,                -13140,              1559660,                -35188,                416278,                 83516,              2007809,,                   -130,             -1101172,               -325364,                -48715,                 24649,             -1450732,                557077,              1270318,              1226339,                  5977,                   -300,                -25110,              1206906,,,,,                              0,               -372019,                 26260,                    -94,                              0,               -454276,,                 -5347,               -845375,,                  8200,,                  1841,,                 -1883,                -82673,                276975,              2875515,              3152490,              3007486,                145004,                -40014,                -11924,                 -3317,,,,                 10094,                  3243,,                713241,                -39899,,,
3622,2013年01月01日至2013年03月31日,,                267803,                -46677,                221126,,,                317309,                 -9087,                    141,                 -2067,,,                    504,                  8926,                              0,                 -9816,                              0,,,,                 31830,              1058929,                 57218,                376638,                -42944,              1479080,,                   -353,               -887310,               -416062,                -42429,                -30127,             -1376281,                102799,                383355,                604481,                  2067,                   -141,                -16355,                590052,,,,,                              0,                -95147,                 21328,                 -1622,,               -197843,,                 21952,               -252882,,                  2700,                 15088,                  1153,,                 18941,                 -5032,                351079,              2875515,              3226594,              3226594,                              0,                -27919,,                 -2591,,                 -1550,,,                  2565,,                280556,                              0,,,
