證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 股份基礎給付酬勞成本,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 不動產、廠房及設備轉列費用數,　　　　 處分投資損失（利益）,　　　　 金融資產減損損失,　　　　 非金融資產減損損失,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得以成本衡量之金融資產,　　 處分以成本衡量之金融資產,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 存出保證金減少,　　 取得無形資產,　　 其他金融資產增加,　　 其他金融資產減少,　　 收取之股利,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 存入保證金減少,　　 發放現金股利,　　 庫藏股票買回成本,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 存入保證金增加,　　 短期借款增加,　　　 不影響現金流量之收益費損項目,　　　　 呆帳費用提列（轉列收入）數,　　　　 處分無形資產損失（利益）,　　　　 處分採用權益法之投資損失（利益）,　　　　 不影響現金流量之收益費損項目合計,　　 處分備供出售金融資產,　　 取得無活絡市場之債券投資,　　 持有至到期日金融資產到期還本,　　 取得採用權益法之投資,　　 處分採用權益法之投資,　　 處分子公司,　　 其他應收款－關係人減少,　　 處分無形資產,　　　　　 避險之衍生金融資產（增加）減少,　　　　　 其他應收款－關係人（增加）減少,　　 對子公司之收購（扣除所取得之現金）,　　 其他應收款－關係人增加,　　 非控制權益變動,　　 預付設備款增加,　　 預付設備款減少,　　 其他投資活動,　　 其他符合國際會計準則第七號現金及約當現金定義之項目
2498,2015年01月01日至2015年09月30日,,            -11891627,            -11891627,,,              1964936,              1457394,                  4642,               -303048,                -37932,                481389,                  8229,                -17092,                  8339,                              0,                              0,              4370426,                              0,              7937283,,,                236008,             12114421,                304121,             -5060566,              1435757,                -41470,              1871611,             10859882,,            -14056175,             -5994053,              1462397,              2180924,                414019,            -15992888,             -5133006,              2804277,             -9087350,                233781,                 -4642,               -303184,             -9161395,,               -645449,                              0,               -728320,                312597,             -1337491,                              0,                -86543,               -417993,                              0,                 37932,             -2865267,,                -17243,               -314636,               -200955,               -532834,                 95416,            -12464080,             55743558,             43279478,             43279478,,,,,,,,,,,,,,,,,,,,,,,,
2498,2015年01月01日至2015年06月30日,,             -7403733,             -7403733,,,              1380776,                964739,                  4342,               -205667,                              0,                317628,                  6049,                -17138,,                              0,                              0,              3291702,                   -163,              5742268,,,                185554,                664157,                313538,             -6702312,              1129804,                  1587,              1156186,             -3251486,,             -2622596,             -2892265,              1838096,              1760010,                776600,             -1140155,             -4391641,              1350627,             -6053106,                176552,                 -4342,               -144606,             -6025502,,                -60233,                              0,               -568735,                311551,             -1243953,                              0,                -77804,,                 99070,                              0,             -1540104,,                -13175,,,                -13175,               -931846,             -8510627,             55743558,             47232931,             47232931,                              0,,,,,,,,,,,,,,,,,,,,,,,
2498,2015年01月01日至2015年03月31日,,                514255,                514255,,,                713244,                482011,                  1489,                -96174,                              0,                157936,                  2568,                  2103,,,,                              0,                    -88,              1263089,,,                214513,             -3756327,                175911,             -4487118,                274257,                  9324,              1049644,             -6519796,,              4253062,             -4055364,              1577891,                602968,,              2378557,             -4141239,             -2878150,             -2363895,                 86989,                 -1489,                -91000,             -2369395,,                -60233,,               -277892,                  6704,                 -5600,                              0,                -59358,               -250523,                              0,                              0,               -646902,,                 -5925,,,                 -5925,             -1006168,             -4028390,             55743558,             51715168,             51715168,                              0,                              0,,,,,,,,,,,,,,,,,,,,,,
2498,2014年度,,              1983426,              1983426,,,              2952892,              1868817,                 16983,               -403155,                -26381,                269013,                  8679,                153493,                              0,               -157995,                373257,                695945,                              0,,,,                -77823,             -5772987,              1552870,              5864806,               -822362,                 25539,              1779567,              2549610,,             -2472508,             -5279307,             -2367706,                187007,,             -9932514,             -7382904,             -1627481,                355945,                311262,                -16983,               -990083,               -339859,,               -432463,              2358135,             -1372934,                 16017,                              0,                 90154,               -244588,,              2436069,                 26381,              2853017,,               -213185,                              0,                              0,               -213185,                144644,              2444617,             53298941,             55743558,             55743558,                              0,,,                  3875,                              0,                              0,              5755423,                              0,                 -7918,                              0,                -15836,                              0,                              0,                              0,                              0,,,,,,,,,
2498,2014年01月01日至2014年09月30日,,              1516891,              1516891,,,              2312234,              1394663,                 16263,               -283912,                -22765,                146544,                  8184,                 57217,                              0,               -157226,                 66905,                168979,                   -218,              3706868,,,               -100138,             -1863189,              1363691,                221274,               -585427,                 73826,              1525210,                635247,,             -2853919,             -2914319,             -1658824,                569366,                              0,             -6857696,             -6222449,             -2515581,               -998690,                210319,                -16263,               -991239,             -1795873,,               -432463,              2357366,               -920733,                 10103,                              0,                 88171,               -227947,                              0,              2770357,                 22765,              3667619,,               -216324,                              0,                              0,               -216324,               -282161,              1373261,             53298941,             54672202,             54672202,,,,,,,,,,,,,,,,,,,,,,,,
2498,2014年01月01日至2014年06月30日,,                876208,                876208,,,              1560013,                925882,                 13498,               -195577,                 -6982,                 97340,                  5830,                    747,,               -103525,                 66905,                257109,                              0,              2621240,,,                140427,            -12942402,               -109219,             -2561791,               -849309,                 46946,                657150,            -15618198,,              3755963,              2265897,                441481,                225263,                              0,              6688604,             -8929594,             -6308354,             -5432146,                140831,                -13498,               -871614,             -6176427,,               -426937,              2289731,               -743795,                 10482,                              0,                 84258,               -217381,,                242609,                  6982,              1245949,,                              0,,,                  7696,                 61483,             -4861299,             53298941,             48437642,             48437642,                  7696,,,,,,,,,,,,,,,,,,,,,,,
2498,2014年01月01日至2014年03月31日,,             -1881263,             -1881263,,,                785083,                464673,                  4863,                -62173,                 -3680,                 48670,                  2859,                    751,,,,                 80657,                              0,              1321703,,,                 64911,                434839,                 26576,             -1603502,               -969397,                 -1268,               -764343,             -2812184,,             -3064070,             -2840701,             -1897844,                 -3304,,             -7805919,            -10618103,             -9296400,            -11177663,                 65319,                 -3378,               -410439,            -11526161,,               -383349,,               -477451,                  2511,                              0,                 77324,               -132557,                              0,                169345,                  3680,               -740497,,                              0,,,              2526347,                371648,             -9368663,             53298941,             43930278,             43930278,                  8079,              2518268,,,,,,,,,,,,,,,,,,,,,,
2498,2013年度,,               -195644,               -195644,,,              2916699,              1968492,                  8405,               -554355,                -16282,                 26742,               -197069,                     58,                  2995,                -29735,                              0,              1281518,               -164969,,,,               -155347,             16845574,               -607949,               -207347,             -1360194,                -96724,             -1869090,             12548923,,            -27311669,               -427233,               -672629,               -822489,,            -29234020,            -16685097,            -13178131,            -13373775,                599071,                 -8405,             -3448352,            -16231461,,               -197684,                              0,             -2855698,                  2609,               -166428,                              0,               -223008,,              3790421,                661896,             20366766,,                              0,             -1662455,             -1033846,             -2499885,                697378,              2332798,             50966143,             53298941,             53298941,                196416,,,              1010405,               -108265,             -2637673,              3506966,                 56738,                              0,                100000,                              0,              7883326,              4643189,              6554025,                117380,,,,,,,,,
2498,2013年01月01日至2013年12月31日,,               -195644,               -195644,,,              2916699,              1968492,                  8405,               -554355,                -16282,                 26742,               -197069,                     58,                  2995,                -29735,                              0,              1281518,               -164969,,,,               -155347,             16845574,               -607949,               -207347,             -1360194,                -96724,             -1869090,             12548923,,            -27311669,               -427233,               -672629,               -822489,,            -29234020,            -16685097,            -13178131,            -13373775,                599071,                 -8405,             -3448352,            -16231461,,               -197684,,             -2855698,                  2609,               -166428,,               -223008,,              3790421,                661896,             20366766,,,             -1662455,             -1033846,             -2499885,                697378,              2332798,             50966143,             53298941,             53298941,                196416,,,              1010405,               -108265,             -2637673,              3506966,                 56738,,                100000,,              7883326,              4643189,              6554025,                117380,,                              0,                              0,                              0,                              0,,,,
2498,2013年01月01日至2013年09月30日,,             -1346734,             -1346734,,,              2163076,              1497393,                  8393,               -409458,                -16282,                              0,               -146795,                  2555,,                -29735,                              0,              1424478,               -175436,,,,                 26821,              9283985,               -683523,             -3109103,             -1906586,               -105440,             -1880323,              1830350,,            -19213479,              3886917,             -2432302,                154919,,            -17603945,            -15773595,            -10446042,            -11792776,                452839,                 -8393,             -3302711,            -14651041,,               -153789,                              0,             -2153720,                    856,,                 11607,               -199017,,              3755517,                661896,              8724447,,                              0,             -1662455,               -409024,             -1870158,                -49551,             -7846303,             50966143,             43119840,             43119840,                201321,,,              1009364,,,              5327553,                 56738,,,,,                144266,              6600093,,                204519,,,,,,,,
2498,2013年01月01日至2013年06月30日,,              1627587,              1627587,,,              1408280,              1002080,                  1873,               -347759,                -13232,                              0,               -171722,                  1563,,                -29735,                              0,              1123441,,,,,                -41552,             -7958792,               -367888,             -4999538,             -2113542,                  5550,             -1443183,            -16714426,,             -7857396,              4407900,             -3280025,               -154602,,             -6884123,            -23598549,            -19614396,            -17986809,                393969,                   -642,             -3247533,            -20841015,,               -120244,                              0,             -1672142,                              0,,                 14419,               -193761,,              2420878,                658846,              7764827,,,,,             10059645,                166259,             -2850284,             50966143,             48115859,             48115859,                123015,              9936630,,              1009364,,,              3984153,                 56738,,,,,,              6600093,,                204519,,,,,,,,
