證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 股利收入,　　　　 股份基礎給付酬勞成本,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 處分投資損失（利益）,　　　　 處分採用權益法之投資損失（利益）,　　　　 買回應付公司債損失（利益）,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付費用（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 負債準備增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 收取之股利,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 處分備供出售金融資產,　　 處分子公司,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 存出保證金減少,　　 其他金融資產增加,　　 其他非流動資產增加,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 償還公司債,　　 舉借長期借款,　　 償還長期借款,　　 發放現金股利,　　 支付之利息,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　　 預付款項（增加）減少,　　 其他非流動資產減少,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收帳款－關係人（增加）減少,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計
8374,2015年01月01日至2015年09月30日,,               -111827,               -111827,,,                 15152,                  2368,                 49174,                              0,                 20366,                 -2470,                              0,                  5951,                    940,                    114,                 -3762,                              0,                              0,                 87833,,,                214030,                 37812,                -13617,                291620,                  4021,                533866,,               -157633,                -51184,                -10766,                 -1933,               -221516,                312350,                400183,                288356,                  2470,                              0,                 -9044,                281782,,                  5060,                              0,                 -4947,                     69,                              0,                  9895,                 -6282,                 -3488,                    307,,                628249,               -924566,                              0,                 10000,                -17678,                              0,                -20194,               -324189,                 19230,                -22870,                534679,                511809,                511809,,,,,,
8374,2015年01月01日至2015年06月30日,,                -28098,                -28098,,,                 10183,                  1581,                 37227,                              0,                 15944,                 -2470,,                  3968,                    756,                    117,                 -3762,                              0,                              0,                 63544,,,                255210,               -127878,                 -6308,                199292,,                342942,,                 -4301,                -45950,,                  3917,                -46334,                296608,                360152,                332054,                  2470,,                 -8860,                325664,,                  5060,                              0,                 -3614,                     48,,,                -15846,                              0,                -10979,,                              0,               -278558,                              0,                              0,                -11786,,                -16575,               -306919,                -26711,                -18945,                534679,                515734,                515734,                 22626,                  3373,,,,
8374,2015年01月01日至2015年03月31日,,                -46975,                -46975,,,                  4912,                    812,                 25146,                              0,                  7724,                 -2381,,                  1984,                    187,                              0,,,                              0,                 38384,,,                 92371,                 38836,                  5333,                -11726,,                120114,,                 59673,                -57951,,                  1280,                  3002,                123116,                161500,                114525,                  2381,,                   -316,                116590,,,,                 -3211,                              0,,                    707,                -16477,                   -110,                -19091,,                110542,,                              0,                              0,                 -5893,,                 -9846,                 94803,                -14776,                177526,                534679,                712205,                712205,                 -4700,,                              0,                              0,,
8374,2014年度,,               -115180,               -115180,,,                 20351,                  3326,                  9456,                  4639,                 37559,                 -4012,                   -464,                  2875,                  2182,                     68,,                   -590,                  6633,,,,                -45568,               -292921,                 12565,               -222257,,               -576669,,                428138,                 28467,                 87863,                 -9153,                535315,                -41354,                 40669,                -74511,                  4012,                    464,                -20683,                -90718,,,                  4903,               -182307,                    304,                -99827,,                 -1710,                  1646,               -276991,,                246289,,               -383510,                100000,                -13274,                -26283,                -32398,               -109176,                 50945,               -425940,                960619,                534679,                534679,                -28488,,                              0,,,                 82023
8374,2014年01月01日至2014年09月30日,,                 -6280,                 -6280,,,                 14432,                  2531,                  1073,                  4639,                 25715,                 -2318,                   -464,                    891,                    828,                     67,                              0,                   -590,                  6633,                 53437,,,                 93285,               -302878,                 -1138,                -36318,                -11238,               -258287,,                152392,                -13258,                              0,                 -3819,                135315,               -122972,                -69535,                -75815,                  2318,                    464,                -20235,                -93268,,                              0,                  4903,               -115263,                    277,                -82893,                              0,                -10434,                  2653,               -200757,,                853552,               -698277,               -382310,                100000,                 -7381,                -26283,                -22772,               -183471,                  6154,               -471342,                960619,                489277,                489277,,,,,,
8374,2014年01月01日至2014年06月30日,,                -29315,                -29315,,,                  9690,                  1770,                 14324,                  4639,                 17451,                 -1862,,                              0,                    118,                     92,                              0,                   -590,                  6633,                 52265,,,                 80107,               -166668,                   -625,                107660,,                 19569,,               -117747,                 -7619,,                  3473,               -121893,               -102324,                -50059,                -79374,                  1862,,                -10097,                -87609,,                              0,                  4903,                -59498,                     23,,,                 -9698,                -72918,               -137188,,                174624,                              0,               -382310,                100000,                 -1489,,                -14515,               -123690,                -29311,               -377798,                960619,                582821,                582821,                   -905,                              0,,,,
8374,2014年01月01日至2014年03月31日,,                -28939,                -28939,,,                  4885,                    961,                  5918,                  1064,                  7557,                   -698,,                              0,                              0,                      4,,,                              0,                 19691,,,                117101,                 22293,                 -6028,                -52054,,                 82074,,                -62038,                -50839,,                  5624,               -107253,                -25179,                 -5488,                -34427,                    698,,                   -418,                -34147,,,,                -21665,                      1,,                    624,                   -596,                 -3954,                -25590,,                195463,,                              0,                              0,                   -596,,                 -6262,                188605,                    177,                129045,                960619,              1089664,              1089664,                     27,,                              0,                    735,,
8374,2013年度,,                  2272,                  2272,,,                 17758,                  4168,                -13145,                  1102,                 37341,                 -7598,                   -414,                              0,                     41,                   -325,,                              0,                     17,,,,               -151520,                 12611,                -16518,                  6798,,               -130505,,                326194,                 14305,                              0,                 -7205,                333294,                202789,                241734,                244006,                  7598,                    414,                -30775,                221243,,,                              0,                -66193,                    867,               -212021,,                   -739,                 -2384,               -280470,,               -110080,,                 -1455,                 50000,                              0,                -26283,                -29671,               -117489,                 76440,               -100276,              1060895,                960619,                960619,                 13124,,                  5000,,,                 38945
8374,2013年01月01日至2013年09月30日,,                 12663,                 12663,,,                 13213,                  3210,                -14136,                    533,                 27278,                 -5818,                   -414,                              0,                     33,                     53,,                              0,                     17,,,,               -132229,                -81244,                 -2832,                 98007,                -19538,               -147881,,                 72479,                -15457,,                -11646,                 45376,               -102505,                -78536,                -65873,                  5818,                    414,                -29107,                -88748,,,                              0,                -59662,                    133,                              0,,                   -534,                 -2851,                -62914,,                138586,,                 -1455,                 50000,                              0,                -26283,                -22072,                138776,                 54433,                 41547,              1060895,              1102442,              1102442,,,                -10045,,,                 23969
8374,2013年01月01日至2013年06月30日,,                 13936,                 13936,,,                  8834,                  2144,                -14036,                    950,                 15484,                 -4049,,,                     25,                     79,,                              0,                     17,,,,                -59161,               -193152,                -10783,                108239,                -29973,               -182530,,                273493,                -15674,,                -17626,                240193,                 57663,                 67111,                 81047,                  4049,,                -17939,                 67157,,,                              0,                -52276,                      5,                              0,,                   -887,                 -2517,                -55675,,                              0,                 -4472,                 -1455,                 50000,                              0,,                -11979,                 32094,                 74249,                117825,              1060895,              1178720,              1178720,,,                  2300,,,                  9448
8374,2013年01月01日至2013年03月31日,,                -26201,                -26201,,,                  4274,                  1012,                -11817,                 -1672,                  7296,                 -1993,,,                     53,                     76,,,                     17,,,,                 38300,                -60029,                 -5157,                163023,,                151597,,                 69863,                -28976,,                  3303,                 44190,                195787,                193033,                166832,                  1993,,                              0,                168825,,,,                -49899,                      5,,                     87,                   -809,                   -546,                -51162,,                 90094,,                 -1455,                 50000,                              0,,                 -5821,                132818,                 50096,                300577,              1060895,              1361472,              1361472,                 13653,,                  2300,                   -493,,                 -2754
