證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他金融資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 對子公司之收購（扣除所取得之現金）,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金增加,　　 取得投資性不動產,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 舉借長期借款,　　 存入保證金減少,　　 籌資活動之淨現金流入（流出）,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　 處分原始認列時指定為透過損益按公允價值衡量之金融資產,　　 存出保證金減少,　　　 不影響現金流量之收益費損項目,　　　　 股利收入,　　　　 採用權益法認列之關聯企業及合資損失（利益）之份額,　　　　 處分投資損失（利益）,　　　　 處分採用權益法之投資損失（利益）,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 處分以成本衡量之金融資產,　　 處分採用權益法之投資,　　 取得無形資產,　　 其他金融資產減少,　　 收取之股利,　　 償還長期借款,　　 存入保證金增加,　　 現金減資,　　 庫藏股票處分,　 匯率變動對現金及約當現金之影響
1436,2015年01月01日至2015年09月30日,,                -30833,                -30833,,,                  4469,                    427,                              0,                 30559,                   -215,                   -449,                    -41,                 34750,,,                 -3000,                    515,                  2423,                    -65,               -460633,                -27727,                -14825,               -503312,,                -12547,               -188328,                -11174,                 23287,               -188762,               -692074,               -657324,               -688157,                    215,                -74913,                   -868,               -763723,,                -15314,                   -253,                  1619,                   -930,                              0,                -14878,,              2110435,             -2254122,                975085,                -12712,                818686,                 40085,                248307,                288392,                288392,,,,,,,,,,,,,,,,,,,
1436,2015年01月01日至2015年06月30日,,                -17282,                -17282,,,                  3065,                    285,                              0,                 19073,                   -208,                   -449,,                 21766,,,,                    515,                  2479,                     -1,               -308076,                -15399,                 -8204,               -328686,,                  1557,               -200395,                    452,                 14907,               -183479,               -512165,               -490399,               -507681,                    208,                -47804,                   -564,               -555841,,                -15314,                   -253,                  1619,,                              0,                -14431,,                 14267,,                619136,                -12712,                620691,                 50419,                248307,                298726,                298726,                              0,                   -483,,,,,,,,,,,,,,,,,
1436,2014年01月01日至2014年09月30日,,                294683,                294683,,,                  4198,                    373,                   -682,                  1394,                   -220,                              0,                              0,                  5063,,,                112450,                              0,                  2298,                    736,               -300229,                  6093,                 55617,               -123035,,                 -5197,                -26053,                 10967,                -47678,                -67961,               -190996,               -185933,                108750,                    220,                -56945,                 -7488,                 44537,,                              0,                 -4589,                              0,                 -8899,                 -2893,                -16381,,              3979470,             -3836930,                              0,                 12642,                155182,                183338,                146680,                330018,                330018,,,,,,,,,,,,,,,,,,,
1436,2014年01月01日至2014年06月30日,,                223139,                223139,,,                  2651,                    248,                   -682,                  1394,                   -218,                              0,,                  3393,,,,                              0,                   -149,                    712,               -251215,                  2291,                 55617,               -192744,,                 -4592,                -19799,                  5043,                -40695,                -60043,               -252787,               -249394,                -26255,                    218,                -41531,                 -5721,                -73289,,                              0,                   -462,                              0,,                 -2893,                118780,,                214734,,                              0,                 12642,                227376,                272867,                146680,                419547,                419547,                112450,                  9685,,,,,,,,,,,,,,,,,
1436,2013年01月01日至2013年12月31日,,                -11068,                -11068,,,                  4316,                    228,,                     52,                 -1473,                      1,                              0,,,,                -80450,,                    -38,                      1,             -3515124,                -48662,                -55617,             -3699890,,                 20145,                112470,                    355,                 58410,                191380,             -3508510,             -3505386,             -3516454,                  1784,                -38928,                -71414,             -3625012,,,                 -4604,                      8,,,                376477,,              2363534,,                              0,                              0,              2363186,               -885349,              1032029,                146680,                146680,,                -17435,,                              0,                              0,                              0,                              0,                  3124,                              0,                              0,                              0,                 -1492,                400000,                              0,                 -1000,                    652,                              0,                              0,
1436,2013年01月01日至2013年09月30日,,                -16651,                -16651,,,                  3186,                    131,,                     31,                 -1238,                      1,                              0,,,,                  2684,,                  2238,                    -14,             -3432803,                -38846,                -39872,             -3506613,,                 13222,                 33521,                 -3300,                 41728,                 85171,             -3421442,             -3419331,             -3435982,                  1549,                -21110,                -71391,             -3526934,,,                 -4574,                      8,,,                395314,,              2383444,,,,              2382480,               -749140,              1032029,                282889,                282889,,                    880,,,                              0,                              0,                              0,                  2111,                              0,                              0,                              0,                 -1000,                400000,,                 -1000,                     36,                              0,                              0,
1436,2013年01月01日至2013年06月30日,,                -11647,                -11647,,,                  2098,,,                  6991,                 -1244,,                              0,,,,                  3474,,                  2233,                              0,             -3046508,                -46221,                376172,             -2710850,,                 25759,                 13959,                 -3310,                 24156,                 60564,             -2650286,             -2642441,             -2654088,                  1555,                 -5216,                -71391,             -2729140,,,                 -4540,,,,                 -4107,,              1486194,,,,              1885222,               -848025,              1032029,                184004,                184004,,                    862,,,                              0,,                              0,                  7845,                              0,,                              0,                   -429,,,                399000,                     28,,                              0,                              0
1436,2013年01月01日至2013年03月31日,,                 -3123,                 -3123,,,                    941,,,                     91,                 -1097,,,,,,                 -3565,,                  2240,                    -42,             -1402944,                 -3062,                400000,             -1007373,,                 11388,                  2530,                 -2881,                   -129,                 10908,               -996465,               -996530,               -999653,                  1408,                     -2,                   -154,               -998401,,,                 -2843,,                   -181,,                 -3453,,                100000,,,                              0,                 99028,               -902826,              1032029,                129203,                129203,,                              0,,,                              0,,,                    -65,                              0,,,                   -429,,,                 -1000,                     28,,,
1436,2012年01月01日至2012年12月31日,,                  8777,                  8777,,,                  3747,                              0,,                     83,                -20837,                              0,                -45230,,,,                829101,,                 85137,                   -517,                    -76,                     71,                              0,                913716,,                   -104,                              0,                -66260,                     41,                -94805,                818911,                746216,                754993,                 20976,                    -83,                 -3773,                772113,,,                    -62,                              0,,,                677228,,                              0,,                  1000,                   -843,             -2505277,             -1055936,              2087965,              1032029,              1032029,,                    594,,                 -1637,                 -1010,                 -8645,                    834,                -72695,                -28482,                142435,                 39724,                              0,                492900,                  1637,                              0,                              0,             -2706192,                200758,
1436,2012年01月01日至2012年09月30日,,                 18524,                 18524,,,                  2831,                              0,,                     83,                -18326,                              0,                -45230,,,,                828852,,                 87364,                    584,                              0,                 -2201,                              0,                914599,,                    125,                              0,                -69242,                    -10,                -97609,                816990,                748939,                767463,                 17967,                    -83,                 -4573,                780774,,,                    -47,                              0,,,              1074194,,                              0,,,,             -2506207,               -651239,              2087965,              1436726,              1436726,,                    594,,,                 -1010,                 -7233,                    834,                -68051,                -28482,                141023,                 39724,                              0,                892900,,                              0,                   -773,             -2706192,                200758,
