證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 利息費用,　　　　 利息收入,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 不動產、廠房及設備轉列費用數,　　　　 未實現外幣兌換損失（利益）,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 持有供交易之金融資產（增加）減少,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 其他營業資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 其他營業負債增加（減少）,　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得無活絡市場之債務工具投資,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 存出保證金減少,　　 取得無形資產,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 發放現金股利,　　 取得子公司股權,　　 非控制權益變動,　　 籌資活動之淨現金流入（流出）,　 匯率變動對現金及約當現金之影響,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　 其他非流動資產增加,　　　　 處分投資損失（利益）,　　　　　 持有供交易之金融負債增加（減少）,　　 處分原始認列時指定為透過損益按公允價值衡量之金融資產,　　　 不影響現金流量之收益費損項目,　　　　 不影響現金流量之收益費損項目合計,　　　　　 應計退休金負債增加（減少）,　　 取得無活絡市場之債券投資,　　 處分無活絡市場之債券投資,　　 存出保證金增加,　　 其他金融資產減少,　　　　 其他項目,　　 對子公司之收購（扣除所取得之現金）,　　 支付之股利
4106,2015年01月01日至2015年09月30日,,                167804,                167804,,,                 51815,                 24991,                    101,                  2159,                 -3546,                     52,                    550,                    831,                 76953,,,                 18405,                 -7992,                 25119,                 -7157,                -46896,                  8465,                -21275,                              0,                -31331,,                    830,                 23432,                 17949,                 12541,                   -564,                     60,                 54248,                 22917,                 99870,                267674,                  3401,                 -2039,                -50803,                218233,,                 34835,                -26049,                  1577,                    101,                   -963,                  9501,,                501157,               -178761,                -83385,               -317711,                  5620,                -73080,                -43179,                111475,                354558,                466033,                466033,,,,,,,,,,,,,,,
4106,2015年01月01日至2015年06月30日,,                151932,                151932,,,                 34771,                 16585,                     95,                  1087,                 -2430,                     52,                     21,                  2603,                 12735,,,,                 -5138,                -15540,                 -6109,                  4478,                 14414,                   -687,                              0,                 -8582,,                  1106,                 13254,                -14930,                  4917,                   -413,                     97,                  4031,                 -4551,                  8184,                160116,                  2465,                 -1090,                -27182,                134309,,                -14310,                -17957,                  1465,                    158,                   -143,                -30787,,,                 22469,,,                 -3686,                 18783,                -12516,                109789,                354558,                464347,                464347,                -40049,                              0,,,,,,,,,,,,,
4106,2015年01月01日至2015年03月31日,,                 73750,                 73750,,,                 17445,                  8325,                     14,                    508,                   -997,                     -4,                              0,                  1351,                 26602,,,                     13,                 -4252,                -26736,                 -3796,                -17927,                  3801,                 -1419,                              0,                -50316,,                    790,                 32837,                -34379,                 16740,                   -207,                    118,                 15899,                -34417,                 -7815,                 65935,                    784,                   -514,                 -6213,                 59992,,                -24686,                 -5957,                      4,                    333,                   -143,                  9591,,                -33451,,,,                -14403,                -47854,                -12413,                  9316,                354558,                363874,                363874,,,                    -40,                              0,                 40040,,,,,,,,,,
4106,2014年度,,                251973,                251973,,,                 74709,                 34817,                 -3759,                  2904,                 -4513,                  2248,                    666,                  3503,,,,                -30005,                    287,                -15927,                 -7934,                -20339,                -14300,                    825,,                -87393,,                 -4263,                 -5003,                 42655,                 -8565,,,                 21647,                -65746,                 44829,                296802,                  4280,                 -3020,                -49733,                248329,,,                -58331,                  8860,                    335,                 -3334,                -63900,,                -81505,,                -58369,                -12576,,               -152450,                 -1476,                 30503,                324055,                354558,                354558,,,,                 -2758,,,                110575,                   -419,               -219428,                207998,                              0,,,,
4106,2014年01月01日至2014年09月30日,,                229087,                229087,,,                 55812,                 25858,                 -1295,                  2350,                 -3187,                     44,                    317,                 -3503,                 76396,,,                  5233,                 -2615,                -29554,                -11725,                -70044,                -46992,                 19382,                   -540,               -136855,,                 -3577,                 19610,                 50560,                 -9660,                   -143,                              0,                 56790,                -80065,                 -3669,                225418,                  2644,                 -2447,                -42996,                182619,,                  4700,                -37209,                    121,                    291,                 -1915,                -34012,,                237544,               -272049,                -58370,                -12576,                    537,               -104914,                   -259,                 43434,                324055,                367489,                367489,,,,,,,,,,,,,,,
4106,2014年01月01日至2014年06月30日,,                160990,                160990,,,                 36908,                 17377,                   -972,                  1581,                 -2065,                    223,                    317,                  1887,                 51723,,,,                 -2481,                -51689,                -17935,                -63232,                -19657,                 17277,                   -309,               -138026,,                  1902,                 32585,                 72892,                  1276,                   -143,                              0,                108512,                -29514,                 22209,                183199,                  1774,                 -1567,                -20562,                162844,,                -24523,                -24262,                     10,                    263,                   -263,                -61351,,,                -30038,,,                  6558,                -23480,                 -4046,                 73967,                324055,                398022,                398022,                 -3533,                -12576,,,,,,,,,,,,,
4106,2014年01月01日至2014年03月31日,,                 80217,                 80217,,,                 18369,                    822,                   -266,                    774,                   -835,                     34,                      3,                 -1110,                 17791,,,                    -10,                -21590,                -61309,                -25290,                -56510,                -22786,                 15562,                 -2571,               -174504,,                 -1314,                 53514,                 44632,                 25294,                   -143,                              0,                121362,                -53142,                -35351,                 44866,                    835,                   -838,                 -3227,                 41636,,                -22776,                -10557,                              0,                     55,                    -82,                -33360,,                  2877,,,,                  6152,                  9029,                 11630,                 28935,                324055,                352990,                352990,,,                              0,                   -621,                              0,,,,,,,,,,
4106,2013年度,,                203557,                203557,,,                 72746,                 32477,                  2352,                  2671,                 -3639,                    180,                              0,                              0,,,,                -10008,                  3893,                -19752,                 -2887,                -11433,                    321,                  1113,,                -38753,,                 -1265,                 -1576,                 13447,                  3268,,,                 15339,                -23414,                 83373,                286930,                  3639,                 -2692,                -68823,                219054,,,                -60916,                  1125,                              0,                 -1402,               -112077,,                 21145,,                -41693,                -80802,,               -101350,                 14559,                 20186,                303869,                324055,                324055,,,,                  2271,,,                106787,                   -806,               -207998,                158442,                 -1328,,,,
4106,2013年01月01日至2013年12月31日,,                203557,                203557,,,                 72746,                 32131,,                  2671,                 -3639,                    180,,,,,,                -10008,                  3893,                -17400,                   -732,                -11433,,                   -721,,                -36401,,                 -1265,                 -1576,                 13447,                  3268,,,                 15339,                -21062,                 83373,                286930,                  3639,                 -2692,                -68823,                219054,,,                -60916,                  1125,                    193,                 -1402,               -112077,,                 21145,,                -41693,                -80802,,               -101350,                 14559,                 20186,                303869,                324055,                324055,,,,                  2271,,,                104435,                   -806,               -207998,                158442,                 -1521,                              0,                    346,                              0,
4106,2013年01月01日至2013年09月30日,,                151213,                151213,,,                 52064,                 24061,                              0,                  1869,                 -2214,                    138,                              0,                              0,,,,                              0,                  1833,                -23634,                 -8722,                 -8859,,                 -4063,                              0,                -43445,,                 -1119,                    246,                  7755,                 16433,,,                 23783,                -19662,                 56256,                207469,                  2214,                 -1952,                -47562,                160169,,,                -37791,                    220,                              0,                   -116,                -65841,,                  9107,                              0,                -41693,                -80802,,               -113388,                  6205,                -12855,                303869,                291014,                291014,,,,                  1062,,,                 75918,                   -594,                -40722,                 13925,                 -1357,                              0,,,
