證券代號,年季,　 營業活動之現金流量－間接法,　　 繼續營業單位稅前淨利（淨損）,　　 本期稅前淨利（淨損）,　　 調整項目,　　　 收益費損項目,　　　　 折舊費用,　　　　 攤銷費用,　　　　 呆帳費用提列（轉列收入）數,　　　　 透過損益按公允價值衡量金融資產及負債之淨損失（利益）,　　　　 利息費用,　　　　 利息收入,　　　　 處分及報廢不動產、廠房及設備損失（利益）,　　　　 其他項目,　　　　 收益費損項目合計,　　　 與營業活動相關之資產／負債變動數,　　　　 與營業活動相關之資產之淨變動,　　　　　 應收票據（增加）減少,　　　　　 應收帳款（增加）減少,　　　　　 其他應收款（增加）減少,　　　　　 存貨（增加）減少,　　　　　 預付款項（增加）減少,　　　　　 其他流動資產（增加）減少,　　　　　 與營業活動相關之資產之淨變動合計,　　　　 與營業活動相關之負債之淨變動,　　　　　 持有供交易之金融負債增加（減少）,　　　　　 應付票據增加（減少）,　　　　　 應付帳款增加（減少）,　　　　　 其他應付款增加（減少）,　　　　　 其他流動負債增加（減少）,　　　　　 淨確定福利負債增加(減少),　　　　　 與營業活動相關之負債之淨變動合計,　　　　 與營業活動相關之資產及負債之淨變動合計,　　　 調整項目合計,　　 營運產生之現金流入（流出）,　　 收取之利息,　　 支付之利息,　　 退還（支付）之所得稅,　 營業活動之淨現金流入（流出）,　 投資活動之現金流量,　　 取得透過其他綜合損益按公允價值衡量之金融資產,　　 取得不動產、廠房及設備,　　 處分不動產、廠房及設備,　　 取得無形資產,　　 其他金融資產增加,　　 其他金融資產減少,　　 其他非流動資產增加,　　 其他非流動資產減少,　　 投資活動之淨現金流入（流出）,　 籌資活動之現金流量,　　 短期借款增加,　　 短期借款減少,　　 應付短期票券增加,　　 應付短期票券減少,　　 發行公司債,　　 償還公司債,　　 其他借款增加,　　 存入保證金減少,　　 發放現金股利,　　 庫藏股票處分,　　 籌資活動之淨現金流入（流出）,　 本期現金及約當現金增加（減少）數,　 期初現金及約當現金餘額,　 期末現金及約當現金餘額,　　 資產負債表帳列之現金及約當現金,　　　　　 預收款項增加（減少）,　　　　　 其他營業負債增加（減少）,　　 停業單位稅前淨利（淨損）,　　　 不影響現金流量之收益費損項目,　　　　 未實現外幣兌換損失（利益）,　　　　 買回應付公司債損失（利益）,　　　　 不影響現金流量之收益費損項目合計,　　　　　 負債準備增加（減少）,　　　　　 應計退休金負債增加（減少）,　　 存入保證金增加,　　 其他非流動負債減少,　　 現金增資,　　 員工執行認股權,　　 其他借款減少,　　 取得原始認列時指定為透過損益按公允價值衡量之金融資產,　　　　　 持有供交易之金融資產（增加）減少,　　 償還長期借款
1466,2015年01月01日至2015年09月30日,,                 14583,                 14583,,,                108875,                    325,                 -1507,                   -367,                 11400,                    899,                  1254,                              0,                120879,,,                 -6515,                 63633,                  6476,               -140854,                -27339,                    768,               -103831,,                 -3046,                -27127,                 37213,                -33162,                  4142,                    480,                -21500,               -125331,                 -4452,                 10131,                   -899,                 -4124,                 -8011,                 -2903,,                 -3948,               -618965,                    988,                 -1534,                              0,                -98295,                 23537,                              0,               -698217,,                 59850,                              0,                240000,                              0,                              0,                              0,                328841,                 -4641,                -55576,                              0,                568474,               -132646,                209623,                 76977,                 76977,,,,,,,,,,,,,,,,,
1466,2015年01月01日至2015年06月30日,,                -11528,                -11528,,,                 72844,                    197,                 -1607,                  8514,                  7525,                    927,                  1253,                              0,                 89653,,,                 32934,                 49121,                  2623,                 51537,                -15007,                 -1646,                119562,,                    -52,                -29904,               -149288,                -31877,                  5202,                    298,               -205621,                -86059,                  3594,                 -7934,                   -927,                 -2594,                 -3820,                -15275,,                 -1550,                -73481,                    988,                 -1534,,                 15465,                              0,               -377064,               -437176,,                              0,                -34780,                110000,,,                              0,                348470,                 -4641,,                              0,                419049,                -33402,                209623,                176221,                176221,                              0,                              0,,,,,,,,,,,,,,,
1466,2015年01月01日至2015年03月31日,,                   -149,                   -149,,,                 36383,                     44,                 -2523,                  4670,                  3441,                    287,                   -203,,                 42099,,,                 10052,                 52827,                  2517,                  2277,                 12161,                 -1375,                 78459,,                 -2733,                -24259,                -69716,                 -3633,                  1716,                    151,                -98474,                -20015,                 22084,                 21935,                   -287,                   -906,                    -29,                 20713,,                 -1312,                -50126,                    210,,,                 30375,                -70126,,                -90979,,                 83643,                              0,                 30000,,,,                 68072,                 -4641,,                              0,                177074,                106808,                209623,                316431,                316431,,,,,,,,,,,,,,,,,
1466,2014年度,,                 64685,                 64685,,,                132377,                    249,                 -5935,                   -481,                 11442,                    338,                   -776,,,,,                 19558,                -36443,                  2066,                 19199,                -22654,                  2526,                -15748,,                  1459,                 30107,                -30719,                 -6241,                -20263,,                -23962,                -39710,                 90245,                154930,                   -338,                 -3070,                 -8373,                143149,,                -94456,               -275634,                  1475,                              0,                -35388,,                 -3991,,               -407994,,,                 -8242,,               -100000,                395960,                -22600,                112255,                    -90,                -49894,                  2371,                430472,                165627,                 43996,                209623,                209623,,,                              0,,                 -7259,                              0,                129955,                  2320,                   -625,                              0,                              0,                100000,                    712,,,,
1466,2014年01月01日至2014年09月30日,,                 35700,                 35700,,,                 97934,                    204,                 -6202,                              0,                  8776,                    209,                    251,                 -4681,                 96491,,,                 32705,                -54395,                 -1282,                -45162,                -21096,                 -1800,                -91030,,                   -736,                 37249,                 48013,                -15868,                  3061,                   -775,                 70944,                -20086,                 76405,                112105,                   -209,                 -2958,                 -7362,                101576,,                              0,               -130406,                     75,                              0,                  4800,                              0,                              0,               -103275,               -228806,,                              0,                -11759,                              0,               -100000,                395960,                -22600,                 61166,                    -90,                -49894,                  2371,                275154,                147924,                 43996,                191920,                191920,,,,,,,,,,,,,,,,,
1466,2014年01月01日至2014年06月30日,,                 34382,                 34382,,,                 65302,                    160,                 -3942,                              0,                  5824,                   -164,                    104,                 -4681,                 62603,,,                 67345,                    564,                 -2130,                -89034,                 -4496,                  3342,                -24409,,                 -1935,                  8834,                -15066,                  4232,                -11120,                 -2881,                -17936,                -42345,                 20258,                 54640,                    164,                 -2051,                 -1519,                 51234,,                              0,                -97500,                     75,                              0,,                  4645,                  9276,                              0,                -83504,,                 68485,                              0,                 90000,,,                -22600,                 52277,                    -90,,                  2371,                190443,                158173,                 43996,                202169,                202169,                              0,                              0,,,,,,,,,,,,,,,
1466,2014年01月01日至2014年03月31日,,                 21123,                 21123,,,                 32538,                    116,                              0,                              0,                  3473,                    -51,                     69,,                 36145,,,                 84848,                -24746,                   -565,                -18721,                 -9779,                  1391,                 32428,,                    128,                 26303,                 -6575,                -38300,                 -6691,                     42,                -25093,                  7335,                 43480,                 64603,                     51,                 -1769,                     -3,                 62882,,                              0,                -40727,                     75,,,                  3469,                -27922,,                -65105,,                              0,                -34165,                              0,,,,                 43389,                    -90,,                    504,                  9638,                  7415,                 43996,                 51411,                 51411,,,,,,,,,,,,,,,,,
1466,2013年度,,                111848,                111848,,,                133811,                  1228,                              0,                              0,                 21432,                   -587,                     69,,,,,                -19534,                -33278,                 -4120,               -125982,                -18790,                    884,               -200820,,                 -2247,                -28877,                217220,                 50151,                -20062,,                206077,                  5257,                168042,                279890,                    587,                 -9221,                -14021,                257235,,                              0,                -52984,                    638,                    -46,                 -3166,,                -77274,,               -132832,,,               -116940,,                -85000,                294970,               -277569,                  5254,                              0,                -95170,                              0,               -269281,               -144878,                188874,                 43996,                 43996,,,                              0,,                              0,                  6832,                162785,                 -1620,                 -8488,                  5141,                     33,                              0,                              0,,,,
1466,2013年01月01日至2013年09月30日,,                 94959,                 94959,,,                100673,                  1114,                              0,,                 18258,                   -465,                     68,                              0,,,,                 45124,                -14830,                 -4300,               -139082,                -27701,                 -5392,               -146181,,                 -1877,                -17637,                168437,                 41293,                 -9775,,                180696,                 34515,                160995,                255954,                    465,                 -7258,                -14011,                235150,,,                -30854,                    638,                    -46,                 -4431,                              0,                -67399,,               -102092,,,               -115922,,                -85000,                294970,               -277570,                              0,                              0,                -95261,                              0,               -276976,               -143918,                188874,                 44956,                 44956,,,,,,                  6832,                126480,                   -220,                    475,                  5141,,,,                 -3334,,,
1466,2013年01月01日至2013年06月30日,,                 52086,                 52086,,,                 67845,                    869,                              0,,                 14882,                   -426,                     68,                              0,,,,                 18822,                -76973,                 -3543,               -100878,                -12839,                -11701,               -187112,,                  1005,                  1984,                184090,                 57278,                -11784,,                232657,                 45545,                135615,                187701,                    426,                 -5690,                 -9723,                172714,,,                -20858,                    638,                    -46,,                  7359,                              0,                -17322,                -35170,,                              0,               -148244,                              0,               -185000,                294970,               -277569,                              0,                              0,,                              0,               -312925,               -175381,                188874,                 13493,                 13493,                              0,,                              0,,,                  6832,                 90070,                   -220,                    304,                  5141,,,,                 -2223,                 -4941,,
